"","open","high","low","close","volume","adjusted"
"2018-01-02",52.330002,53.099998,51.900002,52.990002,4084700,52.764896
"2018-01-03",52.860001,52.860001,52.060001,52.34,5074900,52.117657
"2018-01-04",52.48,54.400002,52.27,52.669998,3557100,52.446255
"2018-01-05",52.779999,52.84,52.43,52.650002,2967800,52.426342
"2018-01-08",52.599998,52.639999,51.93,52.130001,3515800,51.90855
"2018-01-09",52.970001,53.369999,52.009998,52.080002,3426000,51.858765
"2018-01-10",53.23,54.02,52.880001,53.779999,7655800,53.551537
"2018-01-11",54.490002,57,54.18,56.419998,11339900,56.180321
"2018-01-12",56.560001,58.73,56.560001,58.470001,7505800,58.221615
"2018-01-16",58.790001,59.080002,57.529999,57.98,5283900,57.733696
"2018-01-17",58.310001,58.580002,57.799999,58.16,3143300,57.912933
"2018-01-18",58,58.709999,57.560001,58.34,3969100,58.092167
"2018-01-19",58.59,58.59,57.759998,58.060001,3151200,57.813358
"2018-01-22",57.990002,58.34,57.529999,58.099998,3553900,57.853188
"2018-01-23",57.740002,58.459999,57.400002,58.290001,3337000,58.042377
"2018-01-24",54.349998,55.459999,53.450001,54.790001,16348500,54.557247
"2018-01-25",54,54.549999,52.209999,53.049999,10223100,52.824638
"2018-01-26",53.650002,53.900002,52.34,53.07,7066100,52.844555
"2018-01-29",52.790001,53.16,52.59,52.68,5953700,52.456215
"2018-01-30",52.450001,53.049999,52.360001,52.59,4741800,52.366596
"2018-01-31",53.080002,54.709999,53,54.32,5962900,54.089245
"2018-02-01",54,54.639999,53.59,53.880001,3623100,53.651115
"2018-02-02",53.490002,53.990002,52.029999,52.099998,5109400,51.878674
"2018-02-05",51.23,52.389999,49.75,49.759998,6878300,49.643902
"2018-02-06",49.32,51.5,48.790001,51.18,6782500,51.060589
"2018-02-07",50.91,51.98,50.889999,51.400002,4845800,51.280075
"2018-02-08",51.439999,51.459999,48.509998,48.599998,5995100,48.486607
"2018-02-09",49.700001,49.73,46.330002,48.360001,6837800,48.247169
"2018-02-12",48.790001,50.509998,48.650002,50.09,5437800,49.973133
"2018-02-13",49.700001,50.919998,49.639999,50.869999,3758000,50.751312
"2018-02-14",50.240002,51.560001,50.110001,51.07,4983200,50.950844
"2018-02-15",51.450001,51.880001,50.939999,51.669998,3140800,51.549442
"2018-02-16",51.799999,52.209999,51.529999,51.580002,3891300,51.459656
"2018-02-20",51.23,52.23,51.099998,51.720001,3379700,51.599331
"2018-02-21",51.959999,53.860001,51.830002,52.779999,5396700,52.656853
"2018-02-22",53.240002,53.41,52.700001,52.98,4356700,52.856388
"2018-02-23",53.299999,53.48,52.720001,53.389999,3394700,53.26543
"2018-02-26",53.990002,55.130001,53.919998,55,4962100,54.871677
"2018-02-27",54.889999,55.599998,54.240002,54.259998,4878400,54.1334
"2018-02-28",54.41,54.599998,53.639999,54.25,4343800,54.123425
"2018-03-01",54.139999,55.310001,53.299999,53.48,5895600,53.355221
"2018-03-02",52.900002,53.419998,51.869999,53.18,4918200,53.055923
"2018-03-05",52.900002,53.689999,52.689999,53.189999,3974800,53.065899
"2018-03-06",53.34,54.02,52.900002,53.57,4273800,53.445011
"2018-03-07",53.119999,54.169998,53.040001,54.110001,3216900,53.983753
"2018-03-08",54.330002,55.689999,54.279999,54.790001,4189500,54.662167
"2018-03-09",55.049999,56.080002,54.650002,56.07,3468900,55.939178
"2018-03-12",56.259998,56.970001,55.630001,56.5,3256400,56.368176
"2018-03-13",56.860001,57.439999,56.029999,56.23,4361800,56.098804
"2018-03-14",56.57,57.209999,55.16,55.279999,4267000,55.15102
"2018-03-15",55.349998,55.560001,54.93,55.169998,2980500,55.041279
"2018-03-16",55.310001,56.41,55.27,55.400002,4574400,55.270744
"2018-03-19",55.330002,55.689999,54.189999,54.619999,3834300,54.492561
"2018-03-20",54.93,55.700001,54.669998,55.32,2555600,55.190929
"2018-03-21",54.209999,54.610001,53.169998,54.09,4811600,53.963799
"2018-03-22",53.580002,54.18,52.290001,52.310001,4871300,52.187954
"2018-03-23",52.630001,53.099998,50.990002,51.009998,3966000,50.890984
"2018-03-26",51.939999,52.040001,50.639999,51.860001,3210500,51.739002
"2018-03-27",52.299999,52.349998,50.549999,50.900002,2940700,50.781242
"2018-03-28",50.900002,51.259998,50.049999,50.849998,4177500,50.731358
"2018-03-29",51.299999,52.43,51.029999,51.959999,3074100,51.838768
"2018-04-02",51.77,51.950001,48.959999,49.779999,4185800,49.663853
"2018-04-03",50.23,51.549999,49.57,51.470001,3863300,51.349915
"2018-04-04",50.599998,52.099998,50.509998,52.040001,3955000,51.918583
"2018-04-05",52.5,53.080002,51.830002,52.139999,3060900,52.018349
"2018-04-06",51.709999,51.959999,49.810001,50.290001,4302600,50.172665
"2018-04-09",50.5,50.860001,49.740002,49.82,4330100,49.703762
"2018-04-10",50.52,50.57,47.209999,47.459999,12805000,47.349266
"2018-04-11",47.150002,47.459999,45.369999,45.400002,10151100,45.294075
"2018-04-12",46.029999,46.799999,45.509998,46.57,7040400,46.461346
"2018-04-13",46.75,47.049999,45.75,45.869999,5226300,45.762978
"2018-04-16",46.130001,46.939999,45.810001,46.400002,4516300,46.291744
"2018-04-17",46.75,47.029999,45.619999,45.75,6961100,45.643257
"2018-04-18",46.5,48.380001,46.049999,47.759998,9170700,47.648567
"2018-04-19",47.529999,47.77,46.41,46.880001,5759300,46.770622
"2018-04-20",46.91,47.240002,46.439999,46.779999,5344700,46.670853
"2018-04-23",46.849998,47.189999,46.119999,46.68,4221700,46.571087
"2018-04-24",46.720001,47.169998,45.110001,45.689999,3954300,45.583397
"2018-04-25",45.669998,45.93,43.889999,45.25,7847600,45.144424
"2018-04-26",43.490002,43.799999,40.650002,42.369999,20517300,42.271141
"2018-04-27",42.549999,43.48,42.330002,43.400002,6955200,43.29874
"2018-04-30",43.5,43.810001,42.759998,42.93,6472900,42.829838
"2018-05-01",42.860001,43.459999,42.560001,43.360001,5341200,43.258835
