"","open","high","low","close","volume","adjusted"
"2018-01-02",153.5,154.100006,152.779999,153.839996,3061900,152.494339
"2018-01-03",152.990005,154.990005,152.990005,154.550003,2064200,153.198135
"2018-01-04",155,156.860001,154.770004,156.380005,1777000,155.012131
"2018-01-05",156.610001,157.720001,156.130005,157.669998,1597600,156.290848
"2018-01-08",157.369995,159.009995,156.839996,158.929993,2616900,157.53981
"2018-01-09",158.5,159.490005,157.449997,159.460007,3204700,158.065201
"2018-01-10",158.949997,159.149994,157.729996,158.899994,1624100,157.510086
"2018-01-11",158.899994,159.399994,158.050003,159.110001,1809200,157.718246
"2018-01-12",159.5,160.639999,158.570007,160.110001,2048800,158.709503
"2018-01-16",160.25,160.369995,157.910004,157.960007,2858700,156.578308
"2018-01-17",159.100006,160.470001,158.809998,160.210007,2084300,158.80864
"2018-01-18",160.130005,161.080002,159.820007,160.940002,1715500,159.532242
"2018-01-19",161.600006,162.5,160.199997,161.75,2246700,160.335159
"2018-01-22",161.210007,161.880005,160.820007,161.429993,1720000,160.017944
"2018-01-23",161.289993,162.050003,160.639999,160.880005,1635800,159.472778
"2018-01-24",161.199997,161.990005,160.539993,160.600006,1951900,159.195221
"2018-01-25",161.119995,161.75,160.619995,160.789993,1327100,159.383545
"2018-01-26",161.25,162.580002,160.330002,162.550003,1950700,161.128159
"2018-01-29",162.330002,162.600006,160.970001,161.190002,1314800,159.78006
"2018-01-30",160.960007,161.160004,159.110001,159.699997,1700000,158.303085
"2018-01-31",160.089996,160.949997,159.729996,160.699997,1878300,159.294342
"2018-02-01",160.160004,161.130005,159.539993,160.460007,1692600,159.056442
"2018-02-02",159.979996,160.270004,156.630005,156.899994,2183600,155.527573
"2018-02-05",156.119995,159.270004,150.729996,151.830002,3733700,150.501923
"2018-02-06",150.289993,155.179993,149.429993,154.690002,4259600,153.336914
"2018-02-07",154.220001,158.929993,153.070007,155.149994,2918700,153.792877
"2018-02-08",155.309998,155.470001,150.369995,150.509995,2900900,149.193466
"2018-02-09",151.690002,154.990005,148.789993,153.839996,3656800,152.494339
"2018-02-12",154.669998,156.470001,153.899994,154.949997,2273700,153.594635
"2018-02-13",154.199997,156.990005,153.990005,156.839996,2059500,155.468094
"2018-02-14",156.009995,160.119995,155.149994,159.789993,2583200,158.392288
"2018-02-15",160.389999,161.110001,158.110001,161.059998,1854900,159.651184
"2018-02-16",160.960007,163.600006,160.850006,162.660004,1997900,161.237198
"2018-02-20",162.380005,162.720001,161.070007,161.440002,1425700,160.027878
"2018-02-21",161.589996,163.759995,160.419998,160.460007,1628600,159.056442
"2018-02-22",161.080002,162,159.910004,160.320007,1511700,158.917679
"2018-02-23",161.100006,163.050003,160.320007,162.949997,1577200,161.524658
"2018-02-26",163.820007,164.830002,162.919998,164.740005,1782800,163.299011
"2018-02-27",164.800003,165.580002,162.550003,162.550003,1820800,161.128159
"2018-02-28",162.899994,164.389999,160.949997,161.009995,2002200,159.601624
"2018-03-01",161.279999,161.589996,155.880005,156.149994,3005400,154.784134
"2018-03-02",155.210007,157.630005,154.690002,157.5,2960100,156.12233
"2018-03-05",157.169998,159.660004,156.990005,158.850006,1936800,157.460526
"2018-03-06",159.169998,160.149994,156.979996,158.029999,2352500,156.64769
"2018-03-07",156.979996,158.960007,156.520004,158.550003,3176200,157.163147
"2018-03-08",159.009995,159.419998,158.039993,158.5,3093200,157.113586
"2018-03-09",159.649994,161.830002,159.210007,161.509995,2988000,160.097244
"2018-03-12",162,162.770004,161.020004,161.690002,2105000,160.275681
"2018-03-13",162.119995,164.300003,162.059998,162.490005,2742200,161.068695
"2018-03-14",162.759995,163.199997,160.419998,161,2214800,159.591721
"2018-03-15",161.289993,163.490005,160.889999,162.860001,1840300,161.435455
"2018-03-16",162.610001,163.289993,160.880005,160.889999,4018600,159.482681
"2018-03-19",160.559998,161.5,159.369995,160.619995,1890000,159.215042
"2018-03-20",160.949997,163.149994,160.949997,162.880005,2249400,161.455276
"2018-03-21",163.199997,163.720001,161.929993,162.029999,3452600,160.612701
"2018-03-22",156.75,157.940002,149.729996,150.229996,8203600,148.915924
"2018-03-23",151.330002,152.470001,147.160004,147.350006,4039800,146.061127
"2018-03-26",149,153.169998,149,152.850006,4231000,151.513016
"2018-03-27",153.229996,153.660004,147.800003,148.860001,3212000,147.557907
"2018-03-28",149.679993,150.350006,147.339996,147.410004,2965700,146.12059
"2018-03-29",148.289993,153.5,147.820007,153.5,3595900,152.157318
"2018-04-02",151.820007,151.820007,146.5,147.979996,2845800,146.685593
"2018-04-03",148.490005,148.970001,146.050003,148.789993,2363300,147.48851
"2018-04-04",146.690002,150.479996,146.059998,149.970001,2161100,148.658203
"2018-04-05",151.100006,152.070007,150.009995,151.570007,3336300,150.244202
"2018-04-06",149.899994,150.789993,146.190002,147.380005,1927200,146.090851
"2018-04-09",148.259995,150.429993,148.009995,148.25,1465800,146.953247
"2018-04-10",149.990005,152.740005,149.839996,152.050003,2257400,150.720001
"2018-04-11",149.399994,149.869995,148.160004,148.399994,1734900,148.399994
"2018-04-12",149.179993,151.130005,148.929993,150.089996,2005600,150.089996
"2018-04-13",151,151.410004,149.460007,150.130005,1607800,150.130005
"2018-04-16",151.449997,152.050003,150.479996,151.419998,2151600,151.419998
"2018-04-17",152.649994,154.589996,152.080002,154.240005,2702300,154.240005
"2018-04-18",154.350006,155.699997,153.339996,155.520004,1975700,155.520004
"2018-04-19",155,155.210007,153.619995,154.589996,1512900,154.589996
"2018-04-20",154.020004,154.75,151.910004,152.410004,2302000,152.410004
"2018-04-23",153.229996,153.460007,152.110001,153.039993,1533000,153.039993
"2018-04-24",153.570007,154.339996,149.850006,151.070007,1922600,151.070007
"2018-04-25",151.5,151.5,148.429993,150.089996,2040200,150.089996
"2018-04-26",150.929993,153.130005,150.600006,152.289993,1634600,152.289993
"2018-04-27",152.289993,152.970001,151.190002,152.389999,1179500,152.389999
"2018-04-30",153.169998,153.259995,151.179993,151.199997,1504700,151.199997
"2018-05-01",151.089996,151.949997,150.119995,151.919998,1204800,151.919998
"2018-05-02",151.720001,152.089996,150.410004,150.710007,1642100,150.710007
"2018-05-03",150.300003,152.039993,149.139999,151.729996,1725000,151.729996
"2018-05-04",150.710007,153.960007,150.350006,153.440002,1504100,153.440002
"2018-05-07",152.949997,153.080002,151.839996,152.300003,2057000,152.300003
"2018-05-08",151.350006,152.5,151.029999,151.940002,1770100,151.940002
"2018-05-09",152.899994,154.979996,152.199997,154.619995,1515300,154.619995
