"","open","high","low","close","volume","adjusted"
"2018-01-02",89.239998,90.650002,88.93,90.279999,2343200,89.390495
"2018-01-03",90.279999,91.610001,90.050003,91.400002,2009600,90.499466
"2018-01-04",91.870003,92.279999,91.25,91.300003,1879600,90.400452
"2018-01-05",91.519997,92.269997,90.830002,91.669998,1799100,90.7668
"2018-01-08",91.809998,92.209999,91.360001,91.830002,1907400,90.925232
"2018-01-09",91.800003,92.330002,91.419998,91.639999,2779700,90.737099
"2018-01-10",91.080002,91.150002,89.790001,90.110001,2654400,89.222176
"2018-01-11",90.400002,91.260002,89.940002,91.190002,1924200,90.291534
"2018-01-12",91.059998,92.589996,90.57,92.019997,3175700,91.11335
"2018-01-16",92.379997,93.699997,92.349998,93.099998,3373700,92.182709
"2018-01-17",94,95.959999,93.610001,95.57,3920500,94.628372
"2018-01-18",95.580002,98.379997,95.330002,97.239998,5285100,96.281929
"2018-01-19",97.639999,97.940002,96.139999,96.139999,2762400,95.192764
"2018-01-22",96.389999,97,95.769997,96.650002,4442400,95.697739
"2018-01-23",96.690002,97.120003,95.889999,96.470001,3247100,95.519516
"2018-01-24",94.379997,96.639999,93.209999,95.339996,6258400,94.400635
"2018-01-25",96.190002,96.989998,91.93,91.980003,3655900,91.073753
"2018-01-26",93.089996,94.169998,92.580002,93.839996,4752300,92.915421
"2018-01-29",93.199997,94.440002,92.410004,93.779999,3078100,92.856018
"2018-01-30",92.769997,93.389999,91.370003,91.550003,3684900,90.647995
"2018-01-31",91.889999,92.550003,91.419998,91.879997,3462000,90.974731
"2018-02-01",91.25,92.580002,91.25,91.650002,2312200,90.747002
"2018-02-02",90.739998,91.290001,89.059998,89.110001,2922600,88.232025
"2018-02-05",88.75,89.610001,85.330002,85.400002,3817400,84.558586
"2018-02-06",84.199997,88.709999,82.760002,88.540001,5440800,87.667648
"2018-02-07",86.75,87.949997,85.290001,85.349998,4555800,84.509071
"2018-02-08",85.540001,85.599998,82.57,82.68,5279100,81.865379
"2018-02-09",83.910004,84.580002,80.949997,83.93,5649700,83.103065
"2018-02-12",84.300003,85.900002,84.029999,85.050003,3287700,84.212029
"2018-02-13",86.010002,86.43,83.769997,84.339996,2688900,83.509018
"2018-02-14",83.519997,85.449997,83.389999,85.129997,2819600,84.291237
"2018-02-15",85.940002,85.940002,84.209999,85.400002,2214400,84.558586
"2018-02-16",85.279999,86.790001,85.169998,86.089996,2570000,85.241783
"2018-02-20",87.279999,89.489998,86.919998,88.410004,3961000,87.538925
"2018-02-21",88.709999,90.040001,87.849998,88.410004,2604400,87.538925
"2018-02-22",88.459999,89.360001,88.07,88.559998,2430000,87.687439
"2018-02-23",89.349998,90.43,89.169998,90.370003,2114900,89.479614
"2018-02-26",90.57,92.419998,90.57,92.360001,2683600,91.450005
"2018-02-27",92.209999,93.650002,91.629997,92.260002,3256300,91.35099
"2018-02-28",94.5,94.919998,89.599998,90.150002,4248500,89.26178
"2018-03-01",89.889999,90.529999,86.790001,88.309998,4136100,87.439911
"2018-03-02",87.440002,89.669998,86.980003,89.529999,2298700,88.647888
"2018-03-05",88.830002,91.699997,88.769997,91.139999,2972200,90.242027
"2018-03-06",91.730003,92.57,91.18,91.93,1958600,91.024246
"2018-03-07",91.330002,92.800003,90.550003,92.739998,2981100,91.826256
"2018-03-08",92.900002,93.300003,92.07,92.720001,2175600,92.284103
"2018-03-09",93.300003,94.849998,93.300003,94.730003,2768700,94.284653
"2018-03-12",94.739998,95.730003,94.669998,95.529999,2766100,95.080887
"2018-03-13",96,96.849998,94.220001,94.660004,3521800,94.214981
"2018-03-14",94.940002,95.330002,93.269997,94.089996,1549700,93.647652
"2018-03-15",93.919998,94.360001,93.160004,93.940002,1274000,93.498367
"2018-03-16",94.099998,95.010002,93.760002,94.150002,4067800,93.707375
"2018-03-19",93.730003,93.82,91.839996,93.5,2900300,93.060432
"2018-03-20",93.510002,93.629997,92.370003,92.709999,1764000,92.274147
"2018-03-21",92.5,93.889999,92.32,92.800003,1612700,92.363724
"2018-03-22",91.529999,92.43,90.480003,90.540001,2842400,90.114349
"2018-03-23",90.360001,90.849998,87.650002,87.699997,2613300,87.287697
"2018-03-26",89.330002,93.190002,88.940002,93.110001,3669400,92.672264
"2018-03-27",93.779999,94.32,90.269997,91.050003,4507500,90.621956
"2018-03-28",90.709999,91.620003,89.410004,89.910004,2602000,89.487312
"2018-03-29",90.699997,92.019997,89.849998,91.129997,2663500,90.701569
"2018-04-02",90.470001,90.879997,87.919998,88.75,3308600,88.332764
"2018-04-03",89.610001,89.919998,87.900002,89.519997,2721600,89.099136
"2018-04-04",87.809998,91.529999,87.540001,91.239998,2069900,90.811058
"2018-04-05",92.099998,92.449997,90.260002,90.940002,1769400,90.512466
"2018-04-06",89.849998,90.480003,88.129997,88.309998,2294300,87.894829
"2018-04-09",89.120003,90.440002,87.900002,87.989998,2513900,87.576332
"2018-04-10",89.5,90.809998,88.760002,90.029999,2210200,89.606743
"2018-04-11",89.25,91.150002,89.18,90.800003,1785200,90.373131
"2018-04-12",91.690002,93.239998,91.199997,93.019997,2984200,92.582687
"2018-04-13",93.5,93.599998,92.199997,92.779999,1869700,92.343819
"2018-04-16",93.18,93.580002,92.480003,93.139999,2125300,92.702126
"2018-04-17",93.650002,95.540001,93.650002,95.169998,1920000,94.72258
"2018-04-18",94.779999,95.449997,94.029999,94.57,1909600,94.125404
"2018-04-19",92.980003,92.980003,89.760002,89.849998,3774200,89.427589
"2018-04-20",89.389999,90,88.660004,89.760002,4413800,89.33802
"2018-04-23",90.169998,90.190002,87.519997,88,2790300,87.586288
"2018-04-24",89.269997,89.470001,87.32,87.650002,3137000,87.237938
"2018-04-25",88.059998,88.919998,87.330002,87.769997,2652400,87.357368
"2018-04-26",88.449997,89.029999,87.720001,88.699997,1981400,88.282997
"2018-04-27",89.269997,89.379997,87.209999,87.68,2738600,87.267792
"2018-04-30",87.769997,88.209999,86.029999,87.349998,3756200,86.939346
"2018-05-01",87.139999,89,86.739998,88.860001,2094300,88.442245
"2018-05-02",89.010002,89.209999,87.480003,88.300003,1586700,87.88488
"2018-05-03",87.519997,88.269997,86.230003,87.910004,2261100,87.496719
"2018-05-04",87.550003,90.32,87.120003,90.269997,2404800,89.845612
"2018-05-07",89.860001,91.169998,89.860001,90.5,1867000,90.074539
"2018-05-08",90.93,91.449997,90.110001,91.419998,1575000,90.990211
"2018-05-09",91.860001,92.739998,91.419998,92.620003,1939400,92.18457
"2018-05-10",93.080002,93.400002,92.389999,93.339996,1914400,92.901184
"2018-05-11",93.080002,93.639999,92.419998,92.599998,1359000,92.164665
"2018-05-14",93.190002,94.919998,93.190002,93.870003,2173500,93.428696
"2018-05-15",93.07,93.849998,92.790001,93.559998,2074900,93.120148
"2018-05-16",93.949997,94.800003,93.580002,94.769997,1472800,94.324455
"2018-05-17",94.209999,95.18,94.160004,95.040001,3344100,94.593193
"2018-05-18",94.699997,95.57,94.080002,94.879997,3222000,94.433945
"2018-05-21",95.57,96.07,94.5,95.300003,1694200,94.851974
"2018-05-22",95.779999,96.370003,95.339996,95.709999,1336100,95.26004
"2018-05-23",94.610001,95.07,94.050003,94.389999,3022900,93.946251
