"","open","high","low","close","volume","adjusted"
"2018-01-02",40.200001,40.200001,39.619999,40.09,3670800,39.479053
"2018-01-03",40.150002,40.169998,39.75,39.779999,2815200,39.173775
"2018-01-04",39.860001,40.52,39.830002,40.450001,3663300,39.833565
"2018-01-05",40.560001,40.700001,40.049999,40.18,2848300,39.56768
"2018-01-08",40.080002,40.18,39.77,40.09,3617600,39.479053
"2018-01-09",40.189999,40.599998,40.119999,40.220001,2791700,39.607067
"2018-01-10",40.049999,40.169998,39.279999,39.91,3716800,39.301792
"2018-01-11",40.060001,40.709999,40.009998,40.560001,3348100,39.941887
"2018-01-12",40.560001,40.689999,40.209999,40.5,2810900,39.882801
"2018-01-16",40.580002,40.959999,40.529999,40.779999,5283900,40.158535
"2018-01-17",40.91,41,40.169998,40.91,3833600,40.286552
"2018-01-18",40.880001,40.880001,40.43,40.48,2529800,39.863106
"2018-01-19",40.509998,41.330002,39.919998,40.959999,5232900,40.335789
"2018-01-22",41.18,42.77,41.150002,42.75,7332700,42.098515
"2018-01-23",42.349998,42.84,42.27,42.610001,3915200,41.960648
"2018-01-24",42.689999,43.200001,42.490002,42.84,4123100,42.187145
"2018-01-25",43.279999,43.400002,42.810001,42.889999,3223900,42.236382
"2018-01-26",42.900002,43.689999,42.610001,43.59,4052700,42.925709
"2018-01-29",43.380001,43.5,43.099998,43.110001,2457300,42.45303
"2018-01-30",42.84,43.119999,42.240002,42.48,2885700,41.832626
"2018-01-31",42.68,43.220001,42.52,42.950001,5210600,42.295467
"2018-02-01",42.77,42.990002,42.299999,42.459999,2921400,41.812931
"2018-02-02",42.040001,42.130001,41.400002,41.43,3016100,40.79863
"2018-02-05",42.240002,42.540001,40.509998,40.599998,5039900,39.981277
"2018-02-06",40.209999,42.25,40.200001,42,5859600,41.359943
"2018-02-07",42.310001,43.049999,42.169998,42.189999,4587800,41.547047
"2018-02-08",42.400002,42.400002,41.34,41.349998,4495200,40.719849
"2018-02-09",41.759998,41.82,40.619999,41.490002,5540600,40.857716
"2018-02-12",41.650002,41.740002,40.369999,41.27,6433500,40.641068
"2018-02-13",41.099998,41.419998,40.970001,41.34,2449900,40.710003
"2018-02-14",40.91,41.950001,40.720001,41.82,3644400,41.182686
"2018-02-15",42.18,43.200001,42,43.200001,3873100,42.541656
"2018-02-16",42.740002,43.43,42.630001,43.130001,3062400,42.804657
"2018-02-20",42.790001,43.18,42.299999,42.57,4532900,42.248878
"2018-02-21",42.5,42.799999,42.119999,42.119999,3960600,41.802273
"2018-02-22",42.330002,42.349998,41.669998,41.759998,3367800,41.444988
"2018-02-23",41.880001,42.669998,41.700001,42.57,2782700,42.248878
"2018-02-26",42.59,42.630001,42.029999,42.169998,3530000,41.851894
"2018-02-27",42.27,42.450001,41.639999,41.639999,4807000,41.325897
"2018-02-28",42.07,42.490002,41.509998,41.52,4734600,41.206802
"2018-03-01",41.5,41.77,40.990002,41.25,4347500,40.938839
"2018-03-02",41.209999,42.25,41.209999,42.200001,4065000,41.881672
"2018-03-05",41.889999,42.849998,41.759998,42.720001,4706000,42.397751
"2018-03-06",43.27,43.380001,42.52,43.119999,2782300,42.794731
"2018-03-07",42.830002,43.400002,42.75,43.029999,3390100,42.70541
"2018-03-08",43.07,43.299999,42.68,43.290001,2670900,42.963451
"2018-03-09",43.490002,43.75,42.860001,43.299999,4696500,42.973373
"2018-03-12",43.889999,44.990002,43.84,44.529999,7438300,44.194096
"2018-03-13",44.57,44.919998,44.080002,44.240002,3349200,43.906284
"2018-03-14",44.299999,44.360001,43.540001,43.77,3268200,43.439831
"2018-03-15",43.75,43.91,42.950001,43.259998,3270900,42.933674
"2018-03-16",43.349998,43.889999,43,43.5,10091100,43.171864
"2018-03-19",43.52,43.66,42.939999,43.060001,4270500,42.735188
"2018-03-20",43.139999,43.259998,42.599998,42.970001,2133700,42.645866
"2018-03-21",42.75,42.990002,42.310001,42.619999,3078300,42.298504
"2018-03-22",42.450001,42.849998,41.869999,41.939999,2645500,41.623631
"2018-03-23",42,42.75,41.990002,42.049999,4459400,41.732803
"2018-03-26",42.330002,42.889999,42.169998,42.830002,2573800,42.50692
"2018-03-27",42.970001,43.599998,42.740002,42.869999,4334300,42.546616
"2018-03-28",42.75,43.09,42.490002,42.799999,4171900,42.477146
"2018-03-29",43.09,43.57,43,43.369999,2798800,43.042847
"2018-04-02",43.330002,43.450001,41.91,42.27,3020100,41.951145
"2018-04-03",42.470001,43.450001,42.299999,43.119999,3722000,42.794731
"2018-04-04",42.580002,44.099998,42.459999,43.900002,6910900,43.568848
"2018-04-05",44.290001,44.73,43.93,44.43,5711300,44.094849
"2018-04-06",44.200001,44.75,43.970001,44.330002,6448000,43.995605
"2018-04-09",44.610001,44.860001,44.169998,44.220001,3335200,43.886436
"2018-04-10",44.599998,44.790001,43.869999,44.139999,3727500,43.807037
"2018-04-11",43.959999,44.369999,43.919998,44.130001,1728400,43.797115
"2018-04-12",44.330002,45.41,44.220001,45.299999,4983200,44.958286
"2018-04-13",45.34,45.439999,44.900002,45.200001,3108000,44.859043
"2018-04-16",45.5,45.68,45.259998,45.470001,2811500,45.127007
"2018-04-17",45.68,45.75,45.34,45.689999,2521400,45.345345
"2018-04-18",45.779999,45.779999,45.419998,45.650002,2351400,45.305649
"2018-04-19",45.650002,46.080002,45.48,45.790001,3349300,45.444592
"2018-04-20",45.959999,46.25,45.049999,45.5,4383000,45.15678
"2018-04-23",45.560001,45.619999,45.200001,45.490002,4123200,45.146854
"2018-04-24",45.509998,45.73,44.860001,45.16,3590300,44.819344
"2018-04-25",45.139999,45.990002,44.939999,45.84,5596100,45.494213
"2018-04-26",45.830002,45.990002,45.549999,45.849998,3510400,45.504135
"2018-04-27",45.860001,46.240002,45.700001,46.049999,2691800,45.702629
"2018-04-30",46.150002,46.18,45.220001,45.380001,6682100,45.037685
"2018-05-01",45.599998,45.990002,44.779999,45.029999,4567800,44.690323
"2018-05-02",45.169998,45.459999,44.25,44.43,5756600,44.094849
"2018-05-03",44.290001,44.5,43.360001,43.599998,4873100,43.271111
"2018-05-04",43.439999,44.130001,43.349998,43.860001,4056300,43.529152
"2018-05-07",43.830002,44.02,43.450001,43.689999,6399000,43.360432
"2018-05-08",43.77,44.650002,43.630001,43.950001,4788300,43.618473
"2018-05-09",44.119999,44.169998,43.639999,43.700001,3332100,43.370358
"2018-05-10",43.849998,44.23,43.720001,43.900002,2778900,43.568848
"2018-05-11",43.91,44.330002,43.830002,43.98,3195200,43.648243
"2018-05-14",44.099998,44.560001,44.049999,44.419998,4516500,44.084923
"2018-05-15",44.290001,44.720001,44.16,44.41,4534200,44.075001
"2018-05-16",44.32,44.75,44.209999,44.52,3497200,44.52
"2018-05-17",44.700001,45.220001,44.490002,44.91,3929900,44.91
"2018-05-18",44.650002,45.16,44.650002,45.02,3560600,45.02
"2018-05-21",45.25,45.73,44.970001,45.169998,3410200,45.169998
"2018-05-22",45.32,45.400002,44.810001,44.91,2081800,44.91
"2018-05-23",44.73,44.900002,44.459999,44.799999,2486900,44.799999
"2018-05-24",44.790001,44.889999,44.380001,44.810001,4673100,44.810001
"2018-05-25",44.68,44.880001,44.32,44.549999,2822100,44.549999
"2018-05-29",44.32,44.439999,43.669998,43.790001,4030000,43.790001
"2018-05-30",43.950001,44.32,43.619999,44.279999,3108300,44.279999
"2018-05-31",44.279999,44.349998,43.52,43.720001,4009700,43.720001
"2018-06-01",43.84,44.02,43.639999,43.82,4236400,43.82
"2018-06-04",44.130001,44.389999,43.98,44.09,2322700,44.09
"2018-06-05",44.349998,44.540001,44.18,44.23,3906800,44.23
"2018-06-06",44.220001,44.790001,43.84,44.790001,5713100,44.790001
"2018-06-07",44.599998,45.099998,44.5,44.689999,3709700,44.689999
"2018-06-08",44.689999,44.939999,44.540001,44.849998,2307500,44.849998
"2018-06-11",44.950001,45.669998,44.950001,45.509998,3190800,45.509998
"2018-06-12",45.549999,45.639999,45.02,45.099998,2446000,45.099998
"2018-06-13",45.16,45.299999,44.900002,45.279999,2922400,45.279999
"2018-06-14",45.57,45.779999,45.119999,45.240002,3159000,45.240002
"2018-06-15",45.099998,46.099998,45,46.029999,7740400,46.029999
"2018-06-18",45.650002,46.27,45.369999,46.189999,3561300,46.189999
"2018-06-19",45.93,46.16,45.48,46.07,3737700,46.07
"2018-06-20",46.18,46.41,45.919998,46.169998,2455500,46.169998
"2018-06-21",46.209999,46.310001,45.880001,46,3685300,46
"2018-06-22",46.360001,46.779999,46.139999,46.529999,7585600,46.529999
"2018-06-25",46.529999,46.779999,46.07,46.259998,2174400,46.259998
"2018-06-26",46.209999,46.650002,46.130001,46.23,2419300,46.23
"2018-06-27",46.200001,46.790001,45.950001,46.27,3368900,46.27
"2018-06-28",46.27,46.540001,45.990002,46.189999,3425400,46.189999
