"","open","high","low","close","volume","adjusted"
"2018-01-02",43.790001,43.82,43.200001,43.450001,669700,42.60746
"2018-01-03",43.470001,43.599998,43.099998,43.509998,696600,42.666298
"2018-01-04",43.34,43.419998,42.68,42.82,759700,41.989677
"2018-01-05",42.709999,42.849998,42.25,42.560001,999400,41.734722
"2018-01-08",42.610001,42.91,42.490002,42.889999,822000,42.058319
"2018-01-09",42.779999,42.900002,41.959999,41.98,1002900,41.165966
"2018-01-10",41.759998,41.950001,41.16,41.459999,942200,40.656048
"2018-01-11",41.490002,41.669998,40.869999,40.950001,1040700,40.155937
"2018-01-12",40.84,41.029999,40.380001,40.619999,861900,39.83234
"2018-01-16",40.759998,41.439999,40.689999,40.709999,794800,39.920593
"2018-01-17",40.939999,41.279999,40.68,40.959999,1209800,40.165745
"2018-01-18",40.700001,40.950001,40.389999,40.580002,1301400,39.793118
"2018-01-19",40.650002,40.709999,40.360001,40.599998,960000,39.812725
"2018-01-22",41,41.43,40.810001,41.389999,1157800,40.58741
"2018-01-23",41.580002,42.349998,41.5,42.34,1052100,41.518986
"2018-01-24",42.299999,42.52,41.990002,42.09,818000,41.273834
"2018-01-25",42.029999,42.330002,41.84,42.27,788200,41.450344
"2018-01-26",42.380001,42.48,41.790001,42.099998,998900,41.283638
"2018-01-29",41.900002,41.939999,41.369999,41.450001,1301600,40.646244
"2018-01-30",41,41.48,40.93,40.950001,1081600,40.155937
"2018-01-31",40.950001,41.880001,40.900002,41.84,1100600,41.028683
"2018-02-01",41.91,42.139999,40.779999,40.799999,1483800,40.00885
"2018-02-02",40.43,40.919998,39.549999,40.549999,1829200,39.763695
"2018-02-05",40.41,40.91,39.66,39.669998,1860200,38.900757
"2018-02-06",39.299999,39.889999,38.849998,39.619999,2300000,38.85173
"2018-02-07",39.560001,40.279999,39.209999,39.209999,1042100,38.44968
"2018-02-08",39.209999,39.779999,38.189999,38.209999,1321600,37.46907
"2018-02-09",38.5,39.610001,38.310001,39.34,1448600,38.577156
"2018-02-12",39.439999,39.439999,38.220001,39.27,1428800,38.508518
"2018-02-13",39.169998,39.43,38.900002,39.279999,838700,38.518318
"2018-02-14",38.919998,39.080002,38.369999,38.700001,1063900,37.94957
"2018-02-15",38.490002,39.41,38.470001,39.369999,1709300,38.989418
"2018-02-16",39.470001,39.84,39.389999,39.689999,1491500,39.306324
"2018-02-20",39.34,40.009998,39.099998,39.110001,961900,38.731934
"2018-02-21",39.07,39.369999,37.970001,38,1227700,37.632664
"2018-02-22",38.150002,38.75,38.150002,38.279999,1120800,37.909954
"2018-02-23",38.48,38.91,38.27,38.880001,943000,38.504158
"2018-02-26",39,39.119999,38.669998,39.009998,740200,38.6329
"2018-02-27",38.919998,39.150002,38.25,38.43,1178200,38.058506
"2018-02-28",38.560001,39.150002,38.5,38.66,3365200,38.286285
"2018-03-01",38.490002,39.09,38.32,38.48,1380600,38.108025
"2018-03-02",38.470001,38.830002,38.240002,38.41,1132600,38.0387
"2018-03-05",38.34,38.860001,38.169998,38.759998,1305600,38.385315
"2018-03-06",38.720001,38.790001,38.189999,38.619999,1443000,38.24667
"2018-03-07",38.599998,39.060001,38.599998,38.82,1116100,38.444736
"2018-03-08",38.82,39.150002,38.700001,39,1113500,38.622997
"2018-03-09",39.029999,40,38.93,39.990002,1972600,39.603428
"2018-03-12",40,40.119999,39.619999,40.040001,1406100,39.652946
"2018-03-13",40.27,40.439999,39.889999,40.049999,864600,39.662846
"2018-03-14",40.060001,40.43,40.009998,40.299999,2191300,39.910431
"2018-03-15",40.25,40.549999,39.970001,40.259998,864700,39.870815
"2018-03-16",40.290001,40.77,40.139999,40.689999,1445700,40.296658
"2018-03-19",40.610001,40.610001,40.150002,40.459999,817400,40.068882
"2018-03-20",40.470001,40.669998,39.900002,40.110001,1521200,39.722267
"2018-03-21",40.009998,40.119999,39.52,39.790001,903900,39.405361
"2018-03-22",39.669998,40.209999,39.099998,39.110001,1174400,38.731934
"2018-03-23",39.139999,39.349998,38.400002,38.619999,1345800,38.24667
"2018-03-26",38.73,39.200001,38.709999,39.099998,771000,38.722031
"2018-03-27",39.099998,39.98,38.73,39.549999,1006800,39.167679
"2018-03-28",39.740002,40.779999,39.740002,40.580002,1302400,40.187725
"2018-03-29",40.599998,41.040001,40.529999,40.75,1451800,40.356079
"2018-04-02",40.75,40.919998,40.220001,40.48,1577000,40.088692
"2018-04-03",40.48,41.360001,40.200001,41.150002,983100,40.752216
"2018-04-04",40.93,41.450001,40.799999,41.240002,874600,40.841347
"2018-04-05",41.220001,41.299999,40.610001,41.259998,516500,40.861149
"2018-04-06",41.310001,41.529999,40.959999,41.07,880500,40.672985
"2018-04-09",41.099998,41.369999,40.900002,41.049999,859300,40.653179
"2018-04-10",41.209999,41.380001,41.009998,41.220001,636100,40.821537
"2018-04-11",41.16,41.529999,41.09,41.240002,577700,40.841347
"2018-04-12",41.290001,41.290001,40.66,40.700001,777300,40.306564
"2018-04-13",40.779999,41.049999,40.560001,40.869999,894600,40.474918
"2018-04-16",41,41.220001,40.57,40.810001,1537300,40.415501
"2018-04-17",40.810001,41.23,40.529999,40.98,1535300,40.583855
"2018-04-18",41,41.07,40.540001,40.57,988100,40.177818
"2018-04-19",40.389999,40.419998,39.75,39.889999,949000,39.504395
"2018-04-20",39.990002,40.02,39.299999,39.400002,1021300,39.019131
"2018-04-23",39.43,39.580002,39.169998,39.349998,955300,38.969612
"2018-04-24",39.450001,39.619999,39.07,39.27,1404000,38.890388
"2018-04-25",39.150002,39.650002,38.93,39.349998,1094800,38.969612
"2018-04-26",39.490002,40.5,39.380001,40.209999,1185500,39.821301
"2018-04-27",40.23,41.060001,40.150002,40.93,759100,40.53434
"2018-04-30",40.970001,41.119999,40.549999,40.599998,991700,40.207527
"2018-05-01",40.630001,41.189999,40.5,41.080002,842700,40.682892
"2018-05-02",40.93,41.02,40.43,40.700001,629200,40.306564
"2018-05-03",40.599998,41.099998,40.490002,40.66,566500,40.266949
"2018-05-04",40.619999,41.16,40.560001,41.060001,552900,40.663086
"2018-05-07",41.150002,41.259998,40.82,41.209999,633500,40.811634
"2018-05-08",41.150002,41.189999,40.639999,40.990002,897900,40.593761
"2018-05-09",40.939999,41.330002,40.869999,41.220001,1929500,40.821537
"2018-05-10",41.400002,41.57,40.869999,41.080002,1283500,40.682892
"2018-05-11",41.16,41.310001,40.799999,40.869999,432700,40.474918
"2018-05-14",40.939999,41,40.419998,40.619999,1192900,40.227337
"2018-05-15",40.290001,40.439999,39.639999,39.73,907300,39.34594
"2018-05-16",39.810001,39.849998,39.200001,39.310001,984900,38.93
"2018-05-17",39,39.25,38.540001,38.66,838900,38.66
"2018-05-18",38.669998,38.849998,38.610001,38.799999,1412100,38.799999
"2018-05-21",38.919998,39.299999,38.619999,39.110001,984900,39.110001
"2018-05-22",39.119999,39.330002,38.84,39.209999,909100,39.209999
"2018-05-23",39.310001,39.900002,39.209999,39.810001,904000,39.810001
"2018-05-24",39.849998,39.900002,39.169998,39.509998,741000,39.509998
"2018-05-25",39.619999,40.02,39.619999,39.669998,476900,39.669998
"2018-05-29",39.639999,39.93,39.34,39.790001,600200,39.790001
"2018-05-30",39.73,40.860001,39.650002,40.82,938100,40.82
"2018-05-31",40.610001,40.900002,40.41,40.830002,1023900,40.830002
"2018-06-01",40.84,41.07,40.59,41.049999,1011100,41.049999
"2018-06-04",41.169998,41.650002,40.98,41.639999,1039900,41.639999
"2018-06-05",41.779999,41.779999,41.259998,41.310001,937000,41.310001
"2018-06-06",41.209999,41.610001,41.16,41.59,909200,41.59
"2018-06-07",41.630001,41.630001,41.23,41.419998,1859700,41.419998
"2018-06-08",41.580002,41.900002,41.560001,41.700001,639900,41.700001
"2018-06-11",41.689999,41.759998,41.380001,41.450001,413100,41.450001
"2018-06-12",41.369999,41.82,41.23,41.630001,514500,41.630001
"2018-06-13",41.73,41.810001,40.689999,40.77,612000,40.77
"2018-06-14",40.950001,41.700001,40.950001,41.389999,1022100,41.389999
"2018-06-15",41.490002,41.689999,41.189999,41.259998,1248800,41.259998
"2018-06-18",41.16,41.389999,40.720001,40.950001,554300,40.950001
"2018-06-19",40.799999,41.200001,40.689999,40.75,734300,40.75
"2018-06-20",40.740002,41.639999,40.740002,41.450001,1759300,41.450001
"2018-06-21",41.599998,42.150002,41.41,42.040001,1077100,42.040001
"2018-06-22",42.169998,42.470001,41.810001,42.389999,867600,42.389999
"2018-06-25",42.490002,42.689999,42.139999,42.43,740300,42.43
"2018-06-26",42.490002,42.68,42.240002,42.349998,1735300,42.349998
"2018-06-27",42.5,42.52,41.759998,41.82,1047800,41.82
"2018-06-28",41.77,42.279999,41.75,42.16,925400,42.16
"2018-06-29",42,42.470001,41.77,42.299999,1107400,42.299999
"2018-07-02",42.259998,42.450001,41.560001,42.02,845000,42.02
"2018-07-03",42.07,42.369999,41.830002,42.099998,625400,42.099998
