"","open","high","low","close","volume","adjusted"
"2018-01-02",53.599998,54.650002,53.099998,54.130001,796200,54.130001
"2018-01-03",54.119999,54.5,51.57,51.700001,1092800,51.700001
"2018-01-04",51.799999,52.34,51.209999,51.57,741800,51.57
"2018-01-05",51.849998,52.419998,51.200001,52.330002,643900,52.330002
"2018-01-08",52.240002,52.5,51.41,52.02,621800,52.02
"2018-01-09",52.139999,52.779999,51.490002,51.529999,821100,51.529999
"2018-01-10",51.580002,52.689999,50.52,52.400002,627300,52.400002
"2018-01-11",52.549999,53.290001,52.549999,52.98,606000,52.98
"2018-01-12",53.139999,53.540001,52.639999,53.299999,788600,53.299999
"2018-01-16",53.32,54.220001,52.34,52.389999,695700,52.389999
"2018-01-17",52.369999,52.529999,51.169998,51.360001,964500,51.360001
"2018-01-18",51.23,52.849998,51.23,52.740002,1025100,52.740002
"2018-01-19",52.919998,54.110001,52.779999,53.970001,671000,53.970001
"2018-01-22",53.740002,55.349998,53.450001,55.259998,692500,55.259998
"2018-01-23",55.060001,55.48,52.400002,52.900002,845900,52.900002
"2018-01-24",52.990002,53.189999,52.380001,52.82,464700,52.82
"2018-01-25",53,53.689999,52.720001,53.16,710800,53.16
"2018-01-26",53.110001,53.110001,52.619999,53.049999,436700,53.049999
"2018-01-29",52.990002,53.639999,52.560001,53.459999,512800,53.459999
"2018-01-30",53.57,53.950001,52.380001,52.73,462100,52.73
"2018-01-31",52.849998,53.470001,51.459999,51.59,481800,51.59
"2018-02-01",51.450001,52.82,51.400002,52.560001,494200,52.560001
"2018-02-02",52.209999,52.279999,50.790001,51.080002,602800,51.080002
"2018-02-05",51.099998,51.459999,48.650002,48.91,961500,48.91
"2018-02-06",48.23,51.330002,48,51.060001,892200,51.060001
"2018-02-07",51.240002,52.290001,50.240002,50.709999,2166700,50.709999
"2018-02-08",51.060001,51.669998,50.529999,50.580002,864800,50.580002
"2018-02-09",51,51.290001,48.049999,50.939999,1135700,50.939999
"2018-02-12",51.240002,51.740002,50.93,51.099998,751700,51.099998
"2018-02-13",50.810001,51.689999,50.43,51.59,385900,51.59
"2018-02-14",51.360001,52.59,51.360001,52.540001,478200,52.540001
"2018-02-15",52.830002,53.5,52.139999,53.439999,383800,53.439999
"2018-02-16",53.490002,53.490002,52.560001,52.580002,439300,52.580002
"2018-02-20",52.75,53.709999,52.75,53.470001,361600,53.470001
"2018-02-21",53.700001,54.009998,52.189999,52.220001,447800,52.220001
"2018-02-22",52.299999,52.82,51.189999,51.470001,489800,51.470001
"2018-02-23",51.599998,52.169998,51.209999,51.990002,369800,51.990002
"2018-02-26",52.049999,53.48,51.57,53.450001,654600,53.450001
"2018-02-27",53.439999,53.959999,52.68,52.880001,874100,52.880001
"2018-02-28",53,53.959999,52.349998,52.57,1665300,52.57
"2018-03-01",51.82,53.029999,48.830002,50.509998,1735900,50.509998
"2018-03-02",50.439999,53.59,50.349998,53.389999,780300,53.389999
"2018-03-05",52.939999,54.639999,52.939999,53.25,635400,53.25
"2018-03-06",53.34,53.689999,51.779999,53,562200,53
"2018-03-07",52.360001,52.810001,51.07,52.040001,687400,52.040001
"2018-03-08",52.349998,52.540001,51.27,51.959999,631400,51.959999
"2018-03-09",52.380001,52.950001,51.619999,52.860001,370500,52.860001
"2018-03-12",52.759998,53.040001,51.950001,52.380001,651000,52.380001
"2018-03-13",52.68,52.93,51.16,51.459999,340500,51.459999
"2018-03-14",51.41,51.950001,50.610001,51.189999,571800,51.189999
"2018-03-15",51.189999,51.810001,50.73,50.779999,467300,50.779999
"2018-03-16",50.84,51.849998,50.32,50.389999,824900,50.389999
"2018-03-19",50.25,50.540001,49.470001,49.720001,686500,49.720001
"2018-03-20",49.740002,50.029999,49.119999,49.400002,529500,49.400002
"2018-03-21",49.259998,50.5,49.259998,50.040001,474600,50.040001
"2018-03-22",49.549999,50.27,49.549999,49.639999,706000,49.639999
"2018-03-23",49.66,50.380001,49.080002,49.110001,614200,49.110001
"2018-03-26",49.75,50.48,49.459999,50.330002,472500,50.330002
"2018-03-27",50.400002,51.299999,50.25,50.5,469600,50.5
"2018-03-28",50.630001,51.799999,50.290001,50.830002,610600,50.830002
"2018-03-29",50.91,52,50.75,51.700001,782500,51.700001
"2018-04-02",51.650002,52.200001,50.34,50.66,594700,50.66
"2018-04-03",51.009998,52.16,50.619999,51.470001,634900,51.470001
"2018-04-04",50.779999,51.869999,50.380001,51.779999,762900,51.779999
"2018-04-05",52.09,52.09,51.23,51.68,441000,51.68
"2018-04-06",51.459999,52.200001,50.880001,51.669998,434400,51.669998
"2018-04-09",51.91,51.91,51.290001,51.470001,512900,51.470001
"2018-04-10",52.02,52.25,51.470001,51.799999,444400,51.799999
"2018-04-11",51.41,51.939999,50.900002,51.459999,571500,51.459999
"2018-04-12",51.68,51.950001,50.790001,51.25,518400,51.25
"2018-04-13",51.27,51.549999,50.450001,50.59,362900,50.59
"2018-04-16",51.049999,52.290001,50.700001,51.740002,999900,51.740002
"2018-04-17",52.060001,52.689999,51.740002,52.200001,669900,52.200001
"2018-04-18",52.380001,52.75,51.049999,51.970001,519900,51.970001
"2018-04-19",51.950001,52.830002,51.849998,52.09,530800,52.09
"2018-04-20",52.029999,52.349998,51.439999,51.610001,359100,51.610001
"2018-04-23",51.599998,52.84,51.57,52.810001,438100,52.810001
"2018-04-24",53.049999,54.200001,52.310001,52.919998,1053200,52.919998
"2018-04-25",52.950001,54.459999,52.790001,53.93,991000,53.93
"2018-04-26",53.919998,54.32,53.040001,54.240002,726100,54.240002
"2018-04-27",54.43,54.43,53.169998,53.23,542900,53.23
"2018-04-30",53.23,53.619999,51.93,52,744400,52
"2018-05-01",52.009998,52.970001,51.959999,52.91,568800,52.91
"2018-05-02",52.619999,53.630001,52.330002,52.709999,585300,52.709999
"2018-05-03",52.34,52.77,51.240002,52.619999,707100,52.619999
"2018-05-04",52.470001,54.240002,52.240002,53.41,845400,53.41
"2018-05-07",53.540001,53.939999,52.889999,53.380001,655600,53.380001
"2018-05-08",53.59,54.220001,52.5,52.779999,517900,52.779999
"2018-05-09",52.880001,53.330002,52.459999,53.130001,673500,53.130001
"2018-05-10",55.049999,59.150002,54.950001,57.509998,2775800,57.509998
"2018-05-11",57.799999,57.799999,55.939999,56.990002,1282600,56.990002
"2018-05-14",57.240002,57.900002,56.189999,56.93,949300,56.93
"2018-05-15",56.709999,57.23,56.529999,56.68,800300,56.68
"2018-05-16",56.759998,57.799999,56.599998,57.529999,480800,57.529999
"2018-05-17",57.25,57.970001,57.009998,57.32,375900,57.32
"2018-05-18",57.290001,57.709999,56.91,57.150002,387000,57.150002
"2018-05-21",57.419998,57.810001,57,57.34,428800,57.34
"2018-05-22",57.310001,58.490002,56.939999,57.849998,1699200,57.849998
"2018-05-23",57.77,57.889999,57,57.41,507800,57.41
"2018-05-24",57.419998,58.48,57.209999,58.43,894100,58.43
"2018-05-25",58.43,59.400002,58.189999,59.349998,1234200,59.349998
"2018-05-29",59.139999,59.5,58.48,59.110001,622300,59.110001
"2018-05-30",59.119999,59.5,58.360001,58.950001,674200,58.950001
"2018-05-31",58.970001,58.970001,56.98,57.169998,753700,57.169998
"2018-06-01",57.529999,57.84,56.68,57.529999,674500,57.529999
"2018-06-04",57.57,58.16,57.32,57.52,502500,57.52
"2018-06-05",57.669998,58.34,57.400002,58.27,614700,58.27
"2018-06-06",58.540001,59.419998,57.73,59.169998,587900,59.169998
"2018-06-07",59.310001,59.919998,58.939999,59.639999,755300,59.639999
"2018-06-08",59.700001,60.310001,58.049999,60.240002,739300,60.240002
"2018-06-11",60.389999,62.73,60.009998,61.900002,813300,61.900002
"2018-06-12",62.02,62.34,61.23,61.639999,750500,61.639999
"2018-06-13",62.52,64.910004,62.119999,63.48,1925400,63.48
"2018-06-14",63.919998,67.730003,63.919998,67.540001,1796500,67.540001
"2018-06-15",67.07,69.019997,67,67.82,2191000,67.82
"2018-06-18",67.82,67.989998,66.080002,66.599998,1241700,66.599998
"2018-06-19",66.339996,67.209999,65.370003,66.220001,700100,66.220001
"2018-06-20",66.989998,67.709999,66.32,67.419998,758100,67.419998
"2018-06-21",65.769997,66.110001,63,65.019997,1607600,65.019997
"2018-06-22",65.419998,65.949997,64.379997,65.400002,1100100,65.400002
"2018-06-25",65.389999,65.93,64.400002,64.720001,658100,64.720001
"2018-06-26",63.380001,63.799999,62.330002,63.73,679200,63.73
"2018-06-27",63.810001,64.040001,62.639999,62.689999,670000,62.689999
"2018-06-28",62.490002,63.34,61.919998,63.220001,533500,63.220001
"2018-06-29",62.990002,63.689999,62.119999,62.200001,525400,62.200001
"2018-07-02",61.849998,62.439999,61.130001,61.98,496900,61.98
