"","open","high","low","close","volume","adjusted"
"2018-01-12",179.639999,182.369995,178.75,182.039993,1153200,179.859329
"2018-01-16",183.589996,183.899994,176.889999,177.309998,1618500,175.186005
"2018-01-17",177.470001,179.270004,175.660004,178.470001,1168100,176.332108
"2018-01-18",178.5,180.899994,177.229996,177.570007,752500,175.442886
"2018-01-19",178.009995,180.419998,177.039993,178.809998,1246700,176.66803
"2018-01-22",178.899994,179.289993,176.809998,177.940002,1131800,175.808456
"2018-01-23",177.270004,178.759995,176.270004,178.309998,1142100,176.174011
"2018-01-24",179.289993,180.520004,177.220001,180.309998,1537100,178.150055
"2018-01-25",179.410004,180.339996,172.410004,173.130005,1920100,171.056076
"2018-01-26",173.770004,179.929993,172.699997,179.839996,1487300,177.685684
"2018-01-29",179.539993,180.990005,177.080002,177.449997,887700,175.324326
"2018-01-30",175.990005,176.869995,171.839996,172.009995,1190600,169.949478
"2018-01-31",172.669998,173.789993,167.440002,168.699997,1458800,166.679138
"2018-02-01",168.610001,171.169998,168.220001,171.080002,1172500,169.03064
"2018-02-02",169.990005,171.050003,166.800003,167.5,1095400,165.493515
"2018-02-05",165.770004,167.619995,159.830002,160.389999,1739300,158.468689
"2018-02-06",154.520004,161.839996,154.029999,160.559998,1900200,158.636658
"2018-02-07",159.330002,164.339996,159,160.110001,1313200,158.192032
"2018-02-08",160.100006,160.899994,152.449997,152.5,1608300,150.673203
"2018-02-09",154.779999,155.639999,148.619995,153.880005,1484600,152.036682
"2018-02-12",155.639999,158.100006,154.75,155.910004,1079000,154.042358
"2018-02-13",154.779999,157.479996,153.619995,156.619995,1544600,154.743851
"2018-02-14",155.490005,160.839996,154.529999,160.550003,1068600,158.62677
"2018-02-15",161.589996,161.75,157.410004,159,909800,157.911697
"2018-02-16",158.149994,160.880005,158.080002,159.809998,769800,158.716156
"2018-02-20",158.570007,160.949997,157.649994,158.759995,771900,157.67334
"2018-02-21",159.050003,163.880005,158.490005,159.380005,988000,158.289108
"2018-02-22",160.630005,161.179993,157.729996,158.009995,784200,156.928467
"2018-02-23",158.889999,160.410004,158.509995,160.279999,771000,159.182938
"2018-02-26",161.279999,162.669998,160.449997,162.320007,662500,161.208984
"2018-02-27",162.240005,163.850006,159.710007,159.770004,1005400,158.676437
"2018-02-28",160.119995,161.380005,156.360001,156.440002,1211300,155.369232
"2018-03-01",156.330002,157.190002,152.339996,153.660004,1309400,152.608261
"2018-03-02",151.350006,152.100006,147.899994,150.910004,1661200,149.877075
"2018-03-05",149.559998,156.059998,148,155.619995,1318200,154.554825
"2018-03-06",156.320007,156.509995,154.020004,155.570007,645900,154.505188
"2018-03-07",153.929993,156.089996,153.669998,155.740005,886100,154.674026
"2018-03-08",156.410004,156.699997,154.309998,156.410004,737300,155.339432
"2018-03-09",158.009995,161.580002,157.119995,161.110001,815900,160.007263
"2018-03-12",160.899994,161.160004,159.389999,159.880005,682300,158.78569
"2018-03-13",160.839996,161.520004,158.350006,158.910004,1175000,157.822327
"2018-03-14",159.990005,159.990005,156.580002,157.009995,559900,155.935318
"2018-03-15",157.320007,157.589996,155.039993,155.389999,815700,154.326416
"2018-03-16",155.550003,158.610001,155.190002,157.100006,1525900,156.024719
"2018-03-19",156.789993,157.690002,154.830002,156.039993,582000,154.971954
"2018-03-20",156.910004,158,156.529999,157.139999,912900,156.064438
"2018-03-21",157.289993,159.949997,154.910004,157.860001,699000,156.77951
"2018-03-22",155.800003,156.479996,150.899994,151.059998,1123600,150.026047
"2018-03-23",151.179993,151.380005,144.550003,144.889999,1063500,143.898285
"2018-03-26",147.770004,149.949997,146.5,149.550003,1242500,148.526382
"2018-03-27",150.009995,151.539993,146.149994,147.309998,950500,146.301712
"2018-03-28",147.789993,148.279999,145,146.960007,1268100,145.954117
"2018-03-29",147.580002,149.699997,147.110001,147.940002,1074500,146.927414
"2018-04-02",147.589996,148.330002,140.100006,142.669998,1248100,141.693466
"2018-04-03",143.759995,145.059998,142.110001,144.699997,1157500,143.709579
"2018-04-04",141.649994,146.070007,141.649994,145.699997,918000,144.702728
