"","open","high","low","close","volume","adjusted"
"2018-01-02",17.639999,18.299999,17.51,18.200001,2276000,17.905081
"2018-01-03",18.299999,18.59,18.129999,18.530001,2112700,18.229733
"2018-01-04",18.41,18.549999,17.040001,18.200001,3580800,17.905081
"2018-01-05",18.200001,18.540001,17.99,18.280001,2288900,17.983782
"2018-01-08",18.41,18.559999,17.950001,18.309999,2417900,18.013296
"2018-01-09",18.1,18.120001,17.32,17.52,2638000,17.236099
"2018-01-10",17.5,18.74,17.440001,18.280001,2932600,17.983782
"2018-01-11",18.5,19.219999,18.139999,19.08,2311700,18.770819
"2018-01-12",19.219999,19.6,19.09,19.1,1935400,18.790497
"2018-01-16",19.209999,19.219999,18.58,18.59,1988100,18.288761
"2018-01-17",18.709999,18.969999,18.5,18.860001,1594400,18.554384
"2018-01-18",18.860001,19.040001,18.700001,18.950001,918000,18.642927
"2018-01-19",19.280001,20.08,19.280001,19.92,2789600,19.597208
"2018-01-22",20.959999,22.5,20.83,22.43,7673600,22.066534
"2018-01-23",22.639999,23.530001,22.41,23.059999,4304700,22.686325
"2018-01-24",23.09,23.09,21.4,21.85,4068400,21.495934
"2018-01-25",22.040001,22.1,21.120001,21.51,2292500,21.161442
"2018-01-26",21.66,22.48,21.290001,22.209999,1943500,21.850098
"2018-01-29",22.049999,22.440001,21.68,21.870001,1632300,21.51561
"2018-01-30",21.65,21.719999,20.98,21.34,2004600,20.994198
"2018-01-31",21.459999,21.57,20.219999,20.709999,2052400,20.374405
"2018-02-01",20.469999,21.059999,20.110001,20.52,1710900,20.187485
"2018-02-02",20.309999,21.139999,20.190001,20.540001,2705100,20.207161
"2018-02-05",20.16,21.030001,19.83,19.83,2738700,19.508665
"2018-02-06",19.309999,20.66,19.15,20.379999,3380600,20.049753
"2018-02-07",20.450001,21.700001,20.32,21.549999,3783300,21.200792
"2018-02-08",21.58,21.66,20.110001,20.129999,3116200,19.803804
"2018-02-09",20.6,20.99,19.66,20.65,2373800,20.315378
"2018-02-12",20.74,20.9,19.780001,20.190001,1409800,19.862833
"2018-02-13",20.139999,20.940001,20.129999,20.91,1486600,20.571165
"2018-02-14",20.75,22.030001,20.379999,22,2370300,21.643503
"2018-02-15",22.15,22.23,21.030001,22.09,1836300,21.732044
"2018-02-16",22.02,22.6,21.66,21.92,1802100,21.564798
"2018-02-20",21.73,22.07,21.32,21.5,1422800,21.151604
"2018-02-21",21.629999,22.049999,21.370001,21.389999,1012800,21.043386
"2018-02-22",21.57,21.91,21.139999,21.43,2548800,21.082739
"2018-02-23",21.620001,21.709999,20.459999,20.93,2569500,20.590841
