"","open","high","low","close","volume","adjusted"
"2018-01-02",24.469999,25.65,24.370001,25.620001,2551300,25.620001
"2018-01-03",25.780001,26.209999,25.43,26.110001,2195300,26.110001
"2018-01-04",26.23,27.190001,25.959999,26.639999,2419800,26.639999
"2018-01-05",26.68,26.879999,26.219999,26.67,1316800,26.67
"2018-01-08",27.200001,27.709999,27.059999,27.26,3890800,27.26
"2018-01-09",27.209999,27.35,26.42,27.25,1856400,27.25
"2018-01-10",27.25,27.49,27.16,27.389999,1542800,27.389999
"2018-01-11",27.65,29.17,27.52,29.139999,3223700,29.139999
"2018-01-12",29.32,29.389999,28.610001,28.700001,3446300,28.700001
"2018-01-16",28.75,28.9,27.42,27.73,2761900,27.73
"2018-01-17",27.860001,28.16,27.559999,27.969999,2322600,27.969999
"2018-01-18",27.93,28.629999,27.74,28.23,1700300,28.23
"2018-01-19",28.18,28.530001,27.9,28.17,1544500,28.17
"2018-01-22",28.18,28.67,27.82,28.190001,4078500,28.190001
"2018-01-23",30.059999,30.25,28.65,29.77,6676000,29.77
"2018-01-24",29.559999,29.82,28.15,28.74,2935500,28.74
"2018-01-25",28.879999,29.110001,27.559999,28.17,2386700,28.17
"2018-01-26",28.26,28.799999,27.9,28.51,1244600,28.51
"2018-01-29",28.5,29.040001,28.41,28.549999,1248900,28.549999
"2018-01-30",28.26,28.549999,27.58,27.58,1630100,27.58
"2018-01-31",27.66,28.1,26.700001,26.959999,2212200,26.959999
"2018-02-01",26.790001,27.68,26.790001,27.41,1782700,27.41
"2018-02-02",27.120001,27.17,26.110001,26.34,1754700,26.34
"2018-02-05",25.91,26.780001,25.120001,25.16,1649200,25.16
"2018-02-06",24.469999,26.15,24.23,25.860001,1989000,25.860001
"2018-02-07",25.799999,26.209999,25.549999,25.870001,2031500,25.870001
"2018-02-08",25.98,26.77,25.290001,25.4,2342800,25.4
"2018-02-09",25.860001,26.440001,24.950001,26.25,2221600,26.25
"2018-02-12",26.459999,26.91,25.879999,26.629999,1093400,26.629999
"2018-02-13",26.48,27.16,26.379999,26.92,1162000,26.92
"2018-02-14",26.68,28.24,26.299999,27.99,1993300,27.99
"2018-02-15",28.25,28.370001,27.639999,28.110001,1233900,28.110001
"2018-02-16",27.91,28.98,27.77,27.82,2292900,27.82
"2018-02-20",27.389999,27.719999,25.75,25.790001,4286700,25.790001
"2018-02-21",26.040001,26.639999,25.879999,25.9,1724100,25.9
"2018-02-22",26.33,27.030001,26.200001,26.629999,1529600,26.629999
"2018-02-23",26.809999,27.299999,26.700001,27.26,1276400,27.26
"2018-02-26",27.620001,27.620001,26.620001,26.99,1631900,26.99
"2018-02-27",26.870001,27.43,26.809999,27.030001,920200,27.030001
"2018-02-28",27.030001,27.17,25.809999,25.91,1114700,25.91
"2018-03-01",26.08,26.809999,25.379999,25.610001,2132800,25.610001
"2018-03-02",26.700001,26.85,25.290001,26.59,2357700,26.59
"2018-03-05",26.24,27.18,26.139999,27,1688300,27
"2018-03-06",27.15,27.85,26.85,27.709999,1321200,27.709999
"2018-03-07",27.32,28.1,27.27,27.780001,1185100,27.780001
"2018-03-08",27.700001,27.75,26.940001,27.58,1037700,27.58
"2018-03-09",27.93,28.290001,27.709999,28.24,1585200,28.24
"2018-03-12",28.26,28.77,28.07,28.6,1332900,28.6
"2018-03-13",28.559999,28.809999,27.969999,28.049999,908000,28.049999
"2018-03-14",28.280001,28.42,27.450001,27.549999,813900,27.549999
"2018-03-15",27.540001,27.59,26.84,27.02,872700,27.02
"2018-03-16",27.07,27.790001,26.83,27.08,2008900,27.08
"2018-03-19",26.860001,26.950001,26.08,26.6,1546500,26.6
"2018-03-20",26.26,26.389999,25.559999,25.84,2305400,25.84
"2018-03-21",25.940001,26.33,25.639999,25.75,1703100,25.75
"2018-03-22",25.299999,25.49,24.120001,24.139999,2204400,24.139999
"2018-03-23",24.290001,24.299999,23.299999,23.35,2213900,23.35
"2018-03-26",23.76,24,22.99,23.620001,1699300,23.620001
"2018-03-27",23.77,23.92,22.940001,23.360001,2355500,23.360001
"2018-03-28",23.360001,23.360001,22.700001,22.790001,2019600,22.790001
"2018-03-29",23.15,23.93,23.09,23.68,2920700,23.68
"2018-04-02",23.5,23.9,22.93,23.370001,2164200,23.370001
"2018-04-03",23.610001,24.15,23.450001,23.68,1876200,23.68
"2018-04-04",23.030001,23.98,23,23.93,1266100,23.93
"2018-04-05",24.27,24.940001,24.27,24.75,905000,24.75
"2018-04-06",24.360001,24.67,23.690001,23.85,1841900,23.85
"2018-04-09",24.01,24.879999,24.01,24.35,1550400,24.35
"2018-04-10",24.92,25.41,24.540001,25.200001,1683300,25.200001
"2018-04-11",24.879999,25.26,24.799999,24.959999,838700,24.959999
"2018-04-12",25.120001,25.42,25.01,25.110001,838800,25.110001
"2018-04-13",25.73,26.67,25.51,25.75,2626500,25.75
