"","open","high","low","close","volume","adjusted"
"2018-01-02",178.589996,179.199997,177,177.240005,594800,174.096039
"2018-01-03",177.759995,178,176.639999,177.789993,515500,174.636261
"2018-01-04",177.240005,177.770004,174.520004,174.610001,517800,171.51268
"2018-01-05",174.580002,174.600006,173.119995,174.259995,678200,171.168884
"2018-01-08",173.839996,174.809998,173.300003,174.389999,546300,171.296585
"2018-01-09",174.300003,174.710007,172.589996,173.070007,515400,169.999985
"2018-01-10",172.369995,173,169.729996,170.960007,604200,167.927429
"2018-01-11",171.610001,172.300003,169.550003,169.770004,468100,166.75853
"2018-01-12",169.779999,170.169998,167.509995,168.229996,494100,165.245834
"2018-01-16",168.520004,171.520004,168.520004,169.029999,613700,166.031647
"2018-01-17",170.119995,170.229996,169.009995,169.910004,534800,166.896042
"2018-01-18",169.080002,170.080002,167.089996,167.789993,639500,164.813644
"2018-01-19",168.199997,168.710007,167.669998,168.699997,722100,165.707504
"2018-01-22",168.669998,170.190002,168.240005,170.100006,629000,167.082687
"2018-01-23",170.5,172.740005,170.479996,172.690002,757800,169.626724
"2018-01-24",172.580002,173.020004,171.300003,171.800003,567900,168.752518
"2018-01-25",171.820007,172.320007,168.649994,170.179993,682800,167.161255
"2018-01-26",170.720001,170.720001,168.380005,170.089996,550600,167.072861
"2018-01-29",169.539993,169.589996,167.820007,168.25,395300,165.265488
"2018-01-30",167.960007,168.690002,166.850006,166.869995,560300,163.909973
"2018-01-31",166.779999,170.419998,166.210007,170.399994,1184100,167.37735
"2018-02-01",169.910004,171.820007,163.800003,164.110001,1403700,161.198929
"2018-02-02",158.679993,164.529999,158.679993,163.960007,1754200,161.051605
"2018-02-05",163.880005,165.669998,158.820007,159.020004,1469400,156.199219
"2018-02-06",157.410004,161.360001,156.009995,160.25,1879800,157.40741
"2018-02-07",159.839996,162.520004,158.210007,158.279999,1153900,155.472336
"2018-02-08",158.520004,161.199997,154.820007,154.940002,1479900,152.191589
"2018-02-09",156,160.690002,154.940002,159.610001,1348700,156.778763
"2018-02-12",160.020004,160.669998,155.740005,158.75,1427400,155.934006
"2018-02-13",157.770004,160.320007,157.639999,159.399994,1109200,156.572464
"2018-02-14",157.949997,159.070007,157.25,158.919998,874700,156.100983
"2018-02-15",159.570007,161.619995,159.179993,161.100006,799600,158.242325
"2018-02-16",161.339996,163,160.509995,162.570007,877800,159.686249
"2018-02-20",161.919998,163.649994,160.330002,160.419998,894200,157.574387
"2018-02-21",159.919998,160.669998,155.740005,156.020004,1011200,153.252426
"2018-02-22",156.660004,158.139999,156.449997,157.119995,884200,154.332916
"2018-02-23",157.929993,160.100006,156.970001,160.009995,520200,157.171661
"2018-02-26",160.419998,160.720001,158.970001,160.149994,603100,157.309174
"2018-02-27",159.660004,160.110001,155.710007,156.080002,949800,153.311371
"2018-02-28",156.080002,157.399994,155.449997,156.020004,1442100,153.252426
"2018-03-01",155.179993,157.910004,154.149994,155.050003,1268100,152.299637
"2018-03-02",154.899994,155.580002,152.919998,153.899994,902800,151.170029
"2018-03-05",153.089996,156.740005,152.649994,156.080002,1094300,153.311371
"2018-03-06",156.029999,156.589996,153.710007,155.960007,853900,153.193497
"2018-03-07",155.789993,158.630005,155.520004,158.110001,914700,155.305359
"2018-03-08",158.240005,159.619995,157.429993,159.5,714800,156.6707
"2018-03-09",159.610001,161.419998,158.820007,161.419998,635300,158.556641
"2018-03-12",161.059998,162,160.259995,161.539993,738700,158.674515
"2018-03-13",162.460007,162.970001,161.100006,161.520004,593100,158.654877
"2018-03-14",161.839996,163.490005,161.630005,163.470001,798400,160.570282
"2018-03-15",163.220001,164.139999,162.770004,163.669998,882100,160.766739
"2018-03-16",164.029999,166.020004,163.380005,165.75,1442200,162.80983
"2018-03-19",165.580002,165.630005,163.800003,165.089996,829800,162.161545
"2018-03-20",164.949997,166.149994,163.559998,164.309998,1096700,161.395386
"2018-03-21",164.270004,165.720001,162.630005,163.240005,675900,160.344376
"2018-03-22",162.529999,164.229996,159.960007,160.259995,1073300,157.417221
"2018-03-23",160.300003,160.929993,157.630005,158.009995,810300,155.207123
"2018-03-26",159.089996,159.589996,157.589996,158.830002,550500,156.012589
"2018-03-27",158.740005,162.75,156.399994,160.639999,741600,157.790482
"2018-03-28",160.520004,164.509995,159.979996,164.050003,842100,162.628189
"2018-03-29",164.479996,165.440002,161.220001,164.460007,842900,163.034637
"2018-04-02",164.300003,164.649994,161.339996,162.660004,668300,161.250244
"2018-04-03",162.720001,165.389999,161.509995,164.960007,670500,163.530304
"2018-04-04",163.949997,166.669998,163.5,166.020004,635300,164.581116
"2018-04-05",166.169998,166.369995,164.210007,166.229996,591800,164.789291
"2018-04-06",166.820007,167.520004,165.399994,166,600800,164.561295
"2018-04-09",166.199997,166.779999,164.589996,165.419998,470000,163.986313
"2018-04-10",166.270004,167,165.330002,166.789993,588600,165.344437
"2018-04-11",166.380005,167.960007,165.820007,166.029999,847400,164.591034
"2018-04-12",166.240005,166.240005,164.539993,165.199997,663600,163.768219
"2018-04-13",165.279999,166.740005,164.550003,166.529999,568500,165.0867
"2018-04-16",166.869995,168.229996,165.770004,166,604500,164.561295
"2018-04-17",166.320007,167.660004,165.529999,166.970001,628000,165.522888
"2018-04-18",167.190002,167.520004,165.789993,165.949997,617800,164.511719
"2018-04-19",165.5,165.740005,161.779999,162.539993,669400,161.131271
"2018-04-20",162.910004,162.910004,160.419998,160.869995,1129800,159.475739
"2018-04-23",161.389999,161.779999,160.119995,161,602300,159.60463
"2018-04-24",161.389999,162.580002,160.669998,161.899994,840600,160.496811
"2018-04-25",161.360001,162.619995,160.289993,161.789993,773500,160.387772
"2018-04-26",160.320007,163.630005,157.899994,161.580002,766500,160.179596
"2018-04-27",161.100006,164.960007,161.100006,164.330002,476000,162.905762
"2018-04-30",164.800003,165.479996,162.470001,163,748200,161.587296
"2018-05-01",163.149994,164.970001,162.369995,164.550003,529200,163.123856
"2018-05-02",163.820007,164.410004,162.479996,162.619995,749500,161.210571
"2018-05-03",162.080002,164.440002,161.539993,162.850006,408700,161.438599
"2018-05-04",162.550003,164.759995,162.440002,164.350006,510800,162.925598
"2018-05-07",164.970001,165.399994,163.789993,165.199997,340400,163.768219
"2018-05-08",164.940002,164.940002,163.699997,164.470001,678800,163.044556
"2018-05-09",164.830002,165.820007,164.070007,165.720001,481800,164.283722
"2018-05-10",166.690002,167.880005,165.800003,167.699997,778900,166.246552
"2018-05-11",168.220001,168.309998,166.139999,166.380005,615900,164.938004
"2018-05-14",166.339996,166.550003,163.539993,164.539993,380500,163.113937
"2018-05-15",163.809998,163.940002,160.330002,160.649994,749200,159.257645
"2018-05-16",161.059998,161.520004,158.820007,159.5,689900,158.11763
"2018-05-17",159.25,159.960007,158.169998,158.520004,729200,157.146118
"2018-05-18",158.690002,159.110001,157.029999,157.759995,627000,156.3927
"2018-05-21",158.309998,159.529999,156.929993,158.770004,890200,157.393951
"2018-05-22",158.860001,159.589996,158.059998,159.25,819100,157.869797
"2018-05-23",159.660004,162.570007,159.070007,161.490005,1024700,160.090378
"2018-05-24",161.639999,161.839996,159.449997,160.720001,860500,159.327057
"2018-05-25",161.130005,162.610001,160.929993,161.759995,462200,160.358032
"2018-05-29",161.289993,162.270004,160.5,161.470001,626500,160.070557
"2018-05-30",160.940002,166.479996,160.630005,165.860001,749500,164.422501
"2018-05-31",164.220001,165.75,163.210007,165.539993,1244100,164.10527
"2018-06-01",165.559998,167.429993,164.309998,167.110001,687300,165.661667
"2018-06-04",167.729996,169,167.009995,169,734300,167.535294
"2018-06-05",169.509995,169.699997,166.830002,166.899994,811600,165.453476
"2018-06-06",166.619995,167.970001,165.520004,167.429993,618700,165.978882
"2018-06-07",167.619995,168.059998,166.5,166.860001,485400,165.413834
"2018-06-08",167.5,168.539993,166.759995,167.820007,384400,166.365524
