"","open","high","low","close","volume","adjusted"
"2018-01-02",115.150002,115.68,114.75,115.68,401800,114.663269
"2018-01-03",115.830002,116.169998,115.379997,116.010002,640600,114.990372
"2018-01-04",116.419998,117.120003,116.220001,116.779999,534000,115.753601
"2018-01-05",117.080002,118.519997,116.82,118.160004,437100,117.121475
"2018-01-08",118.139999,119.220001,118.040001,118.599998,664300,117.55761
"2018-01-09",118.720001,119.290001,118.489998,118.910004,481600,117.864883
"2018-01-10",118.790001,119.050003,117.75,118.589996,347600,117.547691
"2018-01-11",118.889999,119.639999,118.510002,119.57,324300,118.519081
"2018-01-12",119.919998,120.32,119.07,119.349998,498600,118.30101
"2018-01-16",119.529999,120,116.919998,117.379997,620600,116.348328
"2018-01-17",118.050003,119.68,117.650002,118.879997,483000,117.835144
"2018-01-18",119.949997,121.260002,119.059998,120.629997,583100,119.569763
"2018-01-19",121.43,123.199997,120.800003,121.339996,685700,120.273521
"2018-01-22",121.339996,121.739998,120.260002,120.730003,532600,119.668892
"2018-01-23",120.410004,120.410004,119.599998,119.739998,543300,118.687584
"2018-01-24",120.139999,120.300003,119.470001,120.059998,501900,119.004768
"2018-01-25",120.440002,121.559998,120.230003,120.959999,520800,119.896858
"2018-01-26",121.400002,121.669998,120.540001,121.019997,426600,119.956329
"2018-01-29",120.75,121.169998,118.550003,118.669998,661600,117.626991
"2018-01-30",118.309998,118.809998,117.32,117.330002,1039000,116.298767
"2018-01-31",121.279999,123.669998,120,122.68,1671400,121.601746
"2018-02-01",119.599998,121.440002,118.050003,120.360001,1290800,119.302139
"2018-02-02",119.910004,120.529999,117.519997,117.629997,923300,116.59613
"2018-02-05",116.790001,118.290001,113.760002,113.809998,1137300,112.8097
"2018-02-06",111.650002,114.639999,111.480003,114.239998,1320500,113.235924
"2018-02-07",114.220001,116.839996,114.220001,114.779999,852600,113.771179
"2018-02-08",114.629997,114.879997,110.75,110.769997,789000,109.796417
"2018-02-09",111.779999,112.260002,108.830002,111.459999,982200,110.480362
"2018-02-12",112.690002,116.379997,112.660004,115.650002,988400,114.633537
"2018-02-13",115.239998,117.199997,114.849998,116.879997,618200,115.852722
"2018-02-14",116.309998,118.290001,115.889999,118.120003,633300,117.081825
"2018-02-15",118.669998,119.559998,117.610001,119.529999,596500,118.479431
"2018-02-16",119.309998,119.720001,118.660004,118.800003,642500,117.755852
"2018-02-20",118.110001,118.660004,116.779999,117.080002,548700,116.050964
"2018-02-21",117.080002,119.169998,116.830002,116.919998,455500,115.892372
"2018-02-22",117.599998,118.690002,116.989998,118.239998,494100,117.200768
"2018-02-23",118.379997,119.209999,117.68,119.129997,456700,118.082947
"2018-02-26",119.620003,120.410004,118.290001,120.110001,412000,119.054337
"2018-02-27",120.330002,120.389999,118.900002,118.910004,406400,117.864883
"2018-02-28",119.110001,119.559998,118.07,118.150002,587100,117.111565
"2018-03-01",118.209999,118.480003,114.779999,115.940002,648400,114.92099
"2018-03-02",115.25,115.879997,114.019997,115.160004,665700,114.14785
"2018-03-05",114.370003,115.199997,113.470001,114.790001,770800,113.781097
"2018-03-06",114.730003,115.029999,112.489998,114.519997,1305900,113.960213
"2018-03-07",113.860001,116.209999,112.93,115.790001,700400,115.224007
"2018-03-08",115.910004,116.940002,114.769997,115.5,518700,114.935425
"2018-03-09",116,117.620003,114.889999,117.330002,614700,116.756477
"2018-03-12",117.279999,117.559998,116.360001,116.519997,507300,115.950432
"2018-03-13",116.769997,117.480003,115.699997,115.910004,553800,115.343422
"2018-03-14",116.339996,116.489998,114.330002,114.830002,558300,114.2687
"2018-03-15",115.059998,115.059998,113.519997,114.150002,585700,113.592026
"2018-03-16",112.889999,112.889999,110.550003,111.629997,1581500,111.084335
"2018-03-19",111.32,111.900002,110.410004,110.82,1043400,110.278297
"2018-03-20",109.919998,111.279999,109.720001,110.760002,1169200,110.218597
"2018-03-21",109.739998,111.459999,109.739998,110.139999,782700,109.601624
"2018-03-22",108.919998,109.470001,105.790001,105.919998,1096700,105.402252
"2018-03-23",105.870003,105.980003,103.010002,103.059998,987500,102.556229
"2018-03-26",104.059998,106.480003,104.059998,105.760002,812400,105.243034
"2018-03-27",106.330002,106.550003,103.910004,104.449997,900500,103.93943
"2018-03-28",104.580002,105.529999,102.550003,104.050003,867600,103.541397
"2018-03-29",104.620003,107.029999,104.620003,106.25,583200,105.730637
"2018-04-02",106.110001,106.459999,102.790001,103.870003,592800,103.362274
"2018-04-03",104.099998,105.230003,103.629997,104.559998,868400,104.048897
"2018-04-04",103.160004,106.419998,102.660004,106.209999,1092800,105.690834
"2018-04-05",106.699997,106.919998,105.360001,106.07,928200,105.551514
"2018-04-06",105.419998,105.989998,102.440002,103.199997,963500,102.695541
"2018-04-09",103.970001,105.18,103.510002,103.900002,552500,103.392128
"2018-04-10",105.379997,107.190002,105.150002,106.349998,609000,105.830147
"2018-04-11",105.440002,106.230003,104.919998,105.290001,457800,104.77533
"2018-04-12",105.599998,106.07,105.169998,105.489998,531800,104.97435
"2018-04-13",105.970001,106.050003,104.269997,104.800003,490800,104.287727
"2018-04-16",105.529999,106.419998,105.120003,105.980003,571900,105.46196
"2018-04-17",106.970001,107.800003,106.370003,107.68,890600,107.153648
"2018-04-18",108,108.93,107.480003,108.199997,1053600,107.671104
"2018-04-19",108.279999,108.709999,107.260002,107.690002,719900,107.163605
"2018-04-20",108.029999,108.110001,106.309998,107.120003,634100,106.59639
"2018-04-23",107.25,107.809998,106.75,107.010002,505000,106.486923
"2018-04-24",107.220001,107.220001,103.769997,105.400002,759100,104.884796
"2018-04-25",104.199997,108.559998,101.669998,106.669998,1317300,106.148582
"2018-04-26",108.82,108.82,106.050003,106.209999,656700,105.690834
"2018-04-27",106.260002,106.739998,104.660004,104.849998,1063500,104.337479
"2018-04-30",105.089996,106.849998,104.779999,104.809998,644400,104.297676
"2018-05-01",104.599998,105.599998,103.989998,105.470001,981100,104.954453
"2018-05-02",105.360001,105.650002,103.940002,104.150002,735100,103.640907
"2018-05-03",103.510002,104.940002,102.400002,104.220001,612700,103.710564
"2018-05-04",103.910004,107.059998,103.910004,105.730003,774400,105.213181
"2018-05-07",105.940002,106.779999,105.239998,105.650002,444300,105.133575
"2018-05-08",105.769997,106.25,105.080002,105.5,720200,104.984306
"2018-05-09",105.870003,106.489998,104.669998,106.209999,661600,105.690834
"2018-05-10",106.5,107.900002,106.379997,107.720001,665000,107.193451
"2018-05-11",107.93,109,107.419998,107.669998,757800,107.143692
"2018-05-14",107.919998,108.68,107.309998,108.190002,771600,107.661156
"2018-05-15",108,108.300003,105.849998,106.339996,671400,105.82019
"2018-05-16",106.519997,108.419998,106.339996,107.889999,595200,107.362617
"2018-05-17",107.739998,108.519997,107.339996,108.190002,581400,107.661156
"2018-05-18",108.339996,109.660004,108.300003,109.099998,895300,108.566704
"2018-05-21",109.510002,110.75,109.5,110.660004,622300,110.119087
"2018-05-22",110.629997,111.519997,110.18,110.209999,713200,109.67128
"2018-05-23",109.589996,109.989998,107.040001,108.349998,714500,107.820374
"2018-05-24",108.459999,109.25,108.400002,108.980003,501400,108.447296
"2018-05-25",108.580002,109.120003,108.059998,108.480003,398800,107.949738
"2018-05-29",107.540001,107.730003,105.459999,106.18,468800,105.66098
"2018-05-30",106.720001,107.260002,106.139999,106.889999,536600,106.367508
"2018-05-31",107,107.029999,104.879997,105.029999,1055800,104.516602
"2018-06-01",105.889999,106.459999,105.389999,106.339996,402700,105.82019
"2018-06-04",106.550003,107.260002,105.870003,106.379997,526000,105.860001
"2018-06-05",106.129997,107.610001,105.75,107.160004,466800,107.160004
"2018-06-06",107.029999,107.029999,105.040001,106.510002,665700,106.510002
"2018-06-07",106.669998,107.029999,105.839996,106.300003,817200,106.300003
"2018-06-08",106.199997,108.18,105.989998,108.029999,583900,108.029999
"2018-06-11",108.269997,108.650002,107.709999,107.709999,423800,107.709999
"2018-06-12",107.970001,108.010002,106.650002,107.410004,395200,107.410004
"2018-06-13",107.5,107.970001,106.519997,106.559998,464000,106.559998
"2018-06-14",107.050003,107.080002,105.870003,106.269997,626800,106.269997
"2018-06-15",105.900002,106.089996,104.940002,105.940002,933100,105.940002
"2018-06-18",105.610001,105.839996,105,105.129997,541000,105.129997
"2018-06-19",104.370003,104.370003,101.870003,102.07,952700,102.07
"2018-06-20",102.199997,102.199997,101,101.550003,699100,101.550003
"2018-06-21",101.480003,101.540001,100.010002,100.220001,679900,100.220001
"2018-06-22",100.669998,100.989998,99.940002,100.25,622100,100.25
"2018-06-25",100.019997,102.120003,100.019997,101.919998,897800,101.919998
"2018-06-26",101.849998,103.160004,101.510002,101.599998,757700,101.599998
"2018-06-27",101.629997,102.580002,100.309998,100.32,883300,100.32
"2018-06-28",100.360001,101.080002,99.660004,100.639999,543600,100.639999
"2018-06-29",100.919998,103.07,100.919998,102.099998,597400,102.099998
"2018-07-02",101.519997,101.660004,99.760002,100.550003,609600,100.550003
