"","open","high","low","close","volume","adjusted"
"2018-01-02",176.399002,184.100006,175.699997,183.649994,29916900,183.649994
"2018-01-03",185.190002,185.634995,181.399994,184,20121900,184
"2018-01-04",185.899994,187.746994,184.429993,185.710007,19473800,185.710007
"2018-01-05",187.169998,190.75,186.300995,190.699997,18168300,190.699997
"2018-01-08",190.460007,191.660004,189.070007,190.330002,16230100,190.330002
"2018-01-09",191.130005,192.490005,188,190.800003,19495100,190.800003
"2018-01-10",188.100006,190.389999,186.580002,189.789993,17943800,189.789993
"2018-01-11",189.729996,190.429993,188.100006,188.75,12400400,188.75
"2018-01-12",189.910004,190.199997,187.25,187.789993,11789600,187.789993
"2018-01-16",190.399994,191.740005,181.75,182.399994,27428500,182.399994
"2018-01-17",183.300003,184.800003,179.320007,183.830002,21311600,183.830002
"2018-01-18",184.279999,185.845001,182.690002,184.399994,14190700,184.399994
"2018-01-19",185.149994,185.238998,182.800003,184.050003,15349300,184.050003
"2018-01-22",184.975006,185.039993,181.679993,184.020004,16016300,184.020004
"2018-01-23",185.279999,192.399994,183.539993,192.279999,31305900,192.279999
"2018-01-24",194.710007,198.860001,192.399994,195.529999,34497300,195.529999
"2018-01-25",196.339996,199.589996,194.100006,198.330002,23421600,198.330002
"2018-01-26",200.330002,205.229996,199.210007,205.220001,23768600,205.220001
"2018-01-29",204.830002,205.690002,201.820007,203.009995,21908600,203.009995
"2018-01-30",198.679993,202.539993,196.490005,199.660004,23377500,199.660004
"2018-01-31",202.820007,206.199997,202.800003,204.289993,26982500,204.289993
"2018-02-01",192.75,199.490005,191.139999,192.220001,52628900,192.220001
"2018-02-02",194.789993,195.679993,186.800003,187.309998,32233900,187.309998
"2018-02-05",183.699997,190.470001,179.899994,180.529999,31084000,180.529999
"2018-02-06",174.720001,185.589996,174.169998,185.169998,35804500,185.169998
"2018-02-07",183.5,186.830002,180.300003,180.300003,19672100,180.300003
"2018-02-08",182.270004,183.100006,171.389999,173.699997,32051300,173.699997
"2018-02-09",175.119995,177.615997,168.880005,176.669998,28049500,176.669998
"2018-02-12",180.440002,180.789993,175.085999,177.440002,18280300,177.440002
"2018-02-13",177.419998,182.149994,177,179.25,15507000,179.25
"2018-02-14",179.220001,186.929993,178.899994,186.759995,21047400,186.759995
"2018-02-15",189.25,189.559998,184.431,187.449997,14361100,187.449997
"2018-02-16",186.75,188.270004,183.539993,183.679993,16114100,183.679993
"2018-02-20",183.669998,188.830002,183,187.190002,14854900,187.190002
"2018-02-21",189.369995,193.169998,188.460007,188.820007,22071600,188.820007
"2018-02-22",190.199997,190.740005,187.770004,188.75,12282800,188.75
"2018-02-23",190.179993,193.404999,189.949997,193.289993,16937300,193.289993
"2018-02-26",194.460007,195.149994,190.649994,194.190002,19463100,194.190002
"2018-02-27",192.589996,193.567001,187.210007,188.259995,23218500,188.259995
"2018-02-28",187.25,188.240005,185,186.139999,19367600,186.139999
"2018-03-01",186.179993,187.479996,180.050003,181.990005,17286300,181.990005
"2018-03-02",178.009995,180.229996,175.449997,179.759995,18909100,179.759995
"2018-03-05",179.410004,181.949997,177.070007,181.600006,15656700,181.600006
"2018-03-06",185.190002,188.009995,184.820007,187.369995,17856100,187.369995
"2018-03-07",184.369995,189.070007,184.320007,189.050003,13728900,189.050003
"2018-03-08",189.050003,190.229996,186.570007,187.179993,14331400,187.179993
"2018-03-09",189.639999,190.699997,188.009995,190.550003,14208400,190.550003
"2018-03-12",192.300003,194.399994,190.899994,192.740005,17826200,192.740005
"2018-03-13",193.880005,194.25,187.389999,188.410004,14826700,188.410004
"2018-03-14",190.289993,193.630005,190.220001,192.559998,20032300,192.559998
"2018-03-15",198.440002,201.5,196.520004,199.059998,33504600,199.059998
"2018-03-16",198.399994,200.380005,197.259995,200.279999,26948700,200.279999
"2018-03-19",198,198.429993,192.800995,194.529999,19681400,194.529999
"2018-03-20",194.949997,199.210007,194.539993,198.949997,11952000,198.949997
"2018-03-21",198.800003,198.880005,194.570007,195.300003,12047300,195.300003
"2018-03-22",190.75,192.389999,184.600006,184.649994,25355700,184.649994
"2018-03-23",186.850006,187.139999,180.401001,181.199997,18714400,181.199997
"2018-03-26",187.889999,190.619995,184.320007,190.5,16758700,190.5
"2018-03-27",192.240005,192.25,180.660004,181.889999,16627900,181.889999
"2018-03-28",180.729996,183.440002,177.570007,178.910004,20081100,178.910004
"2018-03-29",180.880005,185.130005,178.619995,183.539993,16378900,183.539993
"2018-04-02",182.809998,183.509995,175.75,177.610001,16028700,177.610001
"2018-04-03",179.259995,179.580002,173,174.669998,19975100,174.669998
"2018-04-04",166.880005,172.410004,166.130005,172.070007,24573600,172.070007
"2018-04-05",175.479996,176.559998,171.169998,172.570007,18250900,172.570007
"2018-04-06",169.839996,172.270004,166.399994,167.520004,18210000,167.520004
"2018-04-09",169.75,172.720001,168.610001,169.869995,14717300,169.869995
"2018-04-10",175.100006,177.880005,173.850006,177.100006,20436200,177.100006
"2018-04-11",176.479996,178.160004,174.740005,175.360001,10170500,175.360001
"2018-04-12",175.929993,177.899994,174.559998,175.919998,11133900,175.919998
"2018-04-13",176.720001,176.800003,171.070007,172.039993,13526200,172.039993
"2018-04-16",172.009995,174.789993,171.009995,174.699997,9876200,174.699997
"2018-04-17",174.830002,179.339996,174.830002,178.699997,16285800,178.699997
"2018-04-18",178.899994,182.880005,177.639999,182.679993,16972700,182.679993
"2018-04-19",183.259995,183.630005,179.520004,181.389999,11989000,181.389999
"2018-04-20",179.360001,181.389999,177.529999,179.110001,14473100,179.110001
"2018-04-23",178.630005,179.320007,174.710007,175.570007,12033900,175.570007
"2018-04-24",177.630005,178,170.679993,173.089996,14567500,173.089996
"2018-04-25",170.520004,171.300003,166.639999,170.220001,17048000,170.220001
"2018-04-26",173.25,174.360001,172.050003,173.899994,13398000,173.899994
"2018-04-27",177.110001,178.199997,174.009995,177.160004,15062500,177.160004
"2018-04-30",178.089996,180.039993,177.050003,178.539993,14654000,178.539993
"2018-05-01",177.580002,180.320007,177.440002,179.5,10787700,179.5
"2018-05-02",180.800003,184.264008,180.110001,181.449997,20681800,181.449997
"2018-05-03",183.5,183.589996,175.770004,182.449997,26257600,182.449997
"2018-05-04",180.399994,190.600006,178.619995,188.889999,57788300,188.889999
"2018-05-07",190.410004,196.600006,190.300003,195.350006,29862200,195.350006
"2018-05-08",194.199997,197.339996,193.009995,196.309998,21856300,196.309998
"2018-05-09",195.839996,197.380005,194.5,195.429993,13780600,195.429993
"2018-05-10",196.300003,199.770004,195.160004,195.960007,21295000,195.960007
"2018-05-11",196.399994,196.460007,193.380005,194.360001,12741100,194.360001
"2018-05-14",195.899994,200,195.869995,198.639999,17627100,198.639999
"2018-05-15",195.229996,196.779999,193.860001,196.610001,12694900,196.610001
"2018-05-16",196.75,199.75,196.300003,198.110001,12887500,198.110001
"2018-05-17",196,198.429993,195.570007,196.020004,13470500,196.020004
"2018-05-18",196.429993,197.779999,194.720001,195,14242300,195
"2018-05-21",197.800003,199.789993,196.399994,197.639999,13830500,197.639999
"2018-05-22",198.300003,198.626999,195.699997,195.869995,9700100,195.869995
