"","open","high","low","close","volume","adjusted"
"2018-01-02",66.089996,68,65.82,67.169998,5571300,66.834305
"2018-01-03",67.620003,68.669998,67.239998,68.25,4259900,67.908913
"2018-01-04",68.639999,68.860001,68.010002,68.410004,3698000,68.068115
"2018-01-05",68.599998,69.349998,68.300003,69.18,2190000,68.834267
"2018-01-08",69.18,69.309998,68.699997,69.279999,2634900,68.933769
"2018-01-09",69.330002,69.650002,69.089996,69.379997,3141700,69.033264
"2018-01-10",69.07,69.239998,68.25,68.43,2074100,68.088013
"2018-01-11",68.449997,68.669998,68,68.459999,2104500,68.117859
"2018-01-12",68.620003,68.620003,68.260002,68.339996,2372000,67.998459
"2018-01-16",68.5,68.5,67.540001,67.669998,4247000,67.33181
"2018-01-17",68.019997,68.300003,67.809998,68.199997,3142000,67.859161
"2018-01-18",68.32,69.470001,68.32,69.199997,4383100,68.854156
"2018-01-19",69.360001,70.019997,69.360001,70.010002,3530500,69.660118
"2018-01-22",70.029999,70.25,69.790001,70.199997,3381200,69.849167
"2018-01-23",70.099998,70.139999,69.400002,69.599998,2344100,69.252167
"2018-01-24",69.900002,70.449997,69.699997,70.139999,2491400,69.789467
"2018-01-25",70.5,71.059998,70.339996,71.050003,2357300,70.694923
"2018-01-26",71.5,72.260002,70.730003,72.260002,2885900,71.898872
"2018-01-29",71.870003,72.489998,71.870003,72.050003,2581900,71.689926
"2018-01-30",71.529999,72.080002,71,71.75,2710100,71.391418
"2018-01-31",72.099998,72.580002,71.550003,72.029999,4320700,71.670021
"2018-02-01",69.580002,70.760002,69.160004,69.949997,5971600,69.60041
"2018-02-02",69.660004,69.940002,68.480003,68.550003,4100000,68.207413
"2018-02-05",68.339996,68.660004,65.459999,65.519997,4634300,65.192551
"2018-02-06",64.290001,67.169998,63.860001,66.669998,5225300,66.336807
"2018-02-07",66.480003,66.949997,65.480003,65.550003,3943300,65.222404
"2018-02-08",65.550003,65.699997,62.52,62.560001,4900700,62.247349
"2018-02-09",63.27,64.93,62.84,64.309998,5678000,63.988598
"2018-02-12",64.730003,65.43,64.349998,65,4232700,64.675156
"2018-02-13",64.470001,64.860001,63.84,64.629997,2871300,64.306999
"2018-02-14",64.339996,66.110001,64.199997,66.029999,3556400,65.700005
"2018-02-15",66.550003,66.760002,65.779999,66.440002,2064700,66.107956
"2018-02-16",66.309998,67.110001,66.269997,66.330002,3732200,65.998505
"2018-02-20",66.760002,67.610001,65.93,67.040001,3784200,66.704964
"2018-02-21",67.089996,68.339996,66.900002,67.050003,2517100,66.714905
"2018-02-22",67.440002,68.300003,67.110001,67.43,4542100,67.09301
"2018-02-23",67.43,68.419998,67.209999,68.360001,2079900,68.018364
"2018-02-26",68.580002,69.239998,68.18,69.139999,2493000,68.794464
"2018-02-27",69.150002,69.360001,68.690002,68.690002,1767500,68.346718
"2018-02-28",68.830002,69.330002,67.730003,67.790001,3590100,67.451218
"2018-03-01",67.599998,67.699997,65.730003,66.309998,3217600,66.134697
"2018-03-02",65.639999,66.360001,65.550003,66.279999,2824200,66.104774
"2018-03-05",65.93,67.169998,65.779999,66.849998,4767600,66.673271
"2018-03-06",67.019997,67.120003,66.489998,67.010002,2046200,66.832855
"2018-03-07",66.5,67.209999,66.25,67.019997,2840200,66.842819
"2018-03-08",67.199997,68.040001,67.099998,67.82,3553900,67.640709
"2018-03-09",68.339996,68.980003,67.82,68.889999,2438000,68.707878
"2018-03-12",68.959999,69.150002,68.440002,68.5,1976600,68.318909
"2018-03-13",68.699997,68.980003,68,68.089996,2441700,67.909988
"2018-03-14",68.389999,68.43,67.089996,67.279999,2484500,67.102135
"2018-03-15",67.470001,67.870003,67.290001,67.589996,2120900,67.411316
"2018-03-16",67.800003,68.120003,67.669998,67.889999,4669900,67.710526
"2018-03-19",67.800003,67.980003,66.25,66.760002,3247300,66.583511
"2018-03-20",66.910004,67.32,66.629997,66.910004,1837400,66.733116
"2018-03-21",66.93,67.099998,66.199997,66.459999,4014200,66.284302
"2018-03-22",65.919998,66.809998,65.510002,65.550003,3790200,65.376709
"2018-03-23",65.550003,65.709999,64.18,64.290001,2419900,64.120041
"2018-03-26",65.010002,65.599998,64.269997,65.489998,2790700,65.316864
"2018-03-27",65.75,66.139999,64.529999,64.870003,3761000,64.698509
"2018-03-28",65.019997,65.25,63.84,63.849998,3629200,63.681202
"2018-03-29",64.199997,65.889999,63.939999,65.040001,3967900,64.868057
"2018-04-02",64.919998,65.379997,62.75,63.43,2859200,63.262314
"2018-04-03",63.700001,64.199997,63.130001,64.019997,2461000,63.85075
"2018-04-04",63.259998,64.589996,62.669998,64.410004,2759600,64.239723
"2018-04-05",64.82,65.809998,64.68,65.519997,3909400,65.346786
"2018-04-06",64.980003,65.260002,63.16,63.889999,3003800,63.721096
"2018-04-09",64.489998,65.650002,64.169998,64.790001,2733400,64.618721
"2018-04-10",65.309998,66.75,65.309998,66.199997,3359600,66.024986
"2018-04-11",65.5,65.730003,64.769997,64.940002,3989500,64.768326
"2018-04-12",65.339996,66.029999,65.260002,65.769997,2229800,65.596123
"2018-04-13",66.089996,66.209999,65.360001,65.720001,2280600,65.546265
"2018-04-16",66.360001,66.809998,66.099998,66.290001,1894900,66.114754
"2018-04-17",66.68,66.940002,66.010002,66.860001,2944100,66.683243
"2018-04-18",66.849998,67.68,65.410004,67.220001,3947400,67.042297
"2018-04-19",67.099998,67.480003,66.709999,66.980003,2430000,66.802933
"2018-04-20",67.059998,67.400002,66.760002,67.050003,2890700,66.872749
"2018-04-23",67.309998,67.5,66.809998,67.18,2824300,67.002403
"2018-04-24",67.25,67.860001,65.809998,66.150002,3787500,65.975128
"2018-04-25",65.900002,66.580002,65.199997,66.519997,2914900,66.344139
"2018-04-26",68.419998,70.150002,68.419998,69.989998,5460100,69.80497
"2018-04-27",70.040001,70.580002,69.370003,70.209999,3351300,70.024391
"2018-04-30",70.18,70.800003,69.489998,69.5,4030500,69.316269
"2018-05-01",69.480003,70.43,69.269997,70.150002,3192900,69.964546
"2018-05-02",69.900002,70.879997,69.620003,70.43,3371000,70.243805
"2018-05-03",69.889999,70.059998,68.970001,69.760002,2710400,69.575584
"2018-05-04",69.379997,70.68,69.169998,70.379997,1656300,70.193939
"2018-05-07",70.519997,70.93,70.190002,70.330002,1580200,70.144073
"2018-05-08",70.150002,70.25,69.019997,69.449997,3476600,69.266396
"2018-05-09",69.559998,69.730003,68.559998,69.32,2286700,69.136742
"2018-05-10",69.970001,70.639999,69.760002,70.599998,2291600,70.413361
"2018-05-11",70.449997,70.809998,70.199997,70.519997,2215000,70.333565
"2018-05-14",70.389999,71.699997,70.220001,71.199997,2981900,71.011772
"2018-05-15",70.639999,71.050003,70.019997,70.449997,2304300,70.263756
"2018-05-16",70.43,71.379997,70.18,70.739998,2206300,70.552986
"2018-05-17",70.870003,71.050003,70.220001,70.650002,2709500,70.463226
"2018-05-18",70.739998,70.940002,70.370003,70.599998,3478400,70.413361
"2018-05-21",71.169998,72.300003,71.169998,72.099998,3227700,71.909393
"2018-05-22",72.150002,72.389999,71.559998,71.720001,2515600,71.530396
"2018-05-23",71.519997,72.379997,71.459999,72.349998,2813900,72.15873
"2018-05-24",72.349998,72.860001,71.82,72.410004,5191900,72.218575
"2018-05-25",72.43,73.040001,72.209999,72.529999,2537100,72.338257
"2018-05-29",71.93,72.190002,71.029999,71.730003,2074100,71.540375
"2018-05-30",72.080002,72.370003,71.330002,71.870003,3023600,71.68
"2018-05-31",71.669998,72.239998,70.779999,70.839996,4969800,70.839996
"2018-06-01",71.410004,72.75,71.269997,72.699997,3530300,72.699997
"2018-06-04",72.779999,74.480003,72.660004,74.199997,4398800,74.199997
"2018-06-05",74.139999,74.339996,73.489998,74.260002,4334700,74.260002
"2018-06-06",74.300003,75.360001,74.139999,75.279999,3993000,75.279999
"2018-06-07",75.279999,75.459999,73.93,74.349998,2965500,74.349998
"2018-06-08",74.330002,74.839996,74.120003,74.779999,3039600,74.779999
"2018-06-11",74.860001,75.370003,74.5,75.190002,2987200,75.190002
"2018-06-12",75.029999,75.620003,74.769997,75.349998,3591500,75.349998
"2018-06-13",75.419998,75.599998,74.459999,74.580002,2770000,74.580002
"2018-06-14",75.019997,75.5,74.730003,75.410004,2573500,75.410004
"2018-06-15",75.32,75.580002,74.660004,75.220001,3173000,75.220001
"2018-06-18",74.580002,74.800003,73.949997,74.300003,2410100,74.300003
"2018-06-19",73.669998,74.190002,73.510002,74.169998,2726900,74.169998
"2018-06-20",74.120003,74.349998,73.279999,73.330002,2371900,73.330002
"2018-06-21",73.559998,74.529999,73.370003,73.739998,2830400,73.739998
"2018-06-22",74.010002,74.860001,73.739998,74.32,3249900,74.32
"2018-06-25",74.059998,74.129997,73.019997,73.589996,3631800,73.589996
"2018-06-26",73.610001,73.910004,73.120003,73.139999,2148300,73.139999
"2018-06-27",73.449997,73.889999,72.550003,72.550003,2539700,72.550003
"2018-06-28",72.540001,74.129997,72.330002,73.800003,2833600,73.800003
