"","open","high","low","close","volume","adjusted"
"2018-01-02",43.77,43.77,43.07,43.25,2377900,42.677513
"2018-01-03",43.25,43.509998,43.060001,43.450001,2033100,42.874866
"2018-01-04",43.68,44.040001,43.25,43.299999,2110500,42.726849
"2018-01-05",43.369999,43.580002,43.060001,43.57,1973800,42.993279
"2018-01-08",43.509998,44.040001,43.369999,43.919998,2404400,43.338642
"2018-01-09",44.049999,44.560001,43.619999,43.66,2258200,43.082085
"2018-01-10",43.75,43.919998,43.240002,43.27,4639500,42.697247
"2018-01-11",43.419998,43.950001,43.029999,43.939999,2530000,43.358376
"2018-01-12",44.169998,44.669998,44.119999,44.529999,1996200,43.940571
"2018-01-16",45.77,45.900002,43.75,43.790001,4716100,43.210365
"2018-01-17",44.110001,45.189999,44.049999,44.900002,3214200,44.305672
"2018-01-18",44.880001,45.200001,44.580002,44.630001,3033200,44.039246
"2018-01-19",44.759998,45.040001,44.73,44.889999,2948000,44.295803
"2018-01-22",44.849998,45.349998,44.59,45.349998,2339800,44.749714
"2018-01-23",45.25,45.639999,45.150002,45.509998,2266600,44.907593
"2018-01-24",45.709999,45.959999,45.169998,45.52,2306200,44.917465
"2018-01-25",45.580002,45.73,44.900002,45.16,2191000,44.562233
"2018-01-26",45.34,45.900002,45.02,45.860001,3239500,45.252964
"2018-01-29",45.700001,45.869999,45.060001,45.119999,2996000,44.522762
"2018-01-30",44.639999,45.209999,42.450001,42.720001,4830500,42.15453
"2018-01-31",42.919998,42.919998,42.23,42.41,6746900,41.848633
"2018-02-01",42.09,42.450001,41.41,42.07,6795300,41.51313
"2018-02-02",41.580002,41.970001,40.669998,40.880001,3831600,40.338886
"2018-02-05",40.290001,40.959999,38.939999,38.950001,5026700,38.434433
"2018-02-06",37.68,39.830002,37.009998,39.720001,5570500,39.194237
"2018-02-07",39.459999,40.330002,39.439999,39.439999,3689000,38.917942
"2018-02-08",39.41,39.560001,37.990002,38,4718000,37.497005
"2018-02-09",38.450001,38.689999,37.060001,38.220001,4443900,37.714096
"2018-02-12",38.599998,39.349998,38.48,38.830002,3152400,38.316021
"2018-02-13",38.439999,38.970001,38.299999,38.84,3141500,38.325886
"2018-02-14",38.66,39.869999,38.509998,39.810001,3193400,39.283047
"2018-02-15",39.98,40.240002,38.560001,39.060001,5113300,38.542976
"2018-02-16",38.860001,39.529999,38.77,39.099998,4494600,38.582443
"2018-02-20",38.950001,39.259998,38.599998,38.860001,3351500,38.345623
"2018-02-21",39.110001,39.849998,38.860001,39.07,3428100,38.552845
"2018-02-22",39.380001,39.66,38.66,38.720001,3469300,38.207478
"2018-02-23",38.880001,39.32,38.639999,39.310001,3241900,38.789669
"2018-02-26",39.610001,39.849998,39.07,39.84,3368300,39.312649
"2018-02-27",39.720001,40.099998,39.16,39.16,3356100,38.641651
"2018-02-28",39.290001,39.599998,38.66,38.669998,3681800,38.158134
"2018-03-01",38.73,38.98,38.099998,38.360001,4802700,37.852242
"2018-03-02",38.110001,38.880001,37.990002,38.790001,2746700,38.276546
"2018-03-05",38.400002,39.529999,38.310001,39.380001,3244000,38.858742
"2018-03-06",39.459999,39.990002,39.060001,39.599998,3372700,39.075825
"2018-03-07",39.200001,39.529999,38.82,39.310001,2315800,38.789669
"2018-03-08",39.5,39.619999,39.07,39.52,2212500,38.996887
"2018-03-09",39.779999,40.560001,39.490002,40.459999,4139000,39.924442
"2018-03-12",40.43,40.540001,39.720001,39.830002,2956500,39.302784
"2018-03-13",40.09,40.099998,39.290001,39.419998,2756400,38.898205
"2018-03-14",39.639999,39.66,38.75,38.860001,4673600,38.345623
"2018-03-15",38.880001,39,38.400002,38.66,4205900,38.14827
"2018-03-16",38.77,39.279999,38.740002,38.990002,3801300,38.473904
"2018-03-19",38.880001,39.080002,37.849998,38.240002,2490400,37.733829
"2018-03-20",38.369999,38.540001,37.970001,38.369999,2546000,37.862106
"2018-03-21",38.369999,39.240002,38.360001,38.689999,2226100,38.177872
"2018-03-22",38.25,38.369999,37.189999,37.27,2704900,36.776669
"2018-03-23",37.5,37.59,36.57,36.650002,4543800,36.164875
"2018-03-26",37.380001,38.299999,37.130001,38.110001,4080300,37.605553
"2018-03-27",38.139999,38.459999,37.400002,37.610001,4365700,37.112167
"2018-03-28",34.59,34.720001,33.580002,34.110001,7007700,33.865597
"2018-03-29",34.349998,34.900002,34.27,34.68,5216000,34.431515
"2018-04-02",34.389999,34.549999,32.91,33.450001,4279800,33.210327
"2018-04-03",33.830002,34.240002,33.360001,33.970001,4089600,33.726601
"2018-04-04",33.32,34.470001,33.240002,34.369999,3119400,34.123734
"2018-04-05",34.299999,34.459999,33.82,34.049999,2628300,33.806026
"2018-04-06",33.619999,33.98,32.939999,33.220001,4056500,32.981976
"2018-04-09",32.939999,33.709999,32.939999,33.07,2695600,32.83305
"2018-04-10",33.490002,33.560001,33.02,33.09,3254200,32.852905
"2018-04-11",32.66,32.880001,32.41,32.48,4382200,32.247276
"2018-04-12",32.950001,33.810001,32.84,33.34,5515100,33.101116
"2018-04-13",33.619999,33.830002,33,33.150002,3536100,32.912476
"2018-04-16",33.330002,33.990002,33.259998,33.84,4681100,33.59753
"2018-04-17",33.959999,34.060001,33.529999,33.970001,4409400,33.726601
"2018-04-18",34.07,34.619999,33.91,34.049999,6075700,33.806026
"2018-04-19",34.049999,34.32,33.810001,34.169998,3466500,33.925167
"2018-04-20",34.150002,34.310001,33.599998,34.040001,4904700,33.796101
"2018-04-23",34.02,34.049999,33.439999,33.639999,3022500,33.398964
"2018-04-24",33.830002,34.02,33.09,33.310001,3703300,33.071331
"2018-04-25",33.189999,33.889999,33.169998,33.580002,3811900,33.339397
"2018-04-26",33.540001,33.959999,32.860001,33.779999,3790000,33.53796
"2018-04-27",33.830002,34.439999,33.669998,34.279999,4371600,34.034378
"2018-04-30",34.470001,34.5,33.639999,33.639999,5613500,33.398964
"2018-05-01",33.59,33.799999,32.740002,33.029999,4776000,32.793335
"2018-05-02",33.02,33.040001,32.490002,32.529999,4036900,32.296917
"2018-05-03",32.380001,32.459999,31.67,32.349998,3006500,32.118206
"2018-05-04",32.130001,33.169998,32.029999,32.860001,2348400,32.624554
"2018-05-07",32.950001,33.540001,32.740002,33.490002,4432900,33.250042
"2018-05-08",33.400002,33.560001,33.040001,33.310001,2675500,33.071331
"2018-05-09",33.279999,33.299999,32.189999,32.66,5715400,32.425987
"2018-05-10",32.689999,33.43,32.599998,33.200001,2688200,32.96212
"2018-05-11",33.299999,33.459999,33.09,33.259998,2161000,33.021687
"2018-05-14",33.32,33.779999,33.299999,33.700001,2193100,33.458534
"2018-05-15",33.139999,33.790001,33.139999,33.560001,2670900,33.319538
"2018-05-16",33.52,33.939999,33.52,33.650002,3285300,33.408894
"2018-05-17",33.68,34.310001,33.509998,34.040001,2188200,33.796101
"2018-05-18",33.98,34.299999,33.799999,34.110001,2750400,33.865597
"2018-05-21",34.279999,34.619999,34.25,34.5,3615000,34.252804
"2018-05-22",34.639999,34.779999,34.400002,34.470001,1986100,34.223019
"2018-05-23",34.189999,34.259998,33.619999,33.869999,1803600,33.627316
"2018-05-24",33.740002,33.950001,33.450001,33.919998,2065900,33.676956
"2018-05-25",33.740002,34.09,33.66,34.029999,1505500,33.786171
"2018-05-29",33.639999,33.73,32.639999,32.830002,2504200,32.594772
"2018-05-30",33.110001,33.799999,33.07,33.689999,1721500,33.448605
"2018-05-31",33.610001,33.75,33.310001,33.57,4902300,33.329468
"2018-06-01",33.98,34.360001,33.939999,34.119999,2534800,33.875526
"2018-06-04",34.169998,34.27,33.830002,33.849998,1570200,33.60746
"2018-06-05",33.759998,33.849998,33.299999,33.779999,1977500,33.53796
"2018-06-06",34,34.48,33.970001,34.470001,1829600,34.223019
"2018-06-07",34.610001,34.860001,34.200001,34.279999,2069600,34.034378
"2018-06-08",34.290001,34.450001,33.900002,34.41,2244800,34.163448
"2018-06-11",34.5,34.709999,34.290001,34.299999,2233100,34.054234
"2018-06-12",34.310001,34.400002,33.77,34.060001,3173300,33.815956
"2018-06-13",34.07,34.34,33.279999,33.349998,5073800,33.111042
"2018-06-14",33.439999,33.700001,33.09,33.150002,4434600,32.912476
"2018-06-15",33,33.970001,32.93,33.959999,7282300,33.716671
"2018-06-18",33.57,33.619999,32.950001,33.369999,3259900,33.130898
"2018-06-19",33,33.52,32.950001,33.41,2231400,33.170612
"2018-06-20",33.470001,33.560001,33.200001,33.240002,3709600,33.001831
"2018-06-21",33.169998,33.279999,32.84,32.939999,2477200,32.703979
"2018-06-22",33.130001,33.259998,32.849998,32.900002,5656600,32.664268
"2018-06-25",32.740002,32.880001,32.299999,32.73,4743200,32.495483
"2018-06-26",32.77,32.98,32.419998,32.459999,3295800,32.227417
"2018-06-27",32.509998,32.73,32.09,32.099998,3799400,31.869997
"2018-06-28",31.85,32.02,31.559999,31.799999,3299600,31.799999
"2018-06-29",32.07,32.57,32.02,32.049999,5891400,32.049999
