"","open","high","low","close","volume","adjusted"
"2018-01-02",56.330002,56.93,55.419998,55.900002,1077500,55.138481
"2018-01-03",55.919998,56.07,54.419998,54.939999,999300,54.191555
"2018-01-04",55,56.939999,54.419998,56.650002,1371800,55.878265
"2018-01-05",57.060001,58.139999,57.060001,57.939999,1230300,57.150688
"2018-01-08",58.23,59.16,57.59,57.860001,1218100,57.071777
"2018-01-09",57.970001,58.119999,56.970001,57.009998,729100,56.233356
"2018-01-10",55.700001,57.110001,55.02,56.610001,887400,55.838806
"2018-01-11",56.25,57.529999,55.799999,57.470001,1565300,56.687092
"2018-01-12",57.400002,58.630001,57.330002,57.369999,1368800,56.588455
"2018-01-16",58.049999,58.98,57.450001,57.860001,1140200,57.071777
"2018-01-17",58.349998,59.529999,57.970001,58.82,869700,58.0187
"2018-01-18",58.82,59.52,58.66,59.16,798700,58.354069
"2018-01-19",59.240002,61.23,58.889999,61.18,1078600,60.346554
"2018-01-22",61.200001,62.599998,60.900002,62.59,1503000,61.737343
"2018-01-23",62.59,63.09,61.560001,62.25,651300,61.401974
"2018-01-24",62.5,62.610001,60.959999,61.779999,731100,60.938374
"2018-01-25",62.209999,62.93,61.549999,62.139999,674300,61.293472
"2018-01-26",62.599998,63.279999,61.93,63.27,657300,62.408081
"2018-01-29",63.360001,64.419998,63.360001,64.220001,852900,63.345139
"2018-01-30",63.759998,64.400002,61.889999,61.950001,1187400,61.10606
"2018-01-31",62.040001,62.310001,60.259998,60.779999,1200600,59.951996
"2018-02-01",60.279999,60.709999,59.57,59.650002,1133100,58.837395
"2018-02-02",59.32,59.32,57.560001,57.740002,1248600,56.953415
"2018-02-05",57.139999,58.040001,55.75,55.75,1426200,54.99052
"2018-02-06",54.41,57.639999,53.009998,57.200001,1541700,56.420769
"2018-02-07",57.200001,58.52,56.91,57.959999,666800,57.170418
"2018-02-08",57.990002,58.52,56.720001,56.82,702300,56.045948
"2018-02-09",57.459999,57.68,54.740002,57.209999,1164200,56.430634
"2018-02-12",57.52,57.549999,55.830002,56.330002,1031100,55.562622
"2018-02-13",56.220001,56.889999,55.709999,55.91,777600,55.148342
"2018-02-14",55.669998,58.09,55.669998,57.790001,907900,57.002735
"2018-02-15",58.189999,58.869999,57.700001,58.75,469600,57.949654
"2018-02-16",58.459999,59.110001,56.509998,56.700001,861500,55.927582
"2018-02-20",55.5,55.919998,54.619999,55.139999,1005800,54.388832
"2018-02-21",55.48,56.220001,54.849998,54.860001,834300,54.112648
"2018-02-22",55.52,56.529999,55.419998,56.07,1187000,55.306164
"2018-02-23",56.529999,57.389999,56.119999,56.990002,852000,56.213631
"2018-02-26",57.18,57.459999,56.48,56.790001,819800,56.016357
"2018-02-27",57.419998,58.48,56.099998,56.099998,1091200,55.335754
"2018-02-28",56.509998,56.919998,55.84,56.200001,1443300,55.434391
"2018-03-01",56.290001,57.060001,55.349998,56.439999,1010000,55.67112
"2018-03-02",55.77,57.259998,54.880001,56.290001,1050100,55.523167
"2018-03-05",56.150002,56.43,54.93,55.330002,1277900,54.576244
"2018-03-06",55.299999,56.32,54.77,56.040001,1212100,55.276573
"2018-03-07",54.639999,55.57,53.380001,54.5,2562800,53.757549
"2018-03-08",54.599998,55.369999,53.509998,53.889999,2072400,53.155861
"2018-03-09",47,48.549999,46.549999,48.450001,12538100,47.78997
"2018-03-12",48.459999,49.299999,47.130001,47.360001,3401100,46.714817
"2018-03-13",47.400002,48.150002,47.18,47.470001,1972300,46.823318
"2018-03-14",47.509998,47.720001,46.099998,46.34,1588100,45.708714
"2018-03-15",46.75,46.82,46.139999,46.490002,1539600,45.85667
"2018-03-16",46.5,47.639999,46.389999,46.919998,1912900,46.280811
"2018-03-19",46.900002,47.09,45.700001,46.450001,1589300,45.817219
"2018-03-20",46.639999,47.049999,46.240002,47,2148900,46.359726
"2018-03-21",46.759998,47.07,45.68,45.740002,1406900,45.11689
"2018-03-22",45.200001,45.25,43.990002,44.009998,1922000,43.697056
"2018-03-23",44,44.209999,43.110001,43.119999,1922400,42.813385
"2018-03-26",43.75,44.07,42.959999,43.759998,1275500,43.448833
"2018-03-27",43.860001,43.860001,42.470001,42.75,1105100,42.446018
"2018-03-28",42.75,43.66,42.360001,42.41,1493300,42.108433
"2018-03-29",42.639999,43.669998,42.48,43.529999,1834300,43.22047
"2018-04-02",43.59,43.740002,42.470001,43.119999,2579400,42.813385
"2018-04-03",43.450001,43.560001,42.790001,43.279999,1214200,42.972248
"2018-04-04",42.790001,44.5,42.549999,44.349998,1580400,44.034637
"2018-04-05",44.599998,44.689999,43.720001,44.419998,1411100,44.104141
"2018-04-06",43.93,44.25,42.75,43.060001,1999600,42.753815
"2018-04-09",43.48,43.900002,42.869999,42.970001,2014200,42.664455
"2018-04-10",43.400002,43.549999,42.169998,42.279999,1597500,41.979359
"2018-04-11",42,43,41.759998,42.299999,1274200,41.999214
"2018-04-12",42.509998,43,42.330002,42.470001,959500,42.168011
"2018-04-13",42.619999,42.639999,41.709999,42.02,1407700,41.721207
"2018-04-16",41.360001,43,41.040001,42.790001,1977100,42.485733
"2018-04-17",43.23,43.919998,43.080002,43.720001,1964800,43.409122
"2018-04-18",43.740002,44.439999,43.470001,43.740002,1533300,43.428978
"2018-04-19",43.560001,43.639999,42.02,42.380001,1362700,42.078648
"2018-04-20",42.279999,42.689999,41.759998,42.040001,1533700,41.741066
"2018-04-23",42.27,42.27,41.209999,41.939999,1396600,41.641777
"2018-04-24",42.139999,42.759998,41.849998,42.27,1189600,41.969429
