"","open","high","low","close","volume","adjusted"
"2018-01-02",NA,NA,NA,NA,NA,NA
"2018-01-03",NA,NA,NA,NA,NA,NA
"2018-01-04",NA,NA,NA,NA,NA,NA
"2018-01-05",NA,NA,NA,NA,NA,NA
"2018-01-08",NA,NA,NA,NA,NA,NA
"2018-01-09",NA,NA,NA,NA,NA,NA
"2018-01-10",NA,NA,NA,NA,NA,NA
"2018-01-11",NA,NA,NA,NA,NA,NA
"2018-01-12",1898.040039,1925.97998,1890.01001,1919.400024,555300,1919.400024
"2018-01-16",1930.709961,1949.829956,1914.959961,1919.469971,604900,1919.469971
"2018-01-17",1927.550049,1958.959961,1918.680054,1949.900024,515700,1949.900024
"2018-01-18",1948.650024,1957.48999,1925.969971,1926.709961,398600,1926.709961
"2018-01-19",1931.47998,1933.800049,1901.030029,1910.209961,634500,1910.209961
"2018-01-22",1910,1926.689941,1901,1915.77002,398200,1915.77002
"2018-01-23",1927.550049,1969.359985,1924.98999,1962.939941,472000,1962.939941
"2018-01-24",1977.910034,1984.939941,1942.650024,1955.23999,405300,1955.23999
"2018-01-25",1966.880005,1976.599976,1945.469971,1949.670044,329900,1949.670044
"2018-01-26",1960.98999,1964.959961,1944.959961,1950.47998,380500,1950.47998
"2018-01-29",1942.670044,1960.459961,1921.25,1929.22998,448800,1929.22998
"2018-01-30",1907.119995,1933.130005,1900.329956,1921.530029,382300,1921.530029
"2018-01-31",1928.01001,1934.969971,1896,1912.050049,452800,1912.050049
"2018-02-01",1903.98999,1928.839966,1893.390015,1903.689941,360000,1903.689941
"2018-02-02",1890.130005,1900,1856.569946,1859.099976,513800,1859.099976
"2018-02-05",1841.300049,1872.609985,1816.5,1825.930054,548200,1825.930054
"2018-02-06",1800.01001,1864,1800.01001,1858.660034,564500,1858.660034
"2018-02-07",1847.390015,1900.369995,1836.680054,1882.680054,491200,1882.680054
"2018-02-08",1884.209961,1889.280029,1803.01001,1806.060059,677100,1806.060059
"2018-02-09",1767.97998,1824,1714.069946,1765,1137500,1765
"2018-02-12",1773.98999,1801.689941,1732.349976,1790,682300,1790
"2018-02-13",1779.22998,1804.829956,1762,1797.859985,375200,1797.859985
"2018-02-14",1784.219971,1825.829956,1773.02002,1818.410034,452400,1818.410034
"2018-02-15",1850.859985,1875.819946,1836.089966,1870.25,491300,1870.25
"2018-02-16",1874.619995,1926.869995,1868.680054,1885,559100,1885
"2018-02-20",1883.069946,1915.319946,1880.930054,1894.619995,408000,1894.619995
"2018-02-21",1913.420044,1916.040039,1880.660034,1880.680054,518700,1880.680054
"2018-02-22",1884.189941,1907.75,1870.719971,1877.140015,432300,1877.140015
"2018-02-23",1889.72998,1907.810059,1875.160034,1907.02002,555300,1907.02002
"2018-02-26",1905.949951,1923.219971,1897.660034,1905.640015,570100,1905.640015
"2018-02-27",1884,1919.75,1870.02002,1905.01001,661900,1905.01001
"2018-02-28",2051,2087.340088,2034.040039,2034.040039,1441100,2034.040039
"2018-03-01",2034.609985,2053.540039,1998.829956,2028.369995,837500,2028.369995
"2018-03-02",2002.819946,2037.869995,1995.579956,2033.790039,642400,2033.790039
"2018-03-05",2020,2077,2014.890015,2072.659912,614800,2072.659912
"2018-03-06",2075.100098,2095.870117,2058.810059,2085.51001,533100,2085.51001
"2018-03-07",2065,2127.959961,2065,2122.929932,580300,2122.929932
"2018-03-08",2137.98999,2169.149902,2130.679932,2150.080078,584400,2150.080078
"2018-03-09",2169,2177.959961,2159.070068,2170.610107,489400,2170.610107
"2018-03-12",2180,2218.100098,2174.070068,2206.090088,529700,2206.090088
"2018-03-13",2210.929932,2228.98999,2162.179932,2170,519200,2170
"2018-03-14",2175.550049,2194.580078,2162.330078,2188.899902,344500,2188.899902
"2018-03-15",2190.01001,2207.570068,2171.100098,2187.77002,336000,2187.77002
"2018-03-16",2196.189941,2198.580078,2169.77002,2171.48999,474000,2171.48999
"2018-03-19",2161.620117,2165.76001,2124.889893,2146.889893,450800,2146.889893
"2018-03-20",2139.449951,2167.689941,2138.030029,2139.110107,256800,2139.110107
"2018-03-21",2142.300049,2165.820068,2134.580078,2144.97998,297200,2144.97998
"2018-03-22",2132.889893,2154.540039,2101.830078,2113.800049,443300,2113.800049
"2018-03-23",2116.23999,2138.98999,2086.139893,2087.01001,412500,2087.01001
"2018-03-26",2111.219971,2142.379883,2079.02002,2133.709961,292700,2133.709961
"2018-03-27",2137.429932,2140.23999,2056.51001,2077.560059,428800,2077.560059
"2018-03-28",2066.97998,2083.919922,2020.699951,2054.689941,632500,2054.689941
"2018-03-29",2059.669922,2094.179932,2040.719971,2080.389893,395800,2080.389893
"2018-04-02",2070.429932,2074.01001,2009.920044,2030.859985,372300,2030.859985
"2018-04-03",2050,2079.98999,2036.069946,2067.570068,378400,2067.570068
"2018-04-04",2043.209961,2081.879883,2014.180054,2071.01001,385500,2071.01001
"2018-04-05",2077.530029,2102.459961,2071,2091.090088,320100,2091.090088
"2018-04-06",2074.899902,2095.610107,2025.540039,2033.410034,350400,2033.410034
"2018-04-09",2053.73999,2088.810059,2045,2048.73999,355500,2048.73999
"2018-04-10",2076.02002,2087.22998,2058,2077.590088,291200,2077.590088
"2018-04-11",2067.639893,2104.780029,2065.040039,2080.649902,306700,2080.649902
"2018-04-12",2094.449951,2102.649902,2082.149902,2085.810059,240300,2085.810059
"2018-04-13",2104.669922,2104.669922,2077.320068,2085.860107,262000,2085.860107
"2018-04-16",2094.110107,2117.639893,2085.77002,2096.590088,194400,2096.590088
"2018-04-17",2119.899902,2172,2112.5,2162.310059,438200,2162.310059
