"","open","high","low","close","volume","adjusted"
"2018-01-02",61.400002,61.509998,60.84,61.310001,6472700,60.523472
"2018-01-03",61.209999,61.509998,60.700001,61.360001,7433500,60.572826
"2018-01-04",61,61.82,60.779999,61.75,6403200,61.357811
"2018-01-05",61.869999,62.18,61.48,61.889999,6113400,61.496922
"2018-01-08",61.779999,62.200001,61.209999,61.91,4663700,61.516796
"2018-01-09",61.869999,62.099998,61.549999,61.849998,5156800,61.457176
"2018-01-10",61.52,62.07,61.18,62.009998,5096300,61.616158
"2018-01-11",61.990002,62.52,61.799999,62.470001,6591100,62.073238
"2018-01-12",62.75,63.220001,62.52,62.810001,5489200,62.411079
"2018-01-16",61.75,61.860001,59.419998,59.919998,14471700,59.539433
"2018-01-17",60.330002,62,60.279999,61.849998,10357400,61.457176
"2018-01-18",61.810001,61.900002,61.099998,61.830002,7904200,61.437305
"2018-01-19",62.099998,62.419998,61.560001,62.279999,7490300,61.884445
"2018-01-22",62.290001,63.43,62.02,63.279999,6748100,62.878094
"2018-01-23",62.990002,63.68,62.799999,63.43,6459900,63.027142
"2018-01-24",63.709999,64,63.139999,63.759998,6430000,63.355045
"2018-01-25",64,64.260002,63.200001,63.52,6183200,63.11657
"2018-01-26",63.93,64.730003,63.630001,64.25,6727300,63.841934
"2018-01-29",64.120003,64.959999,64.080002,64.43,6763300,64.02079
"2018-01-30",63.93,64.610001,63.310001,63.959999,5848000,63.553776
"2018-01-31",63.959999,64.029999,61.939999,62.599998,8886900,62.202412
"2018-02-01",62.18,62.98,61.950001,62.799999,7133000,62.401142
"2018-02-02",62.889999,64.290001,62.849998,63.48,11719200,63.076824
"2018-02-05",65.43,65.889999,60.93,60.959999,23181900,60.572826
"2018-02-06",59.830002,61.209999,58.439999,60.900002,18286300,60.51321
"2018-02-07",60.639999,62.77,60.299999,62.630001,12176600,62.232224
"2018-02-08",62.549999,64.769997,62.529999,62.689999,14961700,62.29184
"2018-02-09",63.299999,63.32,60.57,62.700001,11158000,62.301777
"2018-02-12",62.950001,63.59,62.299999,63.16,7502900,62.758858
"2018-02-13",62.799999,64.110001,62.689999,63.869999,7519100,63.464344
"2018-02-14",63.59,65.940002,63.27,65.349998,10290600,64.934944
"2018-02-15",67.309998,69.440002,67.18,68.980003,15684900,68.541893
"2018-02-16",68.860001,70.050003,68.519997,68.959999,10547400,68.522018
"2018-02-20",68.489998,68.830002,67.040001,67.349998,8703700,66.922241
"2018-02-21",67.339996,67.75,66.510002,66.529999,7046200,66.107452
"2018-02-22",67,67,65.860001,65.940002,6528400,65.521202
"2018-02-23",66.169998,68.029999,66.169998,67.949997,5240800,67.518433
"2018-02-26",67.989998,68.860001,67.879997,68.629997,4229400,68.194115
"2018-02-27",68.540001,68.879997,67.82,67.839996,4398500,67.409126
"2018-02-28",67.849998,67.940002,66.169998,66.199997,8363900,65.779549
"2018-03-01",66.099998,66.519997,64.830002,65.690002,7801300,65.272789
"2018-03-02",65.449997,66.5,65.129997,66.169998,5391400,65.749741
"2018-03-05",65.830002,67.139999,65.599998,66.82,6339600,66.395607
"2018-03-06",67.220001,67.400002,65.190002,65.470001,6543400,65.054184
"2018-03-07",64.900002,66.260002,64.699997,66.099998,5927600,65.680183
"2018-03-08",66.199997,66.959999,66.080002,66.75,3728400,66.326057
"2018-03-09",66.949997,68.050003,66.669998,67.919998,6260900,67.488625
"2018-03-12",67.900002,68.18,67.18,67.449997,5031700,67.021606
"2018-03-13",67.809998,68.220001,66.269997,66.68,5905800,66.2565
"2018-03-14",67.080002,67.260002,66.269997,66.629997,4859300,66.206818
"2018-03-15",66.760002,66.93,66.209999,66.25,3422200,65.829231
"2018-03-16",66.18,67.440002,66.18,66.599998,9506100,66.17701
"2018-03-19",66.620003,66.980003,65.18,66.07,5553700,65.650375
"2018-03-20",66.379997,67.160004,65.720001,66.43,6307400,66.008087
"2018-03-21",66.540001,66.989998,66.089996,66.099998,4331800,65.680183
"2018-03-22",65.580002,65.889999,63.91,63.950001,6778700,63.543839
"2018-03-23",64.050003,64.050003,61.939999,62.060001,8481500,61.665844
"2018-03-26",62.779999,63.57,61.73,63.400002,6676500,62.997334
"2018-03-27",63.639999,63.669998,61.799999,62.41,6221400,62.013618
"2018-03-28",62.580002,63.360001,62.419998,62.57,5521200,62.172604
