"","open","high","low","close","volume","adjusted"
"X2018.01.01",13850.490234,13921.530273,12877.669922,13444.879883,1057521524,13444.879883
"X2018.01.02",13444.879883,15306.129883,12934.160156,14754.129883,1956783037,14754.129883
"X2018.01.03",14754.089844,15435.009766,14579.709961,15156.620117,1604206990,15156.620117
"X2018.01.04",15156.490234,15408.660156,14244.669922,15180.080078,1656714736,15180.080078
"X2018.01.05",15180.080078,17126.949219,14832.360352,16954.779297,2283988962,16954.779297
"X2018.01.06",16954.759766,17252.849609,16286.570313,17172.300781,1412703790,17172.300781
"X2018.01.07",17174.5,17184.810547,15791.129883,16228.160156,1309532650,16228.160156
"X2018.01.08",16228.259766,16302.919922,13902.30957,14976.169922,2166366561,14976.169922
"X2018.01.09",14976.169922,15390.280273,14221.549805,14468.5,1486802326,14468.5
"X2018.01.10",14468.089844,14919.490234,13450.540039,14919.490234,2025083791,14919.490234
"X2018.01.11",14920.360352,14979.959961,12825.950195,13308.05957,2373494121,13308.05957
"X2018.01.12",13308.05957,14129.080078,12851.910156,13841.19043,1402292716,13841.19043
"X2018.01.13",13841.19043,14595.040039,13830.280273,14243.120117,1021352776,14243.120117
"X2018.01.14",14244.120117,14415.669922,13031.910156,13638.629883,1112590573,13638.629883
"X2018.01.15",13638.629883,14355.820313,13416.709961,13631.980469,1170462750,13631.980469
"X2018.01.16",13634.599609,13648.839844,10032.69043,11282.490234,3842651741,11282.490234
"X2018.01.17",11282.490234,11736.299805,9205.379883,11162.700195,3666978316,11162.700195
"X2018.01.18",11162.700195,12018.429688,10642.330078,11175.519531,2357251805,11175.519531
"X2018.01.19",11175.519531,11780.490234,10867.179688,11521.759766,1264875700,11521.759766
"X2018.01.20",11521.820313,13031.040039,11502.110352,12783.94043,1492721765,12783.94043
"X2018.01.21",12783.540039,12787.349609,11101.730469,11549.929688,1552755289,11549.929688
"X2018.01.22",11549.980469,11913.740234,10067.759766,10814.519531,1811992345,10814.519531
"X2018.01.23",10814.519531,11388.519531,9980.5,10858.230469,1710180828,10858.230469
"X2018.01.24",10853.780273,11531.599609,10506.549805,11429.019531,1286435482,11429.019531
"X2018.01.25",11428.110352,11741.919922,10930.339844,11175.870117,1061064251,11175.870117
"X2018.01.26",11175.870117,11656.540039,10346.860352,11104.200195,1560135332,11104.200195
"X2018.01.27",11104.339844,11638.69043,10879.200195,11459.709961,1031091633,11459.709961
"X2018.01.28",11460.389648,12064.19043,11407.94043,11767.740234,1038153169,11767.740234
"X2018.01.29",11767.740234,11860.290039,11089.519531,11233.950195,920836244,11233.950195
"X2018.01.30",11234.320313,11263.700195,9871.209961,10107.259766,1720894077,10107.259766
"X2018.01.31",10107.400391,10377.959961,9698.129883,10226.860352,1230902973,10226.860352
"X2018.02.01",10226.860352,10280.839844,8726.950195,9114.719727,1964308989,9114.719727
"X2018.02.02",9114.730469,9147.929688,7786.200195,8870.820313,2768759876,8870.820313
"X2018.02.03",8872.870117,9504.370117,8194.679688,9251.269531,1253484523,9251.269531
"X2018.02.04",9251.269531,9400.990234,7889.830078,8218.049805,1413207410,8218.049805
"X2018.02.05",8218.049805,8391.290039,6627.310059,6937.080078,2534149181,6937.080078
"X2018.02.06",6936.430176,7932.379883,5968.359863,7701.25,3397596513,7701.25
"X2018.02.07",7701.25,8572.679688,7208.859863,7592.720215,2159765331,7592.720215
"X2018.02.08",7593.779785,8643.94043,7590.47998,8260.69043,1594673973,8260.69043
"X2018.02.09",8259.259766,8743.200195,7775.359863,8696.830078,1348072086,8696.830078
"X2018.02.10",8696.830078,9081.490234,8176.25,8569.290039,1348923336,8569.290039
"X2018.02.11",8569.320313,8573.349609,7862.310059,8084.609863,1013771945,8084.609863
"X2018.02.12",8084.609863,8997.339844,8084.410156,8911.269531,1085921871,8911.269531
"X2018.02.13",8911.169922,8955.150391,8379.349609,8544.69043,853320352,8544.69043
"X2018.02.14",8544.69043,9508.219727,8542.980469,9485.639648,1220863360,9485.639648
"X2018.02.15",9485.639648,10223.580078,9363.379883,10033.75,1666668487,10033.75
"X2018.02.16",10033.75,10303.139648,9720.379883,10188.730469,1061827697,10188.730469
"X2018.02.17",10188.730469,11119.450195,10074.070313,11097.209961,1327921168,11097.209961
"X2018.02.18",11097.209961,11288.339844,10161.009766,10417.230469,1659704217,10417.230469
"X2018.02.19",10418.120117,11265.959961,10336.320313,11182.280273,1186535653,11182.280273
"X2018.02.20",11182.280273,11802.230469,11130.950195,11256.429688,1640343867,11256.429688
"X2018.02.21",11256.780273,11295.580078,10256.209961,10481.660156,1982721124,10481.660156
"X2018.02.22",10481.660156,10941.570313,9757.19043,9847.959961,1795951829,9847.959961
"X2018.02.23",9847.959961,10420.669922,9604,10175.509766,1399448203,10175.509766
"X2018.02.24",10175.509766,10528,9396.540039,9705.730469,1244484468,9705.730469
"X2018.02.25",9705.730469,9873.790039,9329.44043,9610.110352,793093192,9610.110352
"X2018.02.26",9610.110352,10457.509766,9411.820313,10326.5,1181729273,10326.5
"X2018.02.27",10326.5,10879.379883,10154.240234,10594.759766,1060840699,10594.759766
"X2018.02.28",10594.759766,11067.759766,10303.139648,10334.44043,1126074675,10334.44043
"X2018.03.01",10334.44043,11090.299805,10247.55957,10929.370117,952472120,10929.370117
"X2018.03.02",10929.370117,11191.94043,10801.450195,11043.120117,852908489,11043.120117
"X2018.03.03",11043.120117,11530.660156,11043.120117,11465.360352,812200126,11465.360352
"X2018.03.04",11465.360352,11539.790039,11084.009766,11504.419922,690727335,11504.419922
"X2018.03.05",11503.94043,11694.150391,11431.549805,11440.730469,791471905,11440.730469
"X2018.03.06",11440.330078,11441.650391,10589.280273,10735.450195,1210081181,10735.450195
"X2018.03.07",10735.450195,10913.700195,9470.730469,9928.55957,1858869115,9928.55957
"X2018.03.08",9928.55957,10119.209961,9086.849609,9316.719727,1492236089,9316.719727
"X2018.03.09",9316.769531,9433.379883,8393.450195,9252.759766,2081621422,9252.759766
"X2018.03.10",9252.759766,9518.620117,8727.429688,8797.269531,1084925795,8797.269531
"X2018.03.11",8797.269531,9735.639648,8484.320313,9544.839844,1374814644,9544.839844
"X2018.03.12",9543.980469,9907.410156,8796.519531,9142.150391,1435404200,9142.150391
"X2018.03.13",9142.269531,9486.120117,8856.650391,9160.120117,1228556284,9160.120117
"X2018.03.14",9160.120117,9360.660156,7966.939941,8217.700195,1385572511,8217.700195
"X2018.03.15",8216.219727,8432.120117,7698.470215,8268.410156,1519850464,8268.410156
"X2018.03.16",8267.950195,8616.629883,7924.109863,8283.230469,1082790136,8283.230469
"X2018.03.17",8283.230469,8360.639648,7765.410156,7883.450195,901939422,7883.450195
"X2018.03.18",7882.669922,8299.860352,7318.459961,8215.400391,1535519444,8215.400391
"X2018.03.19",8215.5,8725.599609,8129.660156,8623.139648,1447812723,8623.139648
"X2018.03.20",8623.139648,9056.230469,8339.799805,8920.709961,1150462439,8920.709961
"X2018.03.21",8920.530273,9184.509766,8778.69043,8911.349609,991376396,8911.349609
"X2018.03.22",8911.370117,9107,8500.879883,8724.980469,1023286566,8724.980469
"X2018.03.23",8724.980469,8935.879883,8307.580078,8934.799805,939997284,8934.799805
"X2018.03.24",8935.509766,9036.230469,8515.530273,8548.05957,827663165,8548.05957
"X2018.03.25",8548.389648,8690.360352,8395.849609,8472.839844,657643520,8472.839844
"X2018.03.25.1",8472.55957,8521.040039,7869.27002,8152.200195,1079038734,8152.200195
"X2018.03.26",8152.180176,8226.240234,7752.299805,7808.47998,930754990,7808.47998
"X2018.03.27",7808.419922,8117.790039,7752.600098,7959.779785,657712114,7959.779785
"X2018.03.28",7959.779785,7983.77002,6927.109863,7106.620117,1379180030,7106.620117
"X2018.03.29",7106.620117,7280.27002,6595.259766,6853.759766,1584675343,6853.759766
"X2018.03.30",6853.75,7228.399902,6806.339844,6943.77002,915400590,6943.77002
"X2018.03.31",6943.77002,7056.220215,6463.540039,6835.839844,889887684,6835.839844
"X2018.04.01",6835.580078,8218.660156,6792.299805,7074.600098,748861435,7074.600098
"X2018.04.02",7074.649902,7528.970215,7039.879883,7434.299805,905326798,7434.299805
"X2018.04.03",7434.299805,7442.419922,6727.089844,6815.5,877199782,6815.5
"X2018.04.04",6815.5,6933.660156,6602.379883,6790.450195,777145174,6790.450195
"X2018.04.05",6790.450195,6869.529785,6526.669922,6634.859863,605651287,6634.859863
"X2018.04.06",6634.859863,7083.850098,6624.470215,6917.200195,564883141,6917.200195
"X2018.04.07",6917.200195,7132.029785,6911.02002,7049.919922,425825572,7049.919922
"X2018.04.08",7049.919922,7204.279785,6633.689941,6789.529785,901883664,6789.529785
"X2018.04.09",6789.529785,6922.839844,6676.720215,6871.069824,424510977,6871.069824
"X2018.04.10",6871.069824,6999.370117,6839.160156,6977.129883,450141340,6977.129883
"X2018.04.11",6977.040039,8051.950195,6791.330078,7927.72998,1490759969,7927.72998
"X2018.04.12",7927.72998,8237.160156,7758.799805,7899.109863,1171435820,7899.109863
"X2018.04.13",7898.740234,8195.339844,7841.189941,8022.509766,537286381,8022.509766
"X2018.04.14",8022.509766,8437.030273,8021.040039,8376.730469,570527804,8376.730469
"X2018.04.15",8376.730469,8430.929688,7929.240234,8079.77002,713471956,8079.77002
"X2018.04.16",8079.77002,8187.600098,7858.120117,7921.629883,580880500,7921.629883
"X2018.04.17",7921.649902,8246.570313,7908.919922,8189.959961,593500791,8189.959961
"X2018.04.18",8189.919922,8321.009766,8136.419922,8301.820313,602099034,8301.820313
"X2018.04.19",8301.820313,8945.139648,8243.490234,8877.080078,979994921,8877.080078
"X2018.04.20",8877.150391,9047.820313,8631.179688,8935.719727,829073400,8935.719727
"X2018.04.21",8935.849609,9043.980469,8788.44043,8823.360352,610183093,8823.360352
"X2018.04.22",8823.459961,9025.730469,8804.200195,8968.25,553892335,8968.25
"X2018.04.23",8967.860352,9741.910156,8957.679688,9655.769531,1276464750,9655.769531
"X2018.04.24",9657.69043,9765.230469,8757.05957,8873.620117,1779806222,8873.620117
"X2018.04.25",8873.570313,9315.129883,8669.379883,9282.120117,997427934,9282.120117
"X2018.04.26",9289.009766,9385.870117,8923.480469,8938.469727,758182407,8938.469727
"X2018.04.27",8938.469727,9435.900391,8892.519531,9351.469727,774111704,9351.469727
"X2018.04.28",9349.94043,9552.669922,9189.070313,9407.040039,640931911,9407.040039
"X2018.04.29",9407.349609,9459.80957,9133.599609,9248.450195,574099218,9248.450195
"X2018.04.30",9248.25,9251.660156,8851.099609,9077.280273,669555436,9077.280273
"X2018.05.01",9077.280273,9271.620117,8993.820313,9232.19043,527488395,9232.19043
"X2018.05.02",9232.19043,9817.19043,9172.280273,9745.040039,857646889,9745.040039
"X2018.05.03",9746.259766,9785.150391,9547.209961,9699.610352,663887678,9699.610352
"X2018.05.04",9700.370117,9968.849609,9687.089844,9845.900391,679872376,9845.900391
"X2018.05.05",9846.44043,9936.959961,9441.929688,9644.919922,608650204,9644.919922
"X2018.05.06",9643.990234,9662.230469,9202.129883,9377.80957,692580062,9377.80957
"X2018.05.07",9377.080078,9472.089844,9063.070313,9196.129883,673924125,9196.129883
"X2018.05.08",9196.129883,9373.459961,8987.269531,9321.160156,625495066,9321.160156
"X2018.05.09",9321.519531,9393.950195,9017.129883,9032.219727,629850604,9032.219727
"X2018.05.10",9032.219727,9032.269531,8363.5,8421,1176888629,8421
"X2018.05.11",8420.820313,8653.799805,8225.969727,8486.669922,783972252,8486.669922
"X2018.05.12",8488.070313,8773.959961,8350.910156,8709.459961,525395861,8709.459961
"X2018.05.13",8709.459961,8883,8312.719727,8672.900391,874543293,8672.900391
"X2018.05.14",8672.879883,8848.69043,8441.25,8480.160156,730739738,8480.160156
"X2018.05.15",8480.160156,8501.650391,8119.169922,8344.780273,789660713,8344.780273
"X2018.05.16",8342.69043,8476.450195,8015.77002,8071.040039,615539512,8071.040039
"X2018.05.17",8071.040039,8280.450195,7940.350098,8247.910156,558167598,8247.910156
"X2018.05.18",8247.910156,8397.269531,8160.799805,8249.240234,381458405,8249.240234
"X2018.05.19",8249.240234,8591.450195,8181.459961,8533,418898289,8533
"X2018.05.20",8533.219727,8585.849609,8347.879883,8419.650391,463653636,8419.650391
"X2018.05.21",8419.669922,8428.599609,7962.430176,7992.75,543342369,7992.75
"X2018.05.22",7992.75,8031.629883,7460.660156,7505.77002,934151146,7505.77002
"X2018.05.23",7505.77002,7729.47998,7283.77002,7584.740234,826278113,7584.740234
"X2018.05.24",7584.779785,7652.370117,7347.959961,7475.359863,634474356,7475.359863
"X2018.05.25",7475.359863,7626.689941,7314.709961,7355.060059,368322782,7355.060059
"X2018.05.26",7355.060059,7420.069824,7256.669922,7362.22998,341348321,7362.22998
"X2018.05.27",7362.22998,7455.549805,7092.910156,7118.879883,526854342,7118.879883
"X2018.05.28",7118.879883,7533.029785,7069.009766,7474.75,634849312,7474.75
"X2018.05.29",7474.75,7571.080078,7295.779785,7393.02002,505870974,7393.02002
"X2018.05.30",7393.02002,7608.870117,7349.52002,7502.149902,458223966,7502.149902
"X2018.05.31",7501.740234,7614.660156,7370.27002,7530.549805,458687659,7530.549805
"X2018.06.01",7530.549805,7697.339844,7467.790039,7643.259766,362414878,7643.259766
"X2018.06.02",7643.259766,7774.959961,7606.759766,7719.75,332313005,7719.75
"X2018.06.03",7719.72998,7760.72998,7469.209961,7503.200195,427448262,7503.200195
"X2018.06.04",7503.319824,7672.700195,7394.970215,7629.399902,440337235,7629.399902
"X2018.06.05",7629.399902,7701.350098,7504.97998,7661.790039,396116252,7661.790039
"X2018.06.06",7661.790039,7755.919922,7651.129883,7700.109863,342475552,7700.109863
"X2018.06.07",7700.399902,7709.609863,7559.5,7627.52002,310119047,7627.52002
"X2018.06.08",7627.560059,7691.740234,7495.720215,7513.689941,218013881,7513.689941
"X2018.06.09",7513.759766,7514.040039,6661.97998,6773.720215,895514425,6773.720215
