"","open","high","low","close","volume","adjusted"
"2018-01-02",33.459999,33.639999,33.099998,33.580002,2112200,33.094818
"2018-01-03",33.580002,33.91,33.400002,33.709999,2473600,33.222939
"2018-01-04",33.779999,33.970001,33.689999,33.779999,2209700,33.291924
"2018-01-05",33.970001,34.080002,33.799999,34.029999,1719300,33.538315
"2018-01-08",33.889999,33.990002,33.540001,33.869999,1892300,33.380627
"2018-01-09",33.860001,33.919998,33.580002,33.759998,1736700,33.272213
"2018-01-10",33.709999,33.889999,33.450001,33.48,2562200,32.996262
"2018-01-11",33.630001,33.82,33.349998,33.82,1515200,33.331348
"2018-01-12",33.860001,34.209999,33.77,34.09,1454700,33.597446
"2018-01-16",34.259998,34.549999,34,34.02,2111400,33.528461
"2018-01-17",34.279999,34.529999,34.150002,34.470001,1288900,33.971958
"2018-01-18",34.439999,34.610001,33.919998,34.189999,2296600,33.696003
"2018-01-19",34.189999,34.43,33.91,34.07,2969000,33.577736
"2018-01-22",34.080002,34.73,33.98,34.720001,2506600,34.218346
"2018-01-23",34.630001,35.099998,34.549999,34.75,2356700,34.24791
"2018-01-24",34.950001,35.259998,34.73,34.900002,2501900,34.395744
"2018-01-25",35.060001,35.459999,34.93,35.130001,3259400,34.622421
"2018-01-26",35.310001,35.919998,35.139999,35.900002,2269300,35.381294
"2018-01-29",35.790001,35.93,35.560001,35.639999,2105500,35.12505
"2018-01-30",35.490002,35.919998,35.220001,35.549999,3481300,35.036354
"2018-01-31",35.75,36.560001,35.18,35.849998,4527800,35.332016
"2018-02-01",35.740002,35.889999,35.23,35.380001,3488400,34.868813
"2018-02-02",34.529999,35.400002,34.529999,34.970001,3037300,34.464737
"2018-02-05",34.939999,35.049999,33.549999,33.560001,4572900,33.075108
"2018-02-06",33.080002,33.830002,32.639999,33.700001,4117700,33.213085
"2018-02-07",33.549999,34.400002,33.450001,34,4136600,33.508747
"2018-02-08",33.93,33.93,32.639999,32.66,4392300,32.188107
"2018-02-09",33.009998,33.740002,32.470001,33.450001,4416100,32.966698
"2018-02-12",33.630001,34.130001,33.630001,34.02,2865500,33.528461
"2018-02-13",33.91,34.209999,33.830002,34.18,2343600,33.686146
"2018-02-14",33.950001,34.790001,33.759998,34.75,3013000,34.24791
"2018-02-15",34.93,35.360001,34.650002,35.240002,2146300,34.730835
"2018-02-16",35.290001,35.740002,35.240002,35.34,1782500,34.829388
"2018-02-20",35.139999,35.400002,34.939999,35.060001,2212200,34.553432
"2018-02-21",34.900002,35.220001,34.669998,34.689999,3376000,34.439262
"2018-02-22",34.810001,35.259998,34.77,34.849998,3056200,34.598106
"2018-02-23",35.060001,35.470001,34.959999,35.43,3406800,35.173916
"2018-02-26",35.5,35.669998,35.240002,35.360001,3041100,35.104424
"2018-02-27",35.459999,35.82,35.25,35.25,2867300,34.995216
"2018-02-28",35.419998,35.709999,35.099998,35.099998,3432700,34.846298
"2018-03-01",35.209999,35.560001,34.900002,35.200001,4296500,34.94558
"2018-03-02",35.200001,35.389999,34.990002,35.32,2657100,35.064709
"2018-03-05",35.110001,35.669998,35.049999,35.540001,2283000,35.283123
"2018-03-06",35.639999,35.740002,35.349998,35.720001,1619400,35.461823
"2018-03-07",35.59,36.049999,35.580002,35.959999,1899900,35.700085
"2018-03-08",36.049999,36.220001,35.77,36.16,2449400,35.89864
"2018-03-09",36.470001,37.130001,36.310001,37.119999,3463200,36.8517
"2018-03-12",37.16,37.25,36.48,36.810001,2892300,36.543941
"2018-03-13",36.950001,37.029999,36.150002,36.27,2880600,36.007843
