"","open","high","low","close","volume","adjusted"
"2018-01-16",45.18,45.52,44.59,44.650002,1157000,44.650002
"2018-01-17",44.919998,45.259998,44.57,44.990002,1640500,44.990002
"2018-01-18",45,45.299999,44.619999,45.189999,1460700,45.189999
"2018-01-19",45.259998,45.91,45.099998,45.880001,1509900,45.880001
"2018-01-22",45.880001,45.98,45.23,45.73,1299100,45.73
"2018-01-23",45.68,46.029999,45.529999,45.950001,1087200,45.950001
"2018-01-24",45.25,45.59,44.580002,45.209999,1823200,45.209999
"2018-01-25",45.389999,45.950001,45.389999,45.810001,1478400,45.810001
"2018-01-26",46.009998,46.240002,45.66,46.209999,1119100,46.209999
"2018-01-29",46.209999,46.599998,45.790001,46.34,1430800,46.34
"2018-01-30",46.099998,46.439999,45.549999,45.66,2045900,45.66
"2018-01-31",45.790001,46,45.27,45.689999,2508400,45.689999
"2018-02-01",45.5,45.82,45.060001,45.810001,2238800,45.810001
"2018-02-02",45.5,45.509998,43.900002,44.110001,2750600,44.110001
"2018-02-05",43.73,44.110001,41.689999,41.779999,3494900,41.779999
"2018-02-06",40.880001,42.790001,39.599998,42.529999,3217600,42.529999
"2018-02-07",42.549999,43.490002,42.360001,42.540001,2945300,42.540001
"2018-02-08",42.48,43.25,41.84,41.919998,3619700,41.919998
"2018-02-09",42.560001,42.709999,40.59,41.900002,3083400,41.900002
"2018-02-12",42.240002,43.240002,41.900002,43.150002,3063300,43.150002
"2018-02-13",42.900002,44.25,42.900002,44.139999,2840000,44.139999
"2018-02-14",43.669998,45.09,43.5,45.040001,2888600,45.040001
"2018-02-15",45.48,45.77,44.540001,44.93,2297300,44.93
"2018-02-16",44.919998,45.470001,44.869999,45.200001,2098800,45.200001
"2018-02-20",44.91,45.32,44.400002,44.900002,2318900,44.900002
"2018-02-21",44.970001,45.43,44.48,44.48,2547800,44.48
"2018-02-22",44.759998,45.369999,44.689999,44.779999,2878200,44.779999
"2018-02-23",45.09,45.970001,44.959999,45.950001,2174600,45.950001
"2018-02-26",46.02,46.759998,45.540001,46.639999,1710100,46.639999
"2018-02-27",46.799999,47.509998,46.790001,47.07,4719200,47.07
"2018-02-28",47.23,47.810001,46.75,46.75,2980000,46.75
"2018-03-01",46.759998,47.310001,46.27,46.400002,2700700,46.400002
"2018-03-02",45.869999,46.189999,45.41,46.099998,3050300,46.099998
"2018-03-05",45.93,47.09,45.799999,46.75,2547100,46.75
"2018-03-06",47.099998,47.470001,46.860001,46.959999,3063300,46.959999
"2018-03-07",46.450001,47.07,46.349998,46.880001,3038500,46.880001
"2018-03-08",47.02,47.200001,46.669998,46.98,2076600,46.98
