"","open","high","low","close","volume","adjusted"
"2018-01-02",110.529999,110.959999,108.470001,108.93,2036100,106.788452
"2018-01-03",108.75,109.5,108.080002,108.470001,2078900,106.337494
"2018-01-04",108.290001,108.760002,107.099998,107.209999,2240400,105.102264
"2018-01-05",107.43,108.410004,107.260002,108.029999,1769400,105.906151
"2018-01-08",108.010002,108.730003,107.720001,108.349998,1776500,106.219856
"2018-01-09",108.300003,108.669998,107.629997,107.68,1031900,105.563026
"2018-01-10",105.949997,106.529999,103.339996,104.919998,4849400,102.857285
"2018-01-11",104.949997,105.190002,102.599998,103.690002,4380700,101.651474
"2018-01-12",104.050003,104.07,103.07,103.57,2430400,101.533829
"2018-01-16",103.980003,106.769997,103.980003,105.32,2844800,103.249428
"2018-01-17",105.400002,106.989998,105.050003,106.029999,2616500,103.945465
"2018-01-18",105.709999,106.32,105.209999,106.110001,2062500,104.023895
"2018-01-19",106.25,107.650002,105.669998,107.349998,2867600,105.239517
"2018-01-22",107.5,108.370003,106.889999,108.300003,2837800,106.170845
"2018-01-23",108.919998,110.440002,108.480003,110.330002,2996400,108.160927
"2018-01-24",110.480003,110.910004,109.349998,109.589996,2405700,107.435478
"2018-01-25",109.379997,110.220001,107.160004,108.610001,4370700,106.474747
"2018-01-26",110.349998,110.870003,108.75,110.629997,3328800,108.455032
"2018-01-29",110.519997,111.150002,108.839996,109.830002,3214500,107.670761
"2018-01-30",109.019997,110.410004,108.660004,110.029999,2954600,107.866829
"2018-01-31",110.089996,113.389999,110.07,112.769997,2814800,110.552956
"2018-02-01",112.910004,114.470001,112.330002,113.07,3168300,110.847061
"2018-02-02",112.660004,113.190002,111.25,112.099998,1809700,109.896133
"2018-02-05",111.550003,112.919998,109.889999,110.510002,2853200,108.337395
"2018-02-06",109.059998,110.290001,106.93,108.550003,4553800,106.415932
"2018-02-07",108.300003,109.910004,107.82,108.75,2978700,106.611992
"2018-02-08",108.5,109.169998,103.790001,103.809998,4391400,101.769112
"2018-02-09",104.150002,104.75,100.760002,103.860001,3670300,101.81813
"2018-02-12",104.5,105.660004,103.830002,105.110001,3325300,103.043556
