"","open","high","low","close","volume","adjusted"
"2018-01-02",67.550003,69,67.540001,68.57,1294400,68.57
"2018-01-03",68.540001,69.169998,68.5,69.07,1109700,69.07
"2018-01-04",69.239998,69.379997,68.339996,69.010002,1022600,69.010002
"2018-01-05",69.529999,70.540001,69.18,70.529999,2411100,70.529999
"2018-01-08",70.120003,70.769997,70.010002,70.589996,1196600,70.589996
"2018-01-09",70.57,71.800003,70.300003,71.699997,1719900,71.699997
"2018-01-10",71.660004,72.620003,70.970001,72.349998,1848200,72.349998
"2018-01-11",72.25,73.43,72.199997,72.639999,1501000,72.639999
"2018-01-12",72.669998,73.160004,72.050003,72.900002,1750700,72.900002
"2018-01-16",72.25,72.400002,70.559998,70.620003,2152000,70.620003
"2018-01-17",71.209999,71.25,70.080002,70.279999,1931500,70.279999
"2018-01-18",70.279999,70.5,68.860001,69.489998,2434600,69.489998
"2018-01-19",69.400002,69.400002,68.160004,68.910004,3157800,68.910004
"2018-01-22",69.269997,69.410004,68.620003,69.129997,2531300,69.129997
"2018-01-23",68.900002,69.860001,68.629997,69.190002,2911600,69.190002
"2018-01-24",69.57,69.709999,67.639999,67.699997,3603900,67.699997
"2018-01-25",68.139999,68.82,67.93,68.050003,2528300,68.050003
"2018-01-26",68.410004,68.809998,68.120003,68.599998,2332000,68.599998
"2018-01-29",68.480003,69.050003,68.080002,68.730003,2438800,68.730003
"2018-01-30",69.019997,69.900002,68.129997,69.360001,3413400,69.360001
"2018-01-31",69.5,69.779999,68.830002,69.129997,2276800,69.129997
"2018-02-01",68.889999,69.059998,67.949997,68.290001,1301500,68.290001
"2018-02-02",67.830002,68.010002,66.379997,66.389999,2218000,66.389999
"2018-02-05",66.400002,66.699997,63.400002,63.41,3887600,63.41
"2018-02-06",62.700001,64.260002,61.23,63.990002,5219200,63.990002
"2018-02-07",62.490002,64.57,61.529999,63.48,6285400,63.48
"2018-02-08",63.27,63.490002,61.18,61.220001,3131400,61.220001
"2018-02-09",61.560001,62.23,59.75,61.310001,3790800,61.310001
"2018-02-12",61.68,63.110001,61.27,62.490002,2686900,62.490002
"2018-02-13",62.029999,62.799999,60.799999,62.490002,2692800,62.490002
"2018-02-14",62.200001,62.900002,61.93,62.220001,2849400,62.220001
"2018-02-15",62.700001,64.440002,62.150002,64.400002,2284300,64.400002
"2018-02-16",64.400002,64.830002,63.990002,64.220001,2522400,64.220001
"2018-02-20",63.990002,64.5,62.93,63,1485100,63
"2018-02-21",63.07,64.480003,62.98,63.369999,1447500,63.369999
"2018-02-22",63.41,64.120003,62.73,62.91,2054000,62.91
"2018-02-23",63.23,64.540001,62.830002,64.529999,1698100,64.529999
"2018-02-26",64.68,65,63.990002,64.25,1465600,64.25
"2018-02-27",64.540001,65.419998,63.950001,63.950001,2582900,63.950001
"2018-02-28",64.290001,65.169998,64.050003,64.160004,2434500,64.160004
"2018-03-01",64.269997,64.830002,61.990002,62.369999,2506000,62.369999
"2018-03-02",62.139999,63.290001,62.099998,62.939999,4135400,62.939999
"2018-03-05",62.759998,64.519997,62.549999,64.330002,3451000,64.330002
"2018-03-06",64.639999,65.050003,64.419998,64.980003,2631900,64.980003
"2018-03-07",64.699997,65.279999,64.040001,65.040001,1986900,65.040001
"2018-03-08",64.989998,65.129997,63.400002,63.66,2751100,63.66
"2018-03-09",64.010002,64.980003,63.77,64.910004,1868400,64.910004
"2018-03-12",64.919998,65.07,64.449997,64.639999,1563900,64.639999
"2018-03-13",64.150002,64.949997,62.549999,63.049999,2121500,63.049999
"2018-03-14",63,63.220001,61.650002,62.040001,3705400,62.040001
"2018-03-15",62.16,62.27,61.400002,61.779999,2330100,61.779999
"2018-03-16",61.889999,62.169998,60.689999,61.259998,4148500,61.259998
"2018-03-19",60.860001,61.029999,59.689999,60.389999,3074300,60.389999
"2018-03-20",60.549999,60.810001,59.32,59.439999,3690900,59.439999
"2018-03-21",59.610001,60.759998,59.509998,59.860001,4869300,59.860001
"2018-03-22",58.48,59.470001,57.439999,57.470001,2453200,57.470001
"2018-03-23",57.57,58.209999,56.490002,56.509998,2417200,56.509998
"2018-03-26",57.200001,57.810001,56.650002,57.77,2992000,57.77
"2018-03-27",58.130001,58.41,57.16,57.650002,4375900,57.650002
"2018-03-28",57.869999,59.049999,57.869999,58.639999,4876300,58.639999
"2018-03-29",58.279999,58.93,57.849998,58,4517000,58
"2018-04-02",57.48,58.049999,56.009998,57.099998,4450000,57.099998
"2018-04-03",57.380001,57.52,55.290001,56.639999,6743500,56.639999
"2018-04-04",56.310001,57.880001,56.139999,57.709999,3625600,57.709999
"2018-04-05",57.939999,58.439999,57.639999,58.119999,3294500,58.119999
"2018-04-06",57.790001,58.029999,56.150002,56.419998,2983700,56.419998
"2018-04-09",56.860001,57.369999,56.540001,56.57,3362900,56.57
"2018-04-10",57.119999,57.380001,56.470001,56.740002,2253300,56.740002
"2018-04-11",56.18,57.43,56.16,56.880001,2572400,56.880001
"2018-04-12",57.200001,57.41,56.740002,57.169998,1617800,57.169998
"2018-04-13",57.560001,57.560001,56.560001,56.91,1708700,56.91
"2018-04-16",57.299999,58.189999,56.98,57.939999,1875700,57.939999
"2018-04-17",58.490002,59.310001,57.82,59.040001,3198800,59.040001
"2018-04-18",59.330002,59.450001,58.98,59.290001,1847800,59.290001
"2018-04-19",58.950001,59.209999,58.470001,58.919998,2023500,58.919998
"2018-04-20",58.689999,58.98,58.139999,58.23,2332700,58.23
"2018-04-23",59.400002,59.439999,58.080002,58.560001,2327500,58.560001
"2018-04-24",58.869999,59,57.400002,57.939999,2386700,57.939999
"2018-04-25",57.75,58.41,57.349998,58.34,1743100,58.34
"2018-04-26",58.610001,59.209999,58.139999,58.990002,2448200,58.990002
"2018-04-27",59.029999,59.560001,58.860001,59.43,1704600,59.43
"2018-04-30",59.59,59.669998,58.25,58.25,3092300,58.25
"2018-05-01",58.220001,58.82,57.740002,58.810001,1685900,58.810001
"2018-05-02",58.290001,58.709999,57.080002,57.939999,4120600,57.939999
"2018-05-03",52.18,55.799999,52.049999,55.09,6287200,55.09
"2018-05-04",54.759998,57.619999,54.759998,57.240002,4531200,57.240002
"2018-05-07",57.75,58.959999,57.580002,58.060001,4267800,58.060001
"2018-05-08",57.82,59.209999,57.610001,58.759998,3951800,58.759998
"2018-05-09",58.84,59.84,58.57,59.349998,2941800,59.349998
"2018-05-10",59.509998,60.34,59.349998,60.27,2477900,60.27
"2018-05-11",60.490002,60.950001,60.32,60.830002,3194800,60.830002
"2018-05-14",60.66,60.700001,58.689999,59.049999,2352000,59.049999
"2018-05-15",58.619999,58.790001,57.919998,58.299999,2200800,58.299999
"2018-05-16",58.48,60.259998,58.220001,59.970001,2837200,59.970001
"2018-05-17",59.82,61.189999,59.82,60.619999,2328500,60.619999
"2018-05-18",63,63.220001,61,61.34,4935000,61.34
"2018-05-21",61.599998,61.919998,60.650002,60.75,3302600,60.75
"2018-05-22",60.810001,61.07,57.939999,59.720001,1876200,59.720001
"2018-05-23",59.290001,59.740002,58.810001,59.470001,1713000,59.470001
"2018-05-24",59.32,59.68,58.490002,59.439999,1556400,59.439999
"2018-05-25",59.599998,60.599998,59.599998,59.939999,1320600,59.939999
"2018-05-29",59.330002,59.990002,59.029999,59.470001,1727300,59.470001
"2018-05-30",59.759998,60.5,59,60.169998,1124200,60.169998
"2018-05-31",60.060001,60.220001,59.490002,59.68,1911400,59.68
"2018-06-01",60.110001,60.110001,59.470001,59.73,1856800,59.73
"2018-06-04",59.869999,59.959999,59.209999,59.75,1494200,59.75
"2018-06-05",59.889999,60.580002,59.720001,60.389999,1255600,60.389999
"2018-06-06",60.540001,61.450001,60.419998,61.310001,1631200,61.310001
