"","open","high","low","close","volume","adjusted"
"2018-01-12",4.22,4.34,4.18,4.28,33197100,4.28
"2018-01-16",4.3,4.3,4.12,4.14,32862600,4.14
"2018-01-17",4.17,4.18,4.02,4.09,32859100,4.09
"2018-01-18",4.07,4.08,3.97,3.99,23808900,3.99
"2018-01-19",4,4,3.91,3.95,22388600,3.95
"2018-01-22",3.97,3.99,3.9,3.97,28296500,3.97
"2018-01-23",4.05,4.11,3.97,4.07,29459900,4.07
"2018-01-24",4.09,4.18,4.07,4.08,29132100,4.08
"2018-01-25",4.14,4.18,3.92,3.96,32781900,3.96
"2018-01-26",4,4.01,3.94,4,20907800,4
"2018-01-29",3.95,3.99,3.86,3.88,26759500,3.88
"2018-01-30",3.85,3.85,3.62,3.63,58594700,3.63
"2018-01-31",3.68,3.69,3.5,3.5,42937400,3.5
"2018-02-01",3.49,3.5,3.3,3.46,50696200,3.46
"2018-02-02",3.43,3.44,3.3,3.33,42975900,3.33
"2018-02-05",3.3,3.37,3,3.09,51894400,3.09
"2018-02-06",3.01,3.19,2.98,3.13,46966000,3.13
"2018-02-07",3.12,3.16,2.8,2.89,71174900,2.89
"2018-02-08",2.92,2.96,2.8,2.82,33741900,2.82
"2018-02-09",2.85,2.87,2.53,2.85,66470800,2.85
"2018-02-12",2.92,2.97,2.84,2.85,32884800,2.85
"2018-02-13",2.85,2.87,2.72,2.74,31014000,2.74
"2018-02-14",2.7,2.87,2.66,2.8,26924900,2.8
"2018-02-15",2.82,2.88,2.72,2.86,27714300,2.86
"2018-02-16",2.85,2.86,2.7,2.73,29056600,2.73
"2018-02-20",2.77,2.79,2.73,2.77,21245800,2.77
"2018-02-21",2.78,2.79,2.63,2.63,36241200,2.63
"2018-02-22",2.87,3.33,2.86,3.2,130538200,3.2
"2018-02-23",3.38,3.43,3.04,3.2,78438300,3.2
"2018-02-26",3.2,3.28,3.06,3.21,38198300,3.21
"2018-02-27",3.18,3.23,3.06,3.06,38960600,3.06
"2018-02-28",3.06,3.09,2.8,2.82,53447300,2.82
"2018-03-01",2.83,2.9,2.77,2.8,43314000,2.8
"2018-03-02",2.8,2.98,2.77,2.96,31861800,2.96
"2018-03-05",2.95,3.18,2.93,3.12,37361900,3.12
"2018-03-06",3.16,3.18,3.03,3.11,27476900,3.11
"2018-03-07",3.05,3.14,3.01,3.04,27705900,3.04
"2018-03-08",3.06,3.08,2.97,2.97,21201500,2.97
"2018-03-09",3.05,3.11,3.01,3.1,29126700,3.1
"2018-03-12",3.11,3.17,3.05,3.11,26295700,3.11
"2018-03-13",3.12,3.17,3.09,3.12,24317100,3.12
"2018-03-14",3.15,3.17,3.02,3.03,34834700,3.03
"2018-03-15",3.06,3.12,2.98,3.02,31046100,3.02
"2018-03-16",3.03,3.13,2.98,3.06,197228500,3.06
"2018-03-19",3.05,3.09,2.99,3.01,27953000,3.01
"2018-03-20",3.01,3.13,3.01,3.11,32384300,3.11
"2018-03-21",3.12,3.24,3.11,3.23,33816400,3.23
"2018-03-22",3.15,3.2,3.08,3.11,20993200,3.11
"2018-03-23",3.15,3.21,3.05,3.07,26718900,3.07
"2018-03-26",3.12,3.13,3.01,3.12,21532300,3.12
"2018-03-27",3.09,3.1,2.92,2.95,37939400,2.95
"2018-03-28",2.92,3,2.82,2.99,36535400,2.99
"2018-03-29",3,3.04,2.96,3.02,22391400,3.02
"2018-04-02",2.98,3,2.81,2.97,38510900,2.97
"2018-04-03",2.97,2.98,2.85,2.92,24112700,2.92
"2018-04-04",2.86,2.93,2.82,2.91,22085300,2.91
"2018-04-05",2.94,3.1,2.92,3.08,29186000,3.08
"2018-04-06",3.02,3.08,2.93,2.98,23580900,2.98
"2018-04-09",2.99,3.03,2.92,2.96,19107900,2.96
"2018-04-10",3,3.12,2.96,3.09,26529700,3.09
"2018-04-11",3.09,3.21,3.06,3.19,27392700,3.19
"2018-04-12",3.15,3.2,3.11,3.15,16087000,3.15
"2018-04-13",3.17,3.21,3.13,3.14,13899400,3.14
"2018-04-16",3.12,3.25,3.06,3.11,27695900,3.11
"2018-04-17",3.06,3.09,3.01,3.04,28593800,3.04
"2018-04-18",3.09,3.17,3.02,3.13,49679000,3.13
"2018-04-19",3.15,3.18,3.01,3.03,29932200,3.03
"2018-04-20",3,3.03,2.96,3,22829200,3
"2018-04-23",3,3.03,2.92,2.98,17564300,2.98
"2018-04-24",3,3.06,2.91,2.94,26226100,2.94
"2018-04-25",2.94,3.02,2.92,2.98,22722400,2.98
"2018-04-26",3.02,3.04,2.96,3.02,22224900,3.02
"2018-04-27",3,3.04,2.94,2.95,24825300,2.95
"2018-04-30",2.97,2.97,2.91,2.97,21689900,2.97
"2018-05-01",2.96,3,2.9,2.98,35954300,2.98
"2018-05-02",3.07,3.07,2.9,2.93,47136500,2.93
"2018-05-03",2.91,2.95,2.86,2.92,27102200,2.92
"2018-05-04",2.92,3.05,2.89,3.05,29129100,3.05
"2018-05-07",3.09,3.18,3.06,3.13,33961800,3.13
"2018-05-08",3.12,3.13,3,3.13,27871200,3.13
"2018-05-09",3.17,3.33,3.16,3.26,45696500,3.26
"2018-05-10",3.33,3.38,3.27,3.35,24482900,3.35
"2018-05-11",3.35,3.42,3.31,3.36,19513900,3.36
"2018-05-14",3.4,3.63,3.37,3.6,36172700,3.6
"2018-05-15",3.62,3.74,3.61,3.71,36538200,3.71
"2018-05-16",3.7,3.95,3.67,3.93,44193100,3.93
"2018-05-17",4.01,4.29,3.97,4.29,88621700,4.29
"2018-05-18",4.42,4.51,3.97,4.06,97155500,4.06
"2018-05-21",4.22,4.68,4.15,4.61,96035000,4.61
"2018-05-22",4.8,5,4.46,4.54,138935300,4.54
"2018-05-23",4.48,4.72,4.37,4.64,69229100,4.64
"2018-05-24",4.52,4.65,4.49,4.55,47553400,4.55
"2018-05-25",4.38,4.42,4.09,4.3,71867700,4.3
"2018-05-29",4.17,4.37,4.16,4.28,34718800,4.28
"2018-05-30",4.35,4.56,4.32,4.51,38914100,4.51
"2018-05-31",4.49,4.57,4.39,4.47,35259500,4.47
