"","open","high","low","close","volume","adjusted"
"2018-01-02",75.370003,75.550003,72.540001,73.080002,645200,72.00695
"2018-01-03",73.07,73.239998,72.339996,72.790001,534000,71.721207
"2018-01-04",72.699997,73.790001,72.580002,73.620003,622400,72.539024
"2018-01-05",73.800003,74.080002,73.400002,74,431500,72.913437
"2018-01-08",73.82,74.029999,73.290001,73.669998,468600,72.58828
"2018-01-09",73.760002,74.610001,73.110001,73.209999,679500,72.13504
"2018-01-10",73.110001,73.610001,72.150002,72.190002,549900,71.13002
"2018-01-11",72.290001,72.970001,72.18,72.769997,551000,71.7015
"2018-01-12",72.959999,74.150002,72.629997,74.029999,399500,72.943001
"2018-01-16",74.269997,74.620003,73.849998,74.199997,634100,73.110504
"2018-01-17",74.599998,75.290001,74.510002,75.059998,430600,73.957878
"2018-01-18",74.910004,75.300003,74.760002,74.860001,401900,73.760811
"2018-01-19",75.099998,75.599998,74.690002,75.160004,443800,74.056412
"2018-01-22",75.32,76.110001,75.260002,75.93,440700,74.815102
"2018-01-23",75.879997,77.519997,75.879997,77.010002,754300,75.87925
"2018-01-24",77.870003,78.040001,76.980003,77.239998,558000,76.105865
"2018-01-25",77.269997,77.650002,76.82,77.220001,404100,76.086159
"2018-01-26",77.480003,77.800003,77.129997,77.510002,476400,76.371902
"2018-01-29",77.489998,77.629997,76.510002,76.589996,461100,75.465408
"2018-01-30",76.470001,77.5,76.290001,76.389999,479100,75.268349
"2018-01-31",76.519997,77.529999,76.150002,76.900002,1092800,75.770866
"2018-02-01",76.629997,77.279999,76.309998,77.169998,809900,76.036896
"2018-02-02",76.949997,77.68,76.309998,76.379997,459800,75.258492
"2018-02-05",75.93,76.400002,73.080002,73.389999,965900,72.312393
"2018-02-06",72.349998,73.129997,69.980003,72.599998,1153000,71.533997
"2018-02-07",72.269997,73.839996,72.269997,72.629997,1037500,71.563553
"2018-02-08",73.599998,74.059998,70.290001,70.339996,1029200,69.307175
"2018-02-09",71.110001,72.519997,69.860001,72.139999,1332700,71.08075
"2018-02-12",72.709999,75.220001,72.019997,74.309998,1071400,73.218887
"2018-02-13",73.809998,74.349998,73.260002,73.970001,888300,72.883881
"2018-02-14",73.709999,75.669998,72.589996,75.57,574000,74.460388
"2018-02-15",75.860001,76.370003,75.370003,76.190002,502200,75.071281
"2018-02-16",75.959999,77.459999,75.93,77.190002,538100,76.05661
"2018-02-20",76.849998,77.199997,75.360001,75.690002,377100,74.578629
"2018-02-21",75.779999,76.82,75.510002,75.540001,416200,74.430832
"2018-02-22",75.650002,76.800003,74.760002,74.919998,397000,73.819931
"2018-02-23",75.199997,75.830002,74.650002,75.800003,341400,74.687012
"2018-02-26",76,77.290001,75.519997,77.260002,456300,76.125572
"2018-02-27",77.080002,77.800003,75.870003,75.879997,595200,74.765831
"2018-02-28",76.209999,76.75,74.589996,74.589996,530500,73.494774
"2018-03-01",74.800003,75.349998,73,73.339996,478300,72.26313
"2018-03-02",72.400002,74.800003,72.330002,74.610001,768600,73.514488
"2018-03-05",74.400002,76.269997,74.169998,75.889999,504700,74.775688
"2018-03-06",76.010002,76.110001,75.150002,76.040001,415300,74.923485
"2018-03-07",75.339996,76.059998,75.309998,75.720001,577800,74.608192
"2018-03-08",75.709999,75.860001,74.699997,75.260002,490300,74.154945
"2018-03-09",75.699997,77.120003,74.959999,77.040001,552500,75.908806
"2018-03-12",77.050003,77.050003,74.620003,75.239998,553900,74.135231
"2018-03-13",75.660004,75.879997,74.839996,75.080002,499300,73.977585
"2018-03-14",75.470001,75.470001,73.739998,74.050003,523400,72.962708
"2018-03-15",74.32,74.870003,73.900002,74.300003,749500,73.209038
"2018-03-16",74.379997,75.639999,74.300003,75.129997,2494000,74.026848
"2018-03-19",74.779999,75.519997,74.639999,75.110001,687100,74.007149
"2018-03-20",74.790001,75.809998,74.540001,75.400002,568700,74.820847
"2018-03-21",75.580002,76.050003,75.260002,75.550003,535000,74.969696
"2018-03-22",74.889999,75.360001,73.389999,73.440002,534900,72.8759
"2018-03-23",73.82,75.220001,71.480003,71.610001,533700,71.059952
"2018-03-26",72.43,73.309998,71.75,73.139999,625200,72.578201
"2018-03-27",73.349998,74.160004,72.720001,73.129997,504000,72.568275
"2018-03-28",73.279999,74.419998,72.889999,73.860001,549400,73.292671
"2018-03-29",74.43,74.949997,73.160004,74.260002,434600,73.689598
"2018-04-02",74.059998,74.279999,71.209999,72.370003,500500,71.814117
"2018-04-03",72.809998,73.900002,72.68,73.489998,504700,72.925514
"2018-04-04",72.809998,74.080002,72.480003,73.900002,530400,73.332367
"2018-04-05",74.160004,74.730003,73.830002,74.349998,543300,73.778908
"2018-04-06",73.82,74.68,72.639999,73,743800,72.439278
"2018-04-09",73.230003,73.830002,72.489998,72.769997,481800,72.211044
"2018-04-10",73.370003,74.080002,73.190002,73.410004,412600,72.84613
"2018-04-11",73.050003,75,72.889999,73.410004,329100,72.84613
"2018-04-12",73.910004,74.389999,73.739998,73.980003,246800,73.411751
"2018-04-13",74.470001,74.519997,73.160004,73.529999,358700,72.965202
"2018-04-16",74.089996,75.059998,73.32,74.739998,537800,74.165909
"2018-04-17",75.389999,75.629997,74.389999,74.489998,406100,73.917831
"2018-04-18",74.730003,75.18,74.25,74.559998,351700,73.987289
"2018-04-19",74.540001,75.370003,73.779999,75.040001,299700,74.463608
"2018-04-20",75.330002,75.660004,74.769997,75.269997,390600,74.691841
"2018-04-23",75.589996,75.75,74.790001,75.720001,394500,75.13839
"2018-04-24",75.93,75.959999,74.470001,74.949997,433700,74.374298
"2018-04-25",75.029999,75.239998,73.959999,74.82,450300,74.2453
"2018-04-26",72.580002,74.57,70.290001,71.440002,1479400,70.891266
"2018-04-27",71.239998,71.849998,70.779999,71.449997,722400,70.901176
"2018-04-30",71.610001,71.940002,70.330002,70.339996,1135700,69.799706
"2018-05-01",70.220001,71.279999,70.010002,71.18,652900,70.633255
"2018-05-02",70.989998,71.129997,69.580002,69.709999,881900,69.174545
"2018-05-03",69.449997,70.050003,68.330002,69.349998,744300,68.817314
"2018-05-04",68.940002,70.669998,68.620003,70.010002,606400,69.472244
"2018-05-07",70.160004,70.809998,69.589996,69.800003,486400,69.263863
"2018-05-08",69.82,70.260002,69.550003,70.18,544500,69.640938
"2018-05-09",70.510002,71.410004,70.230003,71.209999,546600,70.663025
"2018-05-10",71.349998,72.190002,70.949997,71.889999,570800,71.337799
"2018-05-11",71.919998,72.330002,71.220001,71.879997,353200,71.327881
"2018-05-14",72.059998,72.059998,70.459999,70.559998,514900,70.018021
"2018-05-15",70.400002,71.169998,70.370003,70.889999,457300,70.345482
"2018-05-16",70.989998,71.32,70.599998,70.760002,390500,70.216484
"2018-05-17",70.849998,70.989998,70.510002,70.889999,304000,70.345482
"2018-05-18",70.93,71.110001,70.5,70.730003,324100,70.186714
"2018-05-21",71.07,71.449997,70.699997,71.290001,575000,70.742416
"2018-05-22",71.419998,71.889999,71.220001,71.449997,259700,70.901176
"2018-05-23",71.230003,71.449997,70.480003,70.879997,292000,70.335556
"2018-05-24",70.68,70.760002,70.010002,70.43,657200,69.889015
"2018-05-25",70.449997,70.720001,70.139999,70.419998,309000,69.879089
"2018-05-29",69.910004,69.93,68.279999,68.510002,605700,67.983765
"2018-05-30",68.949997,70.489998,68.860001,70.099998,442700,69.561554
"2018-05-31",70.059998,70.059998,68.650002,69.370003,973300,68.837166
"2018-06-01",69.970001,70.769997,69.900002,70.18,570400,69.640938
"2018-06-04",70.199997,70.650002,70.139999,70.239998,392400,69.700478
"2018-06-05",70.209999,70.220001,69.120003,70,516400,69.462318
"2018-06-06",70.18,70.610001,69.690002,70.389999,344200,69.849327
"2018-06-07",70.629997,70.849998,69.940002,70.769997,291300,70.226402
"2018-06-08",70.779999,71.360001,70.550003,71.279999,527900,70.732491
"2018-06-11",71.470001,71.470001,70.260002,70.529999,281700,69.988251
"2018-06-12",70.449997,70.639999,69.419998,70.059998,494000,69.521858
"2018-06-13",70.290001,70.529999,69.470001,69.669998,430200,69.134857
"2018-06-14",69.93,69.93,68.879997,68.919998,406800,68.390617
"2018-06-15",68.650002,69.110001,68.150002,68.989998,1110800,68.460075
"2018-06-18",68.830002,69.050003,68.110001,69,524700,68.470001
"2018-06-19",68.279999,68.959999,68.279999,68.760002,483400,68.760002
"2018-06-20",68.989998,68.989998,68.43,68.489998,530700,68.489998
"2018-06-21",68.470001,68.629997,67.589996,67.769997,371100,67.769997
"2018-06-22",68.220001,68.599998,67.93,68.339996,837800,68.339996
"2018-06-25",68.25,68.849998,67.82,68.220001,452100,68.220001
"2018-06-26",68.349998,68.510002,67.059998,67.139999,671600,67.139999
"2018-06-27",67.160004,67.650002,66.330002,66.330002,483800,66.330002
"2018-06-28",66.370003,67.400002,66.330002,67.160004,271100,67.160004
