"","open","high","low","close","volume","adjusted"
"2018-01-02",187.229996,190.679993,186.740005,188.320007,2509300,187.271317
"2018-01-03",188.820007,192.100006,188.380005,190.580002,3364400,189.518738
"2018-01-04",192,192.300003,187.559998,189.100006,3525800,188.046982
"2018-01-05",189.429993,189.679993,186.720001,187.75,2819000,186.704498
"2018-01-08",187.320007,188.979996,187.25,188.479996,1961800,187.43042
"2018-01-09",189.009995,189.300003,186.149994,186.289993,2241900,185.252609
"2018-01-10",185.75,186.240005,183.880005,185.419998,2609500,184.387466
"2018-01-11",185.429993,190.669998,185.029999,189.380005,4678600,188.325409
"2018-01-12",190.100006,192.179993,190,191.839996,3499500,190.771713
"2018-01-16",192.350006,192.839996,190.889999,191.529999,2006600,190.46344
"2018-01-17",192.529999,192.559998,191.339996,192.289993,2534000,191.219208
"2018-01-18",192.229996,193.029999,191.220001,191.509995,1908000,190.443558
"2018-01-19",191.710007,192.639999,191.160004,192.289993,2353800,191.219208
"2018-01-22",192.5,194.759995,192.059998,194.380005,3009100,193.297577
"2018-01-23",193.610001,194.100006,192.070007,193.419998,2316400,192.342926
"2018-01-24",194.429993,194.75,191.929993,194.240005,2799200,193.158356
"2018-01-25",195,198.449997,194.740005,197.949997,3558700,196.847687
"2018-01-26",197.75,199.229996,195.690002,198.910004,2756200,197.802353
"2018-01-29",198.369995,199.880005,197.559998,198.320007,2031100,197.215637
"2018-01-30",197.589996,198.789993,196.080002,197.910004,2285000,196.807922
"2018-01-31",197.440002,198.470001,194.100006,194.869995,2682300,193.784836
"2018-02-01",193.410004,195.399994,192.440002,193.470001,2096600,192.392639
"2018-02-02",191.25,193.600006,190.800003,190.990005,2386600,189.926468
"2018-02-05",190.660004,192.100006,182.529999,182.770004,3407200,181.752228
"2018-02-06",178.910004,185.240005,176.199997,185.009995,4067900,183.979736
"2018-02-07",184.600006,186.190002,183.070007,183.190002,2594800,182.169891
"2018-02-08",184.509995,184.509995,178.529999,178.610001,3013200,177.615402
"2018-02-09",179.779999,182.070007,175.789993,180.720001,2777200,179.713654
"2018-02-12",181.839996,183.259995,180.380005,181.059998,1596200,180.051743
"2018-02-13",180.220001,184.600006,180.050003,184.149994,2123900,183.124527
"2018-02-14",182.710007,188.479996,182.309998,187.350006,2191000,186.306717
"2018-02-15",188.089996,191.710007,186.570007,191.479996,2072900,190.923248
"2018-02-16",191.449997,194.619995,191.039993,191.559998,1969300,191.003021
"2018-02-20",189.869995,191.479996,187.630005,188.119995,2202100,187.573029
"2018-02-21",188.529999,189.139999,185.690002,185.75,1747200,185.209915
"2018-02-22",186.350006,188.330002,185.660004,186.589996,1360100,186.04747
"2018-02-23",187.830002,189.850006,185.910004,189.809998,1561700,189.258118
"2018-02-26",190.100006,193.100006,189.929993,192.809998,1852400,192.24939
"2018-02-27",193.449997,195.520004,190.100006,190.100006,2170400,189.547272
"2018-02-28",191.600006,193.759995,190.889999,190.899994,2179800,190.34494
"2018-03-01",191.309998,192.990005,187.320007,189.029999,2447700,188.480377
"2018-03-02",187.479996,190.389999,187.220001,189.330002,2275900,188.77951
"2018-03-05",188.449997,191.979996,187.5,191.479996,2155800,190.923248
"2018-03-06",192.139999,192.25,190.070007,191.460007,2458700,190.90332
"2018-03-07",189.210007,189.75,184.779999,187.360001,5157100,186.815231
"2018-03-08",186.190002,186.350006,183.080002,185.690002,6061500,185.150101
"2018-03-09",186.5,188.639999,184.220001,188.580002,3288100,188.031693
"2018-03-12",188.270004,190.100006,187.550003,189.369995,2394100,188.819382
