"","open","high","low","close","volume","adjusted"
"2018-01-02",19.950001,20.07,19.85,19.879999,3561800,19.575962
"2018-01-03",19.889999,19.92,19.629999,19.77,4152600,19.467646
"2018-01-04",19.969999,20.129999,19.700001,20.08,3222300,19.772905
"2018-01-05",20.09,20.43,19.91,20.4,3206200,20.088011
"2018-01-08",20.309999,20.48,20.17,20.32,3212600,20.009235
"2018-01-09",20.27,20.68,20.139999,20.59,2680500,20.275105
"2018-01-10",20.459999,20.540001,20.299999,20.52,3590100,20.206177
"2018-01-11",20.559999,20.690001,20.370001,20.52,3170600,20.206177
"2018-01-12",20.51,20.809999,20.48,20.780001,2043000,20.4622
"2018-01-16",20.84,21.18,20.27,20.4,5880700,20.088011
"2018-01-17",20.610001,20.93,20.459999,20.700001,2940200,20.383423
"2018-01-18",20.57,20.620001,19.969999,20.01,3991600,19.703976
"2018-01-19",20.09,20.559999,20.049999,20.530001,4254700,20.216022
"2018-01-22",20.58,20.98,20.58,20.889999,3168300,20.570517
"2018-01-23",20.92,20.959999,20.450001,20.77,3976400,20.452353
"2018-01-24",20.85,20.950001,20.290001,20.379999,6571800,20.068316
"2018-01-25",20.4,20.41,20.120001,20.25,4167300,19.940306
"2018-01-26",20.219999,20.370001,19.969999,20.219999,4444100,19.910763
"2018-01-29",20.15,20.219999,19.690001,19.700001,4706000,19.398718
"2018-01-30",19.67,19.93,19.41,19.690001,4099000,19.38887
"2018-01-31",19.700001,19.84,19.49,19.610001,4670000,19.310093
"2018-02-01",19.549999,19.559999,18.639999,18.860001,7430300,18.571564
"2018-02-02",18.799999,18.85,18.030001,18.049999,6702000,17.773951
"2018-02-05",17.9,18.120001,17.26,17.280001,5928500,17.015728
"2018-02-06",16.9,17.48,16.5,17.43,6315000,17.163433
"2018-02-07",17.4,17.66,17.15,17.48,13399500,17.212669
"2018-02-08",19.5,20.25,19.34,19.959999,15122200,19.654739
"2018-02-09",19.610001,20,18.82,19.860001,11642100,19.556271
"2018-02-12",20.02,20.639999,19.98,20.42,9902200,20.107704
"2018-02-13",20.35,20.76,20.309999,20.559999,7354400,20.245564
"2018-02-14",20.459999,21.34,20.209999,21.25,6381600,20.925011
"2018-02-15",21.530001,21.639999,21.209999,21.530001,5027900,21.200731
"2018-02-16",21.42,21.6,21.27,21.450001,5000600,21.121954
"2018-02-20",21.5,21.68,21.1,21.190001,5505300,20.865929
"2018-02-21",21.190001,21.280001,20.790001,20.799999,4766100,20.481894
"2018-02-22",20.98,21.129999,20.65,20.66,4850700,20.344034
"2018-02-23",20.700001,20.93,20.290001,20.76,5902900,20.442507
"2018-02-26",20.809999,20.860001,20.4,20.639999,3267500,20.324339
"2018-02-27",20.540001,20.639999,19.83,19.85,3176400,19.665522
"2018-02-28",19.83,19.950001,19.299999,19.32,3943200,19.140446
"2018-03-01",19.15,19.24,18.91,19.040001,5112900,18.863049
"2018-03-02",18.950001,19.48,18.870001,19.450001,4948900,19.269239
"2018-03-05",19.17,19.540001,18.940001,19.34,4543500,19.160261
"2018-03-06",19.440001,19.530001,19.120001,19.25,4999300,19.071096
"2018-03-07",19.120001,19.389999,19.1,19.209999,2734800,19.031467
"2018-03-08",19.299999,19.41,19.129999,19.32,2977300,19.140446
"2018-03-09",19.43,19.799999,19.200001,19.4,5598800,19.219702
"2018-03-12",19.41,19.459999,19.120001,19.190001,2725700,19.011656
"2018-03-13",19.200001,19.280001,18.950001,19.200001,3963000,19.021563
"2018-03-14",19.209999,19.27,18.92,18.969999,2490700,18.793697
"2018-03-15",18.940001,18.940001,18.559999,18.57,3172000,18.397417
"2018-03-16",18.469999,18.959999,18.43,18.82,6857100,18.645092
"2018-03-19",18.85,19.01,18.57,18.58,5280900,18.407324
"2018-03-20",18.639999,18.67,18.25,18.370001,3592200,18.199276
"2018-03-21",18.389999,18.540001,18.24,18.360001,3910600,18.189369
"2018-03-22",18.299999,18.360001,18.129999,18.200001,3259600,18.030855
"2018-03-23",18.190001,18.43,18.01,18.07,3488400,17.902063
"2018-03-26",18.290001,18.540001,18.219999,18.459999,4413200,18.288439
"2018-03-27",18.41,18.41,18.040001,18.290001,4399500,18.12002
"2018-03-28",18.389999,18.9,18.25,18.25,3971700,18.080391
