"","open","high","low","close","volume","adjusted"
"2018-01-02",55.630001,56.630001,55.02,56.34,5881300,55.922897
"2018-01-03",56.16,57.25,56.060001,57.049999,7735800,56.62764
"2018-01-04",57.349998,57.959999,56.639999,56.779999,5840300,56.359634
"2018-01-05",57.580002,57.950001,56.919998,57.720001,6308800,57.292683
"2018-01-08",57.34,58.970001,57.34,58.740002,6224700,58.30513
"2018-01-09",58.779999,59.759998,58.599998,59.259998,5862400,58.821274
"2018-01-10",59.119999,59.259998,58.240002,58.48,6474300,58.047054
"2018-01-11",58.619999,58.98,58.450001,58.689999,5460700,58.255497
"2018-01-12",58.630001,59.369999,58.630001,59.25,4744200,58.811352
"2018-01-16",59.869999,60.040001,57.970001,58.130001,10054900,57.699646
"2018-01-17",57.150002,58.220001,56.599998,57.689999,10827800,57.262897
"2018-01-18",57.709999,58.240002,57.59,58.049999,6911300,57.620232
"2018-01-19",58.080002,58.16,57.259998,57.490002,7541300,57.064381
"2018-01-22",57.619999,57.810001,56.950001,57.73,6000200,57.302605
"2018-01-23",57.439999,57.599998,56.369999,57.099998,9878000,56.677265
"2018-01-24",57.310001,57.310001,56.139999,56.869999,6557000,56.448971
"2018-01-25",56.290001,56.720001,55.869999,56.139999,9482300,55.724377
"2018-01-26",56.369999,58.009998,56.16,57.91,6081900,57.481274
"2018-01-29",57.560001,58.009998,57.040001,57.23,4166500,56.806305
"2018-01-30",57.209999,57.759998,56.48,56.860001,6402000,56.439049
"2018-01-31",57.18,57.720001,56.400002,56.77,6199600,56.349712
"2018-02-01",56.099998,57.099998,56.040001,56.580002,4079100,56.161121
"2018-02-02",56.189999,56.349998,55.200001,55.25,9275800,54.840965
"2018-02-05",54.889999,55.040001,51.959999,51.990002,9070200,51.605103
"2018-02-06",51.27,54,50.119999,53.82,10563700,53.421551
"2018-02-07",53.380001,54.360001,52.939999,52.970001,6496200,52.577847
"2018-02-08",52.91,53.16,50.459999,50.470001,7798100,50.096352
"2018-02-09",50.830002,51.349998,48.43,50.889999,12278200,50.513245
"2018-02-12",51.560001,53.599998,51.330002,53.16,11144700,52.766438
"2018-02-13",52.689999,53.709999,52.200001,53.560001,7490800,53.163475
"2018-02-14",53.259998,55.23,53.130001,55.150002,9448700,54.741707
"2018-02-15",55.720001,55.91,54.73,55.560001,5622900,55.148674
"2018-02-16",55.630001,56.419998,55.360001,56.099998,7596300,55.684673
"2018-02-20",55.73,55.970001,54.32,54.59,6388400,54.185852
