"","open","high","low","close","volume","adjusted"
"2018-01-02",150.869995,152.289993,150.539993,151.899994,810000,151.899994
"2018-01-03",152.369995,153.960007,151.410004,152.589996,1115000,152.589996
"2018-01-04",154.729996,154.800003,152.100006,153.610001,1049900,153.610001
"2018-01-05",152.940002,155.699997,152,155.600006,1081100,155.600006
"2018-01-08",155.100006,156.360001,154.169998,156.039993,1053000,156.039993
"2018-01-09",156.360001,156.770004,154.600006,154.990005,714100,154.990005
"2018-01-10",155.169998,156.039993,153.570007,154.509995,813000,154.509995
"2018-01-11",155.479996,159.520004,154.410004,157.860001,1416000,157.860001
"2018-01-12",158.460007,159.369995,156.899994,159.089996,879500,159.089996
"2018-01-16",159.559998,160.369995,156.320007,156.720001,995500,156.720001
"2018-01-17",156.789993,157.600006,155.020004,156.580002,916500,156.580002
"2018-01-18",155.520004,158.449997,154.850006,156.470001,872800,156.470001
"2018-01-19",156.289993,157.210007,155.119995,156.190002,1083300,156.190002
"2018-01-22",156.800003,160.520004,156.449997,160.410004,1227700,160.410004
"2018-01-23",160.839996,161.899994,159.240005,160.529999,930100,160.529999
"2018-01-24",161.169998,161.960007,158.820007,160.899994,1145000,160.899994
"2018-01-25",161.539993,162.210007,159.059998,159.789993,792100,159.789993
"2018-01-26",160.460007,162.009995,159.660004,161.660004,866500,161.660004
"2018-01-29",160.610001,162.910004,159.960007,161.279999,815400,161.279999
"2018-01-30",159.899994,159.899994,156.139999,157.360001,1605800,157.360001
"2018-01-31",157.75,158.5,156.169998,157.440002,1007500,157.440002
"2018-02-01",158.029999,159.649994,156.440002,159.259995,1003200,159.259995
"2018-02-02",156.809998,157.779999,153.460007,154.529999,1718300,154.529999
"2018-02-05",152.460007,156.5,150.559998,151.440002,1956500,151.440002
"2018-02-06",148.970001,152.419998,145.419998,149.050003,3023100,149.050003
"2018-02-07",149.979996,151.770004,147.919998,148.100006,1992600,148.100006
"2018-02-08",148.009995,148.949997,140.070007,140.089996,2184600,140.089996
"2018-02-09",140.639999,141.389999,133.580002,138.979996,2347300,138.979996
"2018-02-12",140.970001,145.130005,140.309998,143.479996,1720400,143.479996
"2018-02-13",142.220001,143.369995,141.009995,141.660004,1178000,141.660004
"2018-02-14",140.660004,147.279999,140.119995,146.860001,1124800,146.860001
"2018-02-15",146.889999,147.350006,143.649994,146.039993,1384900,146.039993
"2018-02-16",145.589996,147.520004,144.860001,146.520004,1037900,146.520004
"2018-02-20",147,149.210007,145.979996,147.149994,1384500,147.149994
"2018-02-21",153.699997,153.699997,144.899994,149.160004,2911900,149.160004
"2018-02-22",150.389999,151.020004,147.949997,149.179993,1602100,149.179993
"2018-02-23",149.759995,152.970001,149.139999,152.809998,1259400,152.809998
"2018-02-26",153.919998,157.009995,153.009995,154.949997,1523300,154.949997
"2018-02-27",154.789993,156.119995,153.080002,153.089996,1130600,153.089996
"2018-02-28",154.339996,155.020004,150.789993,150.800003,1196100,150.800003
"2018-03-01",151.179993,152.119995,149.25,150.339996,1215900,150.339996
"2018-03-02",149.5,151.070007,147.75,150.570007,1285900,150.570007
"2018-03-05",150.190002,153.720001,149.75,152.949997,732300,152.949997
"2018-03-06",153.610001,153.710007,150.770004,151.360001,1018700,151.360001
"2018-03-07",150.220001,152.839996,150.029999,152.550003,1040800,152.550003
"2018-03-08",152.979996,153.690002,149.059998,149.740005,1262300,149.740005
"2018-03-09",151.289993,153.770004,150.979996,153.289993,1232100,153.289993
"2018-03-12",153.910004,154.449997,151.389999,153.479996,926000,153.479996
"2018-03-13",154.389999,154.389999,149.580002,150.5,1006200,150.5
"2018-03-14",151.039993,151.899994,149.610001,150.210007,731400,150.210007
"2018-03-15",150.509995,151.600006,147.380005,148.259995,904300,148.259995
"2018-03-16",148.550003,150.330002,147.710007,148.490005,1550200,148.490005
"2018-03-19",147.089996,148.080002,144.940002,146.339996,843500,146.339996
"2018-03-20",147.570007,149.699997,146.710007,148.639999,889500,148.639999
"2018-03-21",149.75,155,149.419998,153.160004,1445400,153.160004
"2018-03-22",151.919998,153.960007,151.919998,153.020004,1630000,153.020004
"2018-03-23",153.779999,156.649994,152.789993,153.529999,1186100,153.529999
"2018-03-26",155.240005,157.309998,154.029999,157.220001,1229700,157.220001
"2018-03-27",157.419998,158.470001,156.270004,157,2094500,157
"2018-03-28",147.369995,150.460007,141.360001,143.25,12063300,143.25
"2018-03-29",145.199997,150.619995,143.529999,150.330002,6113000,150.330002
"2018-04-02",149.630005,149.940002,137.539993,140.419998,3144400,140.419998
"2018-04-03",140.210007,141.660004,136.169998,141.589996,3281400,141.589996
"2018-04-04",138.479996,141.600006,137.490005,141.179993,2357200,141.179993
"2018-04-05",142.259995,143.850006,138.639999,139.649994,3826100,139.649994
"2018-04-06",137.929993,138.270004,131.350006,133.630005,3024300,133.630005
"2018-04-09",134.139999,135.399994,132.75,133.380005,2248900,133.380005
"2018-04-10",135.320007,141.770004,135.179993,140.440002,3032300,140.440002
"2018-04-11",139.460007,147.169998,139.460007,146.770004,3427600,146.770004
"2018-04-12",146.75,150,144.600006,146.320007,2278800,146.320007
"2018-04-13",147.580002,151.479996,146.759995,151.020004,2860100,151.020004
"2018-04-16",151.009995,153.970001,149.789993,153.369995,3868300,153.369995
"2018-04-17",154.029999,154.809998,152.970001,153.470001,2389500,153.470001
"2018-04-18",155.149994,157.690002,154.740005,156.830002,2512000,156.830002
"2018-04-19",157.279999,160.460007,156.029999,157.449997,2640800,157.449997
"2018-04-20",156.559998,157.800003,154.850006,156.360001,2064600,156.360001
"2018-04-23",155.710007,158.369995,154.440002,157.160004,790700,157.160004
"2018-04-24",157.399994,158.130005,150.669998,151.710007,1719200,151.710007
"2018-04-25",152.229996,154.770004,151.25,154.600006,1406000,154.600006
"2018-04-26",154.899994,155.860001,153.860001,155.119995,1243800,155.119995
"2018-04-27",153.820007,155.899994,153.210007,154.589996,1351200,154.589996
"2018-04-30",154.619995,160.190002,154.009995,157.210007,1644400,157.210007
"2018-05-01",156.210007,157.440002,154.710007,157.029999,1654900,157.029999
"2018-05-02",160.300003,163.110001,156.630005,157.660004,2555600,157.660004
"2018-05-03",156.309998,156.309998,149.330002,152,2512600,152
"2018-05-04",152.259995,154.850006,151.369995,152.75,1662300,152.75
"2018-05-07",154,157.75,153.910004,155.270004,1357700,155.270004
"2018-05-08",154.520004,158.479996,151.839996,158.320007,1797100,158.320007
"2018-05-09",161.080002,162.539993,158.770004,159.470001,1598900,159.470001
"2018-05-10",160.710007,161.210007,155.350006,156.009995,2185800,156.009995
"2018-05-11",156.520004,156.919998,152.470001,152.699997,1426900,152.699997
"2018-05-14",153.080002,153.970001,150.389999,150.550003,2088000,150.550003
"2018-05-15",150.610001,150.690002,148.309998,149.649994,3129000,149.649994
"2018-05-16",149.429993,150.630005,148.119995,149.330002,1738600,149.330002
"2018-05-17",150.169998,155.330002,149.610001,154.919998,1640900,154.919998
"2018-05-18",154.639999,154.720001,153.080002,153.490005,1755400,153.490005
"2018-05-21",154.649994,155.050003,152.800003,153.899994,1195500,153.899994
"2018-05-22",154,154.699997,146.860001,147.440002,1601200,147.440002
"2018-05-23",145.830002,146.110001,141.679993,143.649994,2409200,143.649994
