"","open","high","low","close","volume","adjusted"
"X2018.01.01",1013.890015,1039.099976,969.440002,1019.419983,14727224,1019.419983
"X2018.01.02",1019.630005,1194.939941,1019.570007,1162.469971,36573606,1162.469971
"X2018.01.03",1162.469971,1167.5,1088.339966,1129.890015,26726159,1129.890015
"X2018.01.04",1130.099976,1200.170044,1036.819946,1120.119995,33869240,1120.119995
"X2018.01.05",1120.119995,1160.72998,1067.540039,1080.880005,32571046,1080.880005
"X2018.01.06",1080.880005,1184.640015,1062.920044,1160.349976,28798395,1160.349976
"X2018.01.07",1160.349976,1250.050049,1155.530029,1161.97998,38563763,1161.97998
"X2018.01.08",1161.959961,1186.810059,979.590027,1080.359985,34846463,1080.359985
"X2018.01.09",1080.359985,1133.199951,1040.150024,1107.160034,27723670,1107.160034
"X2018.01.10",1106.410034,1111.829956,1025.790039,1098.329956,30177194,1098.329956
"X2018.01.11",1098.329956,1108.02002,959.559998,1000.419983,30831790,1000.419983
"X2018.01.12",1000.150024,1065.300049,966.409973,1049.48999,20426770,1049.48999
"X2018.01.13",1049.48999,1131.98999,1049.48999,1098.150024,23037841,1098.150024
"X2018.01.14",1098.25,1112.109985,978.349976,999.609985,24783074,999.609985
"X2018.01.15",999.640015,1036.290039,932.940002,934.659973,27741251,934.659973
"X2018.01.16",934.659973,936.340027,628.659973,743.429993,69699249,743.429993
"X2018.01.17",743.429993,829.119995,611.200012,794.789978,42610143,794.789978
"X2018.01.18",794.789978,889.030029,747.070007,821.159973,32601881,821.159973
"X2018.01.19",821.570007,863.590027,786.789978,843.869995,17751204,843.869995
"X2018.01.20",843.869995,960.539978,837.150024,925.099976,23885218,925.099976
"X2018.01.21",925.099976,930.070007,795.119995,818.960022,18032254,818.960022
"X2018.01.22",818.960022,843.97998,706.119995,762.380005,16739378,762.380005
"X2018.01.23",762.23999,798.840027,690.01001,759.580017,19855775,759.580017
"X2018.01.24",759.52002,795.429993,728.690002,787.919983,13306142,787.919983
"X2018.01.25",787.669983,826.309998,784.52002,794.150024,12496449,794.150024
"X2018.01.26",794.150024,817.590027,738.539978,782.76001,14754538,782.76001
"X2018.01.27",782.76001,790.609985,752.619995,779.150024,13026939,779.150024
"X2018.01.28",779.150024,822.320007,770.159973,821.25,16567879,821.25
"X2018.01.29",821.47998,825.559998,754.460022,770.75,14082852,770.75
"X2018.01.30",770.599976,783.190002,676.22998,682.200012,18149508,682.200012
"X2018.01.31",682.150024,702.169983,655.700012,701.950012,11338948,701.950012
"X2018.02.01",702.150024,705.960022,587.719971,619.609985,16230698,619.609985
"X2018.02.02",620.049988,622.530029,452.820007,594.48999,32396166,594.48999
"X2018.02.03",595.409973,646.130005,533.409973,636.409973,15019530,636.409973
"X2018.02.04",636.47998,648.710022,532.859985,546.5,15859342,546.5
"X2018.02.05",546.5,555.809998,434.290009,451.269989,18416065,451.269989
"X2018.02.06",451.269989,535.400024,385.059998,523.059998,21723571,523.059998
"X2018.02.07",523,584.549988,489.869995,520.830017,15635323,520.830017
"X2018.02.08",520.830017,611.210022,520.599976,604.919983,13831500,604.919983
"X2018.02.09",604.919983,639.809998,578.390015,635.72998,14610877,635.72998
"X2018.02.10",635.390015,667.859985,598.169983,631.419983,15427950,631.419983
"X2018.02.11",631.359985,631.390015,557.849976,577.950012,11199114,577.950012
"X2018.02.12",577.869995,626.809998,577.080017,616.929993,8591921,616.929993
"X2018.02.13",616.929993,626.76001,580.23999,592.840027,7528930,592.840027
"X2018.02.14",592.859985,682.179993,592.119995,677.409973,17743857,677.409973
"X2018.02.15",677.359985,701.320007,660.039978,696.01001,15030066,696.01001
"X2018.02.16",696.01001,720.630005,676.530029,694.159973,12518255,694.159973
"X2018.02.17",693.950012,748.340027,688.840027,739.429993,11721970,739.429993
"X2018.02.18",739.429993,743.210022,665.099976,686.099976,16591994,686.099976
"X2018.02.19",686.099976,732.72998,684.650024,727.719971,11252985,727.719971
"X2018.02.20",727.619995,738.01001,680.159973,686.25,19120756,686.25
"X2018.02.21",686.25,717.97998,655.859985,661.469971,22789624,661.469971
"X2018.02.22",662.030029,684.469971,595.789978,629.409973,16346207,629.409973
"X2018.02.23",629.409973,654.340027,603.140015,632.099976,10714207,632.099976
"X2018.02.24",632.22998,646.330017,576.51001,591.640015,10404390,591.640015
"X2018.02.25",591.599976,603.72998,578.72998,593.210022,6498856,593.210022
"X2018.02.26",593.890015,633.330017,577.450012,623.380005,8906522,623.380005
"X2018.02.27",623.380005,645.789978,606.01001,612.049988,10378314,612.049988
"X2018.02.28",611.940002,621.98999,584.640015,585.690002,11329250,585.690002
"X2018.03.01",585.5,625.909973,583.22998,621.059998,7714722,621.059998
"X2018.03.02",621.059998,623.659973,599.52002,605.830017,7681179,605.830017
"X2018.03.03",606.159973,622.099976,598.309998,613.869995,6805177,613.869995
"X2018.03.04",613.609985,624.539978,598.960022,621.97998,7483711,621.97998
"X2018.03.05",621.97998,625.640015,608.47998,615.210022,7235435,615.210022
"X2018.03.06",615.210022,615.210022,565.25,583.01001,10103900,583.01001
"X2018.03.07",583.01001,591.47998,509.98999,514.900024,11312859,514.900024
"X2018.03.08",514.789978,533.25,486.910004,496.690002,9912490,496.690002
"X2018.03.09",496.76001,504.450012,445.839996,502.01001,12308331,502.01001
"X2018.03.10",502.01001,531.840027,481.779999,487.48999,7547758,487.48999
"X2018.03.11",487.880005,551.02002,472.190002,530.25,9487673,530.25
"X2018.03.12",530.52002,550.869995,486.070007,502.390015,9640782,502.390015
"X2018.03.13",502.440002,516.330017,480.640015,490.76001,7783885,490.76001
"X2018.03.14",490.540009,501.730011,415.089996,432.820007,7797217,432.820007
"X2018.03.15",432.799988,435.859985,395.059998,419.049988,10298677,419.049988
"X2018.03.16",418.940002,438.23999,403.179993,430.820007,7854827,430.820007
"X2018.03.17",430.820007,433.209991,387.149994,392.899994,7972164,392.899994
"X2018.03.18",392.899994,398.029999,345.149994,397.329987,13088436,397.329987
"X2018.03.19",397.230011,413.890015,368.420013,413.410004,12697105,413.410004
"X2018.03.20",413.410004,446.850006,398.429993,429.950012,9034409,429.950012
"X2018.03.21",429.809998,456.119995,423.880005,434.609985,8297994,434.609985
"X2018.03.22",434.570007,442.73999,399.829987,412.429993,6891280,412.429993
"X2018.03.23",412.130005,436.290009,393.859985,432.540009,7062122,432.540009
"X2018.03.24",432.619995,464.559998,423.040009,423.049988,8327729,423.049988
"X2018.03.25",422.709991,426.579987,412.329987,414.640015,6356046,414.640015
"X2018.03.25.1",414.450012,418.589996,374.209991,391.359985,7903302,391.359985
"X2018.03.26",391.359985,395.779999,356.170013,356.630005,7276129,356.630005
"X2018.03.27",356.630005,370.859985,350.089996,353.019989,5978662,353.019989
"X2018.03.28",353.059998,353.579987,317.309998,330.940002,11811236,330.940002
"X2018.03.29",330.929993,335.880005,305.779999,312.929993,8949315,312.929993
"X2018.03.30",312.820007,331.339996,306.26001,310.25,5814386,310.25
"X2018.03.31",310.100006,315.029999,288.660004,295.51001,7607828,295.51001
"X2018.04.01",295.51001,316.420013,291.450012,316.25,4837545,316.25
"X2018.04.02",316.230011,350.940002,316.230011,342.119995,7573344,342.119995
"X2018.04.03",342.119995,342.359985,299.970001,303.130005,8728976,303.130005
"X2018.04.04",303.130005,307.5,290.640015,304.26001,6467932,304.26001
"X2018.04.05",304.209991,307.470001,282.570007,289.859985,5017770,289.859985
"X2018.04.06",289.910004,312.209991,288.98999,299.670013,6225694,299.670013
"X2018.04.07",299.649994,318.279999,299.570007,312.399994,3405196,312.399994
"X2018.04.08",312.399994,324.609985,292.970001,299.829987,4794780,299.829987
"X2018.04.09",299.829987,303.670013,293.109985,302.549988,4066402,302.549988
"X2018.04.10",302.549988,313.170013,299.220001,312.690002,5329286,312.690002
"X2018.04.11",312.950012,359.73999,306.579987,359.73999,10190421,359.73999
"X2018.04.12",359.850006,392.899994,348.859985,354.549988,11416147,354.549988
"X2018.04.13",354.600006,377.970001,352.899994,360.470001,6783195,360.470001
"X2018.04.14",360.470001,390.980011,360.470001,384.75,7844818,384.75
"X2018.04.15",384.75,384.920013,356.700012,366.399994,6853529,366.399994
"X2018.04.16",366.399994,382.679993,362.079987,368.140015,5782356,368.140015
"X2018.04.17",368.140015,425.190002,366.809998,423.320007,13794852,423.320007
"X2018.04.18",423.320007,438.179993,409.640015,435.059998,9929019,435.059998
"X2018.04.19",434.859985,468.559998,428.420013,462.76001,14700487,462.76001
"X2018.04.20",462.679993,464.329987,427.329987,445.290009,8849699,445.290009
"X2018.04.21",445.230011,484.369995,440.769989,470.290009,8506422,470.290009
"X2018.04.22",470.290009,528.25,461.23999,506.470001,18867476,506.470001
"X2018.04.23",506.470001,544.130005,505.820007,525.859985,16161963,525.859985
"X2018.04.24",525.419983,527.22998,448.670013,462.980011,17665290,462.980011
"X2018.04.25",462.980011,505.309998,448.429993,504.339996,10878790,504.339996
"X2018.04.26",504.339996,505.829987,470.73999,471.390015,9855211,471.390015
"X2018.04.27",471.390015,504.920013,470.359985,496.350006,7337368,496.350006
"X2018.04.28",496.350006,509.910004,478.019989,499.200012,7424333,499.200012
"X2018.04.29",499.170013,502.359985,471.190002,472.869995,9491320,472.869995
"X2018.04.30",472.869995,486.890015,455.26001,478.769989,8396357,478.769989
"X2018.05.01",478.769989,489.720001,464.380005,487.079987,7650261,487.079987
"X2018.05.02",487.079987,515.109985,482.380005,504.51001,10490910,504.51001
"X2018.05.03",504.410004,504.410004,478.359985,487.299988,9437653,487.299988
"X2018.05.04",487.299988,510.910004,486.179993,508.829987,8512892,508.829987
"X2018.05.05",508.829987,525.380005,479.619995,485.679993,8442187,485.679993
"X2018.05.06",485.679993,486.299988,446.410004,457.660004,10980910,457.660004
"X2018.05.07",457.660004,468.380005,436.390015,442.589996,7086371,442.589996
"X2018.05.08",442.589996,447.619995,413.079987,443.220001,8263279,443.220001
"X2018.05.09",443.279999,462.320007,417.609985,418.420013,8080196,418.420013
"X2018.05.10",418.420013,433.570007,387.230011,391.920013,10406503,391.920013
"X2018.05.11",392.029999,410.420013,377.649994,404.089996,5963491,404.089996
"X2018.05.12",404.089996,421.589996,393.429993,416.480011,4954245,416.480011
"X2018.05.13",416.480011,453.279999,388.850006,432.869995,10038232,432.869995
"X2018.05.14",432.869995,453.119995,421.920013,426.73999,10135435,426.73999
"X2018.05.15",426.73999,427.220001,395.329987,412.600006,7041291,412.600006
"X2018.05.16",412.609985,417.899994,385.940002,387.940002,6475240,387.940002
"X2018.05.17",387.720001,396.649994,373.950012,394.26001,6500267,394.26001
"X2018.05.18",394.079987,403.290009,383.440002,384.730011,6763513,384.730011
"X2018.05.19",384.730011,404.100006,383.320007,401.170013,5871005,401.170013
"X2018.05.20",401.339996,403.570007,382.73999,384.269989,6242299,384.269989
"X2018.05.21",384.269989,385.690002,356.720001,358.149994,6675060,358.149994
"X2018.05.22",358.149994,358.950012,331.839996,339.940002,7331466,339.940002
"X2018.05.23",340.350006,349.549988,326.350006,345.359985,5928729,345.359985
"X2018.05.24",345.359985,347.779999,329.26001,339.630005,5667053,339.630005
"X2018.05.25",339.630005,340.790009,322.390015,322.609985,4969087,322.609985
"X2018.05.26",322.609985,322.619995,313.380005,316.559998,4506359,316.559998
"X2018.05.27",316.559998,322.570007,285.190002,286.959991,5502613,286.959991
"X2018.05.28",286.959991,321.869995,284.470001,316.540009,6746803,316.540009
"X2018.05.29",316.540009,320.570007,296.420013,304.690002,5197560,304.690002
"X2018.05.30",304.690002,315.25,300.070007,305.01001,3434304,305.01001
"X2018.05.31",305.790009,316.929993,301.839996,315.790009,3038199,315.790009
"X2018.06.01",315.899994,327.850006,310.290009,321.790009,3767181,321.790009
"X2018.06.02",321.790009,335.589996,321.790009,329.820007,2529896,329.820007
"X2018.06.03",329.820007,334.029999,311.790009,317.75,3727999,317.75
"X2018.06.04",317.75,321.869995,307.670013,318.679993,6020044,318.679993
"X2018.06.05",318.649994,319.700012,307.899994,315.089996,4278807,315.089996
"X2018.06.06",315.089996,319.429993,313.559998,315.720001,4373356,315.720001
"X2018.06.07",315.720001,317.320007,302.350006,310.709991,2821777,310.709991
"X2018.06.08",310.709991,312.529999,297.149994,297.75,3136375,297.75
"X2018.06.09",297.75,297.959991,268.170013,270.25,5998779,270.25
"X2018.06.10",270.25,276.470001,258.660004,270.619995,2413884,270.619995
"X2018.06.11",270.619995,276.630005,257.959991,259.98999,3786057,259.98999
"X2018.06.12",259.98999,264.670013,240.789993,245.789993,2628268,245.789993
"X2018.06.13",245.789993,272.570007,245.070007,267.559998,2838011,267.559998
"X2018.06.14",267.559998,269.779999,254.470001,255.300003,2103380,255.300003
"X2018.06.15",255.300003,270.119995,254.970001,267.660004,1563128,267.660004
"X2018.06.16",267.660004,274.399994,262.670013,265.649994,2196190,265.649994
"X2018.06.17",265.609985,267.660004,250.889999,264.959991,2679528,264.959991
