"","open","high","low","close","volume","adjusted"
"2018-01-02",156.669998,158.059998,156.550003,158.009995,1897600,156.607788
"2018-01-03",157.889999,159.100006,157.639999,158.729996,1392300,157.321396
"2018-01-04",159.199997,160.100006,157.350006,159.639999,1747000,158.223328
"2018-01-05",159.800003,160.470001,156.589996,160.320007,1574400,158.897293
"2018-01-08",160.050003,161.179993,158.899994,161.110001,2711800,159.680283
"2018-01-09",162.009995,165.979996,161.520004,165.600006,4345200,164.130432
"2018-01-10",166.740005,168.440002,164.100006,164.940002,5473700,163.476288
"2018-01-11",165.130005,167.550003,163.770004,167.460007,1958200,165.973938
"2018-01-12",168.449997,170.729996,167.960007,169.300003,2316500,167.797592
"2018-01-16",170.149994,170.610001,166.360001,167.539993,2046100,166.053207
"2018-01-17",168.600006,168.639999,166.389999,167.429993,1940600,165.944183
"2018-01-18",166.960007,168.449997,166.259995,167.899994,2185900,166.410019
"2018-01-19",168.529999,170.320007,168.089996,170.320007,1613900,168.808563
"2018-01-22",170,170.399994,168.720001,170.380005,1401000,168.868011
"2018-01-23",169.899994,170.089996,168.429993,168.660004,1365000,167.163284
"2018-01-24",169.710007,170.429993,168.059998,169.600006,1448700,168.09494
"2018-01-25",171,171.399994,166.910004,169.130005,1651300,167.629105
"2018-01-26",169.5,171.960007,169.139999,171.490005,1554500,169.96817
"2018-01-29",171.490005,171.949997,168.759995,169.179993,1487600,167.67865
"2018-01-30",167.75,169.399994,166.820007,168.509995,1712700,167.014603
"2018-01-31",169.419998,170.580002,166.160004,166.419998,1969800,164.943146
"2018-02-01",165.990005,168.389999,164.259995,167.850006,1721300,166.360474
"2018-02-02",166.660004,167.929993,164.720001,164.960007,2568700,163.496124
"2018-02-05",163.100006,166.059998,156.970001,157.020004,3549600,155.626587
"2018-02-06",153.949997,162.259995,151.449997,161.880005,3377400,160.443451
"2018-02-07",161.169998,164.160004,160.910004,161.440002,2378800,160.007339
"2018-02-08",161.199997,161.220001,153.610001,153.660004,3051300,152.296402
"2018-02-09",155.410004,157.149994,148.600006,154.929993,3895300,153.555115
"2018-02-12",156.740005,160.360001,155.910004,159.210007,2343100,157.79715
"2018-02-13",158.020004,161.610001,157.559998,161.300003,1795900,159.868607
"2018-02-14",159.960007,164.880005,159.759995,163.279999,2854000,161.831024
"2018-02-15",165,167.419998,162.990005,166.809998,3026200,165.329697
"2018-02-16",165.759995,175.259995,162.009995,169.440002,6626900,167.936356
"2018-02-20",169.039993,169.960007,163.649994,164.770004,3750400,163.3078
"2018-02-21",164.800003,166.779999,161.970001,162.089996,2753300,160.651566
"2018-02-22",163,165.800003,162.759995,164.160004,1908800,162.703201
"2018-02-23",165.020004,166.259995,162.869995,166.240005,2038800,164.764755
"2018-02-26",167.050003,168.309998,165.630005,167.460007,1770000,165.973938
"2018-02-27",167.529999,167.529999,163.580002,163.580002,2281800,162.128357
"2018-02-28",163.919998,164.919998,160.869995,160.869995,2781400,159.442413
"2018-03-01",160.75,162.850006,155.740005,156.809998,3697000,155.418442
"2018-03-02",155.550003,156.259995,151.779999,153.309998,4169500,151.949493
"2018-03-05",152.539993,158.240005,151.039993,157.539993,3093400,156.141953
"2018-03-06",158.600006,159.570007,157.460007,158.509995,2394000,157.103348
"2018-03-07",156.039993,158.320007,154.979996,157.899994,2589100,156.498749
"2018-03-08",157.690002,161.350006,155.720001,161.059998,3508000,159.630722
"2018-03-09",162,168.009995,161.729996,167.929993,3828000,166.439743
"2018-03-12",167.960007,168.050003,162.800003,164.029999,2260900,162.574356
"2018-03-13",164.960007,166.309998,160.669998,161.320007,2732300,159.888412
"2018-03-14",162.419998,162.5,158.899994,160.210007,2243000,158.788269
"2018-03-15",160.919998,161.679993,159.149994,159.600006,1320700,158.183685
"2018-03-16",159.720001,163.979996,159.369995,163.880005,3818700,162.425705
"2018-03-19",162.649994,162.929993,157.830002,159.529999,2798600,158.114304
"2018-03-20",160.199997,162.050003,159.179993,159.990005,1499400,158.570221
"2018-03-21",158.889999,160.440002,155.729996,158.050003,2901100,156.64743
"2018-03-22",153.740005,156.369995,151.210007,151.580002,3768800,150.234848
"2018-03-23",151.759995,153.729996,147.600006,148,2940600,146.68663
"2018-03-26",151.389999,153.679993,148.899994,153.339996,2463800,151.979233
"2018-03-27",154.240005,156.990005,150.899994,152.160004,2691400,150.809708
"2018-03-28",151.479996,153.630005,148.789993,151.479996,2655000,150.730087
"2018-03-29",152.399994,155.830002,151.520004,155.320007,3526700,154.551086
"2018-04-02",154.380005,154.880005,149.289993,151.820007,2150600,151.06842
"2018-04-03",152.690002,153.210007,149.759995,153.039993,1957400,152.282364
"2018-04-04",145.320007,149.160004,143.570007,148.570007,4478100,147.834503
"2018-04-05",149.919998,153.229996,149.309998,151.339996,2963400,150.59079
"2018-04-06",149.330002,149.800003,143.029999,145.389999,3294000,144.670242
"2018-04-09",146.669998,147.440002,142.729996,142.960007,3629600,142.252274
"2018-04-10",146.050003,149.490005,145.440002,148.009995,2597400,147.277267
"2018-04-11",145.270004,146.179993,144.25,144.410004,2309000,143.695099
"2018-04-12",145.649994,151.179993,145.649994,150.259995,3258100,149.516129
"2018-04-13",151.710007,152,148.979996,149.979996,2634900,149.237518
"2018-04-16",151.169998,151.279999,148.289993,148.979996,2608100,148.242462
"2018-04-17",150.690002,152.149994,149.149994,149.149994,1957800,148.411621
"2018-04-18",150.589996,151.710007,149.410004,149.770004,2022000,149.028564
"2018-04-19",149.830002,150.520004,146.5,148.100006,2290300,147.366837
"2018-04-20",148.330002,149.869995,146.300003,146.960007,1896700,146.232483
"2018-04-23",147.25,147.820007,145.320007,146.039993,1245200,145.317017
"2018-04-24",148.309998,149.149994,137.410004,138.110001,5467900,137.426285
"2018-04-25",138.070007,139.899994,136.100006,138,3067300,137.316833
"2018-04-26",138.050003,138.240005,133.699997,136.330002,4071600,135.65509
"2018-04-27",136.699997,139.929993,136.330002,137.559998,2602000,136.878998
"2018-04-30",137.740005,138.440002,135.220001,135.330002,2533400,134.660049
"2018-05-01",134.759995,136.220001,132.179993,135.369995,2378800,134.699844
"2018-05-02",135.410004,137.880005,134.589996,134.75,2585000,134.082916
"2018-05-03",136,137.419998,131.259995,136.869995,3716900,136.192413
"2018-05-04",136.119995,138.25,135.149994,137.300003,1934700,136.6203
"2018-05-07",140,141.770004,139.270004,140.220001,1840900,139.525833
"2018-05-08",140.649994,142.699997,140.220001,142.070007,2189300,141.366684
"2018-05-09",143.210007,145.529999,142.089996,145.160004,2332600,144.441391
