"","open","high","low","close","volume","adjusted"
"2018-01-02",18.700001,19.32,18.48,19.309999,1197600,19.309999
"2018-01-03",19.389999,20.23,19.139999,19.77,1572500,19.77
"2018-01-04",19.459999,19.6,18.93,19.48,2317000,19.48
"2018-01-05",19.25,19.34,18.799999,19.049999,1286000,19.049999
"2018-01-08",18.92,19.860001,18.77,19.84,1775400,19.84
"2018-01-09",19.879999,20.1,19.51,19.68,819600,19.68
"2018-01-10",19.83,19.950001,19.6,19.700001,902800,19.700001
"2018-01-11",19.540001,20.35,19.209999,19.959999,1937800,19.959999
"2018-01-12",20,20.41,20,20.129999,1202200,20.129999
"2018-01-16",20.129999,20.24,19.25,19.27,1292300,19.27
"2018-01-17",19.25,19.959999,19.209999,19.76,1786800,19.76
"2018-01-18",19.34,19.67,19.200001,19.27,1012000,19.27
"2018-01-19",19.110001,19.75,19.01,19.629999,1386300,19.629999
"2018-01-22",19.68,19.959999,19.629999,19.92,1693000,19.92
"2018-01-23",19.58,19.950001,19.43,19.75,2027500,19.75
"2018-01-24",19.799999,19.82,18.93,19,1520200,19
"2018-01-25",19.24,19.370001,18.639999,19.24,1462100,19.24
"2018-01-26",19.299999,19.34,19.040001,19.059999,1259800,19.059999
"2018-01-29",18.93,18.950001,18.190001,18.219999,1548500,18.219999
"2018-01-30",18,18.049999,17.66,17.780001,1303600,17.780001
"2018-01-31",17.790001,17.92,17.59,17.68,1135000,17.68
"2018-02-01",17.690001,18.370001,17.690001,18.02,1413100,18.02
"2018-02-02",17.76,17.809999,16.700001,16.809999,1982000,16.809999
"2018-02-05",16.530001,16.889999,15.9,16.07,1676200,16.07
"2018-02-06",15.65,16.57,15.65,16.370001,2642700,16.370001
"2018-02-07",16.35,16.76,15.55,15.57,1721000,15.57
"2018-02-08",15.67,15.86,14.92,14.92,1945400,14.92
"2018-02-09",14.85,15.08,14.23,14.89,3715200,14.89
"2018-02-12",15,15.43,14.2,15.14,5183200,15.14
"2018-02-13",15,15,14.08,14.09,2924300,14.09
"2018-02-14",14,14.45,13.72,14.21,3686800,14.21
"2018-02-15",14.27,14.27,13.64,13.83,2829700,13.83
"2018-02-16",13.74,14.07,13.64,13.74,1892500,13.74
"2018-02-20",13.81,14.48,13.75,13.91,1824800,13.91
"2018-02-21",13.95,14.63,13.81,13.96,1648900,13.96
"2018-02-22",14.19,14.85,14.19,14.61,1832100,14.61
"2018-02-23",14.75,15.37,14.68,15.35,2151900,15.35
"2018-02-26",15.44,15.69,14.92,15.53,1987600,15.53
"2018-02-27",15.57,15.89,15.35,15.38,1841700,15.38
"2018-02-28",15.46,15.48,14.5,14.5,2503000,14.5
"2018-03-01",14.42,14.85,14.35,14.48,1743300,14.48
"2018-03-02",14.31,14.72,13.85,14.68,1469000,14.68
"2018-03-05",14.5,15.39,14.49,15.09,1497000,15.09
"2018-03-06",15.17,15.33,14.76,14.91,1019600,14.91
"2018-03-07",14.75,14.93,14.33,14.54,1421600,14.54
"2018-03-08",14.58,14.79,14.4,14.7,1424900,14.7
"2018-03-09",14.89,15.39,14.82,15.21,1082500,15.21
"2018-03-12",15.2,15.55,15.17,15.23,1141800,15.23
"2018-03-13",15.25,15.45,14.86,14.98,946100,14.98
"2018-03-14",15.08,15.31,14.92,15.18,802300,15.18
"2018-03-15",15.26,15.42,14.76,14.91,1574500,14.91
"2018-03-16",14.87,15.59,14.85,15.45,2310000,15.45
"2018-03-19",15.31,15.34,14.65,14.86,1540200,14.86
"2018-03-20",14.98,15.08,14.79,14.87,1457000,14.87
"2018-03-21",15,16.23,14.84,16.129999,2363300,16.129999
"2018-03-22",15.87,16.08,15.49,15.49,1924700,15.49
"2018-03-23",15.61,16.08,15.51,15.54,1918100,15.54
"2018-03-26",15.81,15.83,14.87,15.36,1498800,15.36
"2018-03-27",15.49,15.54,14.59,14.7,1613800,14.7
"2018-03-28",14.61,14.75,14.1,14.24,1897300,14.24
"2018-03-29",14.35,14.71,14.26,14.66,2317300,14.66
"2018-04-02",14.5,14.76,13.97,14.39,1590800,14.39
"2018-04-03",14.44,15.18,14.23,15,1940800,15
"2018-04-04",14.58,15.18,14.27,15.09,2385900,15.09
"2018-04-05",15.2,16.309999,15.07,16.07,1984600,16.07
"2018-04-06",15.9,16.209999,15.54,15.79,1494600,15.79
"2018-04-09",16.01,16.15,15.71,15.93,1038100,15.93
"2018-04-10",16.379999,17.26,16.17,17,1749400,17
"2018-04-11",17.120001,18.41,17,18.309999,3108300,18.309999
"2018-04-12",18.209999,18.65,17.690001,18.389999,2005600,18.389999
