"","open","high","low","close","volume","adjusted"
"2018-01-02",97.370003,97.370003,95.209999,95.269997,1763900,94.803146
"2018-01-03",95.18,95.610001,94.790001,95.32,1202300,94.852905
"2018-01-04",95.360001,96.480003,95.360001,95.769997,1256500,95.300697
"2018-01-05",95.93,96,95.160004,95.5,1036200,95.032021
"2018-01-08",95.620003,95.989998,95.199997,95.68,1043800,95.211143
"2018-01-09",95.769997,95.980003,95.239998,95.519997,897500,95.051926
"2018-01-10",95.370003,95.800003,94.610001,95.669998,1007100,95.201187
"2018-01-11",95.610001,96.160004,95.379997,95.639999,950900,95.171333
"2018-01-12",95.769997,95.769997,95.18,95.239998,853200,94.773293
"2018-01-16",95.5,95.639999,94.82,94.910004,1462300,94.444916
"2018-01-17",95.389999,96.449997,95.059998,95.900002,1040300,95.430061
"2018-01-18",95.860001,95.970001,94.860001,95.32,1386200,94.852905
"2018-01-19",95.769997,96.989998,95.650002,96.349998,1117400,95.877853
"2018-01-22",96.349998,96.800003,96.260002,96.760002,613200,96.285851
"2018-01-23",96.720001,97.239998,96.160004,96.730003,705100,96.255997
"2018-01-24",96.730003,96.730003,95.809998,95.959999,1050500,95.489769
"2018-01-25",96.089996,96.160004,95.440002,95.690002,1099000,95.221092
"2018-01-26",95.449997,95.919998,95.190002,95.650002,1156200,95.18129
"2018-01-29",126.580002,126.650002,116.910004,117.07,24777100,116.496323
"2018-01-30",116.949997,119.5,116.830002,119,5333600,118.41687
"2018-01-31",119.230003,120.489998,118.910004,119.349998,5963400,118.765152
"2018-02-01",119.099998,120.580002,119.099998,120.099998,5438200,119.511475
"2018-02-02",119.559998,119.940002,118.709999,118.709999,4400500,118.128288
"2018-02-05",118.449997,119.239998,118.019997,118.330002,3820600,117.750153
"2018-02-06",117.5,119.580002,117.489998,118.349998,4319800,117.77005
"2018-02-07",118.379997,119.150002,118,118,2981800,117.421768
"2018-02-08",118.220001,118.400002,116.93,116.93,3424000,116.35701
"2018-02-09",117.110001,117.800003,116.25,116.709999,3014600,116.138084
"2018-02-12",116.949997,117.660004,116.5,116.739998,2754500,116.167938
"2018-02-13",116.269997,116.93,115.900002,115.949997,2692600,115.381813
"2018-02-14",115.760002,116.639999,114.790001,114.910004,2768800,114.346916
"2018-02-15",115,116.230003,114.760002,115.510002,2145600,114.94397
