"","open","high","low","close","volume","adjusted"
"2018-01-02",96.779999,97.339996,95.57,96.32,2015000,95.011528
"2018-01-03",96.730003,98.68,96.599998,98.540001,1632400,97.20137
"2018-01-04",99.519997,100.110001,98.410004,98.519997,2156000,97.181641
"2018-01-05",98.839996,99.32,97.879997,99.309998,1303100,97.960907
"2018-01-08",99,99.309998,97.050003,98.779999,1857300,97.438118
"2018-01-09",98.480003,98.540001,97.190002,97.489998,1884900,96.782898
"2018-01-10",97.459999,97.559998,96.599998,96.790001,1353900,96.087975
"2018-01-11",97.050003,97.949997,96.860001,97.599998,1277400,96.892097
"2018-01-12",97.989998,99.410004,97.760002,98.019997,1076300,97.309052
"2018-01-16",98.690002,98.860001,96.309998,96.739998,1565600,96.038338
"2018-01-17",97.57,98.580002,97.059998,97.459999,1212300,96.75312
"2018-01-18",97.150002,97.800003,96.809998,97.360001,913800,96.653847
"2018-01-19",97.730003,99.110001,97.68,99.040001,1306200,98.321655
"2018-01-22",98.720001,98.800003,96.690002,98.059998,1200100,97.348763
"2018-01-23",97.709999,98.580002,97.440002,97.489998,818800,96.782898
"2018-01-24",97.949997,98.309998,97.040001,97.550003,732300,96.842468
"2018-01-25",98,98.550003,96.769997,97.860001,985500,97.150215
"2018-01-26",97.989998,98.599998,97.099998,98.489998,838900,97.775642
"2018-01-29",98.339996,98.980003,97.75,98.230003,809600,97.517532
"2018-01-30",98.07,98.379997,96.519997,96.540001,1273300,95.83979
"2018-01-31",96.580002,97.139999,95.339996,95.849998,1798300,95.154793
"2018-02-01",95.400002,97.550003,95.019997,97.510002,1561100,96.802757
"2018-02-02",97.169998,97.410004,95.989998,96.040001,1701900,95.343414
"2018-02-05",95.559998,98.330002,94.220001,94.220001,1687900,93.536621
"2018-02-06",92.580002,94.93,91.150002,94.379997,2462000,93.695457
"2018-02-07",93.849998,96.230003,93.830002,95.080002,1213500,94.390381
"2018-02-08",95.349998,95.660004,91.230003,91.330002,1776500,90.66758
"2018-02-09",92.230003,93.410004,90.230003,92.690002,1648200,92.017715
"2018-02-12",93.25,94.870003,93.150002,94.220001,1343900,93.536621
"2018-02-13",93.870003,95,93.230003,94.720001,1965700,94.03299
"2018-02-14",94.709999,96.089996,94.18,95.610001,1276400,94.916534
"2018-02-15",96.089996,97.860001,95.860001,97.690002,1836400,96.981453
"2018-02-16",97.400002,97.720001,96.110001,96.519997,1240400,95.819931
"2018-02-20",95.980003,96.129997,94.25,94.900002,1170600,94.211685
"2018-02-21",94.839996,96.650002,94.839996,95.300003,1160000,94.608788
"2018-02-22",95.610001,96.379997,94.870003,95.190002,867200,94.499588
"2018-02-23",95.480003,95.75,94.209999,95.349998,1406800,94.658417
"2018-02-26",95.57,96.379997,95.379997,96.32,806000,95.621384
"2018-02-27",96.459999,96.970001,92.830002,92.879997,1660300,92.206337
"2018-02-28",92.860001,94.059998,91.870003,92.190002,3265600,91.521347
"2018-03-01",92.389999,94.360001,91.769997,92.5,1115500,91.829094
"2018-03-02",91.980003,95.709999,91.980003,95.470001,2294800,94.77755
"2018-03-05",95.160004,95.580002,94.099998,94.449997,1857300,93.764946
"2018-03-06",94.870003,94.870003,93.080002,94.120003,1468500,93.437347
"2018-03-07",93.25,93.559998,92.459999,93.389999,1714800,92.712639
