"","open","high","low","close","volume","adjusted"
"X2018.01.01",7.69,7.95,7.2,7.64,16182124,7.64
"X2018.01.02",7.64,8.6,7.63,8.3,37943548,8.3
"X2018.01.03",8.3,9.43,7.84,9.43,36750566,9.43
"X2018.01.04",9.43,10.49,9.15,9.47,68944379,9.47
"X2018.01.05",9.47,9.85,8.51,9.29,39367702,9.29
"X2018.01.06",9.29,9.9,8.73,9.83,29054146,9.83
"X2018.01.07",9.83,10.89,9.76,10.16,38918502,10.16
"X2018.01.08",10.16,10.39,8.14,9.6,46591820,9.6
"X2018.01.09",9.6,9.74,8.8,9.23,20872868,9.23
"X2018.01.10",9.23,11.49,8.37,11.2,86012294,11.2
"X2018.01.11",11.2,12.46,8.91,11.27,115951605,11.27
"X2018.01.12",11.27,15.24,10.57,13.8,175879710,13.8
"X2018.01.13",13.8,18.67,13.43,16,294136188,16
"X2018.01.14",16,16.129999,12.9,13.23,98670786,13.23
"X2018.01.15",13.23,14.7,12.68,12.78,61599316,12.78
"X2018.01.16",12.78,12.98,8.31,10,158929640,10
"X2018.01.17",10,10.56,7.5,10.15,103387986,10.15
"X2018.01.18",10.15,11.47,9.65,10.18,60490149,10.18
"X2018.01.19",10.18,11.43,9.74,11.07,48673168,11.07
"X2018.01.20",11.07,15.75,11.04,15.53,144827267,15.53
"X2018.01.21",15.51,15.57,12,13.47,149233104,13.47
"X2018.01.22",13.47,15.14,12.45,13.38,162529908,13.38
"X2018.01.23",13.38,13.92,11.6,12.88,117889152,12.88
"X2018.01.24",12.88,13.97,12.51,13.9,58178915,13.9
"X2018.01.25",13.9,15.09,13.47,14.25,90728372,14.25
"X2018.01.26",14.25,14.8,12.81,14.24,74893464,14.24
"X2018.01.27",14.24,14.74,13.86,14.38,38578052,14.38
"X2018.01.28",14.38,14.97,14.09,14.75,46763405,14.75
"X2018.01.29",14.75,14.85,13.3,13.54,47827947,13.54
"X2018.01.30",13.54,13.6,10.87,11.35,99688763,11.35
"X2018.01.31",11.36,12.25,10.31,11.98,63633373,11.98
"X2018.02.01",11.98,12.17,9.75,10.03,85914653,10.03
"X2018.02.02",10.03,11.09,8.41,10.23,106403040,10.23
"X2018.02.03",10.23,11.25,9.15,10.64,50876511,10.64
"X2018.02.04",10.64,10.85,8.38,8.89,49886702,8.89
