"","open","high","low","close","volume","adjusted"
"X2018.01.01",741.090027,765.299988,724.330017,756.200012,256171569,756.200012
"X2018.01.02",756.169983,882.609985,756.169983,861.969971,949013949,861.969971
"X2018.01.03",861.969971,951.700012,847.900024,941.099976,778108786,941.099976
"X2018.01.04",941,997.440002,901.030029,944.830017,780050914,944.830017
"X2018.01.05",944.830017,1018.369995,933.97998,967.130005,808280779,967.130005
"X2018.01.06",967.130005,1010.169983,958.289978,1006.409973,381555969,1006.409973
"X2018.01.07",1006.409973,1117.839966,1003.210022,1117.75,602250144,1117.75
"X2018.01.08",1117.75,1228.25,967.840027,1136.109985,1292737991,1136.109985
"X2018.01.09",1136.109985,1300.300049,1133.699951,1289.23999,986697724,1289.23999
"X2018.01.10",1289.23999,1385.219971,1210.849976,1248.98999,1445484601,1248.98999
"X2018.01.11",1248.959961,1333.920044,1100.849976,1139.319946,1270849838,1139.319946
"X2018.01.12",1139.319946,1287.060059,1087.609985,1261.030029,704750432,1261.030029
"X2018.01.13",1261.060059,1422.859985,1261.01001,1385.02002,744906594,1385.02002
"X2018.01.14",1385.02002,1389.319946,1267.47998,1359.47998,610496132,1359.47998
"X2018.01.15",1359.380005,1381.349976,1271.069946,1278.689941,537797572,1278.689941
"X2018.01.16",1278.699951,1282.27002,864.22998,1050.26001,1931700742,1050.26001
"X2018.01.17",1050.26001,1115.660034,764.75,1024.689941,2034010888,1024.689941
"X2018.01.18",1024.900024,1093.900024,949.559998,1012.969971,1117430433,1012.969971
"X2018.01.19",1012.969971,1083.619995,982.619995,1037.359985,517599347,1037.359985
"X2018.01.20",1037.359985,1164.619995,1036.819946,1150.5,545646401,1150.5
"X2018.01.21",1150.5,1150.569946,1008.059998,1049.089966,543760385,1049.089966
"X2018.01.22",1049.089966,1084.280029,917,999.640015,676845706,999.640015
"X2018.01.23",999.75,1020.659973,908.309998,984.469971,660805261,984.469971
"X2018.01.24",984.47998,1062.599976,956.969971,1061.780029,521553676,1061.780029
"X2018.01.25",1061.609985,1102.420044,1022.200012,1046.369995,568607934,1046.369995
"X2018.01.26",1046.369995,1075.589966,987.130005,1048.579956,509049582,1048.579956
"X2018.01.27",1048.579956,1121.900024,1033.859985,1109.079956,395059716,1109.079956
"X2018.01.28",1109.079956,1240.469971,1101.619995,1231.579956,662174309,1231.579956
"X2018.01.29",1231.569946,1240.319946,1151.530029,1169.959961,515965244,1169.959961
"X2018.01.30",1169.939941,1173.180054,1034.719971,1063.75,835962532,1063.75
"X2018.01.31",1063.77002,1122.97998,1020.77002,1111.310059,550605628,1111.310059
"X2018.02.01",1111.290039,1155.579956,954.75,1026.189941,1033001644,1026.189941
"X2018.02.02",1026.189941,1027.660034,746.669983,917.469971,1606436956,917.469971
"X2018.02.03",917.469971,997.599976,845.179993,970.869995,552868551,970.869995
"X2018.02.04",970.869995,971.049988,781.359985,827.590027,666593264,827.590027
"X2018.02.05",826.340027,857.820007,629.080017,695.080017,1272929187,695.080017
"X2018.02.06",695.049988,801.72998,564.190002,785.01001,1556542861,785.01001
"X2018.02.07",785.159973,858.280029,718.280029,751.809998,895500139,751.809998
"X2018.02.08",751.859985,844.859985,750.02002,813.549988,510550202,813.549988
"X2018.02.09",813.549988,880.219971,781.5,877.880005,469210004,877.880005
"X2018.02.10",877.659973,909.320007,816.090027,850.75,451412405,850.75
"X2018.02.11",850.98999,853.73999,780.130005,811.23999,308313754,811.23999
"X2018.02.12",811.169983,874.849976,811.090027,865.27002,300521830,865.27002
"X2018.02.13",865.280029,867.599976,823.77002,840.97998,256092877,840.97998
"X2018.02.14",840.98999,922.369995,840.869995,920.109985,470132510,920.109985
"X2018.02.15",920.109985,947.530029,905.650024,927.950012,454133646,927.950012
"X2018.02.16",927.950012,945.359985,909.409973,938.02002,282763877,938.02002
"X2018.02.17",937.919983,974.830017,934.950012,974.77002,276682460,974.77002
"X2018.02.18",974.780029,981.47998,905.960022,913.900024,375068724,913.900024
"X2018.02.19",913.900024,955.619995,911.599976,939.789978,218921662,939.789978
"X2018.02.20",939.789978,958.859985,877.280029,885.52002,344672330,885.52002
"X2018.02.21",885.52002,906.559998,818.119995,840.099976,445950029,840.099976
