"","open","high","low","close","volume","adjusted"
"2018-01-01",135.255005,135.255005,135.255005,135.255005,0,135.255005
"2018-01-02",135.455002,135.455002,135.455002,135.455002,0,135.455002
"2018-01-03",135.404999,135.404999,135.404999,135.404999,0,135.404999
"2018-01-04",135.246002,135.246002,135.246002,135.246002,0,135.246002
"2018-01-05",136.115997,136.115997,136.115997,136.115997,0,136.115997
"2018-01-08",136.209,136.209,136.209,136.209,0,136.209
"2018-01-09",135.434998,135.434998,135.434998,135.434998,0,135.434998
"2018-01-10",134.509003,134.509003,134.509003,134.509003,0,134.509003
"2018-01-11",133.244003,133.244003,133.244003,133.244003,0,133.244003
"2018-01-12",134.020996,134.020996,134.020996,134.020996,0,134.020996
"2018-01-15",135.455994,135.455994,135.455994,135.455994,0,135.455994
"2018-01-16",135.666,135.666,135.666,135.666,0,135.666
"2018-01-17",135.460007,135.460007,135.460007,135.460007,0,135.460007
"2018-01-18",135.699997,135.699997,135.699997,135.699997,0,135.699997
"2018-01-19",135.858002,135.858002,135.858002,135.858002,0,135.858002
"2018-01-22",135.649002,135.649002,135.649002,135.649002,0,135.649002
"2018-01-23",136.003006,136.003006,136.003006,136.003006,0,136.003006
"2018-01-24",135.544998,135.544998,135.544998,135.544998,0,135.544998
"2018-01-25",135.466995,135.466995,135.466995,135.466995,0,135.466995
"2018-01-26",135.949005,135.949005,135.949005,135.949005,0,135.949005
"2018-01-29",135.016998,135.016998,135.016998,135.016998,0,135.016998
"2018-01-30",134.863007,134.863007,134.863007,134.863007,0,134.863007
"2018-01-31",134.932007,134.932007,134.932007,134.932007,0,134.932007
"2018-02-01",135.613007,135.613007,135.613007,135.613007,0,135.613007
"2018-02-02",136.867004,136.867004,136.867004,136.867004,0,136.867004
"2018-02-05",136.960007,136.960007,136.960007,136.960007,0,136.960007
"2018-02-06",134.927002,134.927002,134.927002,134.927002,0,134.927002
"2018-02-07",135.731995,135.731995,135.731995,135.731995,0,135.731995
"2018-02-08",133.962997,133.962997,133.962997,133.962997,0,133.962997
"2018-02-09",133.065002,133.065002,133.065002,133.065002,0,133.065002
"2018-02-12",133.309998,133.309998,133.309998,133.309998,0,133.309998
"2018-02-13",133.729996,133.729996,133.729996,133.729996,0,133.729996
"2018-02-14",133.128998,133.128998,133.128998,133.128998,0,133.128998
"2018-02-15",132.884995,132.884995,132.884995,132.884995,0,132.884995
"2018-02-16",132.677002,132.677002,132.677002,132.677002,0,132.677002
"2018-02-19",131.889999,131.889999,131.889999,131.889999,0,131.889999
"2018-02-20",132.304993,132.304993,132.304993,132.304993,0,132.304993
"2018-02-21",132.457993,132.457993,132.457993,132.457993,0,132.457993
"2018-02-22",132.097,132.097,132.097,132.097,0,132.097
"2018-02-23",131.666,131.666,131.666,131.666,0,131.666
"2018-02-26",131.563004,131.563004,131.563004,131.563004,0,131.563004
"2018-02-27",131.862,131.862,131.862,131.862,0,131.862
"2018-02-28",131.384995,131.384995,131.384995,131.384995,0,131.384995
"2018-03-01",130.007996,130.007996,130.007996,130.007996,0,130.007996
"2018-03-02",130.270996,130.270996,130.270996,130.270996,0,130.270996
"2018-03-05",129.996994,129.996994,129.996994,129.996994,0,129.996994
"2018-03-06",131.076004,131.076004,131.076004,131.076004,0,131.076004
"2018-03-07",131.042007,131.042007,131.042007,131.042007,0,131.042007
"2018-03-08",131.826004,131.826004,131.826004,131.826004,0,131.826004
"2018-03-09",130.949997,130.949997,130.949997,130.949997,0,130.949997
"2018-03-12",131.569,131.569,131.569,131.569,0,131.569
"2018-03-13",131.119995,131.119995,131.119995,131.119995,0,131.119995
"2018-03-14",131.988007,131.988007,131.988007,131.988007,0,131.988007
"2018-03-15",131.373001,131.373001,131.373001,131.373001,0,131.373001
"2018-03-16",130.858002,130.858002,130.858002,130.858002,0,130.858002
"2018-03-19",130.138,130.138,130.138,130.138,0,130.138
"2018-03-20",130.766006,130.766006,130.766006,130.766006,0,130.766006
"2018-03-21",130.445007,130.445007,130.445007,130.445007,0,130.445007
"2018-03-22",130.798004,130.798004,130.798004,130.798004,0,130.798004
"2018-03-23",129.373001,129.373001,129.373001,129.373001,0,129.373001
"2018-03-25",129.546997,129.546997,129.546997,129.546997,0,129.546997
"2018-03-26",131.427002,131.427002,131.427002,131.427002,0,131.427002
"2018-03-27",130.893997,130.893997,130.893997,130.893997,0,130.893997
"2018-03-28",131.488007,131.488007,131.488007,131.488007,0,131.488007
"2018-03-29",130.998993,130.998993,130.998993,130.998993,0,130.998993
"2018-04-01",130.914993,130.914993,130.914993,130.914993,0,130.914993
"2018-04-02",130.056,130.056,130.056,130.056,0,130.056
"2018-04-03",130.688004,130.688004,130.688004,130.688004,0,130.688004
"2018-04-04",131.190994,131.190994,131.190994,131.190994,0,131.190994
"2018-04-05",131.156006,131.156006,131.156006,131.156006,0,131.156006
"2018-04-08",131.264999,131.264999,131.264999,131.264999,0,131.264999
"2018-04-09",131.539993,131.539993,131.539993,131.539993,0,131.539993
"2018-04-10",132.425003,132.425003,132.425003,132.425003,0,132.425003
"2018-04-11",132.164993,132.164993,132.164993,132.164993,0,132.164993
"2018-04-12",132.201004,132.201004,132.201004,132.201004,0,132.201004
"2018-04-15",132.572998,132.572998,132.572998,132.572998,0,132.572998
"2018-04-16",132.578003,132.578003,132.578003,132.578003,0,132.578003
"2018-04-17",132.412994,132.412994,132.412994,132.412994,0,132.412994
"2018-04-18",132.884995,132.884995,132.884995,132.884995,0,132.884995
"2018-04-19",132.630005,132.630005,132.630005,132.630005,0,132.630005
"2018-04-22",132.391998,132.391998,132.391998,132.391998,0,132.391998
"2018-04-23",132.785995,132.785995,132.785995,132.785995,0,132.785995
"2018-04-24",133.190002,133.190002,133.190002,133.190002,0,133.190002
"2018-04-25",133.113998,133.113998,133.113998,133.113998,0,133.113998
"2018-04-26",132.358002,132.358002,132.358002,132.358002,0,132.358002
"2018-04-29",132.257996,132.257996,132.257996,132.257996,0,132.257996
"2018-04-30",132.076004,132.076004,132.076004,132.076004,0,132.076004
"2018-05-01",131.753998,131.753998,131.753998,131.753998,0,131.753998
"2018-05-02",131.253998,131.253998,131.253998,131.253998,0,131.253998
"2018-05-03",130.798004,130.798004,130.798004,130.798004,0,130.798004
"2018-05-06",130.483994,130.483994,130.483994,130.483994,0,130.483994
"2018-05-07",130.009995,130.009995,130.009995,130.009995,0,130.009995
"2018-05-08",129.388,129.388,129.388,129.388,0,129.388
"2018-05-09",130.138,130.138,130.138,130.138,0,130.138
"2018-05-10",130.421005,130.421005,130.421005,130.421005,0,130.421005
"2018-05-13",130.682007,130.682007,130.682007,130.682007,0,130.682007
"2018-05-14",130.921997,130.921997,130.921997,130.921997,0,130.921997
"2018-05-15",130.380997,130.380997,130.380997,130.380997,0,130.380997
"2018-05-16",130.410995,130.410995,130.410995,130.410995,0,130.410995
"2018-05-17",130.723999,130.723999,130.723999,130.723999,0,130.723999
"2018-05-20",130.468994,130.468994,130.468994,130.468994,0,130.468994
"2018-05-21",130.869995,130.869995,130.869995,130.869995,0,130.869995
"2018-05-22",130.529999,130.529999,130.529999,130.529999,0,130.529999
"2018-05-23",128.658005,128.658005,128.658005,128.658005,0,128.658005
"2018-05-24",128.143005,128.143005,128.143005,128.143005,0,128.143005
"2018-05-27",128.138,128.138,128.138,128.138,0,128.138
"2018-05-28",127.185997,127.185997,127.185997,127.185997,0,127.185997
"2018-05-29",125.080002,125.080002,125.080002,125.080002,0,125.080002
"2018-05-30",126.836998,126.836998,126.836998,126.836998,0,126.836998
"2018-05-31",127.162003,127.162003,127.162003,127.162003,0,127.162003
