"","open","high","low","close","volume","adjusted"
"2018-01-01",1.60506,1.60506,1.60506,1.60506,0,1.60506
"2018-01-02",1.60583,1.60583,1.60583,1.60583,0,1.60583
"2018-01-03",1.60331,1.60331,1.60331,1.60331,0,1.60331
"2018-01-04",1.59791,1.59791,1.59791,1.59791,0,1.59791
"2018-01-05",1.60129,1.60129,1.60129,1.60129,0,1.60129
"2018-01-08",1.59681,1.59681,1.59681,1.59681,0,1.59681
"2018-01-09",1.59399,1.59399,1.59399,1.59399,0,1.59399
"2018-01-10",1.59388,1.59388,1.59388,1.59388,0,1.59388
"2018-01-11",1.59411,1.59411,1.59411,1.59411,0,1.59411
"2018-01-12",1.60074,1.60074,1.60074,1.60074,0,1.60074
"2018-01-15",1.61561,1.61561,1.61561,1.61561,0,1.61561
"2018-01-16",1.6221,1.6221,1.6221,1.6221,0,1.6221
"2018-01-17",1.62007,1.62007,1.62007,1.62007,0,1.62007
"2018-01-18",1.61486,1.61486,1.61486,1.61486,0,1.61486
"2018-01-19",1.61603,1.61603,1.61603,1.61603,0,1.61603
"2018-01-22",1.61776,1.61776,1.61776,1.61776,0,1.61776
"2018-01-23",1.6166,1.6166,1.6166,1.6166,0,1.6166
"2018-01-24",1.62052,1.62052,1.62052,1.62052,0,1.62052
"2018-01-25",1.62192,1.62192,1.62192,1.62192,0,1.62192
"2018-01-26",1.62439,1.62439,1.62439,1.62439,0,1.62439
"2018-01-29",1.62384,1.62384,1.62384,1.62384,0,1.62384
"2018-01-30",1.622,1.622,1.622,1.622,0,1.622
"2018-01-31",1.62774,1.62774,1.62774,1.62774,0,1.62774
"2018-02-01",1.6286,1.6286,1.6286,1.6286,0,1.6286
"2018-02-02",1.63676,1.63676,1.63676,1.63676,0,1.63676
"2018-02-05",1.64402,1.64402,1.64402,1.64402,0,1.64402
"2018-02-06",1.63538,1.63538,1.63538,1.63538,0,1.63538
"2018-02-07",1.63282,1.63282,1.63282,1.63282,0,1.63282
"2018-02-08",1.62528,1.62528,1.62528,1.62528,0,1.62528
"2018-02-09",1.6323,1.6323,1.6323,1.6323,0,1.6323
