"","open","high","low","close","volume","adjusted"
"2018-01-02",111.68,112.279999,110.68,111.580002,1760400,111.580002
"2018-01-03",112.190002,114.800003,111.349998,114.589996,1272200,114.589996
"2018-01-04",116.010002,116.779999,113.720001,115.410004,1517700,115.410004
"2018-01-05",115.150002,116.199997,114.82,115.860001,909500,115.860001
"2018-01-08",116.07,118.68,115.230003,118.139999,1263700,118.139999
"2018-01-09",118.269997,120,118.029999,119.510002,1655600,119.510002
"2018-01-10",118.959999,118.959999,117.279999,118.5,766800,118.5
"2018-01-11",118.559998,120,117.370003,119.989998,1053900,119.989998
"2018-01-12",120,120.989998,119.099998,120.830002,1029800,120.830002
"2018-01-16",121.360001,122.93,120.010002,120.07,1668000,120.07
"2018-01-17",120.830002,121.18,119.949997,120.489998,1176000,120.489998
"2018-01-18",120.169998,121.769997,119.93,121.720001,723100,121.720001
"2018-01-19",122.050003,124.099998,121.860001,123.910004,1255500,123.910004
"2018-01-22",123.75,124.57,123.190002,124.510002,1116100,124.510002
"2018-01-23",123.910004,125.5,123.389999,124.400002,936200,124.400002
"2018-01-24",124.889999,125.709999,123.949997,124.790001,763100,124.790001
"2018-01-25",125.68,127.029999,125.379997,126.239998,1211200,126.239998
"2018-01-26",126.739998,128.190002,125.889999,128.160004,826300,128.160004
"2018-01-29",127.739998,128.610001,126.720001,126.900002,940000,126.900002
"2018-01-30",125.400002,127.440002,124.309998,126.739998,949200,126.739998
"2018-01-31",127.230003,128.190002,126.269997,126.580002,1146200,126.580002
"2018-02-01",126.489998,127.980003,125.870003,126.980003,1619900,126.980003
"2018-02-02",133.759995,138.479996,131.449997,131.830002,3309500,131.830002
"2018-02-05",130.839996,132.940002,126.010002,126.699997,2604500,126.699997
"2018-02-06",125.059998,127.620003,123.370003,127.080002,2531200,127.080002
"2018-02-07",126.75,131.779999,126.050003,129.699997,1956600,129.699997
"2018-02-08",129.970001,130.330002,123.699997,123.779999,1851900,123.779999
"2018-02-09",124.580002,127.470001,121.400002,126.269997,1453600,126.269997
"2018-02-12",126.849998,128.210007,124.870003,126.889999,1159600,126.889999
"2018-02-13",126.199997,128.160004,125.120003,127.349998,1051500,127.349998
"2018-02-14",126.330002,130.630005,125.970001,130.210007,1574800,130.210007
"2018-02-15",131.160004,134.699997,130.529999,134.679993,1506400,134.679993
"2018-02-16",134.270004,135.330002,133.380005,133.820007,899900,133.820007
"2018-02-20",133.809998,135.929993,133,134.320007,1298400,134.320007
"2018-02-21",134.389999,136.899994,134.220001,134.25,939700,134.25
"2018-02-22",134.259995,136.020004,133.339996,133.669998,1174500,133.669998
"2018-02-23",134.110001,135.690002,133.009995,135.639999,872500,135.639999
"2018-02-26",136,137.529999,134.949997,136.720001,849800,136.720001
"2018-02-27",136.929993,137.839996,135.229996,135.229996,856200,135.229996
"2018-02-28",135.490005,136.520004,133.619995,133.669998,1188700,133.669998
"2018-03-01",133.639999,134.690002,130.889999,132.910004,1688600,132.910004
"2018-03-02",132.070007,135,131.669998,134.559998,1106200,134.559998
"2018-03-05",133.929993,136.899994,133.5,136.240005,1699300,136.240005
"2018-03-06",136.610001,137.990005,135.470001,137.850006,1298800,137.850006
"2018-03-07",136.289993,137.839996,135.169998,137.770004,839300,137.770004
"2018-03-08",138,138.820007,136.759995,138.25,915000,138.25
"2018-03-09",139.009995,140.070007,137.639999,139.320007,1014700,139.320007
"2018-03-12",139.5,140.759995,138.720001,140.039993,1211400,140.039993
"2018-03-13",140.889999,141.649994,139.940002,140.830002,1207000,140.830002
"2018-03-14",141,141.759995,139.919998,141,1474900,141
"2018-03-15",141.5,142.100006,139.990005,141.100006,1041500,141.100006
"2018-03-16",141.449997,143.220001,140.639999,142.339996,1945700,142.339996
"2018-03-19",141.839996,142.070007,137.979996,139.399994,1433700,139.399994
"2018-03-20",139.690002,141.940002,138.919998,141.339996,821800,141.339996
"2018-03-21",141.179993,141.320007,138.410004,139.070007,1699200,139.070007
"2018-03-22",138.119995,140.330002,137.149994,137.300003,1336800,137.300003
"2018-03-23",137.850006,139.369995,135.050003,135.320007,1260700,135.320007
"2018-03-26",136.899994,140.729996,136.110001,140.279999,1170500,140.279999
"2018-03-27",141.320007,142.350006,137.210007,138.110001,1447600,138.110001
"2018-03-28",138.369995,139.360001,136.330002,136.770004,1273800,136.770004
"2018-03-29",137.509995,140.490005,135.869995,139.520004,1486600,139.520004
"2018-04-02",139.240005,139.570007,133.449997,135.449997,1576200,135.449997
"2018-04-03",135.789993,137.050003,134.720001,136.669998,1533400,136.669998
"2018-04-04",134.779999,139.100006,133.970001,138.759995,1562700,138.759995
"2018-04-05",139.369995,142.309998,138.899994,140.910004,1437200,140.910004
"2018-04-06",140.070007,140.660004,135.910004,137.509995,1776100,137.509995
"2018-04-09",138,139.490005,136.639999,137.369995,1209200,137.369995
"2018-04-10",139.070007,141.339996,138.490005,140.300003,1065900,140.300003
"2018-04-11",139.419998,139.979996,137.410004,137.470001,1374500,137.470001
"2018-04-12",138.089996,139.610001,137.729996,139.279999,1202400,139.279999
"2018-04-13",140.339996,140.339996,136.910004,137.839996,1668800,137.839996
"2018-04-16",138.970001,139.619995,137.529999,138.119995,1481300,138.119995
"2018-04-17",138.929993,139.649994,133.839996,139.210007,1511500,139.210007
"2018-04-18",138.320007,140.460007,138.009995,139.520004,1477700,139.520004
"2018-04-19",139.229996,140.179993,137.759995,138.559998,1041100,138.559998
"2018-04-20",138.789993,139.429993,136.440002,137.089996,1541400,137.089996
"2018-04-23",137.75,138.889999,136.559998,137.190002,1707600,137.190002
"2018-04-24",137.619995,137.850006,132.300003,134.669998,2118300,134.669998
"2018-04-25",124.010002,130.75,123,129.520004,5391900,129.520004
"2018-04-26",129.509995,131.110001,127.449997,129.610001,1994400,129.610001
"2018-04-27",129.449997,129.910004,128.270004,129.289993,1332200,129.289993
"2018-04-30",129.460007,130.210007,127.290001,127.360001,1520600,127.360001
"2018-05-01",128.910004,132.710007,128.259995,132.589996,2920400,132.589996
"2018-05-02",132.009995,132.850006,130.339996,131.679993,1600500,131.679993
"2018-05-03",131.190002,133.289993,129.720001,132.820007,1245700,132.820007
"2018-05-04",131.929993,135.509995,131.110001,134.770004,1092600,134.770004
"2018-05-07",135.009995,137.229996,135.009995,136.089996,1230500,136.089996
"2018-05-08",135.449997,136.179993,133.970001,134.830002,1250200,134.830002
"2018-05-09",134.910004,135.699997,133.339996,135.229996,953100,135.229996
"2018-05-10",135.850006,137.389999,135.479996,136.779999,922400,136.779999
"2018-05-11",136.539993,138.300003,136.039993,138.110001,883700,138.110001
"2018-05-14",138,138.979996,137.199997,138.059998,981700,138.059998
"2018-05-15",137.259995,137.419998,135.419998,136.429993,847100,136.429993
