"","open","high","low","close","volume","adjusted"
"2018-01-02",66.25,66.25,64.589996,64.980003,1104900,64.592087
"2018-01-03",64.970001,65.449997,64.660004,65.07,845800,64.681549
"2018-01-04",65.309998,65.639999,64.919998,65,1216600,64.611969
"2018-01-05",65.209999,65.529999,64.790001,65.089996,948800,64.701424
"2018-01-08",65.129997,65.760002,65.129997,65.480003,1084900,65.089104
"2018-01-09",65.669998,66.300003,65.5,66.050003,1080800,65.655701
"2018-01-10",66.029999,66.269997,65.339996,65.440002,1014100,65.049339
"2018-01-11",65.660004,66.43,65.5,66.389999,1123200,65.993668
"2018-01-12",66.400002,66.830002,66.010002,66.730003,585000,66.331642
"2018-01-16",66.760002,66.760002,65.07,65.470001,1142700,65.079163
"2018-01-17",65.599998,66.349998,65.190002,66.07,915500,65.675575
"2018-01-18",66.150002,66.379997,65.730003,66.089996,691900,65.695457
"2018-01-19",66.400002,66.550003,66,66.400002,928500,66.003609
"2018-01-22",66.220001,66.480003,65.760002,66.440002,501600,66.043373
"2018-01-23",66.480003,67.190002,65.900002,66.889999,1160600,66.490685
"2018-01-24",67.029999,67.540001,66.269997,67.050003,1165100,66.649727
"2018-01-25",67.059998,67.239998,65.809998,66.709999,726100,66.31176
"2018-01-26",66.660004,67.18,60.889999,67.050003,683100,66.649727
"2018-01-29",66.900002,67.330002,66.139999,66.269997,621200,65.874382
"2018-01-30",66.050003,66.919998,64.959999,64.959999,913200,64.572205
"2018-01-31",64.989998,65.699997,64.489998,64.949997,1607800,64.562263
"2018-02-01",64.480003,65.07,64.080002,64.57,1321700,64.184532
"2018-02-02",64.330002,64.57,63.330002,63.610001,965600,63.230263
"2018-02-05",63.459999,64.010002,61.75,61.779999,1804600,61.411186
"2018-02-06",60.73,62.41,60.169998,61.869999,1799800,61.500648
"2018-02-07",61.639999,62.919998,61.380001,62.130001,1621400,61.759098
"2018-02-08",62.25,62.439999,60.34,60.360001,1404200,59.999664
"2018-02-09",60.700001,61.099998,59.099998,60.619999,1370100,60.25811
"2018-02-12",60.759998,62.400002,60.700001,62.369999,1817800,61.997665
"2018-02-13",62.099998,63.580002,61.73,63.119999,1384100,62.743187
"2018-02-14",62.759998,63.759998,62.32,63.669998,1267000,63.289902
"2018-02-15",64,64.360001,63.119999,64.190002,1226500,63.806805
"2018-02-16",63.919998,64.419998,63.470001,64.120003,2954200,63.737221
"2018-02-20",64.019997,65.349998,60.869999,61.93,2975000,61.560291
"2018-02-21",62.099998,64.940002,62.099998,63.990002,2144300,63.607998
"2018-02-22",64.199997,64.870003,64.129997,64.339996,1361600,63.955902
"2018-02-23",64.480003,65.699997,64.480003,65.519997,1340500,65.12886
"2018-02-26",65.709999,67.169998,65.510002,66.730003,1382100,66.331642
"2018-02-27",66.870003,67.629997,65.510002,65.519997,1249500,65.12886
"2018-02-28",65.879997,66.300003,64.940002,64.959999,1137600,64.572205
"2018-03-01",64.889999,65.239998,62.689999,63.009998,1746500,62.633842
"2018-03-02",62.400002,63.459999,62.09,63.279999,1358300,62.902233
"2018-03-05",63.169998,63.560001,62.009998,63.490002,2277700,63.110981
"2018-03-06",63.639999,63.919998,62.900002,63.720001,990900,63.339607
"2018-03-07",63.110001,63.220001,62.57,63.040001,1596200,62.663666
"2018-03-08",62.950001,63.77,62.700001,63.509998,1658400,63.130859
"2018-03-09",63.740002,64.879997,63.509998,64.739998,1101700,64.353516
"2018-03-12",64.949997,65,64.599998,64.68,1224700,64.293877
"2018-03-13",65,65.449997,64.82,65.059998,991700,64.671608
"2018-03-14",65.349998,65.370003,63.84,63.900002,1360900,63.518532
"2018-03-15",63.970001,64.300003,63.68,63.700001,849600,63.319725
