"","open","high","low","close","volume","adjusted"
"2018-01-02",12.52,12.66,12.5,12.66,20773300,12.192145
"2018-01-03",12.68,12.8,12.67,12.76,29765600,12.28845
"2018-01-04",12.78,13.04,12.77,12.98,37478200,12.500319
"2018-01-05",13.06,13.22,13.04,13.2,46121900,12.71219
"2018-01-08",13.21,13.22,13.11,13.15,33828300,12.664037
"2018-01-09",13.18,13.22,13.08,13.08,27924100,12.596624
"2018-01-10",13.06,13.14,12.96,13.03,56517100,12.548471
"2018-01-11",13.02,13.2,13,13.16,28342300,12.673668
"2018-01-12",13.1,13.29,13.1,13.23,56979200,12.74108
"2018-01-16",13.31,13.48,13.01,13.1,53961400,12.615886
"2018-01-17",12.58,12.58,12.1,12.18,130855600,11.729884
"2018-01-18",12.18,12.2,12.02,12.07,66541700,11.623949
"2018-01-19",12.12,12.12,11.91,12,51303700,11.556536
"2018-01-22",12.02,12.08,11.9,12.02,52851900,11.575797
"2018-01-23",12.03,12.03,11.9,11.96,51831000,11.518014
"2018-01-24",12,12.09,11.92,12.05,63300500,11.604689
"2018-01-25",11.93,11.93,11.44,11.57,114886800,11.142426
"2018-01-26",11.59,11.7,11.5,11.65,52496000,11.21947
"2018-01-29",11.42,11.47,11.11,11.12,55114000,10.97278
"2018-01-30",11.09,11.23,11.05,11.06,52068200,10.913575
"2018-01-31",11.09,11.12,10.9,10.97,57644600,10.824766
"2018-02-01",10.95,11,10.85,10.92,41352200,10.775428
"2018-02-02",10.88,10.88,10.62,10.71,72312900,10.568208
"2018-02-05",10.78,10.8,10.24,10.24,96757000,10.10443
"2018-02-06",10.27,10.79,10.19,10.76,139938100,10.617546
"2018-02-07",10.75,11.04,10.7,10.76,68041800,10.617546
"2018-02-08",10.79,10.86,10.42,10.43,73990700,10.291915
"2018-02-09",10.57,10.64,10.24,10.53,72103600,10.390591
"2018-02-12",10.67,10.82,10.54,10.7,49068900,10.55834
"2018-02-13",10.63,10.69,10.53,10.59,36884500,10.449797
"2018-02-14",10.55,10.75,10.5,10.74,27844300,10.597811
"2018-02-15",10.8,10.8,10.64,10.76,28208300,10.617546
"2018-02-16",10.7,10.82,10.52,10.61,41041800,10.469532
"2018-02-20",10.58,10.67,10.55,10.63,27617900,10.489267
"2018-02-21",10.65,10.75,10.59,10.6,36037700,10.459664
"2018-02-22",10.6,10.73,10.56,10.63,25409600,10.489267
"2018-02-23",10.67,10.71,10.62,10.7,21786800,10.55834
"2018-02-26",10.74,10.95,10.7,10.89,27157800,10.745826
"2018-02-27",10.93,10.99,10.6,10.61,43502000,10.469532
"2018-02-28",10.68,10.79,10.57,10.61,41321400,10.469532
"2018-03-01",10.65,10.69,10.2,10.29,75841400,10.153769
"2018-03-02",10.24,10.42,10.14,10.4,60491900,10.262312
"2018-03-05",10.31,10.63,10.3,10.58,44021300,10.439929
"2018-03-06",10.65,10.68,10.47,10.63,30978900,10.489267
"2018-03-07",10.51,10.64,10.43,10.63,30046600,10.489267
"2018-03-08",10.65,10.68,10.48,10.61,26948000,10.469532
"2018-03-09",10.63,10.73,10.57,10.73,26684400,10.587943
"2018-03-12",10.69,10.85,10.68,10.81,33800900,10.666884
"2018-03-13",10.84,10.98,10.73,10.78,44456800,10.637281
"2018-03-14",11.25,11.44,11.01,11.02,91985300,10.874104
"2018-03-15",11.05,11.25,10.95,11.07,47645300,10.923442
"2018-03-16",11.12,11.22,11.06,11.15,80684200,11.002382
"2018-03-19",11.15,11.17,10.87,11.01,63122500,10.864237
"2018-03-20",11.05,11.13,10.97,10.99,45612800,10.844501
"2018-03-21",11,11.19,10.93,11.1,38551000,10.953045
"2018-03-22",11,11.06,10.73,10.75,51280900,10.607678
"2018-03-23",10.79,10.81,10.51,10.56,39950900,10.420195
"2018-03-26",10.74,10.87,10.68,10.83,52325500,10.68662
"2018-03-27",10.85,10.92,10.72,10.83,40677300,10.68662
"2018-03-28",10.83,10.95,10.73,10.86,42263700,10.716222
"2018-03-29",10.93,11.13,10.92,11.08,39864000,10.93331
"2018-04-02",11.06,11.09,10.7,10.86,43598100,10.716222
"2018-04-03",11.01,11.18,10.9,11.15,42523900,11.002382
"2018-04-04",10.87,11.36,10.8,11.33,44834600,11.179999
"2018-04-05",11.34,11.38,11.23,11.35,28755600,11.199736
"2018-04-06",11.28,11.35,11.07,11.18,31920700,11.031986
"2018-04-09",11.25,11.38,11.2,11.25,36462700,11.101059
"2018-04-10",11.44,11.55,11.41,11.45,43144300,11.298411
"2018-04-11",11.38,11.49,11.3,11.43,32979000,11.278676
"2018-04-12",11.5,11.54,11.25,11.31,47133700,11.160265
"2018-04-13",11.35,11.39,11.23,11.28,34598800,11.130662
"2018-04-16",11.36,11.45,11.27,11.38,32803300,11.229338
"2018-04-17",11.43,11.45,11.3,11.38,30906800,11.229338
"2018-04-18",11.38,11.48,11.3,11.33,46226100,11.179999
"2018-04-19",11.18,11.25,10.85,10.96,49154200,10.96
"2018-04-20",11.01,11.03,10.78,10.82,44930000,10.82
"2018-04-23",10.84,11.04,10.83,11.04,31936500,11.04
"2018-04-24",11.05,11.17,10.93,10.96,39625000,10.96
"2018-04-25",10.96,11.16,10.87,11.11,40356100,11.11
"2018-04-26",11.42,11.53,11.29,11.43,80676800,11.43
"2018-04-27",11.4,11.56,11.38,11.49,33375900,11.49
"2018-04-30",11.53,11.73,11.22,11.24,66090900,11.24
"2018-05-01",11.25,11.35,11.1,11.26,61430400,11.26
"2018-05-02",11.26,11.27,11.12,11.21,41899500,11.21
"2018-05-03",11.17,11.21,10.97,11.2,38907400,11.2
"2018-05-04",11.16,11.41,11.09,11.36,32043500,11.36
"2018-05-07",11.36,11.44,11.31,11.34,27510300,11.34
"2018-05-08",11.32,11.37,11.24,11.27,25754100,11.27
"2018-05-09",11.21,11.28,11.02,11.06,43732000,11.06
"2018-05-10",11.04,11.25,11.02,11.21,32023800,11.21
"2018-05-11",11.22,11.25,11.16,11.19,19837700,11.19
"2018-05-14",11.23,11.29,11.17,11.18,27903100,11.18
"2018-05-15",11.1,11.25,11.06,11.22,26950100,11.22
"2018-05-16",11.21,11.4,11.2,11.4,28976700,11.4
"2018-05-17",11.4,11.48,11.38,11.46,20741100,11.46
"2018-05-18",11.44,11.47,11.3,11.33,23893700,11.33
"2018-05-21",11.42,11.55,11.39,11.51,31011900,11.51
"2018-05-22",11.58,11.64,11.51,11.52,22360900,11.52
"2018-05-23",11.5,11.55,11.33,11.44,22919700,11.44
"2018-05-24",11.45,11.65,11.44,11.62,33360200,11.62
"2018-05-25",11.56,11.61,11.47,11.51,19337500,11.51
"2018-05-29",11.6,11.62,11.36,11.44,31051200,11.44
"2018-05-30",11.53,11.61,11.47,11.55,25554600,11.55
"2018-05-31",11.65,11.74,11.36,11.55,61563200,11.55
"2018-06-01",11.67,11.77,11.61,11.71,35214900,11.71
"2018-06-04",11.74,11.79,11.69,11.74,25027400,11.74
"2018-06-05",11.74,11.87,11.68,11.83,31036700,11.83
"2018-06-06",11.87,12,11.82,11.97,31110500,11.97
"2018-06-07",11.97,12.15,11.96,12.03,47314100,12.03
"2018-06-08",12.04,12.12,12,12.1,28371900,12.1
"2018-06-11",12.1,12.15,12.02,12.03,30398100,12.03
"2018-06-12",12.07,12.15,12.03,12.11,51395400,12.11
"2018-06-13",12.1,12.1,11.96,12.02,28406700,12.02
"2018-06-14",12,12.01,11.84,11.89,34523000,11.89
"2018-06-15",11.84,12.03,11.8,11.88,56326800,11.88
"2018-06-18",11.82,12.04,11.81,11.99,32706500,11.99
"2018-06-19",11.82,11.89,11.67,11.89,40064800,11.89
"2018-06-20",11.97,12.05,11.83,11.87,31964800,11.87
"2018-06-21",11.8,11.83,11.64,11.71,33316700,11.71
"2018-06-22",11.75,11.87,11.62,11.65,36703500,11.65
"2018-06-25",11.63,11.67,11.38,11.5,36101900,11.5
"2018-06-26",11.56,11.63,11.49,11.52,36627700,11.52
"2018-06-27",11.54,11.64,11.4,11.42,27242000,11.42
"2018-06-28",11.37,11.4,11.15,11.28,43836400,11.28
"2018-06-29",11.32,11.37,11.03,11.07,44718500,11.07
"2018-07-02",11.02,11.11,10.91,11.1,37892800,11.1
"2018-07-03",11.1,11.15,10.94,10.99,16544800,10.99
