"","open","high","low","close","volume","adjusted"
"2018-01-02",65.980003,65.985001,64.910004,65.175003,1546400,65.175003
"2018-01-03",65.285004,65.995003,65.245003,65.705002,1273400,65.705002
"2018-01-04",65.894997,66.699997,65.894997,66.629997,1496000,66.629997
"2018-01-05",66.82,67.495003,66.434998,67.290001,1625200,67.290001
"2018-01-08",67.205002,67.639999,66.985001,67.425003,1457400,67.425003
"2018-01-09",67.425003,68.370003,67.214996,68.144997,1663400,68.144997
"2018-01-10",68.025002,68.690002,67.625,68.504997,2211800,68.504997
"2018-01-11",68.440002,68.955002,68.190002,68.915001,1579600,68.915001
"2018-01-12",68.900002,69.035004,68.535004,68.610001,1528200,68.610001
"2018-01-16",68.860001,69.279999,68.669998,68.754997,924200,68.754997
"2018-01-17",69.360001,69.625,69.050003,69.125,1521200,69.125
"2018-01-18",69.154999,69.285004,68.769997,68.970001,764400,68.970001
"2018-01-19",68.794998,69.345001,68.550003,69.055,819100,69.055
"2018-01-22",69.114998,70.099998,69.050003,70.095001,751500,70.095001
"2018-01-23",69.584999,70.540001,69.474998,70.195,787100,70.195
"2018-01-24",70.495003,70.639999,69.955002,70.07,875100,70.07
"2018-01-25",70.290001,70.574997,69.815002,70.400002,665500,70.400002
"2018-01-26",70.764999,71.404999,70.239998,71.290001,742800,71.290001
"2018-01-29",71.150002,71.995003,71.004997,71.514999,1219400,71.514999
"2018-01-30",71.584999,72.099998,71.245003,71.269997,1485200,71.269997
"2018-01-31",71.220001,71.220001,70.065002,70.419998,1484300,70.419998
"2018-02-01",70.339996,70.934998,69.724998,70.050003,1054200,70.050003
"2018-02-02",69.709999,69.989998,68.709999,68.775002,1160600,68.775002
"2018-02-05",68.849998,69.290001,65.004997,65.055,2131600,65.055
"2018-02-06",64.144997,65.595001,62.759998,65.375,2939200,65.375
"2018-02-07",64.889999,65.495003,64.285004,64.584999,2376100,64.584999
"2018-02-08",71.074997,71.080002,66.379997,66.525002,3635300,66.525002
"2018-02-09",67.400002,69.220001,66.885002,68.730003,2656300,68.730003
"2018-02-12",69.065002,70.315002,68.900002,69.32,1832800,69.32
"2018-02-13",68.904999,69.769997,68.245003,69.514999,814400,69.514999
"2018-02-14",69.254997,69.555,68.580002,69.199997,1308300,69.199997
"2018-02-15",69.550003,70.245003,68.940002,70.224998,1020700,70.224998
"2018-02-16",70.25,71.709999,70.230003,71.360001,1233700,71.360001
"2018-02-20",70.925003,71.709999,70.644997,70.855003,1174200,70.855003
"2018-02-21",71.285004,71.489998,69.855003,69.894997,1057700,69.894997
"2018-02-22",70.084999,71.400002,70.084999,71.055,904700,71.055
"2018-02-23",71.5,73.129997,71.309998,73.095001,1455400,73.095001
"2018-02-26",73.434998,73.68,72.489998,72.68,1139800,72.68
"2018-02-27",72.870003,73.714996,72.055,72.105003,1591400,72.105003
"2018-02-28",72.550003,73.004997,71.690002,71.695,1533400,71.695
"2018-03-01",71.925003,72.294998,70.485001,70.934998,1555900,70.934998
"2018-03-02",70.654999,72.169998,70.330002,71.989998,1346600,71.989998
"2018-03-05",71.404999,72.629997,71.195,72.464996,966500,72.464996
"2018-03-06",72.495003,72.559998,71.794998,72.110001,1001600,72.110001
"2018-03-07",71.834999,72.695,71.830002,72.529999,781100,72.529999
"2018-03-08",72.730003,73.400002,72.730003,73.050003,638500,73.050003
"2018-03-09",73.43,74.209999,73.214996,74.114998,1000500,74.114998
"2018-03-12",74.264999,74.324997,73.675003,73.82,1046900,73.82
"2018-03-13",73.915001,74.245003,73.290001,73.75,1975600,73.75
"2018-03-14",73.970001,74.169998,73.410004,73.794998,1560900,73.794998
"2018-03-15",73.730003,74.355003,73.565002,73.834999,846400,73.834999
"2018-03-16",74.010002,74.455002,73.635002,74.220001,1501500,74.220001
"2018-03-19",73.900002,74.195,72.855003,73.620003,741000,73.620003
"2018-03-20",73.709999,73.989998,72.860001,73.459999,1756900,73.459999
"2018-03-21",73.629997,74.300003,73.019997,73.169998,2060800,73.169998
"2018-03-22",72.860001,72.989998,71.25,71.339996,1579100,71.339996
"2018-03-23",71.290001,71.540001,70,70.010002,2029700,70.010002
"2018-03-26",70.980003,71.540001,70.07,71.279999,1941300,71.279999
"2018-03-27",71.699997,71.919998,69.769997,70.279999,1779600,70.279999
"2018-03-28",70.43,71.410004,70.059998,70.739998,2524100,70.739998
"2018-03-29",71.25,71.900002,70.160004,71.309998,1586000,71.309998
"2018-04-02",71.040001,71.550003,69.68,70.540001,2350100,70.540001
"2018-04-03",70.639999,71.410004,70.139999,70.970001,1920900,70.970001
"2018-04-04",70.300003,71.440002,69.800003,71.129997,2663300,71.129997
"2018-04-05",71.68,71.919998,70.93,71.239998,1462000,71.239998
"2018-04-06",70.559998,71.269997,69.669998,69.839996,1434100,69.839996
"2018-04-09",70.099998,71.190002,70.019997,70.129997,1424500,70.129997
"2018-04-10",70.860001,71.559998,70.699997,71.129997,1691000,71.129997
"2018-04-11",70.550003,71.349998,70.440002,70.849998,1167600,70.849998
"2018-04-12",71.110001,71.339996,70.730003,70.980003,1259000,70.980003
"2018-04-13",71.160004,71.370003,70.599998,70.900002,1304500,70.900002
"2018-04-16",71.489998,71.900002,71.150002,71.589996,1091500,71.589996
"2018-04-17",72.160004,72.620003,71.800003,72.290001,1724700,72.290001
"2018-04-18",72.470001,72.489998,71.839996,72.120003,1150700,72.120003
"2018-04-19",71.949997,72.370003,71.529999,71.75,958200,71.75
"2018-04-20",71.68,72.110001,71,71.339996,1212100,71.339996
"2018-04-23",71.419998,71.739998,70.879997,71.089996,805700,71.089996
"2018-04-24",71.519997,71.699997,70.449997,70.900002,1625900,70.900002
"2018-04-25",70.809998,70.93,69.660004,70.160004,1393800,70.160004
"2018-04-26",70.400002,71.720001,70.32,71.32,1345100,71.32
"2018-04-27",71.120003,71.910004,70.970001,71.470001,1547100,71.470001
"2018-04-30",71.510002,72.150002,70.82,70.860001,2548400,70.860001
"2018-05-01",70.849998,71.830002,70.830002,71.629997,2547600,71.629997
"2018-05-02",71,71.559998,68.860001,69.029999,3623300,69.029999
"2018-05-03",68.660004,69.419998,68.43,68.989998,2346800,68.989998
"2018-05-04",68.620003,69.970001,68.449997,69.720001,2127300,69.720001
"2018-05-07",69.830002,70.519997,69.779999,70.410004,1786800,70.410004
"2018-05-08",69.949997,71.199997,69.309998,70.410004,2007600,70.410004
"2018-05-09",70.540001,71.800003,70.209999,71.489998,1457300,71.489998
"2018-05-10",71.790001,72.550003,71.5,72.410004,956100,72.410004
"2018-05-11",72.440002,72.889999,72.25,72.790001,1518600,72.790001
"2018-05-14",72.720001,73.190002,72.309998,72.419998,1205500,72.419998
"2018-05-15",72.050003,72.199997,71.580002,72.089996,1473600,72.089996
"2018-05-16",72.260002,72.599998,72.010002,72.279999,1278800,72.279999
"2018-05-17",72.260002,72.610001,71.900002,72.5,1511500,72.5
"2018-05-18",72.739998,73.239998,72.5,72.980003,1462000,72.980003
"2018-05-21",73.07,73.559998,73,73.25,1559500,73.25
"2018-05-22",73.43,73.43,71.540001,71.660004,2409300,71.660004
"2018-05-23",71.110001,71.870003,70.730003,71.870003,1564000,71.870003
"2018-05-24",71.860001,72.07,71.25,71.68,1828400,71.68
"2018-05-25",71.68,71.959999,71.610001,71.769997,1003700,71.769997
"2018-05-29",71.339996,71.709999,70.779999,71.629997,1911900,71.629997
"2018-05-30",71.949997,73.010002,71.589996,72.75,1675700,72.75
"2018-05-31",72.709999,73.239998,72.480003,72.599998,2077200,72.599998
"2018-06-01",73.010002,73.57,72.120003,73.330002,1230500,73.330002
"2018-06-04",73.43,74.610001,73.339996,74.260002,1188800,74.260002
"2018-06-05",74.279999,74.849998,74.160004,74.68,1943300,74.68
"2018-06-06",74.900002,76.07,74.900002,76.059998,2636500,76.059998
"2018-06-07",76,76.139999,74.540001,75.07,2462000,75.07
"2018-06-08",75.110001,75.529999,74.75,75.470001,1141500,75.470001
"2018-06-11",75.349998,75.5,75.010002,75.129997,1188100,75.129997
"2018-06-12",75.050003,75.949997,74.720001,75.849998,1487100,75.849998
"2018-06-13",75.809998,76.760002,75.599998,75.849998,1920800,75.849998
"2018-06-14",76.169998,76.980003,75.93,76.43,2083400,76.43
