"","open","high","low","close","volume","adjusted"
"2018-01-02",51.799999,52.43,51.779999,52.330002,1017600,51.918945
"2018-01-03",53.130001,53.290001,52.709999,53.099998,1200000,52.682896
"2018-01-04",53.32,53.5,52.75,53.259998,833200,52.841637
"2018-01-05",53.34,53.52,52.93,53.41,973700,52.990459
"2018-01-08",53.330002,53.82,52.869999,53.779999,1148900,53.357552
"2018-01-09",53.759998,53.93,53.369999,53.810001,939300,53.387318
"2018-01-10",53.619999,54.07,53.5,54.060001,1175900,53.635353
"2018-01-11",54.189999,56.189999,54.139999,56.150002,1691300,55.708939
"2018-01-12",56.389999,57.290001,56.169998,57.07,2108900,56.621712
"2018-01-16",57.380001,58.259998,57.169998,58.029999,1905700,57.574165
"2018-01-17",58.360001,58.43,57.720001,58.130001,1481800,57.673382
"2018-01-18",59.34,60.5,59.009998,60.060001,2508100,59.588223
"2018-01-19",60.110001,60.610001,58.830002,60.43,1776200,59.955315
"2018-01-22",60.380001,61.57,60.139999,61.290001,2406800,60.808559
"2018-01-23",61.220001,61.880001,60.900002,61.459999,1981300,60.977222
"2018-01-24",61.720001,62.09,60.970001,61.279999,2799800,60.798637
"2018-01-25",61.700001,61.75,60.610001,61.220001,1482700,60.739113
"2018-01-26",61.27,61.549999,60.959999,61.529999,953900,61.046677
"2018-01-29",61.360001,62.049999,61.360001,61.610001,941300,61.126049
"2018-01-30",61.18,61.27,60.07,60.369999,1255400,59.895786
"2018-01-31",60.939999,61.400002,60.27,60.700001,1128700,60.223198
"2018-02-01",60.43,61.029999,60.16,60.439999,1004800,59.965237
"2018-02-02",59.93,60.029999,58.610001,58.790001,2243300,58.328197
"2018-02-05",58.290001,58.950001,56.02,56.25,2443000,55.808151
"2018-02-06",55.900002,57.490002,55.299999,57.16,2461900,56.711002
"2018-02-07",56.880001,57.860001,56.880001,57.040001,1464900,56.591946
"2018-02-08",56.990002,57.029999,55.299999,55.310001,2284500,54.875538
"2018-02-09",56.099998,56.459999,53.220001,55.009998,1963400,54.577888
"2018-02-12",55.349998,56.799999,55.099998,56.310001,1549100,55.86768
"2018-02-13",55.900002,56.360001,55.330002,55.82,1644500,55.381527
"2018-02-14",55.389999,57.48,55.220001,57.369999,1068600,56.91935
"2018-02-15",58,58.73,57.009998,57.849998,885500,57.39558
"2018-02-16",57.68,58.439999,57.18,57.630001,1368500,57.177315
"2018-02-20",57.48,58.599998,57.169998,58.040001,1933100,57.584091
"2018-02-21",59.700001,59.990002,57.369999,57.43,3068200,56.978882
"2018-02-22",57.889999,59.57,57.700001,58.110001,1688300,57.653542
"2018-02-23",58.52,58.57,56.84,58.150002,1287400,57.693226
"2018-02-26",58.240002,58.689999,57.66,58.580002,1141500,58.11985
"2018-02-27",58.700001,59.34,57.799999,57.799999,1296500,57.345974
"2018-02-28",57.709999,58.099998,56.900002,56.900002,1599100,56.658901
"2018-03-01",56.830002,57.209999,55.259998,55.779999,1615100,55.543644
"2018-03-02",55.240002,56.779999,54.939999,56.59,1230300,56.350212
"2018-03-05",56.240002,57.450001,56.200001,57.060001,1054700,56.818222
"2018-03-06",57.290001,57.740002,56.970001,57.57,1180900,57.326057
"2018-03-07",57,57.720001,56.490002,57.66,1343100,57.415676
"2018-03-08",57.790001,57.91,56.34,57.169998,1421500,56.927753
"2018-03-09",57.509998,58.68,57.360001,58.52,975200,58.272034
"2018-03-12",58.5,58.880001,58.18,58.279999,987700,58.033051
"2018-03-13",58.48,58.82,57.700001,57.830002,583200,57.584961
"2018-03-14",58.130001,58.240002,57.310001,57.5,657800,57.256355
"2018-03-15",57.540001,57.869999,56.950001,57.310001,864700,57.067162
