"","open","high","low","close","volume","adjusted"
"2018-01-02",95.379997,95.949997,95.089996,95.730003,1181000,95.342331
"2018-01-03",95.93,97.07,95.339996,96.959999,945400,96.567345
"2018-01-04",97.599998,98.690002,97.110001,97.449997,1020600,97.055367
"2018-01-05",97.970001,98.480003,97.300003,98.080002,1120500,97.682816
"2018-01-08",98.5,98.650002,97.410004,98.169998,773500,97.772446
"2018-01-09",98.370003,98.690002,97.830002,98.129997,809100,97.732605
"2018-01-10",97.790001,98.57,96.93,97.519997,741700,97.125076
"2018-01-11",97.790001,98.07,97.019997,97.879997,945000,97.48362
"2018-01-12",98.699997,98.699997,97.25,97.879997,679400,97.48362
"2018-01-16",98.290001,98.550003,94.519997,94.980003,1048100,94.595367
"2018-01-17",95.82,95.82,93.510002,93.860001,1322500,93.479904
"2018-01-18",89.949997,90.980003,87.099998,90.169998,5214600,89.80484
"2018-01-19",90.959999,91.169998,89.269997,89.860001,2133000,89.496101
"2018-01-22",89.720001,90.43,89.470001,89.849998,1926200,89.486137
"2018-01-23",89.900002,90.150002,88.650002,88.879997,1473900,88.520065
"2018-01-24",89.330002,89.980003,88.419998,89.730003,1818300,89.366631
"2018-01-25",90.25,93.169998,90.199997,91.970001,1364100,91.597557
"2018-01-26",92.209999,92.900002,91.540001,92.029999,964800,91.65731
"2018-01-29",91.580002,91.889999,90.309998,91.370003,957100,90.999985
"2018-01-30",90.540001,92.150002,90.25,91.540001,1536000,91.169304
"2018-01-31",92.040001,92.610001,90.809998,91.330002,1028500,90.960152
"2018-02-01",90.970001,91.629997,88.949997,89.220001,995300,88.858696
"2018-02-02",88.5,88.730003,85.57,85.720001,1779000,85.372871
"2018-02-05",85.059998,87.330002,82.769997,83.089996,1956400,82.75351
"2018-02-06",81.32,85.389999,80.68,84.989998,1702400,84.645821
"2018-02-07",84.870003,85.959999,83.760002,83.970001,905400,83.629951
"2018-02-08",84.07,85.019997,80.809998,80.870003,1319100,80.542511
"2018-02-09",81.809998,83.300003,79.620003,82.68,1425800,82.345177
"2018-02-12",83.82,85.730003,82.980003,85.220001,2411400,84.874893
"2018-02-13",86.029999,86.870003,81.769997,81.860001,2918400,81.528503
"2018-02-14",82.050003,85.959999,81.540001,85.260002,2156400,84.914734
"2018-02-15",86.919998,87.5,84.589996,85.239998,1235900,84.894806
"2018-02-16",85.040001,85.089996,83.169998,83.349998,1297400,83.012459
"2018-02-20",83.239998,84.529999,83.059998,83.550003,991700,83.211655
"2018-02-21",83.550003,83.809998,82.110001,82.120003,1448200,81.787445
"2018-02-22",82.830002,84.089996,82.199997,83.540001,1083400,83.201698
"2018-02-23",84.059998,85.75,83.989998,85.720001,1240600,85.372871
"2018-02-26",85.68,85.699997,80.949997,83.650002,2139500,83.311249
"2018-02-27",83.769997,84.629997,82.550003,82.589996,1327800,82.255539
"2018-02-28",83.169998,83.790001,78.480003,78.480003,2697100,78.162193
"2018-03-01",78.480003,78.910004,76.57,78.639999,3407800,78.321541
"2018-03-02",78.410004,80.18,77.349998,79.650002,2128000,79.327446
"2018-03-05",79.110001,81.32,78.870003,80.730003,1526000,80.403076
"2018-03-06",81.339996,82.760002,80.919998,82.419998,1730800,82.086227
"2018-03-07",81.529999,83.050003,81.110001,82.790001,1196500,82.454727
"2018-03-08",82.93,83.660004,81.290001,82.25,1099200,81.916916
"2018-03-09",83.019997,83.889999,82.57,83.550003,1149700,83.211655
"2018-03-12",83.639999,84.519997,82.580002,83.879997,1292100,83.540314
"2018-03-13",84.379997,84.730003,83.550003,83.779999,919100,83.44072
"2018-03-14",84.080002,84.5,82.389999,82.690002,926000,82.355141
"2018-03-15",82.809998,83.169998,81.029999,81.07,1042300,80.741692
"2018-03-16",80.919998,82.949997,80.57,82.290001,1469300,81.956757
"2018-03-19",81.830002,82.199997,81.040001,81.32,830400,80.990685
"2018-03-20",81.629997,81.830002,79.75,79.989998,1140200,79.666069
"2018-03-21",79.870003,81.32,79.089996,80.349998,1445800,80.024605
"2018-03-22",79.68,80.400002,77.330002,77.360001,2220000,77.046722
"2018-03-23",77.519997,77.959999,75.440002,75.510002,1106400,75.204216
"2018-03-26",76.669998,77.300003,75.169998,75.980003,1317500,75.672318
"2018-03-27",76.419998,76.980003,74.860001,75.279999,1596400,74.975143
"2018-03-28",75.029999,75.580002,72.730003,73.110001,1409600,72.973877
"2018-03-29",75.220001,77.120003,75,76.57,3012100,76.427437
"2018-04-02",76.919998,78.150002,74.599998,74.989998,1534800,74.85038
"2018-04-03",75.809998,76.400002,74.620003,76.239998,2012000,76.098045
"2018-04-04",74.800003,76.309998,73.699997,76.18,1735100,76.038162
"2018-04-05",76.790001,80.010002,76.790001,79.540001,2487400,79.391907
