"","open","high","low","close","volume","adjusted"
"2018-01-01",1.89995,1.89995,1.89995,1.89995,0,1.89995
"2018-01-02",1.90618,1.90618,1.90618,1.90618,0,1.90618
"2018-01-03",1.9149,1.9149,1.9149,1.9149,0,1.9149
"2018-01-04",1.90564,1.90564,1.90564,1.90564,0,1.90564
"2018-01-05",1.89392,1.89392,1.89392,1.89392,0,1.89392
"2018-01-08",1.89332,1.89332,1.89332,1.89332,0,1.89332
"2018-01-09",1.89136,1.89136,1.89136,1.89136,0,1.89136
"2018-01-10",1.8941,1.8941,1.8941,1.8941,0,1.8941
"2018-01-11",1.87509,1.87509,1.87509,1.87509,0,1.87509
"2018-01-12",1.86507,1.86507,1.86507,1.86507,0,1.86507
"2018-01-15",1.89448,1.89448,1.89448,1.89448,0,1.89448
"2018-01-16",1.89105,1.89105,1.89105,1.89105,0,1.89105
"2018-01-17",1.89833,1.89833,1.89833,1.89833,0,1.89833
"2018-01-18",1.90131,1.90131,1.90131,1.90131,0,1.90131
"2018-01-19",1.90429,1.90429,1.90429,1.90429,0,1.90429
"2018-01-22",1.90601,1.90601,1.90601,1.90601,0,1.90601
"2018-01-23",1.91073,1.91073,1.91073,1.91073,0,1.91073
"2018-01-24",1.90378,1.90378,1.90378,1.90378,0,1.90378
"2018-01-25",1.9382,1.9382,1.9382,1.9382,0,1.9382
"2018-01-26",1.93553,1.93553,1.93553,1.93553,0,1.93553
"2018-01-29",1.92175,1.92175,1.92175,1.92175,0,1.92175
"2018-01-30",1.92169,1.92169,1.92169,1.92169,0,1.92169
"2018-01-31",1.92863,1.92863,1.92863,1.92863,0,1.92863
"2018-02-01",1.92526,1.92526,1.92526,1.92526,0,1.92526
"2018-02-02",1.92848,1.92848,1.92848,1.92848,0,1.92848
"2018-02-05",1.93778,1.93778,1.93778,1.93778,0,1.93778
"2018-02-06",1.91879,1.91879,1.91879,1.91879,0,1.91879
"2018-02-07",1.90391,1.90391,1.90391,1.90391,0,1.90391
"2018-02-08",1.92033,1.92033,1.92033,1.92033,0,1.92033
"2018-02-09",1.92842,1.92842,1.92842,1.92842,0,1.92842
"2018-02-12",1.9081,1.9081,1.9081,1.9081,0,1.9081
"2018-02-13",1.90724,1.90724,1.90724,1.90724,0,1.90724
"2018-02-14",1.90685,1.90685,1.90685,1.90685,0,1.90685
"2018-02-15",1.9006,1.9006,1.9006,1.9006,0,1.9006
"2018-02-16",1.90625,1.90625,1.90625,1.90625,0,1.90625
"2018-02-19",1.89925,1.89925,1.89925,1.89925,0,1.89925
"2018-02-20",1.90018,1.90018,1.90018,1.90018,0,1.90018
"2018-02-21",1.90691,1.90691,1.90691,1.90691,0,1.90691
"2018-02-22",1.90113,1.90113,1.90113,1.90113,0,1.90113
"2018-02-23",1.90511,1.90511,1.90511,1.90511,0,1.90511
"2018-02-26",1.91893,1.91893,1.91893,1.91893,0,1.91893
"2018-02-27",1.91547,1.91547,1.91547,1.91547,0,1.91547
"2018-02-28",1.922,1.922,1.922,1.922,0,1.922
"2018-03-01",1.90829,1.90829,1.90829,1.90829,0,1.90829
"2018-03-02",1.89707,1.89707,1.89707,1.89707,0,1.89707
"2018-03-05",1.90786,1.90786,1.90786,1.90786,0,1.90786
"2018-03-06",1.91725,1.91725,1.91725,1.91725,0,1.91725
"2018-03-07",1.90857,1.90857,1.90857,1.90857,0,1.90857
"2018-03-08",1.90837,1.90837,1.90837,1.90837,0,1.90837
"2018-03-09",1.90148,1.90148,1.90148,1.90148,0,1.90148
"2018-03-12",1.89584,1.89584,1.89584,1.89584,0,1.89584
"2018-03-13",1.90484,1.90484,1.90484,1.90484,0,1.90484
"2018-03-14",1.90622,1.90622,1.90622,1.90622,0,1.90622
"2018-03-15",1.90986,1.90986,1.90986,1.90986,0,1.90986
"2018-03-16",1.91705,1.91705,1.91705,1.91705,0,1.91705
"2018-03-19",1.92922,1.92922,1.92922,1.92922,0,1.92922
"2018-03-20",1.93638,1.93638,1.93638,1.93638,0,1.93638
