"","open","high","low","close","volume","adjusted"
"2018-01-01",1.8071,1.8071,1.8071,1.8071,0,1.8071
"2018-01-02",1.80633,1.80633,1.80633,1.80633,0,1.80633
"2018-01-03",1.80702,1.80702,1.80702,1.80702,0,1.80702
"2018-01-04",1.7976,1.7976,1.7976,1.7976,0,1.7976
"2018-01-05",1.7982,1.7982,1.7982,1.7982,0,1.7982
"2018-01-08",1.80088,1.80088,1.80088,1.80088,0,1.80088
"2018-01-09",1.80715,1.80715,1.80715,1.80715,0,1.80715
"2018-01-10",1.80806,1.80806,1.80806,1.80806,0,1.80806
"2018-01-11",1.80166,1.80166,1.80166,1.80166,0,1.80166
"2018-01-12",1.80011,1.80011,1.80011,1.80011,0,1.80011
"2018-01-15",1.81978,1.81978,1.81978,1.81978,0,1.81978
"2018-01-16",1.82436,1.82436,1.82436,1.82436,0,1.82436
"2018-01-17",1.82173,1.82173,1.82173,1.82173,0,1.82173
"2018-01-18",1.83276,1.83276,1.83276,1.83276,0,1.83276
"2018-01-19",1.835,1.835,1.835,1.835,0,1.835
"2018-01-22",1.83373,1.83373,1.83373,1.83373,0,1.83373
"2018-01-23",1.8446,1.8446,1.8446,1.8446,0,1.8446
"2018-01-24",1.84525,1.84525,1.84525,1.84525,0,1.84525
"2018-01-25",1.86143,1.86143,1.86143,1.86143,0,1.86143
"2018-01-26",1.85482,1.85482,1.85482,1.85482,0,1.85482
"2018-01-29",1.84873,1.84873,1.84873,1.84873,0,1.84873
"2018-01-30",1.84412,1.84412,1.84412,1.84412,0,1.84412
"2018-01-31",1.8568,1.8568,1.8568,1.8568,0,1.8568
"2018-02-01",1.86227,1.86227,1.86227,1.86227,0,1.86227
"2018-02-02",1.86661,1.86661,1.86661,1.86661,0,1.86661
"2018-02-05",1.86385,1.86385,1.86385,1.86385,0,1.86385
"2018-02-06",1.84376,1.84376,1.84376,1.84376,0,1.84376
"2018-02-07",1.84084,1.84084,1.84084,1.84084,0,1.84084
"2018-02-08",1.83872,1.83872,1.83872,1.83872,0,1.83872
"2018-02-09",1.85519,1.85519,1.85519,1.85519,0,1.85519
"2018-02-12",1.83565,1.83565,1.83565,1.83565,0,1.83565
"2018-02-13",1.83226,1.83226,1.83226,1.83226,0,1.83226
"2018-02-14",1.83709,1.83709,1.83709,1.83709,0,1.83709
"2018-02-15",1.84109,1.84109,1.84109,1.84109,0,1.84109
"2018-02-16",1.84533,1.84533,1.84533,1.84533,0,1.84533
"2018-02-19",1.84078,1.84078,1.84078,1.84078,0,1.84078
"2018-02-20",1.83906,1.83906,1.83906,1.83906,0,1.83906
"2018-02-21",1.84688,1.84688,1.84688,1.84688,0,1.84688
"2018-02-22",1.84201,1.84201,1.84201,1.84201,0,1.84201
"2018-02-23",1.84068,1.84068,1.84068,1.84068,0,1.84068
"2018-02-26",1.84451,1.84451,1.84451,1.84451,0,1.84451
"2018-02-27",1.83813,1.83813,1.83813,1.83813,0,1.83813
"2018-02-28",1.84162,1.84162,1.84162,1.84162,0,1.84162
"2018-03-01",1.82216,1.82216,1.82216,1.82216,0,1.82216
"2018-03-02",1.82137,1.82137,1.82137,1.82137,0,1.82137
"2018-03-05",1.8204,1.8204,1.8204,1.8204,0,1.8204
"2018-03-06",1.82599,1.82599,1.82599,1.82599,0,1.82599
"2018-03-07",1.83217,1.83217,1.83217,1.83217,0,1.83217
"2018-03-08",1.82673,1.82673,1.82673,1.82673,0,1.82673
"2018-03-09",1.81807,1.81807,1.81807,1.81807,0,1.81807
"2018-03-12",1.8237,1.8237,1.8237,1.8237,0,1.8237
"2018-03-13",1.82468,1.82468,1.82468,1.82468,0,1.82468
"2018-03-14",1.83258,1.83258,1.83258,1.83258,0,1.83258
"2018-03-15",1.82846,1.82846,1.82846,1.82846,0,1.82846
