"","open","high","low","close","volume","adjusted"
"2018-01-02",17.959999,18.290001,17.780001,18.26,2832700,17.359324
"2018-01-03",18.290001,18.370001,17.92,18.200001,3789200,17.302284
"2018-01-04",18.200001,18.379999,17.959999,18.32,2781300,17.416365
"2018-01-05",18.379999,18.73,18.219999,18.68,3019000,17.758606
"2018-01-08",18.799999,19.4,18.799999,19.23,3668400,18.281479
"2018-01-09",19.309999,19.75,19.309999,19.549999,3662600,18.585693
"2018-01-10",19.389999,19.92,19.33,19.68,4012800,18.709284
"2018-01-11",19.92,20.309999,19.77,19.959999,4213100,18.975471
"2018-01-12",18.5,18.540001,17.629999,17.76,15445800,16.883987
"2018-01-16",18,18.280001,17.040001,17.16,7852500,16.313581
"2018-01-17",17.24,17.709999,17.17,17.5,4239700,16.63681
"2018-01-18",17.469999,17.93,17.209999,17.860001,4265700,16.979055
"2018-01-19",17.889999,18.18,17.75,18.129999,3194000,17.235735
"2018-01-22",18.219999,18.27,17.469999,17.549999,5234800,16.684345
"2018-01-23",17.52,17.57,17.17,17.4,3628500,16.541742
"2018-01-24",17.4,17.450001,16.73,16.98,4073900,16.14246
"2018-01-25",16.98,17.040001,16.610001,16.84,2701800,16.009367
"2018-01-26",16.860001,17.09,16.610001,17.059999,3348800,16.218513
"2018-01-29",17.049999,17.200001,16.799999,17.15,3154700,16.304073
"2018-01-30",17.08,17.219999,16.860001,17.07,1886000,16.22802
"2018-01-31",17.139999,17.27,16.700001,16.809999,2749200,15.980844
"2018-02-01",16.700001,17.01,16.57,16.66,2937100,15.838244
"2018-02-02",16.559999,16.66,16.219999,16.23,3253500,15.429454
"2018-02-05",16.139999,16.219999,15.64,15.65,4131100,14.878062
"2018-02-06",15.36,16.379999,15.1,16.139999,4962200,15.343893
"2018-02-07",16.16,16.67,16.15,16.469999,4413500,15.657615
"2018-02-08",16.450001,16.549999,15.76,15.83,4286700,15.049184
"2018-02-09",15.98,16.33,15.67,16.17,5640900,15.372414
"2018-02-12",16.290001,16.33,15.62,15.8,2431800,15.020664
"2018-02-13",15.76,15.86,15.49,15.58,2463900,14.811515
"2018-02-14",15.58,16.4,15.53,16.219999,3215900,15.419947
"2018-02-15",16.299999,16.5,16.24,16.41,2263100,15.600574
"2018-02-16",16.52,16.969999,16.25,16.4,2706100,15.591068
"2018-02-20",16.299999,16.32,15.78,15.86,2489800,15.077703
"2018-02-21",15.9,16.209999,15.66,15.69,3031200,14.916089
"2018-02-22",15.81,15.93,15.57,15.62,2452200,14.849543
"2018-02-23",15.79,15.99,15.67,15.97,2580300,15.182279
"2018-02-26",16,16.1,15.84,16.08,2771200,15.286853
"2018-02-27",16.1,16.59,15.57,15.57,4474000,14.802008
"2018-02-28",15.65,15.95,15.58,15.69,4737000,14.916089
"2018-03-01",15.79,16.23,15.76,15.97,3132500,15.182279
"2018-03-02",15.56,15.99,15.38,15.93,3553900,15.513387
"2018-03-05",15.87,16.110001,15.68,16.049999,4236100,15.630247
