"","open","high","low","close","volume","adjusted"
"2018-01-16",3.22,3.24,3.14,3.2,5825200,3.2
"2018-01-17",3.19,3.21,3.14,3.17,6890700,3.17
"2018-01-18",3.17,3.23,3.16,3.18,3496800,3.18
"2018-01-19",3.18,3.35,3.18,3.34,6431200,3.34
"2018-01-22",3.33,3.35,3.28,3.32,2770900,3.32
"2018-01-23",3.32,3.4,3.29,3.36,3231000,3.36
"2018-01-24",3.38,3.38,3.26,3.28,2764000,3.28
"2018-01-25",3.31,3.31,3.19,3.19,3165800,3.19
"2018-01-26",3.21,3.22,3.15,3.16,2922000,3.16
"2018-01-29",3.15,3.19,3.12,3.14,2740000,3.14
"2018-01-30",3.13,3.15,3.09,3.12,1951100,3.12
"2018-01-31",3.12,3.12,3.04,3.06,3381700,3.06
"2018-02-01",3.1,3.19,3.08,3.09,2552600,3.09
"2018-02-02",3.09,3.1,3,3.03,3591300,3.03
"2018-02-05",3.01,3.07,2.86,2.88,5369300,2.88
"2018-02-06",2.82,2.85,2.75,2.75,8855700,2.75
"2018-02-07",3.1,3.21,2.91,2.96,10324900,2.96
"2018-02-08",2.94,2.99,2.78,2.78,4421700,2.78
"2018-02-09",2.84,2.86,2.75,2.76,6679700,2.76
"2018-02-12",2.77,2.9,2.77,2.79,3841300,2.79
"2018-02-13",2.77,2.81,2.71,2.74,5631300,2.74
"2018-02-14",2.72,2.89,2.72,2.87,7149600,2.87
"2018-02-15",2.91,2.95,2.84,2.91,3793100,2.91
"2018-02-16",2.92,3,2.88,2.97,3883800,2.97
"2018-02-20",2.94,2.99,2.92,2.95,2973500,2.95
"2018-02-21",2.94,3.03,2.9,2.91,2652900,2.91
"2018-02-22",2.94,2.94,2.85,2.85,2200000,2.85
"2018-02-23",2.87,2.91,2.84,2.89,1912500,2.89
"2018-02-26",2.88,2.91,2.84,2.85,1735000,2.85
"2018-02-27",2.84,2.9,2.8,2.82,2937500,2.82
"2018-02-28",2.82,2.83,2.72,2.72,3326600,2.72
"2018-03-01",2.72,2.76,2.69,2.72,1965500,2.72
"2018-03-02",2.72,2.83,2.67,2.83,2369700,2.83
"2018-03-05",2.83,2.98,2.81,2.92,3444100,2.92
"2018-03-06",2.91,3.28,2.85,3.22,9270800,3.22
"2018-03-07",3.2,3.22,3,3.08,5940600,3.08
"2018-03-08",3.1,3.1,3,3.05,3847100,3.05
"2018-03-09",3.09,3.15,3.05,3.13,3030800,3.13
"2018-03-12",3.14,3.21,2.89,3.07,7059300,3.07
"2018-03-13",3.06,3.09,2.92,2.96,3167800,2.96
"2018-03-14",2.99,2.99,2.89,2.91,2604400,2.91
"2018-03-15",2.93,2.98,2.9,2.92,1739200,2.92
"2018-03-16",2.93,2.99,2.87,2.96,6329400,2.96
"2018-03-19",2.95,2.99,2.86,2.9,2705600,2.9
"2018-03-20",2.92,2.93,2.86,2.86,1324900,2.86
"2018-03-21",2.86,3.08,2.84,3.06,5165100,3.06
"2018-03-22",3.05,3.09,2.9,2.95,5097700,2.95
"2018-03-23",2.96,2.96,2.86,2.9,3160300,2.9
"2018-03-26",2.94,2.96,2.82,2.88,2205400,2.88
"2018-03-27",2.9,2.91,2.8,2.81,2378400,2.81
"2018-03-28",2.84,2.85,2.76,2.8,2244200,2.8
"2018-03-29",2.8,2.91,2.8,2.83,2422600,2.83
"2018-04-02",2.85,2.92,2.72,2.75,2190300,2.75
"2018-04-03",2.75,2.86,2.75,2.81,2829400,2.81
"2018-04-04",2.75,2.85,2.75,2.8,1552700,2.8
"2018-04-05",2.82,2.86,2.78,2.78,1377000,2.78
"2018-04-06",2.78,2.8,2.73,2.75,1847000,2.75
"2018-04-09",2.75,2.78,2.66,2.69,2444300,2.69
"2018-04-10",2.73,2.78,2.69,2.75,2161100,2.75
"2018-04-11",2.72,2.83,2.72,2.81,1648500,2.81
"2018-04-12",2.79,2.82,2.74,2.74,1530800,2.74
"2018-04-13",2.76,2.77,2.69,2.73,1988300,2.73
"2018-04-16",2.72,2.79,2.72,2.78,2152900,2.78
"2018-04-17",2.79,2.83,2.76,2.82,3126100,2.82
"2018-04-18",2.82,2.83,2.76,2.79,2716500,2.79
"2018-04-19",2.76,2.79,2.68,2.72,3222500,2.72
"2018-04-20",2.72,2.74,2.69,2.71,1289200,2.71
"2018-04-23",2.72,2.74,2.66,2.7,2137000,2.7
"2018-04-24",2.72,2.81,2.7,2.81,3190100,2.81
"2018-04-25",2.8,2.84,2.73,2.81,2641800,2.81
"2018-04-26",2.82,2.89,2.78,2.88,2241900,2.88
"2018-04-27",2.86,2.89,2.82,2.84,2353500,2.84
"2018-04-30",2.83,2.87,2.75,2.76,2656200,2.76
"2018-05-01",2.76,2.84,2.76,2.84,2627200,2.84
"2018-05-02",2.85,3.2,2.82,2.97,12586400,2.97
"2018-05-03",2.96,2.99,2.82,2.91,4851000,2.91
"2018-05-04",2.88,3.06,2.86,3.02,2300400,3.02
"2018-05-07",3.04,3.13,3.03,3.12,1633200,3.12
"2018-05-08",3.1,3.17,3.06,3.14,3187700,3.14
"2018-05-09",3.13,3.26,3.13,3.19,3220500,3.19
"2018-05-10",3.19,3.2,3.02,3.08,2296400,3.08
"2018-05-11",3.08,3.12,3.04,3.07,933600,3.07
"2018-05-14",3.08,3.23,3.08,3.17,3834500,3.17
"2018-05-15",3.15,3.23,3.14,3.2,1949400,3.2
"2018-05-16",3.22,3.3,3.19,3.3,3236200,3.3
"2018-05-17",3.3,3.56,3.28,3.53,5340400,3.53
"2018-05-18",3.57,3.57,3.33,3.34,4076500,3.34
"2018-05-21",3.45,3.63,3.39,3.63,4404900,3.63
"2018-05-22",3.68,3.71,3.44,3.58,3959000,3.58
"2018-05-23",3.58,3.58,3.43,3.45,3100500,3.45
"2018-05-24",3.42,3.45,3.33,3.4,2684900,3.4
"2018-05-25",3.4,3.49,3.35,3.47,1597300,3.47
"2018-05-29",3.45,3.53,3.41,3.53,2809100,3.53
"2018-05-30",3.55,3.77,3.53,3.66,6023500,3.66
"2018-05-31",3.66,3.74,3.43,3.44,5747000,3.44
"2018-06-01",3.5,3.56,3.45,3.55,3316000,3.55
"2018-06-04",3.58,3.6,3.47,3.55,2916100,3.55
"2018-06-05",3.52,3.61,3.5,3.59,2940200,3.59
"2018-06-06",3.61,3.96,3.6,3.82,10033000,3.82
"2018-06-07",3.8,3.84,3.61,3.72,4204800,3.72
"2018-06-08",3.74,3.82,3.63,3.81,5620700,3.81
"2018-06-11",4.88,4.92,4.66,4.82,27062200,4.82
"2018-06-12",4.8,4.84,4.71,4.74,8592600,4.74
"2018-06-13",4.74,4.74,4.58,4.7,8022900,4.7
"2018-06-14",4.69,4.72,4.6,4.71,5626400,4.71
"2018-06-15",4.68,4.71,4.6,4.65,6599200,4.65
"2018-06-18",4.64,4.68,4.56,4.58,4393700,4.58
"2018-06-19",4.56,4.63,4.46,4.51,6855600,4.51
"2018-06-20",4.54,4.59,4.43,4.55,6115900,4.55
"2018-06-21",4.56,4.67,4.48,4.5,6621100,4.5
"2018-06-22",4.54,4.56,4.47,4.51,5706600,4.51
"2018-06-25",4.47,4.5,4.4,4.42,2894600,4.42
"2018-06-26",4.43,4.45,4.34,4.42,2802700,4.42
"2018-06-27",4.4,4.47,4.34,4.35,2481400,4.35
"2018-06-28",4.36,4.42,4.29,4.4,1805300,4.4
