"","open","high","low","close","volume","adjusted"
"2018-01-02",95.540001,97.129997,95.540001,96.580002,945000,95.088417
"2018-01-03",96.769997,97.480003,96.480003,97.300003,647300,95.797302
"2018-01-04",97.669998,98.440002,96.959999,97.410004,650300,95.905602
"2018-01-05",97.580002,97.730003,96.190002,97.5,681400,95.994202
"2018-01-08",97.739998,98.559998,97.5,97.980003,836200,96.466797
"2018-01-09",98.150002,99.300003,98.150002,98.949997,1006400,97.421814
"2018-01-10",98.400002,99.639999,98.290001,99.400002,912900,97.864868
"2018-01-11",99.389999,101.970001,98.93,101.900002,886900,100.326256
"2018-01-12",101.949997,103.389999,101.629997,103.279999,1026100,101.684944
"2018-01-16",104.040001,104.879997,102.699997,102.800003,1070900,101.212357
"2018-01-17",103.089996,103.800003,102.82,103.480003,633400,101.881851
"2018-01-18",103.75,103.830002,102.150002,102.93,610600,101.34034
"2018-01-19",103.139999,104.449997,103.139999,104.139999,613000,102.531654
"2018-01-22",104.25,104.25,102.989998,104.129997,738700,102.521805
"2018-01-23",103.889999,104.900002,103.629997,104.730003,542700,103.112549
"2018-01-24",105,106.75,104.339996,106.629997,726700,104.9832
"2018-01-25",105.940002,106.809998,105.260002,106.309998,860200,104.668144
"2018-01-26",106.540001,107.629997,106.019997,107.580002,504600,105.918526
"2018-01-29",107.580002,107.75,106.82,107.010002,579700,105.357338
"2018-01-30",106.690002,106.910004,104.860001,105.190002,674000,103.565445
"2018-01-31",105.370003,105.879997,103.220001,104.07,2011100,102.462746
"2018-02-01",103.379997,104.309998,102.779999,103.209999,910100,101.61602
"2018-02-02",102.989998,104.139999,101.900002,102.190002,1091400,100.611771
"2018-02-05",101.389999,102.870003,99.660004,99.669998,1488100,98.130692
"2018-02-06",98.279999,100.629997,96.910004,100.059998,1221100,98.514671
"2018-02-07",99.959999,101.830002,99.169998,99.269997,1025800,97.73687
"2018-02-08",99.330002,100.440002,96.279999,96.309998,1450700,94.822578
"2018-02-09",97.120003,98.040001,92.82,97.050003,1291000,95.551163
"2018-02-12",98.089996,98.629997,96.519997,97.720001,951600,96.210808
"2018-02-13",97.790001,98.150002,96.080002,96.730003,1101400,95.236099
"2018-02-14",96.300003,99.32,96.029999,98.949997,922100,97.421814
"2018-02-15",99.5,100.919998,98.57,100.910004,979500,99.351547
"2018-02-16",100.489998,101.080002,99.099998,99.830002,1112200,98.288223
"2018-02-20",96.559998,96.889999,94.400002,94.669998,1711200,93.207916
"2018-02-21",94.400002,94.790001,92.5,93.339996,1258500,91.898453
"2018-02-22",93.540001,94.830002,92.449997,92.93,975400,91.494781
"2018-02-23",93.330002,94.599998,92.669998,94.529999,821200,93.070076
"2018-02-26",94.709999,95.029999,93.849998,94.870003,659200,93.404823
