"","open","high","low","close","volume","adjusted"
"2018-01-02",257.769989,257.910004,253.919998,255.669998,2258300,254.055923
"2018-01-03",255.479996,256.140015,253.220001,253.289993,2988200,251.690948
"2018-01-04",255.229996,259.720001,254.320007,256.829987,2583200,255.208572
"2018-01-05",257.179993,257.48999,253.690002,255.520004,2594700,253.906876
"2018-01-08",254.75,255.179993,251.619995,251.809998,2940500,250.220291
"2018-01-09",252.800003,255.600006,252.619995,253.940002,2637300,252.336853
"2018-01-10",255,255.149994,252.350006,254.330002,2927200,252.72438
"2018-01-11",255.75,255.889999,252.970001,255.130005,2422400,253.519348
"2018-01-12",255.75,257.299988,254.089996,257.029999,2849200,255.407333
"2018-01-16",259.25,261.769989,256.399994,258.459991,4445500,256.828308
"2018-01-17",260.980011,262,248.839996,253.649994,8595400,252.048676
"2018-01-18",254.490005,254.539993,250.600006,250.970001,4984500,249.385605
"2018-01-19",251,256.140015,250.259995,256.119995,4643400,254.503082
"2018-01-22",255.449997,262.869995,255.190002,261.519989,5264700,259.868988
"2018-01-23",258,260.26001,256.850006,260.089996,4003600,258.447998
"2018-01-24",260.73999,265.779999,260.299988,265.679993,4314000,264.002747
"2018-01-25",266.350006,270.5,265.01001,269.029999,5055000,267.331573
"2018-01-26",267.48999,269,266.049988,268.140015,3535400,266.447205
"2018-01-29",269.040009,273.790009,268.809998,272.480011,3881100,270.759827
"2018-01-30",270.390015,272,267.109985,268.940002,3970400,267.242157
"2018-01-31",268.549988,270,266.329987,267.890015,3710200,266.198792
"2018-02-01",266.149994,272.589996,266,272.230011,3388200,270.511383
"2018-02-02",270,271.75,259.350006,260.040009,5913900,258.398346
"2018-02-05",257.51001,263.299988,241.5,249.110001,6528500,247.537338
"2018-02-06",244.210007,258.75,242.110001,258.700012,6739900,257.066803
"2018-02-07",255.899994,261.950012,255.660004,257.100006,4125000,255.476913
"2018-02-08",257.929993,258.779999,246.050003,246.350006,4166200,244.794769
"2018-02-09",249.619995,251.669998,239.289993,249.300003,5978600,247.726135
"2018-02-12",251.149994,256.149994,248.820007,253.160004,3692500,251.561783
"2018-02-13",252.009995,256.399994,250.580002,255.529999,2700500,253.916809
"2018-02-14",255,262.709991,254.479996,262.579987,3793800,260.922302
"2018-02-15",265.76001,268,262.910004,267.679993,3523100,265.990082
"2018-02-16",265.98999,269.279999,265.899994,267.619995,2602500,265.930481
"2018-02-20",266.890015,268.850006,263.309998,264.890015,2618400,263.217743
"2018-02-21",263.920013,270,263.130005,263.399994,3017900,261.737122
"2018-02-22",264.399994,266.320007,260.720001,261.429993,2678900,259.779541
"2018-02-23",263,266.980011,262.399994,266.769989,2507100,265.085846
"2018-02-26",267.5,271.779999,266.769989,271.26001,2751400,269.547516
"2018-02-27",271,273.119995,267.929993,267.929993,3140600,266.238525
"2018-02-28",269.140015,269.48999,262.570007,262.929993,3104300,262.003479
"2018-03-01",262.609985,263.549988,256.200012,256.779999,3483500,255.875168
"2018-03-02",255,259.23999,252.100006,258.119995,3122800,257.210449
"2018-03-05",256.459991,264.549988,256.23999,263.119995,2445800,262.19281
"2018-03-06",264.769989,267.869995,263.209991,266.929993,2217300,265.98938
"2018-03-07",262.690002,266.429993,260.950012,265.350006,2509400,264.414978
"2018-03-08",266.480011,268.100006,262.630005,266.339996,2565400,265.401489
"2018-03-09",268.700012,271.089996,267.040009,270.769989,4410600,269.815857
"2018-03-12",271,275.309998,270.769989,273.380005,3065600,272.416687
"2018-03-13",274.339996,275.029999,267.440002,268.529999,2288100,267.583771
"2018-03-14",270.399994,270.779999,263.910004,264.429993,2478700,263.498199
"2018-03-15",265.720001,269,265.350006,266.609985,2255200,265.670502
"2018-03-16",266.01001,269.850006,265.329987,267.600006,4114400,266.657043
"2018-03-19",266.98999,267.5,259.470001,262.529999,2426900,261.604919
"2018-03-20",263.290009,264.640015,261.890015,263.190002,1514800,262.262573
"2018-03-21",263.01001,266.48999,260.309998,261.850006,2817600,260.927307
"2018-03-22",258.420013,260.820007,252.179993,252.600006,4489300,251.7099
"2018-03-23",253.630005,253.990005,244.929993,245.259995,3634200,244.395752
"2018-03-26",250.649994,255.360001,248.449997,254.880005,3787200,253.981873
"2018-03-27",255.889999,257.059998,245.610001,247.259995,2981500,246.388702
"2018-03-28",248.779999,251.229996,244.369995,249.369995,2660200,248.491272
"2018-03-29",250.789993,252.979996,248.330002,251.860001,3073900,250.972504
"2018-04-02",251.259995,252.600006,243.770004,247.350006,3429900,246.478409
"2018-04-03",248.610001,250.889999,245.899994,250.580002,2488200,249.697021
"2018-04-04",245.710007,253.220001,244.509995,252.619995,2853200,251.729828
"2018-04-05",254.5,258,253.399994,255.809998,1924800,254.908585
"2018-04-06",251.479996,255.339996,246.679993,249.970001,3621900,249.089172
"2018-04-09",251.479996,257.5,249.169998,252.190002,3256700,251.301346
"2018-04-10",257.959991,259.890015,255.949997,256.570007,3113900,255.665909
"2018-04-11",252.589996,254.830002,249.789993,252.940002,3322000,252.048706
"2018-04-12",256.269989,260.730011,255.110001,259.589996,3059100,258.675262
"2018-04-13",261.940002,262.5,254.539993,255.919998,3026200,255.018188
"2018-04-16",257.130005,260.660004,256.660004,257.880005,3257400,256.971283
"2018-04-17",261.600006,262.25,252.339996,253.630005,10134400,252.736267
"2018-04-18",254.899994,257.019989,252.25,254,4524800,253.104965
"2018-04-19",254,256.160004,252.830002,254.169998,3990000,253.274368
"2018-04-20",254.100006,255.679993,251.479996,251.960007,2930600,251.072159
"2018-04-23",251.660004,252.75,246.190002,246.669998,3775900,245.800797
"2018-04-24",248.820007,249.149994,240.039993,242.490005,4705100,241.635529
"2018-04-25",242.190002,242.460007,237.509995,239.229996,5041400,238.387009
"2018-04-26",239.270004,241.660004,238.009995,240.089996,2891100,239.243973
"2018-04-27",240,241.929993,239.020004,239.800003,2136800,238.955002
"2018-04-30",240.970001,243.070007,238.220001,238.330002,2790500,237.490189
"2018-05-01",237.509995,237.899994,233.960007,236.669998,3269800,235.836029
"2018-05-02",236.600006,237.910004,233.419998,234.050003,3710900,233.225266
"2018-05-03",232.449997,234,227.399994,233.410004,4511400,232.587524
"2018-05-04",232.309998,236.789993,232.279999,234.940002,2622300,234.112122
"2018-05-07",236,238.169998,235.279999,237.199997,1979400,236.364166
"2018-05-08",238.240005,240.660004,236,237,3267000,236.164871
"2018-05-09",237.979996,242.050003,237.25,241.729996,2434000,240.878189
"2018-05-10",242.110001,245.419998,240.160004,243.440002,2599000,242.582184
"2018-05-11",243.440002,244.910004,241.710007,242.919998,1540100,242.064011
"2018-05-14",243.600006,245.880005,243.5,243.910004,1928500,243.050522
"2018-05-15",243,243.949997,240.669998,241.559998,2165700,240.708801
"2018-05-16",241.270004,241.839996,240.589996,240.960007,1965200,240.110916
"2018-05-17",240.419998,242.440002,238.779999,239.100006,2462700,238.257477
"2018-05-18",238.100006,238.740005,236.869995,237,2699000,236.164871
"2018-05-21",239.100006,240.070007,237.320007,237.699997,1951700,236.862396
"2018-05-22",238.699997,240.699997,237.979996,238,2551500,237.161346
"2018-05-23",236.880005,237.869995,234.380005,237.809998,3105400,236.972015
"2018-05-24",236.600006,237.169998,233.649994,236.100006,2295200,235.268051
"2018-05-25",235,236.119995,234.279999,235.009995,1985600,234.18187
"2018-05-29",231.520004,232.470001,225.020004,227.029999,5299000,226.229996
"2018-05-30",228.940002,229.669998,226.279999,229.160004,3348600,229.160004
"2018-05-31",227.339996,228.110001,224.089996,225.880005,5334900,225.880005
"2018-06-01",228.399994,230.25,228.089996,228.350006,3323300,228.350006
"2018-06-04",230.350006,231.149994,228.949997,229.889999,2129400,229.889999
"2018-06-05",228.940002,229.339996,227.289993,228.339996,1986200,228.339996
"2018-06-06",229.850006,232.580002,229.360001,232.229996,2566400,232.229996
