"","open","high","low","close","volume","adjusted"
"2018-01-02",32.419998,32.490002,31.93,32.32,2795600,32.015579
"2018-01-03",32.389999,32.400002,31.66,31.860001,3324400,31.559916
"2018-01-04",31.950001,32.619999,31.870001,32.580002,4912000,32.273136
"2018-01-05",32.689999,32.91,32.369999,32.84,3789900,32.530685
"2018-01-08",32.830002,33.200001,32.700001,33.130001,2188600,32.817955
"2018-01-09",33.349998,34.290001,33.27,33.889999,2830200,33.570793
"2018-01-10",33.830002,33.880001,33.419998,33.470001,2267700,33.154751
"2018-01-11",33.580002,33.880001,33.490002,33.59,1971100,33.273621
"2018-01-12",33.529999,34.080002,33.529999,33.91,4295100,33.590607
"2018-01-16",34,34.169998,33.310001,33.5,2852200,33.184467
"2018-01-17",33.41,35.290001,33.27,34.369999,6146200,34.046272
"2018-01-18",34.279999,34.52,33.799999,34.080002,2400500,33.759007
"2018-01-19",34.23,35,33.950001,34.990002,2974600,34.660439
"2018-01-22",35,35.669998,34.919998,35.619999,3137900,35.2845
"2018-01-23",35.52,35.59,35.09,35.200001,2259200,34.868454
"2018-01-24",35.299999,36,35.16,35.369999,3181300,35.036854
"2018-01-25",35.509998,35.669998,35.139999,35.470001,1398300,35.135914
"2018-01-26",35.639999,35.91,35.470001,35.759998,1726700,35.423183
"2018-01-29",35.669998,36.07,35.639999,35.66,1857800,35.324123
"2018-01-30",35.41,35.549999,34.939999,35.439999,2229900,35.106194
"2018-01-31",35.349998,35.450001,34.759998,34.82,2536300,34.62883
"2018-02-01",34.639999,34.73,34.25,34.509998,2408700,34.320534
"2018-02-02",34.509998,34.759998,34.27,34.349998,2273300,34.161411
"2018-02-05",34.169998,34.66,32.720001,32.799999,3615800,32.619923
"2018-02-06",32.57,33.669998,32.099998,33.380001,4014100,33.196739
"2018-02-07",33.139999,33.880001,33.009998,33.470001,4053800,33.286243
"2018-02-08",33.470001,33.470001,30.57,30.75,6836800,30.581177
"2018-02-09",30.98,31.790001,29.389999,29.99,8126300,29.82535
"2018-02-12",30.25,30.73,29.969999,30.110001,7102600,29.944691
"2018-02-13",29.940001,30.209999,29.049999,29.34,5416900,29.178919
"2018-02-14",29,29.67,28.809999,29.58,4696100,29.417601
"2018-02-15",29.790001,30.07,29.559999,29.959999,3401200,29.795513
"2018-02-16",30,30.01,29.610001,29.66,3115700,29.497162
"2018-02-20",29.559999,29.780001,29.219999,29.48,2923200,29.31815
"2018-02-21",29.450001,29.629999,29.120001,29.15,2591200,28.989962
"2018-02-22",29.35,29.42,28.92,29.129999,2604000,28.97007
"2018-02-23",29.200001,29.66,29.200001,29.52,1943500,29.357931
"2018-02-26",29.700001,29.9,29.459999,29.82,1864300,29.656282
"2018-02-27",29.870001,30.01,29.469999,29.49,2690300,29.328094
"2018-02-28",29.6,29.75,28.940001,28.940001,3089600,28.781115
"2018-03-01",28.82,29.059999,28.030001,28.190001,3799300,28.035233
"2018-03-02",28.02,28.51,27.85,28.139999,4075700,27.985506
"2018-03-05",27.92,28.41,27.9,28.16,3707400,28.005396
"2018-03-06",28.23,28.6,28.030001,28.370001,3702800,28.214245
"2018-03-07",28.059999,28.4,28,28.309999,2337700,28.154572
"2018-03-08",28.459999,28.75,28.32,28.459999,2345700,28.303749
"2018-03-09",28.620001,29.040001,28.5,28.75,2337900,28.592157
"2018-03-12",28.790001,29.190001,28.700001,28.889999,1999200,28.731388
"2018-03-13",29,29.07,28.25,28.35,3021900,28.194353
"2018-03-14",28.459999,28.59,27.98,28.040001,2180800,27.886057
"2018-03-15",28.030001,28.299999,27.82,28.030001,2091600,27.87611
"2018-03-16",28.040001,28.59,28.01,28.51,4364600,28.353476
"2018-03-19",28.52,28.6,27.84,28.08,2005800,27.925835
"2018-03-20",28.15,28.290001,27.959999,28.040001,1911900,27.886057
"2018-03-21",28,28.59,28,28.18,1836800,28.025288
"2018-03-22",27.82,28.059999,27.34,27.360001,2604400,27.209789
"2018-03-23",27.48,27.709999,26.58,26.610001,2941900,26.463907
"2018-03-26",26.92,27.110001,26.26,26.879999,2897300,26.732424
"2018-03-27",26.940001,27.08,26.459999,26.73,2644300,26.583246
"2018-03-28",26.700001,26.92,26.290001,26.360001,3661600,26.215279
"2018-03-29",26.540001,26.780001,26.42,26.58,3525700,26.434071
"2018-04-02",26.58,26.76,25.879999,26.120001,2853800,25.976597
"2018-04-03",26.389999,26.889999,26.309999,26.780001,2579400,26.632973
"2018-04-04",26.4,27.5,26.370001,27.25,4185600,27.100393
"2018-04-05",27.440001,27.99,27.190001,27.74,4034000,27.587702
"2018-04-06",27.5,27.76,26.469999,26.809999,4593000,26.662807
"2018-04-09",27,27.379999,26.690001,27.120001,3271300,26.971107
"2018-04-10",27.42,27.99,27.42,27.799999,2821000,27.647371
"2018-04-11",27.66,27.91,27.52,27.65,1774600,27.498196
"2018-04-12",27.92,27.92,27.59,27.74,2745000,27.587702
"2018-04-13",27.99,28.27,27.74,27.84,1826600,27.687153
"2018-04-16",28,28.34,27.9,28.209999,1771700,28.05512
"2018-04-17",28.030001,28.26,27.73,27.82,3938200,27.667263
"2018-04-18",27.780001,27.940001,27.209999,27.280001,2884000,27.130228
"2018-04-19",27.290001,27.34,26.65,26.950001,2506800,26.80204
"2018-04-20",27.040001,27.219999,26.690001,27.01,2974300,26.86171
"2018-04-23",27.190001,27.35,26.9,27.01,2094600,26.86171
"2018-04-24",27.1,27.26,26.700001,26.870001,3451200,26.722479
"2018-04-25",26.450001,26.5,25.280001,25.51,7620500,25.369946
"2018-04-26",25.41,25.66,25.209999,25.4,4559900,25.26055
"2018-04-27",25.5,25.879999,25.34,25.5,3834400,25.360001
"2018-04-30",25.33,25.52,25.08,25.110001,4075600,25.110001
"2018-05-01",25.23,25.49,25.059999,25.4,2902300,25.4
"2018-05-02",25.459999,25.690001,25.290001,25.33,2797100,25.33
"2018-05-03",25.24,25.33,24.639999,25.08,2885500,25.08
"2018-05-04",25.049999,25.559999,24.9,25.280001,3037500,25.280001
"2018-05-07",25.34,25.450001,24.93,25.16,3516700,25.16
"2018-05-08",25.120001,25.120001,24.780001,24.92,2979900,24.92
"2018-05-09",25,25.35,24.879999,25.190001,2621900,25.190001
"2018-05-10",25.209999,25.77,25.18,25.73,3005700,25.73
"2018-05-11",25.690001,25.860001,25.360001,25.540001,1896300,25.540001
"2018-05-14",25.549999,25.65,25.379999,25.48,2616700,25.48
"2018-05-15",25.450001,26.15,25.43,25.76,2957600,25.76
"2018-05-16",25.780001,26.48,25.74,26.4,2314700,26.4
"2018-05-17",26.41,26.530001,26.16,26.32,1816900,26.32
"2018-05-18",26.25,26.299999,26.030001,26.15,1933500,26.15
"2018-05-21",26.110001,26.43,26.01,26.040001,2927900,26.040001
"2018-05-22",26.1,26.23,25.549999,25.719999,4864200,25.719999
"2018-05-23",25.32,25.690001,25.08,25.27,4042800,25.27
"2018-05-24",25.25,25.42,24.959999,25.209999,2635200,25.209999
"2018-05-25",25.15,25.370001,25.07,25.190001,1605300,25.190001
"2018-05-29",25,25.09,24.41,24.59,2994300,24.59
"2018-05-30",24.76,24.82,24.4,24.610001,3102500,24.610001
"2018-05-31",24.639999,24.83,24.120001,24.43,3740300,24.43
"2018-06-01",24.74,25.139999,24.41,24.440001,3292300,24.440001
"2018-06-04",24.469999,24.719999,24.4,24.610001,2827800,24.610001
"2018-06-05",24.610001,24.719999,24.469999,24.57,2116500,24.57
"2018-06-06",24.73,25.02,24.41,25.02,2524600,25.02
"2018-06-07",25.290001,25.76,24.969999,25.290001,2990000,25.290001
"2018-06-08",25.17,25.370001,25.049999,25.309999,1691500,25.309999
"2018-06-11",25.35,25.82,25.35,25.379999,2195200,25.379999
"2018-06-12",25.4,25.42,24.879999,25.16,2044600,25.16
"2018-06-13",25.129999,25.200001,24.950001,25.059999,1463600,25.059999
"2018-06-14",25.120001,25.219999,25.02,25.1,1187500,25.1
"2018-06-15",25.02,25.17,24.639999,25.07,3734500,25.07
"2018-06-18",24.959999,25.459999,24.959999,25.16,1967400,25.16
"2018-06-19",24.99,25.08,24.620001,25.030001,2664700,25.030001
"2018-06-20",25.15,25.23,24.83,25.01,1465700,25.01
"2018-06-21",24.860001,25,24.540001,24.57,1643300,24.57
"2018-06-22",24.610001,25.110001,24.48,24.629999,3275800,24.629999
"2018-06-25",24.540001,24.66,23.969999,24.610001,2783800,24.610001
"2018-06-26",24.639999,24.83,24.17,24.450001,2311200,24.450001
"2018-06-27",24.450001,24.799999,24.299999,24.309999,1814900,24.309999
"2018-06-28",24.24,24.290001,23.540001,23.639999,3027200,23.639999
"2018-06-29",23.74,23.940001,23.280001,23.290001,3583100,23.290001
"2018-07-02",23.09,23.459999,22.73,23.379999,2730500,23.379999
"2018-07-03",23.5,23.690001,23.120001,23.27,1361500,23.27
