"","open","high","low","close","volume","adjusted"
"2018-01-02",237.050003,238.789993,233,235.710007,636700,233.480637
"2018-01-03",235.360001,236.779999,232.399994,234.229996,901200,232.014618
"2018-01-04",235.039993,236.949997,233.160004,236.059998,949800,233.827316
"2018-01-05",236.350006,238.619995,235.320007,238.25,771100,235.996613
"2018-01-08",237.289993,238.990005,234.720001,238.25,954800,235.996613
"2018-01-09",238.509995,239.779999,236.419998,237.289993,763800,235.045685
"2018-01-10",230.5,233.320007,227.639999,231.75,835800,229.55809
"2018-01-11",232.5,238,231.699997,237.720001,677400,235.471619
"2018-01-12",238.509995,239.699997,235.339996,235.669998,932500,233.44101
"2018-01-16",237.169998,237.529999,231.160004,231.809998,921000,229.617523
"2018-01-17",227.619995,228.350006,223.619995,225.229996,1750400,223.099747
"2018-01-18",226.130005,230.419998,225.940002,227.529999,1291700,225.378006
"2018-01-19",228.479996,231.889999,227.119995,230.050003,658200,227.874161
"2018-01-22",229.119995,230.5,223.25,229.860001,970300,227.685959
"2018-01-23",227.559998,231.089996,226.009995,229.449997,1231000,227.279831
"2018-01-24",258.390015,274.25,257.279999,271.970001,4080700,269.397675
"2018-01-25",275,298.149994,274.26001,286.440002,4860000,283.730835
"2018-01-26",287.980011,290.26001,282.320007,285.26001,1377100,282.561981
"2018-01-29",285.529999,287.980011,273.649994,274.480011,1548700,271.883942
"2018-01-30",273.480011,276.76001,269.100006,275.450012,1096000,272.844757
"2018-01-31",275.980011,277.410004,267.51001,269.660004,1726000,267.109528
"2018-02-01",267.029999,272.290009,264.23999,266.130005,901900,263.612915
"2018-02-02",265.119995,265.190002,259.470001,259.690002,845500,257.233826
"2018-02-05",257.850006,262.01001,250.339996,254.110001,1348100,251.706604
"2018-02-06",247.169998,263.100006,247.169998,259.01001,1207800,256.560272
"2018-02-07",259.01001,262.51001,256.660004,259.890015,1038400,257.431946
"2018-02-08",259.589996,265.029999,257.320007,258.600006,910100,256.154144
"2018-02-09",259.429993,269.339996,256.51001,267.339996,1808100,266.128723
"2018-02-12",269.429993,272,267.850006,269.429993,1331600,268.209259
"2018-02-13",267.179993,272.579987,265.950012,271.369995,880700,270.140472
"2018-02-14",268.609985,269.51001,261.529999,264.73999,1160800,263.540497
"2018-02-15",266.709991,271.869995,263.670013,269.559998,807000,268.338684
"2018-02-16",269.450012,271.200012,266.609985,266.679993,507000,265.47171
"2018-02-20",264.48999,268.070007,262.570007,263.609985,478500,262.415619
"2018-02-21",264.329987,266.940002,261.779999,261.790009,549800,260.603882
"2018-02-22",263.619995,266.160004,262.5,263.600006,683800,262.405701
"2018-02-23",264.869995,266.589996,263.149994,266.190002,470000,264.983948
"2018-02-26",267.23999,271.369995,266.230011,270.820007,499000,269.592987
"2018-02-27",271.700012,274,264.779999,264.779999,608700,263.580322
"2018-02-28",266.600006,267.23999,261.549988,261.549988,741400,260.36496
"2018-03-01",260.970001,262.51001,254.009995,255.710007,1043300,254.551437
"2018-03-02",253.399994,255.729996,248.75,255.300003,902300,254.143295
"2018-03-05",254.850006,261.51001,254.279999,259.829987,701100,258.65274
"2018-03-06",262.890015,273.25,260.829987,267.76001,1232400,266.546844
"2018-03-07",264.670013,271.75,262.929993,271.26001,1008800,270.030975
"2018-03-08",273.059998,274.899994,269.950012,274.700012,647000,273.455414
"2018-03-09",275.910004,283.339996,275.170013,280.429993,905700,279.159424
"2018-03-12",279.970001,282.779999,279.070007,279.73999,699000,278.472534
"2018-03-13",282.140015,282.140015,275.01001,276.649994,715200,275.396545
"2018-03-14",278.690002,283.440002,275.269989,280.209991,731000,278.94043
"2018-03-15",280.359985,282.390015,279.630005,281.279999,722300,280.005585
"2018-03-16",282.559998,289.420013,281.549988,288.75,1297300,287.441742
"2018-03-19",289.279999,291.73999,283.5,286.380005,1072100,285.082489
"2018-03-20",287.980011,292.470001,285.190002,285.709991,548900,284.415497
"2018-03-21",285.709991,287.809998,283.619995,285.470001,473900,284.176605
"2018-03-22",283.589996,287.720001,279.890015,280.170013,570800,278.900635
"2018-03-23",281.75,281.75,270.019989,270.049988,932900,268.826447
"2018-03-26",272.559998,277.76001,272.040009,276.630005,794100,275.376648
"2018-03-27",276.630005,277.309998,271.410004,273.029999,640600,271.792969
"2018-03-28",273,278.829987,272.040009,277.480011,842500,276.222809
"2018-03-29",279.070007,285,279.070007,282.269989,917300,280.991089
"2018-04-02",281.029999,283.869995,273.220001,276.640015,815200,275.386627
"2018-04-03",278.380005,284.5,276.649994,283.869995,708000,282.583832
"2018-04-04",281.720001,290.5,280.149994,288.450012,859000,287.143097
"2018-04-05",290.48999,296.970001,289.299988,293.769989,737700,292.438965
"2018-04-06",291.26001,294.709991,281.630005,286.670013,849700,285.371185
"2018-04-09",290.059998,290.690002,284.320007,286.630005,871200,285.33136
"2018-04-10",289.359985,293.809998,289.200012,292,807800,290.677002
"2018-04-11",285.170013,289.380005,275.549988,279.170013,1269600,277.905151
"2018-04-12",280.829987,285.059998,280,283.899994,581800,282.613708
"2018-04-13",286.290009,286.290009,278.609985,278.609985,1151900,277.347656
"2018-04-16",282.149994,284.339996,279.820007,284.119995,756200,282.832703
"2018-04-17",285.890015,285.890015,280.670013,283.549988,716500,282.265289
"2018-04-18",285.399994,289.119995,283.700012,284.690002,1079500,283.400146
"2018-04-19",304,309.799988,291.51001,299.880005,3255100,298.521301
"2018-04-20",302.48999,302.880005,285.619995,288.399994,1298500,287.093323
"2018-04-23",289.399994,290.799988,285.059998,286.079987,687000,284.783813
"2018-04-24",288.940002,289.640015,274.649994,279.559998,1071800,278.293365
"2018-04-25",278.5,280.230011,274.820007,277.26001,1235900,276.003815
"2018-04-26",277.769989,278.76001,270.230011,276.890015,959600,275.635498
"2018-04-27",276.839996,285.049988,275.929993,283.869995,825300,282.583832
"2018-04-30",283.230011,286.049988,281.01001,281.350006,822600,280.075256
"2018-05-01",279.929993,282.209991,276.640015,281.940002,652700,280.662598
"2018-05-02",281.079987,286.890015,279.899994,280.899994,608100,279.627289
"2018-05-03",281.540009,281.540009,272.329987,279.839996,691500,278.572113
"2018-05-04",278.859985,288.190002,276.880005,286.769989,593900,285.470703
"2018-05-07",287.75,291.459991,285.109985,289.369995,452100,288.058929
"2018-05-08",290.920013,293.109985,288.029999,290.070007,447900,288.755768
"2018-05-09",290.820007,297.959991,289.980011,295.829987,550700,294.489655
"2018-05-10",298.01001,300.390015,295.109985,300.170013,814400,298.809998
"2018-05-11",299.109985,302.809998,295.679993,296.049988,523600,296.049988
"2018-05-14",297.839996,299.179993,292.320007,295.709991,346200,295.709991
"2018-05-15",294.920013,301.079987,292.640015,300.850006,709300,300.850006
"2018-05-16",300.540009,307.660004,300.23999,306.369995,744600,306.369995
"2018-05-17",304.399994,309.049988,304.399994,306.799988,462400,306.799988
"2018-05-18",307.059998,308.399994,305.26001,307.609985,708700,307.609985
"2018-05-21",309.079987,317.51001,308.790009,313.899994,843000,313.899994
"2018-05-22",313.209991,314.670013,305.299988,305.890015,896700,305.890015
"2018-05-23",303.410004,307.390015,301.890015,305.220001,652700,305.220001
"2018-05-24",305.779999,311.690002,305.01001,310.929993,608600,310.929993
"2018-05-25",310,311.75,308.519989,309.820007,636200,309.820007
"2018-05-29",308.709991,309.880005,299.269989,302.920013,673800,302.920013
"2018-05-30",304.100006,309.130005,301.720001,307.459991,495200,307.459991
"2018-05-31",306.679993,310,303.040009,308.98999,947900,308.98999
"2018-06-01",309.809998,316.410004,306.910004,309.700012,534300,309.700012
"2018-06-04",312,314.23999,308.700012,312.029999,461800,312.029999
"2018-06-05",312.109985,315.730011,309.970001,314.570007,462900,314.570007
"2018-06-06",312,312,306.26001,310.73999,583100,310.73999
"2018-06-07",311.209991,314.440002,310.429993,312.359985,459500,312.359985
"2018-06-08",312.279999,314.959991,311.089996,314.589996,433700,314.589996
"2018-06-11",314.059998,317.100006,313.649994,316.170013,694100,316.170013
"2018-06-12",317.5,322.339996,316.670013,318.769989,649800,318.769989
"2018-06-13",319.940002,321.359985,314.899994,315.700012,636600,315.700012
"2018-06-14",315.899994,318.529999,313.339996,317.390015,856100,317.390015
"2018-06-15",316.98999,319.670013,314.410004,319.619995,880100,319.619995
"2018-06-18",317.410004,318.670013,312.829987,316.109985,518900,316.109985
"2018-06-19",313.440002,316.040009,311.309998,312.109985,578700,312.109985
"2018-06-20",312.26001,317.380005,312,316.929993,432200,316.929993
"2018-06-21",315.26001,315.76001,309.790009,313.179993,608900,313.179993
"2018-06-22",316.51001,316.679993,311.670013,312.100006,651100,312.100006
"2018-06-25",312.459991,312.459991,303.589996,305.609985,590800,305.609985
"2018-06-26",306.720001,308.049988,304.559998,306.480011,401600,306.480011
"2018-06-27",306.190002,311.160004,304.929993,305.380005,471100,305.380005
"2018-06-28",305.540009,308.839996,303.410004,307.559998,451200,307.559998
"2018-06-29",307.600006,312.450012,307.5,308.399994,523900,308.399994
