"","open","high","low","close","volume","adjusted"
"2018-01-02",48.919998,49.84,48.720001,49.610001,7269200,49.231461
"2018-01-03",49.799999,51.080002,49.52,50.5,11181900,50.11467
"2018-01-04",50.860001,51.779999,50.23,51.630001,10142700,51.236046
"2018-01-05",51.459999,51.900002,50.950001,51.82,8617300,51.424595
"2018-01-08",51.66,52.360001,51.400002,52.290001,7611900,51.89101
"2018-01-09",52.43,52.66,51.599998,52.110001,8587400,51.712387
"2018-01-10",52.099998,52.59,51.66,52.470001,9714200,52.069637
"2018-01-11",52.57,53.689999,52.220001,53.330002,9086700,52.923077
"2018-01-12",53.18,53.52,52.68,53.139999,9026800,52.734524
"2018-01-16",53.029999,53.209999,51.900002,52.130001,10231600,51.732231
"2018-01-17",52.48,53.330002,52.099998,52.849998,8456600,52.446735
"2018-01-18",52.630001,53.07,52.209999,52.360001,8388000,51.960472
"2018-01-19",52.02,53.18,51.419998,53.009998,10388000,52.605515
"2018-01-22",54.02,56.450001,53.639999,56.400002,17802800,55.96965
"2018-01-23",56.630001,57.860001,56.470001,56.830002,13756800,56.39637
"2018-01-24",56.73,56.84,55.32,55.34,12321200,54.917736
"2018-01-25",55.669998,56.259998,55.150002,55.200001,9436100,54.778805
"2018-01-26",55.5,55.959999,55.16,55.610001,7495100,55.185677
"2018-01-29",55.32,55.599998,54.610001,54.799999,8567500,54.381855
"2018-01-30",54.240002,54.25,53.09,54.139999,10719500,53.726894
"2018-01-31",54.18,54.43,52.810001,53.700001,8580800,53.290253
"2018-02-01",53.630001,54.700001,53.43,54.509998,8530400,54.09407
"2018-02-02",54,54.099998,51.68,52.189999,14070800,51.791771
"2018-02-05",51.490002,52.419998,49.669998,50.040001,12398500,49.65818
"2018-02-06",48.759998,51.27,48.57,50.630001,11153200,50.243675
"2018-02-07",50.77,51.41,49.68,49.689999,8631600,49.310848
"2018-02-08",49.939999,50,47.380001,47.41,13885400,47.048248
"2018-02-09",47.740002,48.060001,45.099998,46.700001,17765800,46.343662
"2018-02-12",47.41,48.5,47.290001,47.919998,12278300,47.554352
"2018-02-13",47.549999,47.720001,46.869999,47.389999,6857700,47.028397
"2018-02-14",46.880001,48.18,46.709999,47.869999,8741200,47.504734
"2018-02-15",47.5,47.650002,46.330002,46.889999,15759700,46.532211
"2018-02-16",46.759998,47.990002,46.529999,47.5,12205900,47.137558
"2018-02-20",47.599998,47.98,46.759998,47.16,7426100,46.800156
"2018-02-21",46.93,47.619999,46.52,46.549999,9845900,46.194809
"2018-02-22",46.93,47.919998,46.830002,47.130001,8273000,46.770382
"2018-02-23",47.48,48.66,47.209999,48.450001,9069900,48.080311
"2018-02-26",48.240002,48.459999,47.619999,48.23,8123000,47.861988
"2018-02-27",48.32,48.939999,47.610001,47.619999,5941300,47.256641
"2018-02-28",48.009998,48.099998,46.369999,46.419998,10558600,46.0658
"2018-03-01",45.93,46.91,45.459999,46.029999,10113100,45.678776
"2018-03-02",45.709999,46.200001,45.169998,46.029999,6151500,45.678776
"2018-03-05",45.580002,46.459999,45.02,46.259998,11767900,45.907017
"2018-03-06",46.580002,46.59,45.619999,45.919998,5634400,45.74762
"2018-03-07",45.419998,45.959999,44.98,45.830002,7735400,45.657959
"2018-03-08",45.849998,46.27,45.560001,46.009998,9826000,45.83728
"2018-03-09",46.48,47.330002,46.41,46.990002,7326000,46.813606
"2018-03-12",46.91,47.459999,46.740002,46.919998,5319900,46.743866
"2018-03-13",47.080002,47.220001,45.830002,46.099998,6439100,45.926945
"2018-03-14",46.380001,46.959999,46.16,46.240002,5988300,46.066422
"2018-03-15",46.400002,46.52,45.029999,45.290001,6871700,45.119987
"2018-03-16",45.369999,46.23,45.16,45.91,8624700,45.737659
"2018-03-19",45.860001,45.860001,44.209999,44.68,9488200,44.512276
"2018-03-20",44.860001,45.68,44.82,45.490002,6657400,45.319237
"2018-03-21",45.849998,47.52,45.59,47.110001,9667300,46.933155
"2018-03-22",46.610001,46.950001,46.16,46.380001,11574700,46.205894
"2018-03-23",46.57,47.84,46.240002,46.439999,11514900,46.265667
"2018-03-26",47.009998,47.389999,46.200001,47.209999,8960800,47.032776
"2018-03-27",47.439999,48.080002,46.52,46.880001,9574800,46.704018
"2018-03-28",46.759998,47.09,45.75,46.049999,9719600,45.877132
"2018-03-29",46.240002,47.25,46.220001,46.939999,12284400,46.76379
"2018-04-02",46.689999,46.700001,45.200001,46.09,9091600,45.916985
"2018-04-03",46.349998,46.970001,45.700001,46.799999,7615400,46.624317
"2018-04-04",46.02,46.919998,45.68,46.779999,7857200,46.604393
"2018-04-05",47,48.380001,46.959999,47.68,8644700,47.501015
"2018-04-06",47.400002,47.580002,46.220001,47,9877900,46.823566
"2018-04-09",47.25,47.380001,46.48,46.560001,9558500,46.38522
"2018-04-10",47.419998,49.43,47.419998,48.82,10241400,48.636734
"2018-04-11",48.630001,50.02,48.5,49.59,9195000,49.403843
"2018-04-12",50.060001,50.709999,49.360001,50.209999,8303700,50.021515
"2018-04-13",50.27,51.07,50.200001,50.779999,7340800,50.589375
"2018-04-16",50.82,51,50.07,50.759998,6540700,50.56945
"2018-04-17",50.68,51.07,50.299999,50.889999,6101300,50.698963
"2018-04-18",51.419998,52.529999,51.349998,52.09,12603800,51.894459
"2018-04-19",52.16,52.66,51.57,52.009998,11319100,51.814758
"2018-04-20",51.560001,52.48,51.080002,51.959999,13149800,51.764946
"2018-04-23",51.990002,52.650002,50.759998,52.049999,7555400,51.85461
"2018-04-24",52.16,52.880001,51.009998,51.369999,8459900,51.177162
"2018-04-25",51,51.849998,50.73,51.75,6377000,51.555737
"2018-04-26",52.009998,52.669998,51.810001,52.599998,7121500,52.402542
"2018-04-27",52.259998,53.009998,51.900002,52.830002,5969700,52.631683
"2018-04-30",52.599998,53.709999,52.400002,52.990002,7944800,52.791084
"2018-05-01",52.66,52.84,51.740002,52.439999,5590600,52.243145
"2018-05-02",52.34,53.23,52.25,52.639999,5203000,52.442394
"2018-05-03",52.560001,52.619999,51.639999,52.310001,4814300,52.113636
"2018-05-04",52.119999,52.439999,51.52,52.189999,6262400,51.994083
"2018-05-07",52.439999,53.5,51.98,52.029999,5559900,51.834682
"2018-05-08",52.060001,52.189999,50.759998,51.869999,8970400,51.675285
"2018-05-09",52.639999,53.68,52.59,52.700001,8434900,52.502171
"2018-05-10",53.34,53.400002,52.41,52.709999,6965900,52.512131
