"","open","high","low","close","volume","adjusted"
"2018-01-02",190.210007,190.720001,188.009995,188.029999,4684700,185.922836
"2018-01-03",188,189.360001,187.820007,189.009995,4530500,186.891846
"2018-01-04",189.869995,190.869995,188.470001,190.509995,4047400,188.375046
"2018-01-05",190.929993,192.539993,190.509995,192.5,4224800,190.342743
"2018-01-08",191.720001,193.720001,191.600006,192.039993,3508500,189.887894
"2018-01-09",192.699997,193.470001,191.639999,193.100006,3012300,190.93602
"2018-01-10",192.759995,193.220001,191.649994,191.800003,3119500,189.650589
"2018-01-11",191.679993,194.729996,191.399994,194.679993,3899200,192.498306
"2018-01-12",195.5,199.419998,194.820007,196.419998,6748400,194.218811
"2018-01-16",197.860001,198.949997,195.699997,196.309998,5692700,194.110046
"2018-01-17",197.5,199.820007,196.839996,199.820007,3988100,197.580719
"2018-01-18",199.779999,200.240005,197.660004,198.330002,4474600,196.107422
"2018-01-19",199.809998,201.330002,199.130005,201.330002,5809600,199.073792
"2018-01-22",201.600006,204.470001,201.509995,204.460007,4857700,202.168732
"2018-01-23",204.889999,206.350006,204.149994,204.899994,3621700,202.603775
"2018-01-24",205.199997,207.100006,204.550003,206.220001,4370700,203.908981
"2018-01-25",206.800003,206.830002,203.839996,205.369995,3537700,203.068512
"2018-01-26",205.600006,207.309998,204.440002,207.229996,3778100,204.907669
"2018-01-29",207.229996,207.610001,204.710007,204.919998,3632900,202.623566
"2018-01-30",201.470001,203.149994,191.570007,201.809998,5979600,199.548401
"2018-01-31",203.220001,205.080002,200.229996,200.899994,4547300,198.648605
"2018-02-01",199.339996,202.25,198.279999,199.899994,3553800,197.659805
"2018-02-02",199.25,199.300003,193.440002,193.970001,6179000,191.79628
"2018-02-05",190.070007,194.300003,180.380005,183.110001,10618500,181.057983
"2018-02-06",178.619995,191.960007,175.419998,191.039993,11682700,188.899109
"2018-02-07",190.729996,194.520004,189.720001,191.289993,6016800,189.146301
"2018-02-08",191.139999,191.139999,180.929993,181.220001,7241800,179.189148
"2018-02-09",183.25,186,175.789993,184.119995,9059200,182.056641
"2018-02-12",186.550003,187.009995,183.410004,184.059998,6783700,181.99733
"2018-02-13",183.229996,183.990005,180.889999,183.720001,4273800,181.661133
"2018-02-14",181.880005,185.059998,181.050003,184.690002,6767000,182.62027
"2018-02-15",186.740005,187.190002,183.259995,185.270004,5113300,183.193771
"2018-02-16",185.059998,187.990005,184.860001,186.970001,7619200,184.87471
"2018-02-20",189.899994,191.440002,186.309998,186.710007,8922100,184.61763
"2018-02-21",187.210007,187.979996,182.860001,183.059998,7527200,181.00853
"2018-02-22",183.720001,186.220001,182.910004,185.470001,5653900,183.391525
"2018-02-23",186.199997,188.410004,185.619995,188.350006,4315400,186.239243
"2018-02-26",189.169998,189.789993,187.860001,188.460007,4648000,186.348038
"2018-02-27",188.869995,189.25,184.960007,184.979996,4618800,182.907013
"2018-02-28",184.410004,186.649994,182.270004,182.270004,6419900,180.227386
"2018-03-01",182.75,184.399994,178.25,179.639999,6123900,177.626862
"2018-03-02",177.720001,179.190002,176.339996,178.460007,5671000,176.460098
"2018-03-05",177.860001,182.259995,177.699997,181.740005,5748600,179.703339
"2018-03-06",182.75,183,179.509995,181.639999,5306800,179.604446
"2018-03-07",178.820007,180,176.820007,178.580002,4799200,177.585754
"2018-03-08",179.440002,179.979996,176.729996,177.940002,4750700,176.94931
"2018-03-09",179,182.240005,177.919998,182.160004,4477200,181.145813
"2018-03-12",182.429993,183.059998,179.550003,179.710007,4993300,178.709457
"2018-03-13",179.589996,180.949997,177.860001,178.350006,6128100,177.35704
"2018-03-14",179.100006,179.660004,175.889999,177.410004,4531500,176.422272
"2018-03-15",177.690002,179.860001,176.720001,178.070007,3936700,177.078598
"2018-03-16",178.429993,180.399994,177.970001,178.960007,8410900,177.963638
"2018-03-19",178.649994,179.320007,176,177.100006,4744500,176.113998
"2018-03-20",177.639999,178.889999,177.160004,178.160004,4148300,177.168091
"2018-03-21",178.350006,180.139999,177.679993,178.020004,3494400,177.02887
"2018-03-22",177.419998,178.559998,175.080002,175.289993,5255100,174.314056
"2018-03-23",176.240005,177.059998,171.559998,171.800003,6021300,170.843491
"2018-03-26",174.110001,176.800003,173.520004,176.380005,7323600,175.397995
"2018-03-27",177.380005,178.729996,173.600006,174.679993,4713900,173.707458
"2018-03-28",175.240005,177.529999,173.919998,174.759995,4318600,173.787003
"2018-03-29",175.699997,178.639999,175.5,178.240005,4423500,177.24765
"2018-04-02",177.149994,177.690002,170.419998,172.899994,7229300,171.937363
"2018-04-03",172.779999,174.940002,172.429993,173.759995,5283300,172.792572
"2018-04-04",170.800003,177.839996,170.419998,177.440002,4757300,176.452103
"2018-04-05",178,180.039993,177.309998,179.130005,3799900,178.13269
"2018-04-06",177.979996,178.520004,173.350006,174.449997,5236900,173.478745
"2018-04-09",175.059998,175.350006,172.369995,172.509995,5079800,171.54953
"2018-04-10",174.029999,174.190002,172.240005,173.490005,4783000,172.524094
"2018-04-11",172,175.059998,171.800003,172.860001,4228400,171.897598
"2018-04-12",173.309998,174.240005,172.899994,173.360001,3396700,172.394806
"2018-04-13",174.490005,175.509995,172.229996,172.800003,4311200,171.837936
"2018-04-16",174.229996,175.600006,173.320007,174.429993,3534200,173.458847
"2018-04-17",175.759995,176.240005,174.100006,174.910004,3106500,173.936188
"2018-04-18",175,180.25,174.990005,179.850006,5858900,178.848679
"2018-04-19",179.5,179.699997,175.770004,177.080002,5407300,176.094101
"2018-04-20",177.850006,178.889999,176.320007,177.009995,5008600,176.024475
"2018-04-23",177.619995,178.380005,176.130005,177.660004,2987700,176.670868
"2018-04-24",179.300003,180,175.050003,176.259995,4435400,175.278656
"2018-04-25",176.080002,178.070007,174.550003,177.389999,5587300,176.402374
"2018-04-26",178.460007,185.929993,178.080002,185.720001,8782500,184.685989
"2018-04-27",185.490005,187.039993,183.869995,186.460007,4382400,185.421875
"2018-04-30",186.990005,187.800003,184.800003,184.800003,4173200,183.771118
"2018-05-01",184.729996,184.729996,181.399994,184.630005,3423900,183.602066
"2018-05-02",184.490005,187.119995,183.75,185.910004,3866500,184.874939
"2018-05-03",184.869995,184.899994,181.199997,183.190002,4123900,182.17009
"2018-05-04",182.75,186.350006,181.839996,185.029999,3896200,183.999832
"2018-05-07",185.399994,185.5,182.669998,183.559998,3582300,182.538025
"2018-05-08",183.449997,185.300003,182.5,185.039993,4168200,184.009781
"2018-05-09",185.029999,186.5,183.570007,186.360001,3392300,185.322433
"2018-05-10",185.970001,187.970001,185.880005,187.160004,3850100,186.117981
"2018-05-11",187.630005,190.800003,187.350006,190.309998,5355100,189.250443
"2018-05-14",191.5,191.649994,189.860001,191.080002,7035900,190.016159
"2018-05-15",189.5,189.690002,186.100006,187.979996,10147000,186.933411
"2018-05-16",189.279999,189.279999,185.899994,186.380005,5044800,185.342331
"2018-05-17",186.25,187.179993,184.869995,185.330002,4227700,184.298172
"2018-05-18",185.75,188.210007,185.550003,187.419998,4697900,186.376526
"2018-05-21",188.199997,190.669998,188,189.789993,4147800,188.733322
"2018-05-22",190.059998,190.779999,186.520004,186.869995,4585600,185.82959
"2018-05-23",187.100006,187.320007,184.979996,186.669998,7382600,185.630707
"2018-05-24",186.789993,187.410004,184.669998,187.149994,3913300,186.108032
"2018-05-25",186.710007,187.830002,186.050003,186.850006,2730400,185.809708
"2018-05-29",185.550003,186.830002,184.25,185,4708300,183.970001
"2018-05-30",184.830002,187.800003,184.009995,187.089996,3976000,187.089996
"2018-05-31",187.160004,187.360001,185.25,186.550003,4839900,186.550003
"2018-06-01",187.210007,188.830002,186.520004,187.350006,3701700,187.350006
"2018-06-04",188.220001,191.539993,187.970001,191.360001,4039600,191.360001
"2018-06-05",190.440002,192.380005,189.699997,191.940002,4231300,191.940002
"2018-06-06",193.070007,193.589996,191.210007,193.589996,4134700,193.589996
"2018-06-07",193.830002,197.199997,193.830002,196.169998,4378700,196.169998
"2018-06-08",195.869995,198.5,195.009995,198.330002,4006200,198.330002
"2018-06-11",198.910004,200.520004,198.339996,199.639999,4243000,199.639999
"2018-06-12",199.839996,201.339996,199.509995,201.309998,4616700,201.309998
"2018-06-13",201.300003,201.580002,199.660004,200.309998,5128100,200.309998
"2018-06-14",200.259995,201,198.160004,199.669998,4305900,199.669998
"2018-06-15",198.949997,201.600006,198.5,200.539993,7820900,200.539993
"2018-06-18",198.940002,200.910004,198.110001,200.690002,3396300,200.690002
"2018-06-19",198.210007,199.899994,198.100006,199.210007,5501100,199.210007
"2018-06-20",200,200.130005,198.119995,199.080002,3389600,199.080002
"2018-06-21",199.210007,200.940002,198.610001,200.309998,4695100,200.309998
"2018-06-22",200.789993,201.199997,197.169998,197.410004,6785800,197.410004
"2018-06-25",197.410004,197.839996,195.059998,196.380005,5127200,196.380005
"2018-06-26",196.580002,197.330002,195.600006,196.360001,3270600,196.360001
"2018-06-27",196.660004,197.990005,195.009995,195.020004,3771700,195.020004
"2018-06-28",195,196.009995,193.509995,195.210007,2994000,195.210007
"2018-06-29",195.860001,198.830002,194.990005,195.100006,4106600,195.100006
"2018-07-02",193.820007,194.179993,192.119995,194.020004,3822800,194.020004
"2018-07-03",194.440002,195.710007,193.410004,193.619995,1608400,193.619995
