"","open","high","low","close","volume","adjusted"
"2018-01-02",56.34,56.73,55.02,55.27,1568100,54.745388
"2018-01-03",55.099998,55.150002,54.290001,54.830002,3156900,54.309566
"2018-01-04",55.119999,55.720001,54.950001,55.400002,1593400,54.874157
"2018-01-05",55.41,55.439999,54.950001,55.16,1132400,54.636436
"2018-01-08",55.130001,55.139999,54.619999,54.779999,1660800,54.26004
"2018-01-09",55.060001,55.43,54.779999,54.970001,2313800,54.448238
"2018-01-10",55.119999,55.32,54.799999,55.040001,1891000,54.51757
"2018-01-11",55.360001,55.41,54.869999,55.09,1374100,54.567101
"2018-01-12",55.310001,55.330002,54.830002,55.290001,2571600,54.765202
"2018-01-16",55.41,55.540001,55.110001,55.240002,1768600,54.715675
"2018-01-17",55.5,56.419998,55.299999,56.23,2028400,55.696278
"2018-01-18",56.220001,56.470001,55.830002,56.09,1754600,55.557606
"2018-01-19",56.16,56.240002,55.529999,55.959999,2271500,55.428837
"2018-01-22",55.91,56.169998,55.639999,56.049999,2521400,55.517986
"2018-01-23",55.900002,56.720001,55.849998,56.669998,3943700,56.132099
"2018-01-24",56.82,58.27,56.82,58.150002,3924000,57.598057
"2018-01-25",58.139999,58.650002,57.75,58.490002,2519500,57.934826
"2018-01-26",58.560001,59.139999,58.509998,59.110001,2419600,58.548943
"2018-01-29",59,59.200001,58.189999,58.419998,2424300,57.86549
"2018-01-30",58.09,58.48,57.82,58.25,2346200,57.697105
"2018-01-31",57.279999,58.889999,57.279999,58.759998,2281900,58.202263
"2018-02-01",58.599998,58.93,58.279999,58.77,2377500,58.212166
"2018-02-02",58.52,58.790001,57.900002,58.009998,1782400,57.459381
"2018-02-05",57.470001,58.25,55.52,55.580002,3616700,55.052448
"2018-02-06",54.830002,55.439999,53.459999,55.130001,4041100,54.60672
"2018-02-07",54.84,56.57,54.779999,55.860001,2411800,55.329792
"2018-02-08",55.82,56.189999,53.23,53.34,4162100,52.83371
"2018-02-09",54.07,54.439999,52.580002,53.98,3656300,53.467632
"2018-02-12",54.299999,55.09,53.32,53.5,3342100,52.992191
"2018-02-13",53.32,54.139999,52.98,53.970001,1715700,53.457729
"2018-02-14",53.720001,54.599998,53.490002,54.529999,1952600,54.012413
"2018-02-15",54.91,54.93,54.110001,54.459999,2543200,53.943077
"2018-02-16",54.279999,54.900002,54.130001,54.139999,3752000,53.626114
"2018-02-20",54.029999,54.419998,53.450001,53.82,2933000,53.309151
"2018-02-21",53.880001,54.619999,53.709999,53.950001,2133900,53.43792
"2018-02-22",54.02,54.380001,53,53.220001,2427600,52.714848
"2018-02-23",53.43,54.080002,53.150002,54.040001,1653100,53.527065
"2018-02-26",54.259998,54.740002,54.119999,54.5,1673800,53.9827
"2018-02-27",54.310001,54.849998,53.759998,53.810001,2399700,53.299248
"2018-02-28",54.029999,54.23,52.84,52.849998,1865900,52.348358
"2018-03-01",52.75,53.07,51.549999,51.91,2719100,51.417286
"2018-03-02",51.330002,51.880001,50.709999,51.77,2443800,51.526768
"2018-03-05",51.389999,54.23,51.380001,53.939999,5545300,53.686569
"2018-03-06",54.080002,54.560001,53.59,54.419998,3619100,54.164314
"2018-03-07",53.869999,54.630001,53.709999,54.27,3103500,54.015022
"2018-03-08",54.310001,54.459999,53.77,54.360001,1721900,54.104599
"2018-03-09",54.59,56.130001,54.43,56.130001,3671500,55.866283
"2018-03-12",56.130001,56.130001,54.990002,55.200001,1843500,54.940651
"2018-03-13",55.470001,55.650002,54.220001,54.310001,2349900,54.054836
"2018-03-14",54.580002,54.650002,53.709999,53.869999,2937800,53.616901
"2018-03-15",54.099998,54.41,53.5,53.810001,1859300,53.557182
"2018-03-16",54.009998,54.369999,53.650002,53.93,1880400,53.67662
"2018-03-19",53.860001,54.080002,53.18,53.450001,1938700,53.198875
"2018-03-20",53.68,53.990002,53.669998,53.669998,1741900,53.417839
"2018-03-21",53.799999,54.169998,53.400002,53.400002,1772600,53.149109
"2018-03-22",52.860001,53.279999,51.830002,51.880001,1925700,51.63625
"2018-03-23",51.919998,52.18,50.150002,50.290001,2316200,50.053722
"2018-03-26",51.029999,51.5,50.43,51.48,2243300,51.238129
"2018-03-27",51.66,52.02,50.830002,51.110001,1909800,50.869869
"2018-03-28",51.220001,52.150002,51.119999,51.73,2830600,51.486954
"2018-03-29",51.93,52.119999,51.52,51.52,2586100,51.277943
"2018-04-02",51.389999,51.619999,49.669998,50.459999,2304700,50.222919
"2018-04-03",50.57,51.060001,50.279999,50.790001,1633400,50.551373
"2018-04-04",50.150002,51.889999,50.139999,51.75,1932200,51.506863
"2018-04-05",52.040001,52.490002,51.689999,52.200001,2567300,51.954746
"2018-04-06",51.540001,52.150002,50.709999,51.119999,2395400,50.879822
"2018-04-09",51.279999,52.130001,51.119999,51.200001,1575400,50.959446
"2018-04-10",51.91,52.32,51.599998,51.900002,2032000,51.656158
"2018-04-11",51.32,51.73,51.09,51.529999,1346400,51.287895
"2018-04-12",51.790001,52.27,51.759998,52.02,988800,51.775593
"2018-04-13",52.560001,52.66,51.470001,51.669998,1897900,51.427235
"2018-04-16",52.18,52.27,51.790001,52.040001,2969300,51.795498
"2018-04-17",52.240002,52.310001,51.580002,51.740002,1687400,51.49691
"2018-04-18",52,52.029999,51.66,51.790001,1619000,51.546673
"2018-04-19",51.91,52.330002,51.799999,52.029999,1220000,51.785545
"2018-04-20",52.27,52.330002,51.720001,52.029999,1295100,51.785545
"2018-04-23",52.139999,52.240002,51.75,51.959999,1318500,51.715874
"2018-04-24",51.720001,52.27,51.02,51.23,2833200,50.989304
"2018-04-25",51.310001,52.049999,51.07,51.830002,2183900,51.586487
"2018-04-26",51.73,52.240002,51.43,52.200001,2577100,51.954746
"2018-04-27",53.990002,55.16,53.5,54.580002,3414000,54.323566
