"","open","high","low","close","volume","adjusted"
"2018-01-02",21.18,21.33,21,21.32,6457300,21.072403
"2018-01-03",21.309999,21.5,21.24,21.370001,5957700,21.121822
"2018-01-04",21.4,21.639999,21.33,21.530001,7653900,21.279964
"2018-01-05",21.610001,21.77,21.290001,21.75,6750700,21.49741
"2018-01-08",21.780001,21.879999,21.59,21.84,5769600,21.586365
"2018-01-09",21.790001,21.950001,21.719999,21.809999,7859500,21.556713
"2018-01-10",21.68,22.139999,21.68,22.049999,8443300,21.793924
"2018-01-11",22.08,22.42,22.059999,22.41,8355800,22.149744
"2018-01-12",22.48,22.969999,22.450001,22.92,8821800,22.653822
"2018-01-16",23.049999,23.110001,22.75,22.879999,9311600,22.614286
"2018-01-17",22.700001,23.49,22.66,23.459999,11149900,23.18755
"2018-01-18",23.43,23.57,23.25,23.290001,12277300,23.019526
"2018-01-19",23.43,23.790001,23.42,23.700001,11551400,23.424763
"2018-01-22",23.68,23.959999,23.530001,23.85,9150800,23.573023
"2018-01-23",23.43,23.860001,23.360001,23.809999,7840100,23.533485
"2018-01-24",23.889999,24,23.540001,23.66,6781500,23.385227
"2018-01-25",23.77,23.84,23.299999,23.32,7273800,23.049175
"2018-01-26",23.540001,23.92,23.540001,23.91,8113300,23.632324
"2018-01-29",24.1,24.1,23.709999,23.809999,7036500,23.533485
"2018-01-30",23.639999,23.76,23.290001,23.440001,7973400,23.167782
"2018-01-31",23.559999,23.74,23.290001,23.32,13704700,23.049175
"2018-02-01",23.219999,23.48,23.139999,23.299999,7317600,23.029408
"2018-02-02",23.08,23.190001,22.469999,22.48,9163100,22.218929
"2018-02-05",22.32,22.559999,21.280001,21.290001,13314200,21.042751
"2018-02-06",20.65,21.49,20.01,21.43,20439900,21.181126
"2018-02-07",21.360001,21.530001,21.049999,21.209999,11839000,20.96368
"2018-02-08",21.27,21.34,19.91,19.92,16750600,19.688662
"2018-02-09",20.209999,20.309999,19.309999,20.110001,13216400,19.876455
"2018-02-12",20.290001,20.629999,20.139999,20.41,12507900,20.17297
"2018-02-13",20.299999,20.66,20.299999,20.58,11648700,20.340996
"2018-02-14",20.440001,21.35,20.35,21.290001,12152400,21.042751
"2018-02-15",21.48,21.530001,20.950001,21.450001,8133700,21.200893
"2018-02-16",21.4,21.709999,21.33,21.4,6082200,21.151472
"2018-02-20",21.27,21.59,21.23,21.389999,8085400,21.14159
"2018-02-21",21.450001,21.74,21.17,21.17,7528200,20.924145
"2018-02-22",21.26,21.639999,21.25,21.389999,10726200,21.14159
"2018-02-23",22.75,23.219999,22,22.129999,22297300,21.872995
"2018-02-26",22.549999,23.549999,22.549999,23.459999,21393900,23.18755
"2018-02-27",23.370001,23.83,23.26,23.52,15105700,23.246855
"2018-02-28",23.67,23.9,23.389999,23.389999,13425900,23.118362
"2018-03-01",23.469999,23.790001,23.02,23.35,12042400,23.078829
"2018-03-02",23.23,23.629999,23.08,23.57,10112600,23.296272
"2018-03-05",23.459999,23.879999,23.34,23.690001,10034100,23.414879
"2018-03-06",23.799999,24.15,23.719999,23.950001,9878100,23.67186
"2018-03-07",23.75,24.139999,23.700001,24.040001,8420600,23.760815
"2018-03-08",24.15,24.24,23.75,23.950001,7113300,23.67186
"2018-03-09",24.059999,24.75,24,24.65,12892400,24.363729
"2018-03-12",24.690001,24.690001,23.82,23.83,19626700,23.553253
"2018-03-13",23.790001,24.01,23.549999,23.620001,16955600,23.482964
"2018-03-14",23.790001,23.809999,23.280001,23.48,9305400,23.343775
"2018-03-15",23.549999,23.639999,23.370001,23.48,10320200,23.343775
"2018-03-16",23.57,23.82,23.49,23.51,20052900,23.373602
"2018-03-19",23.450001,23.48,23.01,23.200001,9930800,23.065401
"2018-03-20",23.25,23.559999,23.219999,23.280001,8403100,23.144936
"2018-03-21",23.26,23.57,23.18,23.280001,6337600,23.144936
"2018-03-22",23.040001,23.1,22.43,22.469999,13453500,22.339634
"2018-03-23",22.51,22.530001,21.83,21.85,16835700,21.723232
"2018-03-26",22.25,22.440001,21.92,22.200001,9768600,22.071201
"2018-03-27",22.23,22.34,21.68,21.77,15088800,21.643696
"2018-03-28",21.77,21.870001,21.43,21.690001,13347800,21.564161
"2018-03-29",21.82,22.08,21.77,21.92,8428200,21.792826
"2018-04-02",21.84,21.879999,20.92,21.139999,10079000,21.017351
"2018-04-03",21.34,21.559999,21.01,21.32,8117000,21.196306
"2018-04-04",20.870001,21.610001,20.809999,21.540001,8208400,21.415031
"2018-04-05",21.639999,21.83,21.5,21.549999,7189200,21.424973
"2018-04-06",21.280001,21.620001,20.6,20.780001,10557600,20.659441
"2018-04-09",20.940001,21.32,20.76,20.889999,8208900,20.768801
"2018-04-10",21.190001,21.92,21.190001,21.75,11728200,21.623812
"2018-04-11",21.549999,21.83,21.5,21.59,9736500,21.464741
"2018-04-12",21.799999,22.1,21.76,21.940001,8036300,21.81271
"2018-04-13",22.040001,22.120001,21.65,21.77,5867500,21.643696
"2018-04-16",21.969999,22.030001,21.73,21.85,8246500,21.723232
"2018-04-17",22.09,22.120001,21.959999,22.049999,5719100,21.922071
"2018-04-18",22.110001,22.139999,21.969999,22.030001,7955000,21.902189
"2018-04-19",21.91,21.93,21.49,21.66,7028900,21.534334
"2018-04-20",21.66,21.77,21.43,21.530001,7425100,21.405088
"2018-04-23",21.559999,21.65,21.24,21.379999,6374500,21.255959
