"","open","high","low","close","volume","adjusted"
"2018-01-02",154.5,154.809998,153.539993,154.25,4202500,152.746094
"2018-01-03",157.339996,159.809998,156.330002,158.490005,9441600,156.944763
"2018-01-04",159.649994,162.320007,159.369995,161.699997,7556200,160.123459
"2018-01-05",162.440002,162.899994,161.100006,162.490005,5195800,160.905762
"2018-01-08",162.660004,163.910004,161.699997,163.470001,5237500,161.876205
"2018-01-09",163.899994,164.529999,163.059998,163.830002,4341800,162.232697
"2018-01-10",162.910004,164.330002,162.5,164.179993,4174100,162.579269
"2018-01-11",164.800003,164.940002,163.300003,164.199997,3794500,162.599091
"2018-01-12",164.020004,164.740005,163.029999,163.139999,5031900,161.549423
"2018-01-16",165.100006,165.289993,163.350006,163.850006,7794200,162.252502
"2018-01-17",168.009995,169.130005,167.259995,168.649994,11710000,167.005692
"2018-01-18",170,171.130005,168.149994,169.119995,14259300,167.471115
"2018-01-19",164.460007,165.399994,161.300003,162.369995,21172500,160.786926
"2018-01-22",161.509995,163.979996,161.110001,162.600006,8480800,161.014694
"2018-01-23",162.820007,166.259995,162.509995,166.25,7466200,164.629105
"2018-01-24",166.75,168.720001,164.820007,165.369995,5645000,163.757675
"2018-01-25",165.910004,166.779999,165.190002,165.470001,3302500,163.856705
"2018-01-26",166.119995,167.410004,165.789993,167.339996,3787900,165.708466
"2018-01-29",167.449997,168.389999,166.009995,166.800003,3517000,165.173737
"2018-01-30",166.210007,166.770004,163.160004,163.619995,4902300,162.024734
"2018-01-31",163.75,164.990005,162.759995,163.699997,4072800,162.103958
"2018-02-01",163.190002,164.130005,161.899994,162.399994,4434200,160.816635
"2018-02-02",161.699997,162,158.869995,159.029999,5251900,157.479492
"2018-02-05",157.889999,158.5,150,152.529999,8746600,151.042862
"2018-02-06",150.289993,155.490005,149.110001,155.339996,9867700,153.82547
"2018-02-07",154.169998,155.339996,153.279999,153.850006,6149200,152.350006
"2018-02-08",152.479996,153.160004,147.5,147.589996,6779100,147.589996
"2018-02-09",148.600006,150.539993,144.399994,149.509995,7828300,149.509995
"2018-02-12",150.899994,152.399994,150.300003,151.399994,5881400,151.399994
"2018-02-13",150.899994,151.179993,149.639999,150.75,4891000,150.75
"2018-02-14",150.190002,155,150,154.759995,5479000,154.759995
"2018-02-15",155.5,156.860001,153.699997,156.009995,5623600,156.009995
"2018-02-16",155.710007,157.789993,155.690002,156.179993,4282900,156.179993
"2018-02-20",155.789993,155.960007,153.869995,155.160004,4489600,155.160004
"2018-02-21",155.429993,156.789993,153.899994,153.960007,3728600,153.960007
"2018-02-22",154.5,155.039993,152.789993,153.179993,4024600,153.179993
"2018-02-23",154.300003,155.850006,154.070007,155.520004,3256100,155.520004
"2018-02-26",155.809998,158.880005,155.509995,158.580002,3610300,158.580002
"2018-02-27",158.460007,159.779999,156.529999,156.550003,4237300,156.550003
"2018-02-28",157.5,158.139999,155.800003,155.830002,3803500,155.830002
"2018-03-01",155.529999,156.970001,152.789993,153.809998,4039300,153.809998
"2018-03-02",152.789993,154.759995,151.880005,154.490005,3261100,154.490005
"2018-03-05",154.119995,157.490005,153.75,156.949997,3670600,156.949997
"2018-03-06",157.279999,157.889999,155.160004,155.720001,3685700,155.720001
"2018-03-07",155,158.830002,154.729996,158.320007,4607700,158.320007
"2018-03-08",159,159.570007,155.070007,156.210007,6455600,156.210007
"2018-03-09",157.470001,159.580002,157.300003,159.309998,5022200,159.309998
"2018-03-12",159.639999,161.020004,158.869995,160.259995,5063500,160.259995
"2018-03-13",160.089996,162.110001,158.809998,159.320007,4185600,159.320007
"2018-03-14",160.169998,160.679993,157.740005,158.119995,3631800,158.119995
"2018-03-15",158.710007,161.25,158.520004,159.610001,3870600,159.610001
"2018-03-16",160.059998,161.979996,159.639999,160.259995,9262700,160.259995
"2018-03-19",159.710007,159.889999,156.449997,157.350006,5482000,157.350006
"2018-03-20",157.520004,157.929993,155.289993,156.199997,4336700,156.199997
"2018-03-21",156.570007,158.199997,155.919998,156.690002,3482200,156.690002
"2018-03-22",155,155.25,152,152.089996,4746300,152.089996
"2018-03-23",152.25,152.580002,148.539993,148.889999,4440900,148.889999
"2018-03-26",151.210007,153.660004,150.279999,153.369995,4103900,153.369995
"2018-03-27",153.949997,154.869995,151.160004,151.910004,3883700,151.910004
"2018-03-28",152.070007,153.860001,151.889999,152.520004,3664800,152.520004
"2018-03-29",153.070007,153.889999,151.080002,153.429993,3420000,153.429993
"2018-04-02",153.339996,153.380005,148.429993,150.070007,5150400,150.070007
"2018-04-03",150.800003,151,148.300003,149.850006,4135700,149.850006
"2018-04-04",147.889999,154.470001,147.449997,154.119995,4805300,154.119995
"2018-04-05",154.440002,154.919998,153.339996,154.029999,3185400,154.029999
"2018-04-06",153.460007,153.949997,149.539993,150.570007,3672900,150.570007
"2018-04-09",151.800003,154.660004,151.740005,152.690002,4413200,152.690002
"2018-04-10",155.029999,156.600006,154.75,155.389999,3806400,155.389999
"2018-04-11",154.369995,155.779999,153.880005,155.360001,3306500,155.360001
"2018-04-12",156.75,158.979996,156.669998,158.070007,5639400,158.070007
"2018-04-13",158.669998,159.220001,155.910004,156.710007,4057100,156.710007
"2018-04-16",157.990005,159.139999,157.669998,157.889999,4186800,157.889999
"2018-04-17",158.820007,162,158.509995,160.910004,10207500,160.910004
"2018-04-18",152.139999,152.630005,148.259995,148.789993,20381700,148.789993
"2018-04-19",149.190002,149.210007,146.619995,147.699997,8086100,147.699997
"2018-04-20",147.899994,147.970001,144.509995,144.899994,8265600,144.899994
"2018-04-23",145.029999,145.960007,144.330002,145.860001,5315600,145.860001
"2018-04-24",146.509995,147.300003,144.529999,145.559998,4890500,145.559998
"2018-06-28",138.100006,140.539993,137.945007,140.039993,4523666,140.039993
