"","open","high","low","close","volume","adjusted"
"2018-01-02",45.950001,45.950001,44.84,45.549999,2077000,45.549999
"2018-01-03",45.32,45.400002,44.93,45.209999,2440300,45.209999
"2018-01-04",45.360001,45.849998,45.32,45.68,3054200,45.68
"2018-01-05",45.75,46.07,45.490002,45.950001,1761500,45.950001
"2018-01-08",45.990002,46.759998,45.959999,46.68,2257000,46.68
"2018-01-09",46.720001,46.889999,46.349998,46.799999,1685900,46.799999
"2018-01-10",46.830002,46.990002,46.610001,46.970001,1918400,46.970001
"2018-01-11",46.950001,47.575001,46.849998,47.459999,2447500,47.459999
"2018-01-12",47.419998,47.959999,47.34,47.849998,2642900,47.849998
"2018-01-16",48,48.5,47.570999,47.990002,4037300,47.990002
"2018-01-17",48.009998,48.099998,47.610001,47.869999,3232600,47.869999
"2018-01-18",47.75,47.919998,47.34,47.650002,3780300,47.650002
"2018-01-19",47.860001,48.93,47.860001,48.869999,3113500,48.869999
"2018-01-22",48.77,48.93,47.919998,48.369999,2093400,48.369999
"2018-01-23",48.209999,48.639999,48.060001,48.509998,1463600,48.509998
"2018-01-24",48.5,49.099998,48.419998,48.68,1604300,48.68
"2018-01-25",48.91,49.189999,48.450001,48.450001,1775200,48.450001
"2018-01-26",48.540001,48.68,48.029999,48.240002,2843100,48.240002
"2018-01-29",48.02,48.240002,47.439999,47.549999,2316800,47.549999
"2018-01-30",47.540001,47.990002,47.41,47.779999,1906200,47.779999
"2018-01-31",47.82,48.060001,47.59,47.73,2539900,47.73
"2018-02-01",47.650002,47.93,47.25,47.599998,1317900,47.599998
"2018-02-02",47.27,47.830002,46.994999,47.02,2108100,47.02
"2018-02-05",46.700001,46.919998,45.139999,45.150002,4887000,45.150002
"2018-02-06",44.740002,45.82,44.27,45.790001,4076400,45.790001
"2018-02-07",45.540001,46.145,45.139999,45.169998,1657600,45.169998
"2018-02-08",45.220001,45.25,43.720001,43.73,2521000,43.73
"2018-02-09",44.200001,44.66,43.07,44.310001,2434500,44.310001
"2018-02-12",44.509998,45.384998,44.345001,45.209999,2525400,45.209999
"2018-02-13",44.959999,45.380001,44.59,45.299999,1161600,45.299999
"2018-02-14",45,46.16,44.759998,46.099998,1589700,46.099998
"2018-02-15",46.400002,46.549999,45.84,46.540001,931900,46.540001
"2018-02-16",46.419998,47.049999,46.384998,46.77,1374500,46.77
"2018-02-20",46.68,46.959999,46.470001,46.599998,1579000,46.599998
"2018-02-21",46.700001,47.27,46.439999,46.450001,1779300,46.450001
"2018-02-22",46.57,47.25,46.52,46.82,1764000,46.82
"2018-02-23",47.009998,47.43,46.775002,47.43,999800,47.43
"2018-02-26",47.549999,47.639999,47,47.599998,959000,47.599998
"2018-02-27",47.57,47.700001,46.990002,47.009998,1078800,47.009998
"2018-02-28",47.200001,47.639999,47.040001,47.049999,2086000,47.049999
"2018-03-01",47.009998,47.18,45.849998,46.060001,3071300,46.060001
"2018-03-02",45.869999,46.41,45.779999,46.16,3186900,46.16
"2018-03-05",46,47.66,45.764999,47.41,3070300,47.41
"2018-03-06",47.439999,47.73,47.18,47.509998,2229700,47.509998
"2018-03-07",47.290001,48,46.294998,47.48,2089200,47.48
"2018-03-08",47.529999,48.169998,47.43,48.09,1536400,48.09
"2018-03-09",48.400002,49.09,48.130001,49.060001,1547400,49.060001
"2018-03-12",49,49.490002,48.939999,49.110001,1352200,49.110001
"2018-03-13",49.27,49.41,48.869999,48.970001,1252000,48.970001
"2018-03-14",49.209999,49.279999,48.779999,48.84,1856900,48.84
"2018-03-15",48.919998,49.27,48.630001,48.91,1692900,48.91
"2018-03-16",48.869999,49.040001,48.630001,48.779999,2630100,48.779999
"2018-03-19",48.73,48.84,48.290001,48.700001,1882000,48.700001
"2018-03-20",48.799999,49.220001,48.584999,49.099998,2229200,49.099998
"2018-03-21",49.110001,49.34,48.73,48.790001,2064000,48.790001
"2018-03-22",48.549999,48.689999,47.75,47.77,2112500,47.77
"2018-03-23",47.91,48.07,46.830002,46.869999,2117000,46.869999
"2018-03-26",47.369999,48.139999,46.889999,48.029999,2518600,48.029999
"2018-03-27",50,50,48.16,48.599998,3391600,48.599998
"2018-03-28",48.709999,49.349998,47.450001,47.950001,3383500,47.950001
"2018-03-29",48.310001,48.66,46.52,48.240002,2345800,48.240002
"2018-04-02",48.139999,48.360001,47.139999,47.52,2606800,47.52
"2018-04-03",47.73,48.02,46.59,47.830002,2724500,47.830002
"2018-04-04",47.599998,48.34,47.43,48.23,3033600,48.23
"2018-04-05",48.439999,48.91,48.330002,48.709999,1847600,48.709999
"2018-04-06",48.25,48.5,47.599998,48.07,2265900,48.07
"2018-04-09",48.299999,48.48,47.880001,48,1715300,48
"2018-04-10",48.189999,48.830002,47.849998,48.48,1802400,48.48
"2018-04-11",48.16,48.619999,47.830002,48.349998,1467900,48.349998
"2018-04-12",48.560001,48.880001,47.52,48.709999,1312000,48.709999
"2018-04-13",48.779999,48.880001,48.400002,48.52,1381100,48.52
"2018-04-16",48.82,49,48.5,48.790001,1382500,48.790001
"2018-04-17",48.98,49.290001,48.669998,49.099998,1675500,49.099998
"2018-04-18",49.25,49.5,48.974998,49.389999,1346900,49.389999
"2018-04-19",49.32,49.77,49.040001,49.5,1037900,49.5
"2018-04-20",49.57,49.75,48.959999,49.27,1706000,49.27
"2018-04-23",49.240002,49.439999,48.119999,49.049999,1435300,49.049999
"2018-04-24",49.34,49.689999,48.950001,49.110001,2301000,49.110001
"2018-04-25",48.990002,49.169998,48.43,48.77,1449500,48.77
"2018-04-26",48.889999,49.299999,48.650002,49,1506000,49
"2018-04-27",49,49.27,48.939999,49.259998,1495100,49.259998
"2018-04-30",49.279999,49.580002,49.09,49.130001,1755300,49.130001
"2018-05-01",49.029999,49.490002,48.900002,49.41,1584200,49.41
"2018-05-02",49.43,49.599998,49.080002,49.240002,1514900,49.240002
"2018-05-03",49.040001,49.450001,48.490002,48.599998,3108500,48.599998
"2018-05-04",48.439999,49.490002,48,49.369999,3175200,49.369999
"2018-05-07",49.540001,50.25,49.439999,50.16,1993500,50.16
"2018-05-08",50,50.57,49.880001,50.549999,1979700,50.549999
"2018-05-09",50.540001,51.380001,49.02,51.189999,1699200,51.189999
"2018-05-10",51.450001,51.900002,51.360001,51.810001,1912000,51.810001
"2018-05-11",51.91,52.279999,51.575001,52.240002,1866000,52.240002
"2018-05-14",52.200001,52.610001,51.779999,51.93,2173100,51.93
"2018-05-15",51.77,51.919998,49.955002,51.720001,1608900,51.720001
"2018-05-16",51.599998,51.77,51.369999,51.630001,1179500,51.630001
"2018-05-17",51.68,51.810001,51.07,51.330002,1080900,51.330002
"2018-05-18",51.310001,51.575001,50.865002,51.43,4003300,51.43
"2018-05-21",51.529999,52.060001,51.41,51.599998,2038000,51.599998
"2018-05-22",52,52,51.25,51.27,1697800,51.27
"2018-05-23",51.099998,51.099998,50.240002,50.77,1644700,50.77
"2018-05-24",50.669998,50.799999,50.360001,50.700001,1333600,50.700001
"2018-05-25",50.529999,50.599998,49.779999,49.950001,1302300,49.950001
"2018-05-29",49.779999,49.880001,49.299999,49.380001,2061500,49.380001
"2018-05-30",49.610001,49.73,49.189999,49.41,2580500,49.41
"2018-05-31",49.450001,49.75,49.185001,49.279999,2554700,49.279999
"2018-06-01",49.470001,49.91,49.470001,49.720001,1827000,49.720001
"2018-06-04",49.77,50.029999,49.610001,49.959999,1699000,49.959999
"2018-06-05",50.02,50.785,49.775002,50.580002,1617600,50.580002
"2018-06-06",50.529999,51.509998,50.529999,51.490002,947200,51.490002
"2018-06-07",51.43,51.52,50.549999,51.16,1283900,51.16
"2018-06-08",51.060001,51.18,50.720001,51.139999,1323100,51.139999
"2018-06-11",51.119999,51.16,50.648998,50.689999,1442200,50.689999
"2018-06-12",50.639999,50.77,50.25,50.599998,2410000,50.599998
"2018-06-13",50.599998,50.900002,50.195,50.279999,1884600,50.279999
"2018-06-14",50.509998,50.82,50.380001,50.759998,2236200,50.759998
"2018-06-15",50.599998,50.82,50.220001,50.810001,2742200,50.810001
"2018-06-18",50.610001,50.939999,50.380001,50.669998,1110100,50.669998
"2018-06-19",50.299999,50.75,49.93,50.669998,2750500,50.669998
"2018-06-20",50.919998,51.639999,50.895,51.23,2357400,51.23
"2018-06-21",51.299999,51.419998,50.669998,50.779999,1312800,50.779999
"2018-06-22",50.91,51.57,50.830002,51.25,5372100,51.25
"2018-06-25",51.259998,51.259998,49.860001,50.119999,1963300,50.119999
"2018-06-26",51.279999,52.599998,51.139999,52.5,3864400,52.5
"2018-06-27",52.950001,53.049999,51.259998,51.279999,5556100,51.279999
"2018-06-28",51.25,52.09,51.25,52.009998,2873900,52.009998
"2018-06-29",51.990002,52.34,51.540001,51.59,2760500,51.59
"2018-07-02",50.220001,51.869999,50.119999,51.84,1852400,51.84
"2018-07-03",52,52,51.599998,51.790001,1264000,51.790001
