"","open","high","low","close","volume","adjusted"
"X2018.01.01",3.51,4.2,3.39,3.9,84251830,3.9
"X2018.01.02",3.9,4.25,3.79,3.98,84449230,3.98
"X2018.01.03",3.98,4.18,3.9,4.13,55821832,4.13
"X2018.01.04",4.13,4.5,3.71,4.1,94278981,4.1
"X2018.01.05",4.1,4.19,3.62,3.76,51367251,3.76
"X2018.01.06",3.76,4.14,3.75,3.99,37675132,3.99
"X2018.01.07",3.99,4.44,3.95,4.08,80942261,4.08
"X2018.01.08",4.08,4.2,3.16,3.79,72494523,3.79
"X2018.01.09",3.79,3.92,3.41,3.53,50959571,3.53
"X2018.01.10",3.53,3.77,3.1,3.75,61960894,3.75
"X2018.01.11",3.74,3.8,2.95,3.35,75688128,3.35
"X2018.01.12",3.35,3.7,3.22,3.64,31502035,3.64
"X2018.01.13",3.64,4.08,3.64,3.9,50484640,3.9
"X2018.01.14",3.9,4.03,3.57,3.72,38775769,3.72
"X2018.01.15",3.72,3.77,3.41,3.47,24637422,3.47
"X2018.01.16",3.47,3.48,1.92,2.55,125424301,2.55
"X2018.01.17",2.55,2.93,1.93,2.7,95448237,2.7
"X2018.01.18",2.7,3.03,2.55,2.71,50048635,2.71
"X2018.01.19",2.71,2.91,2.4,2.66,36440937,2.66
"X2018.01.20",2.66,3.15,2.66,2.99,41106340,2.99
"X2018.01.21",2.99,2.99,2.6,2.77,33740924,2.77
"X2018.01.22",2.77,2.91,2.12,2.45,46253522,2.45
"X2018.01.23",2.45,2.64,2.2,2.51,31850361,2.51
"X2018.01.24",2.51,2.58,2.34,2.46,24071816,2.46
"X2018.01.25",2.46,2.6,2.33,2.35,19007018,2.35
"X2018.01.26",2.35,2.46,2.19,2.36,22986403,2.36
"X2018.01.27",2.36,2.5,2.34,2.46,14895061,2.46
"X2018.01.28",2.46,2.56,2.44,2.5,11621944,2.5
"X2018.01.29",2.5,2.59,2.38,2.55,16566340,2.55
"X2018.01.30",2.55,2.62,2.15,2.22,38126404,2.22
"X2018.01.31",2.22,2.35,2.17,2.3,14445039,2.3
"X2018.02.01",2.3,2.31,1.72,1.89,46430546,1.89
"X2018.02.02",1.89,1.95,1.43,1.8,54347809,1.8
"X2018.02.03",1.8,2.05,1.62,2.01,24729050,2.01
"X2018.02.04",2.01,2.08,1.6,1.74,27886300,1.74
"X2018.02.05",1.74,1.78,1.33,1.44,36567257,1.44
"X2018.02.06",1.44,1.72,1.2,1.59,43155356,1.59
"X2018.02.07",1.59,1.88,1.51,1.59,33694026,1.59
"X2018.02.08",1.59,1.88,1.59,1.76,19621403,1.76
"X2018.02.09",1.76,1.99,1.66,1.93,19983997,1.93
"X2018.02.10",1.93,2.11,1.73,1.83,22976646,1.83
"X2018.02.11",1.83,1.84,1.58,1.67,14509089,1.67
"X2018.02.12",1.67,1.91,1.67,1.88,12512544,1.88
"X2018.02.13",1.88,1.88,1.72,1.82,8560481,1.82
"X2018.02.14",1.82,2.04,1.77,2.03,16364321,2.03
"X2018.02.15",2.03,2.19,1.97,2.1,24671247,2.1
"X2018.02.16",2.1,2.18,1.96,2.1,15726765,2.1
"X2018.02.17",2.1,2.21,2.07,2.2,13707120,2.2
"X2018.02.18",2.2,2.21,1.91,1.96,15124430,1.96
"X2018.02.19",1.96,2.16,1.94,2.07,10182264,2.07
"X2018.02.20",2.07,2.12,1.82,1.88,16136380,1.88
"X2018.02.21",1.88,1.92,1.69,1.71,19209522,1.71
"X2018.02.22",1.71,1.85,1.54,1.6,19184218,1.6
"X2018.02.23",1.6,1.8,1.56,1.71,11963508,1.71
