"","open","high","low","close","volume","adjusted"
"2018-01-02",19.32,20.26,19.15,20.25,5973800,19.88467
"2018-01-03",20.190001,20.23,19.610001,19.76,5489500,19.403511
"2018-01-04",19.780001,20.23,19.6,20.17,4165600,19.806114
"2018-01-05",20.18,20.280001,20.049999,20.190001,3689100,19.825756
"2018-01-08",20.16,20.370001,19.950001,20.35,4270800,19.982868
"2018-01-09",20.41,20.530001,20.129999,20.309999,3861000,19.943588
"2018-01-10",20.23,20.98,20.129999,20.9,7072200,20.522945
"2018-01-11",20.940001,21.459999,20.9,21.459999,7296700,21.072842
"2018-01-12",21.540001,21.870001,21.48,21.74,8045500,21.347792
"2018-01-16",21.85,22.040001,21.190001,21.219999,7542000,20.837172
"2018-01-17",21.299999,21.73,21.120001,21.58,2911900,21.190678
"2018-01-18",21.049999,21.610001,21,21.6,5727900,21.210318
"2018-01-19",21.549999,21.629999,21.24,21.35,3516200,20.964827
"2018-01-22",21.370001,21.969999,21.34,21.959999,3737500,21.563822
"2018-01-23",21.91,21.91,21.370001,21.73,3939500,21.337971
"2018-01-24",21.91,22.049999,21.74,21.82,3493400,21.426348
"2018-01-25",21.860001,21.92,21.309999,21.360001,3804300,20.974648
"2018-01-26",21.459999,21.940001,21.389999,21.91,3694000,21.514723
"2018-01-29",21.780001,22.139999,21.700001,21.76,4507500,21.36743
"2018-01-30",21.799999,21.99,21.67,21.700001,4608400,21.308512
"2018-01-31",21.75,21.93,21.66,21.889999,4845000,21.495085
"2018-02-01",21.75,21.969999,21.719999,21.77,3093600,21.377249
"2018-02-02",21.73,21.74,21.23,21.290001,4855000,20.90591
"2018-02-05",21.16,21.58,20.77,20.77,7761300,20.39529
"2018-02-06",20.280001,21.27,20.25,20.98,7623600,20.601501
"2018-02-07",20.959999,21.67,20.940001,21.299999,4599000,20.915728
"2018-02-08",21.65,22.23,21.34,21.34,8387400,20.955008
"2018-02-09",21.5,21.889999,20.77,21.74,9966300,21.347792
"2018-02-12",21.99,22.299999,21.790001,21.91,7735100,21.514723
"2018-02-13",21.83,22.360001,21.799999,22.219999,6835700,21.81913
"2018-02-14",23.82,25.110001,23.48,24.49,16878100,24.048178
"2018-02-15",24.440001,25.17,23.9,25.059999,11710100,24.607895
"2018-02-16",25.219999,26.01,25.08,25.33,11777700,24.873024
"2018-02-20",24.950001,25.32,24.48,24.700001,8080300,24.254389
"2018-02-21",24.719999,24.969999,24.4,24.4,6826900,23.959801
"2018-02-22",24.5,24.620001,23.889999,23.940001,7601400,23.508101
"2018-02-23",24.16,24.299999,23.83,24.24,5617300,23.802687
"2018-02-26",24.469999,24.549999,24.15,24.5,4251500,24.057999
"2018-02-27",24.5,24.559999,23.780001,23.780001,5890800,23.350986
"2018-02-28",23.709999,23.879999,23.4,23.4,10323900,23.182568
"2018-03-01",23,23.24,22.709999,23.01,10306600,22.79619
"2018-03-02",22.92,23.66,22.83,23.58,6790700,23.360895
"2018-03-05",23.450001,23.799999,23.4,23.59,6154200,23.370802
"2018-03-06",23.690001,23.85,23.24,23.67,5309400,23.450058
"2018-03-07",23.469999,23.610001,23.17,23.459999,3452200,23.242008
"2018-03-08",23.540001,23.719999,23,23.65,5305100,23.430244
"2018-03-09",23.690001,23.940001,23.4,23.93,4210600,23.707644
"2018-03-12",23.950001,24.01,23.59,23.73,5630200,23.509501
