"","open","high","low","close","volume","adjusted"
"2018-01-02",29.59,29.66,29.309999,29.57,896800,29.146513
"2018-01-03",29.440001,29.620001,29.219999,29.25,411400,28.831097
"2018-01-04",29.25,29.5,28.99,29.41,823500,28.988804
"2018-01-05",29.559999,29.68,29.219999,29.290001,210600,28.870525
"2018-01-08",29.280001,29.620001,29.23,29.51,158800,29.087374
"2018-01-09",29.639999,29.709999,29.23,29.23,132400,28.811384
"2018-01-10",29.27,29.49,28.82,28.860001,209800,28.446682
"2018-01-11",28.889999,29.290001,28.860001,29.23,199400,28.811384
"2018-01-12",29.200001,29.559999,29.120001,29.549999,163800,29.126801
"2018-01-16",29.58,29.68,29.139999,29.139999,284900,28.722672
"2018-01-17",29.290001,29.309999,29.07,29.129999,187700,28.712814
"2018-01-18",29.25,29.34,28.889999,28.98,191500,28.564962
"2018-01-19",29.01,29.25,28.870001,29.200001,127300,28.781813
"2018-01-22",29.290001,29.74,28.91,29.709999,199300,29.284508
"2018-01-23",29.84,29.84,29.23,29.33,236600,28.90995
"2018-01-24",29.360001,29.610001,29.309999,29.389999,328100,28.969091
"2018-01-25",29.459999,29.52,29.280001,29.49,207800,29.067659
"2018-01-26",29.52,29.76,29.48,29.73,61000,29.304222
"2018-01-29",29.540001,29.719999,29.32,29.51,199100,29.087374
"2018-01-30",29.459999,29.639999,29.459999,29.540001,259200,29.116943
"2018-01-31",29.52,29.73,29.34,29.549999,351000,29.126801
"2018-02-01",29.51,29.719999,29.440001,29.52,213900,29.097231
"2018-02-02",29.24,29.549999,28.92,29.02,271900,28.604391
"2018-02-05",28.700001,29,27.790001,27.9,480600,27.500429
"2018-02-06",27.4,28.120001,27.35,28.049999,469500,27.648283
"2018-02-07",27.860001,28.440001,27.860001,28.17,520800,27.766563
"2018-02-08",28.290001,28.290001,27.110001,27.110001,338800,26.721745
"2018-02-09",27.49,27.49,26.559999,27.18,901800,26.790741
"2018-02-12",27.370001,27.68,27.18,27.540001,287800,27.145588
"2018-02-13",27.34,27.6,27.18,27.51,127100,27.116016
"2018-02-14",27.51,27.719999,27.290001,27.629999,194200,27.234297
"2018-02-15",27.75,28.23,27.549999,28.190001,106300,27.786278
"2018-02-16",28.120001,28.58,28.120001,28.42,98600,28.012983
"2018-02-20",28.290001,28.370001,28.049999,28.16,156500,27.756706
"2018-02-21",28.040001,28.139999,27.58,27.58,244200,27.185013
"2018-02-22",27.629999,27.969999,27.26,27.290001,498900,26.899168
"2018-02-23",27.389999,28.280001,27.129999,28.280001,346100,27.874989
"2018-02-26",28.33,28.52,28.27,28.51,133300,28.101696
"2018-02-27",28.440001,28.66,28.139999,28.139999,537300,27.736994
"2018-02-28",28.09,28.379999,27.84,27.92,809000,27.520145
"2018-03-01",27.93,28.290001,27.75,28.030001,168500,27.628569
"2018-03-02",27.83,28.209999,27.66,28.049999,709300,27.648283
"2018-03-05",27.870001,28.48,27.82,28.389999,257300,27.983414
"2018-03-06",28.450001,28.700001,28.24,28.639999,120500,28.229834
"2018-03-07",28.5,28.790001,28.41,28.719999,263800,28.308687
"2018-03-08",28.860001,28.860001,28.43,28.700001,387400,28.288975
"2018-03-09",28.860001,28.860001,28.57,28.67,232600,28.259403
"2018-03-12",28.51,28.719999,28.09,28.360001,773900,27.953842
"2018-03-13",28.379999,28.51,28.110001,28.190001,253700,27.786278
"2018-03-14",28.209999,28.25,27.99,28.219999,249200,27.815847
"2018-03-15",28.200001,28.389999,27.889999,27.91,94500,27.510288
"2018-03-16",28.01,28.549999,27.9,28.5,1012100,28.091839
"2018-03-19",28.49,28.49,27.92,28.09,224700,27.68771
"2018-03-20",28.24,28.24,27.959999,28.059999,245100,27.658138
"2018-03-21",28.08,28.24,27.93,28,137700,27.598999
"2018-03-22",27.700001,27.700001,27.25,27.25,669800,27.063683
"2018-03-23",27.030001,27.379999,26.73,26.73,572900,26.547237
"2018-03-26",27.09,27.24,26.83,27.219999,137000,27.033888
"2018-03-27",27.24,27.42,26.719999,26.860001,715100,26.67635
"2018-03-28",26.92,27.07,26.66,26.68,470500,26.497581
"2018-03-29",26.76,27.139999,26.76,27.02,319700,26.835257
"2018-04-02",27.01,27.01,26.34,26.51,1087100,26.328743
"2018-04-03",26.549999,26.719999,26.450001,26.68,327800,26.497581
"2018-04-04",26.370001,27.09,26.370001,27.040001,222700,26.85512
"2018-04-05",27.02,27.370001,27.02,27.26,229300,27.073616
"2018-04-06",27.25,27.280001,26.690001,26.870001,354600,26.686283
"2018-04-09",27.110001,27.27,26.870001,26.9,169500,26.716076
"2018-04-10",27.1,27.74,27.1,27.59,283700,27.40136
"2018-04-11",27.57,27.690001,27.49,27.559999,67700,27.371563
"2018-04-12",27.76,27.83,27.65,27.719999,114300,27.53047
"2018-04-13",27.700001,27.809999,27.43,27.540001,167400,27.351702
"2018-04-16",27.559999,27.719999,27.41,27.620001,118500,27.431154
"2018-04-17",27.85,28.139999,27.780001,28.059999,334700,27.868145
"2018-04-18",28.15,28.15,27.93,28.030001,353200,27.83835
"2018-04-19",28.049999,28.059999,27.879999,27.9,545200,27.709238
"2018-04-20",27.82,27.98,27.67,27.809999,210400,27.619854
"2018-04-23",27.85,27.92,27.639999,27.790001,182900,27.599993
