"","open","high","low","close","volume","adjusted"
"2018-01-02",38.32,38.459999,37.75,38.23,5875000,37.674213
"2018-01-03",38.169998,39.07,38.09,38.959999,4805100,38.3936
"2018-01-04",39.299999,40.139999,39.16,39.849998,10941900,39.27066
"2018-01-05",39.32,39.919998,38.049999,38.419998,9508800,37.861446
"2018-01-08",38.209999,39.16,38.139999,38.939999,5222900,38.37389
"2018-01-09",38.990002,39.169998,38.669998,38.75,7898000,38.186653
"2018-01-10",38.869999,39.189999,38.459999,39.060001,4825600,38.492149
"2018-01-11",39.049999,39.610001,39.049999,39.560001,3776400,38.984879
"2018-01-12",39.66,39.970001,39.439999,39.799999,5939600,39.22139
"2018-01-16",39.93,40.32,39.860001,40.169998,7696900,39.58601
"2018-01-17",40.169998,40.27,39.380001,39.529999,9540600,38.955315
"2018-01-18",38.720001,39.68,38.549999,39.290001,9700500,38.718803
"2018-01-19",39.34,39.360001,38.68,38.900002,10415900,38.334476
"2018-01-22",38.900002,39.209999,38.599998,39.200001,6868500,38.630112
"2018-01-23",39.549999,40.57,39.349998,40.470001,7437600,39.881653
"2018-01-24",40.470001,40.689999,40.009998,40.599998,5648600,40.009758
"2018-01-25",40.75,40.889999,40.279999,40.790001,4054700,40.196999
"2018-01-26",40.950001,41.529999,40.790001,41.43,8190400,40.827694
"2018-01-29",41.259998,41.439999,40.400002,40.459999,5990200,39.871792
"2018-01-30",40.23,40.419998,39.299999,39.84,6945800,39.260807
"2018-01-31",40.18,40.41,38.360001,39.130001,8171800,38.561131
"2018-02-01",38.790001,40.200001,38.779999,39.810001,8174200,39.231247
"2018-02-02",39.419998,39.919998,39.41,39.529999,5307500,38.955315
"2018-02-05",39.330002,39.540001,37.470001,37.52,7449900,36.974537
"2018-02-06",36.91,38,36.459999,37.619999,7436100,37.073082
"2018-02-07",37.509998,38.240002,37.450001,37.599998,5186800,37.053371
"2018-02-08",37.610001,37.720001,36.529999,36.549999,5363400,36.018639
"2018-02-09",36.970001,37.130001,35.43,36.290001,8006900,35.762417
"2018-02-12",36.580002,37.630001,36.52,37.41,8825000,36.866135
"2018-02-13",37.259998,37.82,37.130001,37.389999,4508500,36.846424
"2018-02-14",37.099998,37.68,37.099998,37.509998,7114200,36.96468
"2018-02-15",37.75,38.259998,37.450001,38.189999,6726100,37.634792
"2018-02-16",38.169998,38.84,38.09,38.419998,5131200,37.861446
"2018-02-20",38.189999,38.470001,37.75,37.869999,3563700,37.319447
"2018-02-21",37.860001,38.549999,37.82,37.849998,2956000,37.299736
"2018-02-22",38.099998,38.669998,37.830002,37.98,3766300,37.427849
"2018-02-23",38.130001,38.849998,38.049999,38.82,3319400,38.255634
"2018-02-26",38.869999,39,38.400002,38.740002,3046100,38.1768
"2018-02-27",38.73,38.990002,38.02,38.02,3527500,37.46727
"2018-02-28",38.029999,38.18,36.869999,36.869999,4555400,36.333984
"2018-03-01",36.869999,36.869999,35.060001,35.900002,9791600,35.37809
"2018-03-02",35.509998,36.349998,34.990002,36.27,6717200,35.74271
"2018-03-05",36.080002,37.02,36.040001,36.919998,5658800,36.383259
"2018-03-06",37.049999,37.540001,36.869999,37.389999,3705600,36.846424
"2018-03-07",36.919998,37.150002,36.330002,37.07,4190400,36.531078
"2018-03-08",37.18,37.650002,37.029999,37.630001,3926700,37.082939
"2018-03-09",37.810001,38.540001,37.669998,38.540001,3016600,37.979706
"2018-03-12",39.25,39.509998,38.43,38.700001,6003200,38.137383
"2018-03-13",39.009998,39.689999,38.810001,38.880001,4590200,38.314766
"2018-03-14",39.049999,39.049999,37.150002,37.220001,7578500,36.678898
"2018-03-15",37.290001,37.34,36.77,37.049999,5288700,36.511368
"2018-03-16",36.73,36.91,36.560001,36.700001,7465100,36.42205
"2018-03-19",36.689999,36.860001,36.130001,36.41,4151000,36.134247
"2018-03-20",36.43,36.509998,35.610001,35.849998,7017700,35.578487
"2018-03-21",35.98,36.759998,35.849998,36.330002,4170500,36.054855
"2018-03-22",36.02,36.419998,35.43,35.5,6112800,35.23114
"2018-03-23",35.5,35.689999,34.209999,34.330002,5598100,34.070004
"2018-03-26",34.720001,35,33.889999,34.939999,5403900,34.675381
"2018-03-27",34.860001,35.119999,34.09,34.32,4581600,34.060074
"2018-03-28",34.43,34.560001,33.919998,34.290001,6098100,34.030304
"2018-03-29",34.419998,35.48,34.419998,35.240002,4209300,34.97311
"2018-04-02",35.060001,35.139999,33.549999,33.93,4588500,33.673031
"2018-04-03",33.98,34.459999,33.57,34.43,4655000,34.169243
"2018-04-04",33.91,35.09,33.77,35,4005500,34.734924
"2018-04-05",34.16,35.139999,33.919998,34.599998,5741100,34.337955
"2018-04-06",34.419998,34.52,33.43,33.639999,4806200,33.385227
"2018-04-09",33.810001,33.970001,33.23,33.259998,4831200,33.008102
"2018-04-10",33.66,34.060001,33.439999,33.720001,9458200,33.464622
"2018-04-11",33.48,34.470001,33.290001,34.299999,4901400,34.040226
"2018-04-12",34.380001,34.450001,34.080002,34.209999,4674800,33.950909
"2018-04-13",34.560001,34.669998,33.91,34.080002,4627600,33.821896
"2018-04-16",34.23,34.799999,34.169998,34.700001,5453100,34.437199
"2018-04-17",34.790001,34.84,34.25,34.290001,3716800,34.030304
"2018-04-18",34.459999,34.610001,34.25,34.439999,3692800,34.179165
"2018-04-19",34.200001,34.32,33.779999,34.009998,4022000,33.752422
"2018-04-20",34.23,34.630001,34.09,34.27,6002500,34.010456
"2018-04-23",34.290001,34.549999,34,34.150002,5283400,33.891365
"2018-04-24",34.299999,34.41,32.990002,33.27,5633600,33.018028
"2018-04-25",33.119999,33.790001,32.889999,33.790001,5152800,33.534092
"2018-04-26",33.830002,34.439999,33.650002,34.34,5538900,34.079926
"2018-04-27",34.23,34.689999,33.959999,34.470001,5021300,34.208942
"2018-04-30",34.439999,34.630001,33.84,33.869999,5415900,33.613483
"2018-05-01",34.59,35.970001,34.349998,35.939999,8402500,35.667805
"2018-05-02",35.959999,36,34.990002,35.310001,6465300,35.04258
"2018-05-03",35.139999,35.639999,34.630001,35.389999,5149500,35.121971
"2018-05-04",35.130001,36.330002,35.040001,36.25,4309800,35.97546
"2018-05-07",36.32,36.869999,36.25,36.650002,7192200,36.372433
"2018-05-08",36.330002,36.580002,36.049999,36.290001,5289800,36.015156
"2018-05-09",36.299999,36.610001,35.970001,36.27,3403600,35.995308
"2018-05-10",36.34,36.889999,36.310001,36.720001,3358700,36.441902
"2018-05-11",36.75,36.799999,36.189999,36.299999,3430000,36.025078
"2018-05-14",36.32,36.810001,36.299999,36.48,2814600,36.203716
"2018-05-15",36.18,36.400002,36.07,36.27,3023900,35.995308
"2018-05-16",36.259998,36.630001,36.130001,36.419998,3918000,36.144169
"2018-05-17",36.43,36.779999,36.330002,36.509998,3624200,36.23349
"2018-05-18",36.450001,36.560001,35.790001,35.950001,6234600,35.677731
"2018-05-21",36.169998,36.389999,35.630001,35.73,6020000,35.459396
"2018-05-22",35.77,35.950001,35.16,35.189999,6522600,34.923485
"2018-05-23",35,35.110001,33.860001,34.220001,7677000,33.960835
"2018-05-24",34.220001,34.650002,34.080002,34.419998,4104400,34.159317
"2018-05-25",34.450001,35.119999,34.360001,34.639999,5770700,34.377651
"2018-05-29",34.349998,34.57,33.810001,34.060001,4750100,33.802048
"2018-05-30",34.360001,34.66,34.049999,34.41,3134000,34.149395
"2018-05-31",34.470001,34.490002,33.470001,33.560001,4499500,33.305832
"2018-06-01",33.77,34.040001,33.459999,33.73,4241500,33.474545
"2018-06-04",33.970001,34.130001,33.810001,34.080002,3424600,33.821896
"2018-06-05",34.200001,34.540001,34.16,34.509998,3243000,34.248634
"2018-06-06",34.470001,34.720001,34.240002,34.57,4446100,34.308182
"2018-06-07",34.669998,34.970001,34.549999,34.939999,3243300,34.675381
"2018-06-08",34.950001,35.16,34.799999,35.139999,3546100,34.873863
"2018-06-11",35.130001,35.419998,34.849998,35.09,3115700,34.824245
"2018-06-12",35.189999,35.259998,34.869999,35.189999,3487500,34.923485
"2018-06-13",35.240002,35.240002,34.66,34.919998,4840800,34.655529
"2018-06-14",35,35.16,34.779999,34.889999,2792100,34.625759
"2018-06-15",34.889999,35.080002,34,35.040001,7690000,34.774624
"2018-06-18",34.66,34.73,34.310001,34.540001,3943700,34.278412
"2018-06-19",34.310001,34.580002,33.939999,34.5,5157000,34.238712
"2018-06-20",34.740002,35.259998,34.509998,35.25,5432900,34.983032
"2018-06-21",35.23,35.23,34.25,34.330002,6162400,34.070004
"2018-06-22",34.240002,34.52,33.98,33.990002,4252700,33.990002
"2018-06-25",33.93,34.5,33.52,34.360001,4667100,34.360001
"2018-06-26",34.419998,34.509998,34.029999,34.16,2854800,34.16
"2018-06-27",34.150002,34.349998,33.529999,33.529999,3967900,33.529999
"2018-06-28",33.529999,33.549999,32.900002,33.290001,4075600,33.290001
