"","open","high","low","close","volume","adjusted"
"2018-01-02",3.25,3.72,3.24,3.5,48694500,3.5
"2018-01-03",3.65,3.74,3.51,3.7,31053300,3.7
"2018-01-04",3.75,3.77,3.38,3.69,45686200,3.69
"2018-01-05",3.66,3.69,3.52,3.61,21607100,3.61
"2018-01-08",3.67,3.8,3.54,3.71,17710000,3.71
"2018-01-09",3.72,3.77,3.65,3.74,12660200,3.74
"2018-01-10",3.68,3.98,3.68,3.97,17119400,3.97
"2018-01-11",3.97,4.14,3.94,4.09,33756200,4.09
"2018-01-12",4.08,4.24,4,4.05,23072300,4.05
"2018-01-16",4.09,4.09,3.76,3.86,19381800,3.86
"2018-01-17",3.83,3.96,3.78,3.89,14414500,3.89
"2018-01-18",3.86,3.95,3.85,3.93,8329600,3.93
"2018-01-19",3.9,4.02,3.87,3.99,13534900,3.99
"2018-01-22",3.98,3.99,3.84,3.99,11730800,3.99
"2018-01-23",3.99,4.02,3.88,3.99,9399200,3.99
"2018-01-24",3.97,4.01,3.85,3.87,15674600,3.87
"2018-01-25",3.87,3.9,3.68,3.81,11387800,3.81
"2018-01-26",3.8,3.95,3.77,3.88,10063000,3.88
"2018-01-29",3.86,3.94,3.85,3.87,7946100,3.87
"2018-01-30",3.87,3.92,3.7,3.74,9929100,3.74
"2018-01-31",3.77,3.8,3.65,3.71,8580300,3.71
"2018-02-01",3.66,3.69,3.58,3.61,10445000,3.61
"2018-02-02",3.54,3.72,3.52,3.54,11693600,3.54
"2018-02-05",3.5,3.65,3.34,3.35,16832100,3.35
"2018-02-06",3.35,3.6,3.27,3.58,19202300,3.58
"2018-02-07",3.58,3.73,3.53,3.6,15536400,3.6
"2018-02-08",3.6,3.71,3.36,3.37,13623100,3.37
"2018-02-09",3.41,3.51,3.23,3.43,12548000,3.43
"2018-02-12",3.45,3.5,3.33,3.47,9020500,3.47
"2018-02-13",3.44,3.62,3.42,3.54,8041700,3.54
"2018-02-14",3.53,3.72,3.5,3.69,10098100,3.69
"2018-02-15",3.7,3.86,3.67,3.79,13276000,3.79
"2018-02-16",3.79,3.98,3.79,3.88,10689000,3.88
"2018-02-20",3.83,4.05,3.8,3.87,13476300,3.87
"2018-02-21",3.89,3.96,3.83,3.85,7862700,3.85
"2018-02-22",3.88,4.02,3.84,3.94,10809200,3.94
"2018-02-23",4,4.15,3.92,4.06,18440100,4.06
"2018-02-26",4.14,4.25,4.05,4.16,17201800,4.16
"2018-02-27",4.36,4.75,4.1,4.21,37747000,4.21
"2018-02-28",4.27,4.38,4.15,4.33,20082900,4.33
"2018-03-01",4.35,4.36,3.69,3.92,39346100,3.92
"2018-03-02",3.43,3.85,3.42,3.71,47149600,3.71
"2018-03-05",3.65,3.89,3.65,3.78,19810100,3.78
"2018-03-06",3.79,3.8,3.5,3.76,30012100,3.76
"2018-03-07",3.65,3.71,3.52,3.59,19682100,3.59
"2018-03-08",3.62,3.64,3.3,3.32,23569700,3.32
"2018-03-09",3.38,3.39,3.15,3.27,24110800,3.27
"2018-03-12",3.25,3.33,3.18,3.25,10609900,3.25
"2018-03-13",3.19,3.34,3.19,3.28,13414300,3.28
"2018-03-14",3.27,3.29,2.99,3.05,24917100,3.05
"2018-03-15",3.03,3.09,2.92,3.03,17395400,3.03
"2018-03-16",3.04,3.15,3,3.12,19989200,3.12
"2018-03-19",3.1,3.18,3.01,3.09,13132200,3.09
"2018-03-20",3.09,3.11,3.02,3.04,7929100,3.04
"2018-03-21",3.03,3.1,3.01,3.05,6954300,3.05
"2018-03-22",3.03,3.12,2.94,2.99,14402500,2.99
"2018-03-23",3,3.04,2.9,2.91,10640300,2.91
"2018-03-26",2.95,2.97,2.84,2.95,14773400,2.95
"2018-03-27",2.96,3.11,2.88,2.9,14756300,2.9
"2018-03-28",2.91,3.1,2.81,3.05,17533400,3.05
"2018-03-29",3.07,3.07,2.96,3.02,13619300,3.02
"2018-04-02",3.02,3.12,2.88,2.96,21931200,2.96
"2018-04-03",2.99,3.21,2.97,3.18,17502200,3.18
"2018-04-04",3.11,3.29,3.1,3.24,14782300,3.24
"2018-04-05",3.26,3.42,3.22,3.37,15981800,3.37
"2018-04-06",3.36,3.36,3.11,3.21,18798200,3.21
"2018-04-09",3.24,3.35,3.2,3.25,10794800,3.25
"2018-04-10",3.28,3.44,3.14,3.4,20571800,3.4
"2018-04-11",3.36,3.54,3.36,3.51,13817900,3.51
"2018-04-12",3.47,3.51,3.18,3.21,20046400,3.21
"2018-04-13",3.24,3.26,3.09,3.11,14342300,3.11
"2018-04-16",3.15,3.23,3.12,3.14,16485700,3.14
"2018-04-17",3.18,3.19,3.03,3.05,15274900,3.05
"2018-04-18",3.07,3.13,3.04,3.04,9237200,3.04
"2018-04-19",3.03,3.08,2.97,3.04,8379700,3.04
"2018-04-20",3.03,3.06,2.89,2.9,17177600,2.9
"2018-04-23",2.92,2.94,2.86,2.91,10666500,2.91
"2018-04-24",2.93,3.02,2.89,3.01,10851800,3.01
"2018-04-25",3,3.1,2.95,3.08,8088300,3.08
"2018-04-26",3.07,3.14,3.05,3.1,9779800,3.1
"2018-04-27",3.1,3.15,3.02,3.15,9446700,3.15
"2018-04-30",3.15,3.2,2.91,2.91,17808300,2.91
"2018-05-01",2.92,3.02,2.88,2.93,11578500,2.93
"2018-05-02",2.93,3.07,2.91,3.04,10241200,3.04
"2018-05-03",3.02,3.03,2.94,3.02,9306000,3.02
"2018-05-04",2.99,3.02,2.89,2.89,14613800,2.89
"2018-05-07",2.92,2.93,2.75,2.79,21334800,2.79
"2018-05-08",2.77,2.87,2.7,2.77,24303200,2.77
"2018-05-09",2.77,2.98,2.75,2.88,26050200,2.88
"2018-05-10",2.9,2.9,2.75,2.86,11871300,2.86
"2018-05-11",2.88,2.92,2.77,2.84,15130400,2.84
"2018-05-14",2.87,2.89,2.8,2.81,11619900,2.81
"2018-05-15",2.83,2.96,2.78,2.91,19081500,2.91
"2018-05-16",3,3.08,2.85,3.07,40978300,3.07
"2018-05-17",2.73,2.89,2.65,2.69,73629000,2.69
"2018-05-18",2.71,2.72,2.59,2.61,25874200,2.61
"2018-05-21",2.61,2.65,2.5,2.5,27830900,2.5
"2018-05-22",2.34,2.5,2.28,2.35,49756400,2.35
"2018-05-23",2.32,2.46,2.25,2.35,28704800,2.35
"2018-05-24",2.35,2.37,2.28,2.34,17197100,2.34
"2018-05-25",2.32,2.35,2.28,2.3,14757200,2.3
"2018-05-29",2.28,2.39,2.26,2.37,18399900,2.37
"2018-05-30",2.4,2.44,2.35,2.41,12295700,2.41
"2018-05-31",2.42,2.46,2.37,2.42,12404800,2.42
"2018-06-01",2.4,2.46,2.36,2.36,14535700,2.36
"2018-06-04",2.39,2.45,2.36,2.45,12687200,2.45
"2018-06-05",2.45,2.58,2.42,2.55,19629700,2.55
"2018-06-06",2.57,2.72,2.56,2.7,25100500,2.7
"2018-06-07",2.7,2.78,2.66,2.76,17163100,2.76
"2018-06-08",2.75,2.84,2.72,2.82,12400300,2.82
"2018-06-11",2.83,2.99,2.81,2.95,17701500,2.95
"2018-06-12",2.97,3.16,2.86,3.01,35880800,3.01
"2018-06-13",3.02,3.05,2.74,2.78,19900500,2.78
"2018-06-14",2.82,2.83,2.65,2.7,26397100,2.7
"2018-06-15",2.66,2.75,2.63,2.73,16431800,2.73
