"","open","high","low","close","volume","adjusted"
"2018-01-02",18.24,18.370001,18.09,18.120001,4118200,17.474852
"2018-01-03",18.1,18.190001,17.860001,18,6540900,17.359123
"2018-01-04",17.969999,18,17.610001,17.68,6021500,17.050516
"2018-01-05",17.74,17.790001,17.57,17.700001,2725800,17.069805
"2018-01-08",17.73,17.860001,17.58,17.799999,3832900,17.166243
"2018-01-09",17.74,17.799999,17.190001,17.219999,5301200,16.606894
"2018-01-10",17.110001,17.18,16.93,17.129999,3072500,16.520098
"2018-01-11",17.200001,17.25,16.98,17.01,2620700,16.404371
"2018-01-12",16.98,17.040001,16.68,16.76,5447600,16.163273
"2018-01-16",16.85,16.969999,16.549999,16.549999,3722300,15.960749
"2018-01-17",16.610001,16.67,16.450001,16.6,5918600,16.008968
"2018-01-18",16.57,16.57,16.41,16.469999,3087800,15.883597
"2018-01-19",16.43,16.530001,16.35,16.41,4736100,15.825733
"2018-01-22",16.4,16.629999,16.4,16.58,6272300,15.98968
"2018-01-23",16.65,16.74,16.52,16.6,3249500,16.008968
"2018-01-24",16.559999,16.67,16.26,16.33,5059600,15.748582
"2018-01-25",16.33,16.41,16.059999,16.190001,4042200,15.613567
"2018-01-26",16.23,16.280001,15.85,15.99,12460100,15.420688
"2018-01-29",15.98,15.99,15.46,15.93,6969700,15.362823
"2018-01-30",15.9,15.99,15.57,15.6,5451000,15.044574
"2018-01-31",15.62,15.93,15.56,15.91,17769800,15.343535
"2018-02-01",15.9,15.95,15.28,15.36,6852500,14.813118
"2018-02-02",15.25,15.25,14.71,14.87,11164100,14.340565
"2018-02-05",14.77,15.31,14.62,14.66,8344500,14.138041
"2018-02-06",14.57,14.79,14.33,14.67,7778500,14.147685
"2018-02-07",14.67,14.94,14.51,14.52,5589400,14.003027
"2018-02-08",14.41,14.52,14,14.01,7182100,13.511184
"2018-02-09",14.11,14.24,13.7,14.18,11249300,13.675132
"2018-02-12",14.22,14.4,13.9,14.32,7088700,13.810147
"2018-02-13",14.32,14.48,14.09,14.34,4179800,13.829435
"2018-02-14",14.2,14.4,13.99,14.26,5116700,13.752283
"2018-02-15",14.65,14.99,14.47,14.67,9583200,14.147685
"2018-02-16",14.62,15.23,14.62,15.2,7789500,14.658814
"2018-02-20",15.23,15.59,15.21,15.25,7793600,14.707035
"2018-02-21",15.25,15.29,14.67,14.68,4519500,14.157329
