"","open","high","low","close","volume","adjusted"
"2018-01-02",105.760002,106.629997,104.919998,106.129997,1689000,104.816536
"2018-01-03",105.860001,107.580002,104.980003,107.370003,2734100,106.041199
"2018-01-04",107.949997,109.480003,106.349998,107.559998,1925500,106.228844
"2018-01-05",108.379997,110.68,107.900002,109.860001,1469000,108.500381
"2018-01-08",108.550003,110.940002,108.550003,110.160004,772700,108.796677
"2018-01-09",110.330002,110.709999,108.629997,109.199997,866900,107.848541
"2018-01-10",108.410004,108.410004,104.709999,106.279999,1439500,104.964684
"2018-01-11",106.639999,106.75,104.959999,106.239998,1000900,104.925179
"2018-01-12",106.650002,108.300003,106.290001,107.290001,990600,105.962189
"2018-01-16",108.529999,109.25,107.129997,107.660004,1492700,106.327614
"2018-01-17",109.25,114.410004,108.669998,113.489998,2046000,112.085457
"2018-01-18",112.839996,115.830002,112.010002,114.650002,1353100,113.231102
"2018-01-19",114.75,115.120003,113.589996,115.019997,988500,113.596512
"2018-01-22",115.010002,115.879997,113.769997,114.589996,1097200,113.171837
"2018-01-23",114.82,116.349998,114.480003,116.010002,1186200,114.574272
"2018-01-24",115.720001,116.620003,113.949997,114.93,1320600,113.507637
"2018-01-25",117.290001,121.650002,112.589996,113.089996,1855700,111.690407
"2018-01-26",111,115.690002,110.339996,113.440002,2314500,112.036079
"2018-01-29",113.370003,113.730003,111.309998,112.129997,1420500,110.742287
"2018-01-30",111.379997,112.019997,108.93,109.410004,1541200,108.055954
"2018-01-31",110.029999,111.040001,109.050003,109.800003,1174000,108.441124
"2018-02-01",109.269997,113.120003,109.07,111.150002,1451200,109.774414
"2018-02-02",110.040001,110.18,106.470001,106.519997,1504800,105.201714
"2018-02-05",106,107.300003,101.190002,101.199997,1885800,99.947556
"2018-02-06",99.120003,105.300003,98.730003,105.230003,2185600,103.927681
"2018-02-07",104.370003,105.43,102.07,102.660004,1631100,101.389488
"2018-02-08",103.010002,103.839996,97.580002,98.540001,2399000,97.32048
"2018-02-09",99.709999,101.809998,96.120003,100.900002,1734600,99.651276
"2018-02-12",101.75,104.809998,101.199997,103.910004,1755800,102.624023
"2018-02-13",103.309998,104.620003,102.760002,104.209999,2036400,102.920303
"2018-02-14",103.089996,108.43,102.889999,107.470001,2065000,106.744308
"2018-02-15",108.75,109.290001,103.709999,108.870003,2950300,108.134857
"2018-02-16",108.540001,110.769997,107.449997,107.519997,1812300,106.793968
"2018-02-20",107.279999,112.07,107,110.550003,2034400,109.803513
"2018-02-21",110.809998,111.480003,109.239998,109.669998,1562000,108.929451
"2018-02-22",111.669998,111.900002,108.290001,108.910004,1548700,108.174591
"2018-02-23",109.93,110.660004,108.720001,110.470001,1275800,109.724052
"2018-02-26",111.190002,114.720001,111.190002,114.669998,1173600,113.895691
"2018-02-27",114.470001,115.610001,113.040001,113.459999,949700,112.693863
"2018-02-28",114.190002,115,112.980003,113.309998,1127300,112.544876
"2018-03-01",112.919998,114.690002,110.25,111.209999,1192400,110.459053
"2018-03-02",110.050003,113.279999,109.389999,113.010002,962700,112.246902
"2018-03-05",112.610001,115.129997,111.790001,113.830002,878200,113.061363
"2018-03-06",114.769997,116.720001,114.190002,116.07,1038500,115.28624
"2018-03-07",115.300003,117.839996,115.139999,117.449997,1298200,116.656914
"2018-03-08",118.050003,118.07,116.370003,117,782700,116.209961
"2018-03-09",117.669998,121.339996,117.010002,121.150002,1227900,120.33194
"2018-03-12",122,123.110001,121.019997,122.389999,1042000,121.56356
"2018-03-13",123.410004,123.959999,120.050003,120.480003,1251200,119.666466
"2018-03-14",121.839996,121.889999,119.720001,120.440002,986600,119.626732
"2018-03-15",120.559998,122.459999,119.839996,120.809998,1046100,119.994232
"2018-03-16",121.510002,121.620003,120.150002,120.620003,1746000,119.805519
"2018-03-19",118.309998,118.949997,111.050003,115.980003,4159700,115.196846
"2018-03-20",115.709999,118.779999,114.860001,117.190002,2844600,116.398682
"2018-03-21",117.589996,119.809998,117.389999,118.059998,1456700,117.262802
"2018-03-22",116.089996,117.279999,112.790001,112.919998,1631900,112.157509
"2018-03-23",113.43,113.43,108.160004,108.18,2171500,107.449516
"2018-03-26",110.690002,113.489998,110.199997,113.360001,2100900,112.594536
"2018-03-27",114.139999,114.360001,107,107.809998,1477600,107.082008
"2018-03-28",107.629997,108.82,105.050003,106.57,1492800,105.850388
"2018-03-29",107.489998,110.529999,106.169998,109.010002,1123000,108.273911
"2018-04-02",108.309998,108.639999,104.029999,105.330002,1394800,104.618759
"2018-04-03",106.400002,107.760002,105.239998,107.57,1280800,106.843636
"2018-04-04",104.919998,109.669998,103.629997,109.25,1129100,108.512291
"2018-04-05",110.790001,111.599998,108.239998,108.709999,1659900,107.975937
"2018-04-06",106.720001,108.25,103.540001,104.07,1664300,103.367271
"2018-04-09",105.139999,107.879997,103.620003,103.790001,1506200,103.089157
"2018-04-10",106.040001,109.470001,105.690002,108.57,1375600,107.836884
"2018-04-11",107.220001,108.839996,106.400002,106.639999,1198600,105.919914
"2018-04-12",107.580002,109.459999,107.059998,109.120003,1176600,108.383171
"2018-04-13",110.230003,110.25,106.970001,107.589996,922800,106.863495
"2018-04-16",108.660004,109.580002,107.199997,108.849998,1027900,108.11499
"2018-04-17",110.150002,111.029999,109.169998,110.620003,1376600,109.873039
"2018-04-18",108.57,109.150002,106.589996,108.239998,1076300,107.509109
"2018-04-19",106.599998,106.599998,101.889999,102.290001,1915500,101.599289
"2018-04-20",102.629997,103.400002,100.889999,101.480003,1558800,100.794762
"2018-04-23",102.260002,102.559998,100.080002,101,2002100,100.318001
"2018-04-24",102.43,102.879997,98.07,99.559998,1815500,98.887718
"2018-04-25",99.75,100.489998,97.940002,98.650002,1605500,97.983871
"2018-04-26",99.470001,101.25,99.230003,100.830002,1674000,100.149147
"2018-04-27",101.57,103.650002,99.059998,102.18,2708700,101.490028
"2018-04-30",102.510002,103.239998,100.889999,101.739998,1618100,101.053001
"2018-05-01",101.650002,102.620003,100.389999,102.330002,1357300,101.639023
"2018-05-02",102.599998,103.830002,101.870003,102.169998,1103100,101.480095
"2018-05-03",101.449997,103.349998,100.449997,102.989998,1038000,102.294556
"2018-05-04",102.470001,106.709999,101.68,106.660004,1334800,105.939781
"2018-05-07",107,107.25,106.120003,106.709999,1188400,105.989441
"2018-05-08",105.660004,107.209999,105.519997,106.900002,1160300,106.178162
"2018-05-09",107.5,109.220001,106.900002,109.169998,1146400,108.432831
"2018-05-10",109.68,111.199997,109.190002,111.059998,708100,110.310066
"2018-05-11",110.790001,111.779999,110.410004,111.07,950100,110.32
"2018-05-14",111.379997,113.93,111.379997,112.730003,1513500,112.730003
"2018-05-15",111.830002,112,110.25,111.330002,1364000,111.330002
"2018-05-16",111.769997,114.019997,111.629997,113.669998,1157200,113.669998
"2018-05-17",113.400002,114.360001,111.830002,113.239998,1309700,113.239998
"2018-05-18",111.449997,111.449997,107.82,109.389999,2021900,109.389999
"2018-05-21",110.870003,111.889999,109.849998,111.440002,1281000,111.440002
"2018-05-22",112.199997,114.379997,112.18,113.620003,1335900,113.620003
"2018-05-23",112.32,113.32,111.339996,113.300003,1043400,113.300003
"2018-05-24",113.110001,113.900002,111.660004,113.529999,1316700,113.529999
"2018-05-25",113.290001,114.959999,113.160004,114.32,825700,114.32
"2018-05-29",113.5,114.459999,112.080002,113.650002,1237200,113.650002
"2018-05-30",114.519997,115.330002,113.300003,114.010002,973200,114.010002
"2018-05-31",113.919998,115.019997,112.860001,113.230003,1373200,113.230003
"2018-06-01",114.510002,116.419998,113.849998,115.839996,1380800,115.839996
"2018-06-04",115.279999,117.120003,115.169998,116.239998,849400,116.239998
"2018-06-05",117.040001,118.190002,116.57,118.129997,1084500,118.129997
"2018-06-06",118.139999,118.559998,116.900002,117.43,1596700,117.43
"2018-06-07",115.449997,116.57,114.449997,115.93,1899100,115.93
"2018-06-08",114.389999,114.57,113.139999,114.199997,1369700,114.199997
"2018-06-11",113.82,114.660004,112.330002,112.470001,1306400,112.470001
"2018-06-12",113.120003,113.68,111.529999,113.589996,1174700,113.589996
"2018-06-13",113.900002,114.389999,112.480003,112.959999,1416000,112.959999
"2018-06-14",113.5,113.75,112.360001,113.129997,1039000,113.129997
"2018-06-15",113.160004,113.160004,111.309998,112.839996,1728000,112.839996
"2018-06-18",111.830002,112.389999,109.830002,112.050003,1193700,112.050003
"2018-06-19",110.419998,111.279999,109.139999,110.580002,1080000,110.580002
"2018-06-20",111.07,111.779999,109.32,109.769997,1202100,109.769997
"2018-06-21",110.43,111.32,109.620003,110.309998,1142200,110.309998
"2018-06-22",107.110001,108.959999,105.290001,106.559998,2896000,106.559998
"2018-06-25",105.43,105.43,101.739998,104.139999,2198900,104.139999
"2018-06-26",105.110001,105.610001,103.760002,104.589996,1492600,104.589996
"2018-06-27",104.809998,105.089996,100.57,100.639999,1469000,100.639999
"2018-06-28",100.529999,101.889999,99.839996,101.809998,1564200,101.809998
"2018-06-29",102.43,103.970001,102.080002,102.529999,1727600,102.529999
